symbol,name,industry,supersector,sector,subsector,listing_date,issue_share,listed_value,market_cap
ACV,Airports Corporation of Vietnam,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,2016-11-21,2177173236.0,2177173236.0,177044848108572.0
ADC,Art Design and Communication Joint Stock Company,Consumer Services,Media,Media,Publishing,2010-12-24,3977936.0,3977936.0,59669040000.0
ADG,Clever Group Corporation,Consumer Services,Media,Media,Media Agencies,2019-12-26,21380521.0,21380521.0,831702266900.0
ADP,A Dong Paint Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2010-02-02,23039850.0,23039850.0,405501360000.0
ADS,Damsan Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2016-06-29,43779034.0,43779034.0,627121069900.0
AFX,An Giang Agriculture and Foods Import - Export Joint Stock Company,Consumer Services,Retail,Food & Drug Retailers,Food Retailers & Wholesalers,2016-12-02,35000000.0,35000000.0,344680000000.0
AG1,28.1 Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2018-01-10,4863386.0,4863386.0,26262284400.0
AGE,An Giang Urban Environment Joint Stock Company,Industrials,Industrial Goods & Services,Support Services,Waste & Disposal Services,2022-08-15,19893000.0,19893000.0,228769500000.0
AGF,An Giang Fisheries Import and Export Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2002-05-02,28109743.0,28109743.0,67463383200.0
AGG,An Gia Real Estate Investment And Development Corporation,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2020-01-09,125118368.0,125118368.0,3515826140800.0
AGM,An Giang Import Export Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2012-12-14,18200000.0,18200000.0,98644000000.0
AGP,AGIMEXPHARM Pharmaceutical Joint Stock Company,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,2015-10-06,17969247.0,17969247.0,477101477097.0
AGR,AgriBank Securities Corporation,Financials,Financial Services,Financial Services,Investment Services,2009-12-10,215391309.0,215391309.0,2132373493800.0
AGX,Sai Gon Export Foodstuffs and Agricultural Products Joint Stock Company,Consumer Services,Retail,Food & Drug Retailers,Food Retailers & Wholesalers,2015-09-14,10800000.0,10800000.0,474120000000.0
AIC,Vietnam National Aviation Insurance Corporation,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance,2021-01-08,100000000.0,100000000.0,1007500000000.0
ALT,Alta Company,Consumer Services,Media,Media,Publishing,2006-11-22,6172523.0,6172523.0,86624305900.0
ALV,ALVICO Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2010-09-17,5657936.0,5657936.0,21426603632.0
AMC,Asia Mineral Joint Stock Company,Basic Materials,Basic Resources,Mining,General Mining,2012-02-15,2850000.0,2850000.0,64980000000.0
AMD,FLC Stone Mining and Investment Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2014-08-11,163504874.0,163504874.0,181490410140.0
AME,Alphanam E&C Joint Stock Company,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment,2010-06-02,65200000.0,65200000.0,704160000000.0
AMP,Armephaco Joint Stock Company,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,2017-01-12,13000000.0,13000000.0,104000000000.0
AMS,AMECC Mechanical Construction Joint Stock Company ,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers,2017-02-06,37835865.0,37835865.0,642180000000.0
AMV,American Vietnamese Biotech Incorporation,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment,2009-12-20,131105650.0,131105650.0,511312035000.0
ANT,An Giang Fruit-Vegetables &amp; Foodstuff Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2016-12-22,8000000.0,8000000.0,97600000000.0
ANV,Nam Viet Corporation,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2007-12-07,127539625.0,127539625.0,4366594300000.0
APC,An Phu Irradiation Joint Stock Company,Health Care,Health Care,Pharmaceuticals & Biotechnology,Biotechnology,2010-02-05,20121395.0,20121395.0,250803315000.0
APF,Quang Ngai Agricultural Products And Foodstuff Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2017-06-08,22553997.0,22553997.0,1679686372578.0
APG,APG Securities Joint Stock Company,Financials,Financial Services,Financial Services,Investment Services,2016-11-30,146306612.0,146306612.0,1066575201480.0
APH,An Phat Holdings Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2020-07-28,243884268.0,243884268.0,1877908863600.0
API,Asia - Pacific Investment Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2010-09-13,84083976.0,84083976.0,857656555200.0
APL,VVMI - Mechanical And Pressure Equipment Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery,2016-10-14,1200000.0,1200000.0,29760000000.0
APP,Additives and Petroleum Products Joint Stock Company,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,2010-10-05,4724632.0,4724632.0,20788380800.0
APS,Asia - Pacific Securities Joint Stock Company,Financials,Financial Services,Financial Services,Investment Services,2010-04-19,83000000.0,83000000.0,962800000000.0
APT,Saigon Aquatic Products Trading Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2019-06-07,8800000.0,8800000.0,22000000000.0
ARM,General Aviation Import Export Joint Stock Company,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers,2010-10-26,3111283.0,3111283.0,140007735000.0
ART,BOS Securities Joint Stock Company,Financials,Financial Services,Financial Services,Investment Services,2017-08-02,96922509.0,96922509.0,125999261700.0
ASA,ASA Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products,2012-03-12,10000000.0,10000000.0,126000000000.0
ASG,ASG Corporation,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,2020-09-24,75653891.0,75653891.0,1815693384000.0
ASM,Sao Mai Group Corporation,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2010-01-18,336526752.0,336526752.0,2870573194560.0
ASP,An Pha Petrol Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Gas Distribution,2008-02-15,37339929.0,37339929.0,209101435200.0
AST,Taseco Air Services Joint Stock Company,Consumer Services,Retail,General Retailers,Specialty Retailers,2018-01-04,45000000.0,45000000.0,2488500000000.0
ATA,NTACO Corporation,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2009-09-08,11999998.0,11999998.0,9599998400.0
ATB,An Thinh Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2017-08-25,13884000.0,13884000.0,8330400000.0
ATG,An Truong An Joint Stock Company,Basic Materials,Basic Resources,Mining,General Mining,2016-08-22,15220000.0,15220000.0,36528000000.0
ATS,Atesco Pharmaceutical Group Joint Stock Company,Consumer Services,Travel & Leisure,Travel & Leisure,Restaurants & Bars,2016-03-29,3500000.0,3500000.0,41650000000.0
AUM,Vinacafe Son Thanh Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2016-09-26,1000000.0,1000000.0,10500000000.0
AVC,A Vuong Hydropower Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2018-01-08,75052052.0,75052052.0,2912019617600.0
AVF,Anvifish Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2010-11-23,43338000.0,43338000.0,21669000000.0
B82,Joint Stock - Company No 482,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2008-03-17,5000000.0,5000000.0,2500000000.0
BAB,Bac A Commercial Joint Stock Bank,Banks,Banks,Banks,Banks,2017-12-28,813386340.0,813386340.0,11417945022800.0
BAF,BAF Vietnam Agriculture Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2021-12-03,143520000.0,143520000.0,2949336000000.0
BAL,Beer - Alcohol - Beverage Packaging Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2018-01-12,2000000.0,2000000.0,14434000000.0
BAX,Thong Nhat Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2017-03-24,8200000.0,8200000.0,537100000000.0
BBC,Bibica Corporation,Consumer Goods,Food & Beverage,Food Producers,Food Products,2001-12-19,18752687.0,18752687.0,1083905308600.0
BBH,Hoang Thach Joint Stock Bagging Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2020-05-14,2047932.0,2047932.0,32766912000.0
BBM,Ha Noi - Nam Dinh Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2018-01-05,2000000.0,2000000.0,18000000000.0
BBS,VICEM Packing But Son Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2005-12-28,6000000.0,6000000.0,66000000000.0
BBT,Bach Tuyet Cotton Corporation,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products,2018-06-12,9800000.0,9800000.0,81340000000.0
BCA,B.C.H Joint Stock Company,Basic Materials,Basic Resources,Industrial Metals & Mining,Steel,2021-09-08,19000000.0,19000000.0,79952000000.0
BCB,397 Joint Stock Company,Basic Materials,Basic Resources,Mining,Coal,2018-10-29,5000000.0,5000000.0,2000000000.0
BCC,Bim Son Cement Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2006-11-24,123209812.0,123209812.0,1515480687600.0
BCE,Binh Duong Construction And Civil Engineering Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2010-06-28,35000000.0,35000000.0,202300000000.0
BCF,Bich Chi Food Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2020-03-16,27830412.0,27830412.0,1032508285200.0
BCG,Bamboo Capital Group Joint Stock Company,Financials,Financial Services,Financial Services,Specialty Finance,2015-07-16,533467622.0,533467622.0,3632914505820.0
BCM,Investment and Industrial Development Joint Stock Corporation,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2018-02-21,1035000000.0,1035000000.0,84870000000000.0
BCP,Enlie Pharmaceutical Joint Stock Company,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,2015-09-14,6000000.0,6000000.0,69000000000.0
BCV,Vimico - Cao Bang Bang Giang Travel And Trading Joint Stock Company,Consumer Services,Travel & Leisure,Travel & Leisure,Hotels,2021-03-16,1800000.0,1800000.0,38700000000.0
BDB,Binh Dinh Book and Equipment Joint Stock Company,Consumer Services,Media,Media,Publishing,2010-01-29,1126474.0,1126474.0,11377387400.0
BDG,Protrade Garment Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2016-04-06,24799920.0,24799920.0,735912826080.0
BDT,DongThap Building Materials & Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2017-09-06,38600000.0,38600000.0,856817880000.0
BDW,Binh Dinh Water Supply and Sewerage Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2015-10-14,12410800.0,12410800.0,254421400000.0
BED,Da Nang Books & Educational Equipment Joint Stock Company,Consumer Services,Media,Media,Publishing,2009-10-21,3000000.0,3000000.0,119700000000.0
BEL,Viettronics Bien Hoa Joint Stock Company,Consumer Goods,Personal & Household Goods,Leisure Goods,Consumer Electronics,2016-07-12,6000000.0,6000000.0,66000000000.0
BFC,Binh Dien Fertilizer Joint Stock Company,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,2015-10-07,57167993.0,57167993.0,954705483100.0
BGW,Bac Giang Clean Water Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2017-10-31,18149446.0,18149446.0,272241690000.0
BHA,Bac Ha Hydropower Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2017-08-02,66000000.0,66000000.0,990000000000.0
BHC,Bien Hoa Concrete Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2009-05-15,4500000.0,4500000.0,9900000000.0
BHG,Bien Ho Tea Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Soft Drinks,2018-10-30,8935643.0,8935643.0,120631180500.0
BHK,Ha Noi - Kim Bai Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2018-04-05,3986000.0,3986000.0,48629200000.0
BHN,Hanoi Beer Alcohol and Beverage Joint Stock Corporation,Consumer Goods,Food & Beverage,Beverages,Brewers,2016-10-28,231800000.0,231800000.0,10118070000000.0
BHP,Ha Noi - Hai Phong Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2013-01-21,9179290.0,9179290.0,72516391000.0
BHT,Bach Dang TMC Construction Investment Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2011-01-11,4565000.0,4565000.0,58880000000.0
BIC,BIDV Insurance Corporation,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance,2011-09-06,117276895.0,117276895.0,3213386923000.0
BID,Joint Stock Commercial Bank for Investment and Development of Vietnam,Banks,Banks,Banks,Banks,2014-01-24,5058523816.0,5058523816.0,232692095536000.0
BIG,BIG Invest Group Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Services,2022-01-10,5000000.0,5000000.0,21890000000.0
BII,Bao Thu Industrial Development and Investment Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2014-09-22,57680000.0,57680000.0,121128000000.0
BIO,Nha Trang Vaccines and Biological Products Joint Stock Company,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,2018-08-30,8562000.0,8562000.0,177016050000.0
BKC,Bac Kan Minerals Joint Stock Company,Basic Materials,Basic Resources,Mining,General Mining,2009-08-18,11737728.0,11737728.0,80990323200.0
BKG,BKG Vietnam Investment Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products,2020-12-31,68199983.0,68199983.0,259159935400.0
BKH,Hanoi Confectionery Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2019-06-26,1750000.0,1750000.0,50750000000.0
BLF,Bac Lieu Fisheries Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2008-06-02,11500000.0,11500000.0,36799996800.0
BLI,Bao Long Insurance Corporation,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance,2015-12-11,60000000.0,60000000.0,687293974670.0
BLN,Lien Ninh Transport and Service Joint Stock Company,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism,2016-09-09,5000000.0,5000000.0,45000000000.0
BLT,Binh Dinh Food Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2017-07-10,4000000.0,4000000.0,146000000000.0
BLW,Bac Lieu Water Supply Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2018-10-19,11168800.0,11168800.0,122856800000.0
BMC,Binh Dinh Minerals Joint Stock Company,Basic Materials,Basic Resources,Mining,General Mining,2006-12-28,12392630.0,12392630.0,162963084500.0
BMD,Binh Thuan Environmental Urban Service Joint Stock Company,Industrials,Industrial Goods & Services,Support Services,Waste & Disposal Services,2017-06-14,2753280.0,2753280.0,31662720000.0
BMF,Dong Nai Building Material and Fuel Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Gas Distribution,2018-04-16,4159600.0,4159600.0,115636880000.0
BMG,Binh Minh Garment Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2018-12-25,5292000.0,5292000.0,114836400000.0
BMI,BaoMinh Insurance Corporation,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance,2008-04-21,109623985.0,109623985.0,2658381636250.0
BMJ,Easterns AHP Minerals Joint Stock Company,Basic Materials,Basic Resources,Mining,General Mining,2009-12-22,104999978.0,104999978.0,1267979734328.0
BMN,715 Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2016-04-06,2750000.0,2750000.0,22550000000.0
BMP,Binh Minh Plastics Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2006-07-11,81860938.0,81860938.0,4878911904800.0
BMS,Bao Minh Securities Company Limited,Financials,Financial Services,Financial Services,Investment Services,2018-08-08,60989375.0,60989375.0,372584091875.0
BMV,Vinafood 1 Flour Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2017-06-06,24200000.0,24200000.0,1299540000000.0
BNA,Bao Ngoc Investment Production Corporation,Consumer Goods,Food & Beverage,Food Producers,Food Products,2020-10-12,24999855.0,24999855.0,247498564500.0
BNW,Bac Ninh Clean Water Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2018-12-28,37549391.0,37549391.0,326679701700.0
BOT,Thai Ha Bridge BOT Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2019-02-14,59246800.0,59246800.0,144088217600.0
BPC,Vicem Packaging Bimson Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2002-04-05,3800000.0,3800000.0,34200000000.0
BQB,Hanoi - Quang Binh Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2018-01-09,5800000.0,5800000.0,19267600000.0
BRC,Ben Thanh Rubber Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2011-12-13,12374997.0,12374997.0,129937468500.0
BRR,BaRia Rubber Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2017-06-16,112500000.0,112500000.0,2408512500000.0
BRS,Ba Ria Urban Service Joint Stock Company,Industrials,Industrial Goods & Services,Support Services,Waste & Disposal Services,2017-01-24,4541950.0,4541950.0,118090700000.0
BSA,Buon Don Hydropower Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2018-08-20,65540346.0,65540346.0,1114185882000.0
BSC,BenThanh Service Joint Stock Company,Consumer Services,Retail,General Retailers,Specialty Retailers,2011-01-05,3150747.0,3150747.0,40959711000.0
BSD,Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2017-04-28,3000000.0,3000000.0,78300000000.0
BSG,Saigon Passenger Transport Joint Stock Company,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism,2016-11-21,60000000.0,60000000.0,606180000000.0
BSH,Sai Gon - Ha Noi Beer Corporation,Consumer Goods,Food & Beverage,Beverages,Brewers,2018-07-04,18000000.0,18000000.0,315000000000.0
BSI,Bank for Investment and Development of Viet Nam Joint Stock Securities Company,Financials,Financial Services,Financial Services,Investment Services,2011-07-19,187800120.0,187800120.0,4804261929000.0
BSL,Sai Gon - Song Lam Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2017-06-16,45000000.0,45000000.0,463500000000.0
BSP,Sai Gon - Phu Tho Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2016-08-10,12500000.0,12500000.0,132500000000.0
BSQ,Sai Gon - Quang Ngai Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2017-02-28,45000000.0,45000000.0,1132065000000.0
BSR,Binh Son Refining and Petrochemical Joint Stock Company,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production,2018-03-01,244119369.0,244119369.0,50724173717760.0
BST,Binh Thuan Book And Equipment Joint Stock Company,Consumer Services,Media,Media,Publishing,2008-12-18,1100000.0,1100000.0,18920000000.0
BT1,Central Plant Protection Joint Stock Company No.1,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,2016-11-09,5250000.0,5250000.0,76125000000.0
BT6,BETON 6 Corporation,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2002-03-18,32993550.0,32993550.0,98716530000.0
BTB,Ha Noi - Thai Binh Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2017-01-12,7691226.0,7691226.0,46147356000.0
BTD,Thuduc Centrifugal Concrete Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2017-03-02,6414100.0,6414100.0,143173633448.0
BTG,Tien Giang Packaging Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2010-03-24,1190000.0,1190000.0,9877000000.0
BTH,Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment,2008-01-04,25000000.0,25000000.0,212500000000.0
BTN,Binh Dinh Tunnel Brick Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2018-01-05,4465570.0,4465570.0,16048181300.0
BTP,Ba Ria Thermal Power Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2009-11-25,60485600.0,60485600.0,792361360000.0
BTS,VICEM But Son Cement Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2006-12-05,123559858.0,123559858.0,729003162200.0
BTT,Ben Thanh Trading and Service Joint Stock Company,Consumer Services,Retail,General Retailers,Broadline Retailers,2010-04-14,13500000.0,13500000.0,378675000000.0
BTU,Ben Tre Urban Project Joint Stock Company,Industrials,Industrial Goods & Services,Support Services,Waste & Disposal Services,2016-03-11,3600000.0,3600000.0,36720000000.0
BTV,Ben Thanh Tourist Service Corporation,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism,2017-03-03,25000000.0,25000000.0,279513920000.0
BTW,Ben Thanh Water Supply Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2010-03-04,9360000.0,9360000.0,227448000000.0
BVB,Viet Capital Commercial Joint Stock Bank,Banks,Banks,Banks,Banks,2020-07-09,367090000.0,367090000.0,5370526700000.0
BVG,Bac Viet Group Joint Stock Company,Basic Materials,Basic Resources,Industrial Metals & Mining,Steel,2010-08-09,9750948.0,9750948.0,18838831536.0
BVH,Bao Viet Holdings,Financials,Insurance,Life Insurance,Life Insurance,2009-06-25,742322764.0,742322764.0,36522279988800.0
BVL,BV Land Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Services,2021-06-11,57312800.0,57312800.0,581552981600.0
BVN,Vietnam Cotton Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products,2011-10-11,5000000.0,5000000.0,59750000000.0
BVS,Bao Viet Securities Company,Financials,Financial Services,Financial Services,Investment Services,2006-12-18,72233937.0,72233937.0,1451222914500.0
BWA,Bao Loc Supply Sewerage and Constructon Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2010-06-14,2700000.0,2700000.0,29700000000.0
BWE,Binh Duong Water Environment Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2017-07-20,192920000.0,192920000.0,8266622000000.0
BWS,Ba Ria - Vung Tau Water Supply Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2017-11-28,90000000.0,90000000.0,2475720000000.0
BXH,Haiphong Packing VICEM Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2009-11-25,3012040.0,3012040.0,41264948000.0
C12,Bridge Joint Stock Company No.12,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2016-12-26,4850000.0,4850000.0,19400000000.0
C21,Century 21 Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2016-11-01,19336371.0,19336371.0,195897387600.0
C22,22 Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2018-05-24,3550000.0,3550000.0,54315000000.0
C32,CIC39 Corporation,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2012-11-30,15030145.0,15030145.0,290081798500.0
C47,Construction Joint Stock Company 47,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2011-03-30,27533581.0,27533581.0,207603200740.0
C4G,Cienco4 Group Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2018-12-10,224718202.0,224718202.0,4017961451760.0
C69,1369 Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2017-04-21,60000000.0,60000000.0,330000000000.0
C92,Engineering Construction Joint Stock Company No 492,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2007-11-19,5312920.0,5312920.0,14833672640.0
CAB,Vietnam Television Cable Joint Stock Company,Consumer Services,Media,Media,Broadcasting & Entertainment,2019-09-06,45745876.0,45745876.0,882895406800.0
CAD,Cadovimex Seafood Import-Export And Processing Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2012-11-01,8799927.0,8799927.0,10399963500.0
CAG,An Giang Port Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,2017-12-04,13800000.0,13800000.0,111780000000.0
