branch_no,branch,department_no,department,head,head_no,name,party,state,district,president,start_date,end_date,birth_country
1,legistrative,2,House of Representatives,Speaker,33.0,Linn Boyd,Democratic,Kentucky,1,,,,
1,legistrative,2,House of Representatives,Speaker,34.0,Nathaniel P. Banks,American,Massachusetts,7,,,,
1,legistrative,2,House of Representatives,Speaker,35.0,James Lawrence Orr,Democratic,South Carolina,5,,,,
1,legistrative,2,House of Representatives,Speaker,36.0,William Pennington,Republican,New Jersey,5,,,,
1,legistrative,2,House of Representatives,Speaker,37.0,Galusha A. Grow,Republican,Pennsylvania,14,,,,
1,legistrative,2,House of Representatives,Speaker,38.0,Schuyler Colfax,Republican,Indiana,9,,,,
1,legistrative,2,House of Representatives,Speaker,39.0,Schuyler Colfax,Republican,Indiana,9,,,,
1,legistrative,2,House of Representatives,Speaker,40.0,Schuyler Colfax,Republican,Indiana,9,,,,
1,legistrative,2,House of Representatives,Speaker,40.1,Theodore M. Pomeroy,Republican,New York,24,,,,
1,legistrative,2,House of Representatives,Speaker,41.0,James G. Blaine,Republican,Maine,3,,,,
1,legistrative,2,House of Representatives,Speaker,42.0,James G. Blaine,Republican,Maine,3,,,,
1,legistrative,2,House of Representatives,Speaker,43.0,James G. Blaine,Republican,Maine,3,,,,
1,legistrative,2,House of Representatives,Speaker,44.0,Michael C. Kerr,Democratic,Indiana,3,,,,
1,legistrative,2,House of Representatives,Speaker,44.1,Samuel J. Randall,Democratic,Pennsylvania,3,,,,
1,legistrative,2,House of Representatives,Speaker,45.0,Samuel J. Randall,Democratic,Pennsylvania,3,,,,
1,legistrative,2,House of Representatives,Speaker,46.0,Samuel J. Randall,Democratic,Pennsylvania,3,,,,
1,legistrative,2,House of Representatives,Speaker,47.0,J. Warren Keifer,Republican,Ohio,8,,,,
1,legistrative,2,House of Representatives,Speaker,48.0,John G. Carlisle,Democratic,Kentucky,6,,,,
1,legistrative,2,House of Representatives,Speaker,49.0,John G. Carlisle,Democratic,Kentucky,6,,,,
1,legistrative,2,House of Representatives,Speaker,50.0,John G. Carlisle,Democratic,Kentucky,6,,,,
1,legistrative,2,House of Representatives,Speaker,51.0,Thomas Brackett Reed,Republican,Maine,1,,,,
1,legistrative,2,House of Representatives,Speaker,52.0,Charles Frederick Crisp,Democratic,Georgia,3,,,,
1,legistrative,2,House of Representatives,Speaker,53.0,Charles Frederick Crisp,Democratic,Georgia,3,,,,
1,legistrative,2,House of Representatives,Speaker,54.0,Thomas Brackett Reed,Republican,Maine,1,,,,
1,legistrative,2,House of Representatives,Speaker,55.0,Thomas Brackett Reed,Republican,Maine,1,,,,
1,legistrative,2,House of Representatives,Speaker,56.0,David B. Henderson,Republican,Iowa,3,,,,
1,legistrative,2,House of Representatives,Speaker,57.0,David B. Henderson,Republican,Iowa,3,,,,
1,legistrative,2,House of Representatives,Speaker,58.0,Joseph Gurney Cannon,Republican,Illinois,18,,,,
1,legistrative,2,House of Representatives,Speaker,59.0,Joseph Gurney Cannon,Republican,Illinois,18,,,,
1,legistrative,2,House of Representatives,Speaker,60.0,Joseph Gurney Cannon,Republican,Illinois,18,,,,
1,legistrative,2,House of Representatives,Speaker,61.0,Joseph Gurney Cannon,Republican,Illinois,18,,,,
1,legistrative,2,House of Representatives,Speaker,62.0,Champ Clark,Democratic,Missouri,9,,,,
1,legistrative,2,House of Representatives,Speaker,63.0,Champ Clark,Democratic,Missouri,9,,,,
1,legistrative,2,House of Representatives,Speaker,64.0,Champ Clark,Democratic,Missouri,9,,,,
1,legistrative,2,House of Representatives,Speaker,65.0,Champ Clark,Democratic,Missouri,9,,,,
1,legistrative,2,House of Representatives,Speaker,66.0,Frederick H. Gillett,Republican,Massachusetts,2,,,,
1,legistrative,2,House of Representatives,Speaker,67.0,Frederick H. Gillett,Republican,Massachusetts,2,,,,
1,legistrative,2,House of Representatives,Speaker,68.0,Frederick H. Gillett,Republican,Massachusetts,2,,,,
1,legistrative,2,House of Representatives,Speaker,69.0,Nicholas Longworth,Republican,Ohio,1,,,,
1,legistrative,2,House of Representatives,Speaker,70.0,Nicholas Longworth,Republican,Ohio,1,,,,
1,legistrative,2,House of Representatives,Speaker,71.0,Nicholas Longworth,Republican,Ohio,1,,,,
1,legistrative,2,House of Representatives,Speaker,72.0,John Nance Garner,Democratic,Texas,15,,,,
1,legistrative,2,House of Representatives,Speaker,73.0,Henry Thomas Rainey,Democratic,Illinois,20,,,,
1,legistrative,2,House of Representatives,Speaker,74.0,Jo Byrns,Democratic,Tennessee,5,,,,
1,legistrative,2,House of Representatives,Speaker,74.1,William B. Bankhead,Democratic,Alabama,7,,,,
1,legistrative,2,House of Representatives,Speaker,75.0,William B. Bankhead,Democratic,Alabama,7,,,,
1,legistrative,2,House of Representatives,Speaker,76.0,William B. Bankhead,Democratic,Alabama,7,,,,
1,legistrative,2,House of Representatives,Speaker,76.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,77.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,78.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,79.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,80.0,Joseph W. Martin Jr.,Republican,Massachusetts,14,,,,
1,legistrative,2,House of Representatives,Speaker,81.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,82.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,83.0,Joseph W. Martin Jr.,Republican,Massachusetts,14,,,,
1,legistrative,2,House of Representatives,Speaker,84.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,85.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,86.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,87.0,Sam Rayburn,Democratic,Texas,4,,,,
1,legistrative,2,House of Representatives,Speaker,87.1,John W. McCormack,Democratic,Massachusetts,12,,,,
1,legistrative,2,House of Representatives,Speaker,88.0,John W. McCormack,Democratic,Massachusetts,9,,,,
1,legistrative,2,House of Representatives,Speaker,89.0,John W. McCormack,Democratic,Massachusetts,9,,,,
1,legistrative,2,House of Representatives,Speaker,90.0,John W. McCormack,Democratic,Massachusetts,9,,,,
1,legistrative,2,House of Representatives,Speaker,91.0,John W. McCormack,Democratic,Massachusetts,9,,,,
1,legistrative,2,House of Representatives,Speaker,92.0,Carl Albert,Democratic,Oklahoma,3,,,,
1,legistrative,2,House of Representatives,Speaker,93.0,Carl Albert,Democratic,Oklahoma,3,,,,
1,legistrative,2,House of Representatives,Speaker,94.0,Carl Albert,Democratic,Oklahoma,3,,,,
1,legistrative,2,House of Representatives,Speaker,95.0,Tip O'Neill,Democratic,Massachusetts,8,,,,
1,legistrative,2,House of Representatives,Speaker,96.0,Tip O'Neill,Democratic,Massachusetts,8,,,,
1,legistrative,2,House of Representatives,Speaker,97.0,Tip O'Neill,Democratic,Massachusetts,8,,,,
1,legistrative,2,House of Representatives,Speaker,98.0,Tip O'Neill,Democratic,Massachusetts,8,,,,
1,legistrative,2,House of Representatives,Speaker,99.0,Tip O'Neill,Democratic,Massachusetts,8,,,,
1,legistrative,2,House of Representatives,Speaker,100.0,Jim Wright,Democratic,Texas,12,,,,
1,legistrative,2,House of Representatives,Speaker,101.0,Jim Wright,Democratic,Texas,12,,,,
1,legistrative,2,House of Representatives,Speaker,101.1,Tom Foley,Democratic,Washington,5,,,,
1,legistrative,2,House of Representatives,Speaker,102.0,Tom Foley,Democratic,Washington,5,,,,
1,legistrative,2,House of Representatives,Speaker,103.0,Tom Foley,Democratic,Washington,5,,,,
1,legistrative,2,House of Representatives,Speaker,104.0,Newt Gingrich,Republican,Georgia,6,,,,
1,legistrative,2,House of Representatives,Speaker,105.0,Newt Gingrich,Republican,Georgia,6,,,,
1,legistrative,2,House of Representatives,Speaker,106.0,Dennis Hastert,Republican,Illinois,14,,,,
1,legistrative,2,House of Representatives,Speaker,107.0,Dennis Hastert,Republican,Illinois,14,,,,
1,legistrative,2,House of Representatives,Speaker,108.0,Dennis Hastert,Republican,Illinois,14,,,,
1,legistrative,2,House of Representatives,Speaker,109.0,Dennis Hastert,Republican,Illinois,14,,,,
1,legistrative,2,House of Representatives,Speaker,110.0,Nancy Pelosi,Democratic,California,8,,,,
1,legistrative,2,House of Representatives,Speaker,111.0,Nancy Pelosi,Democratic,California,8,,,,
1,legistrative,2,House of Representatives,Speaker,112.0,John Boehner,Republican,Ohio,8,,,,
1,legistrative,2,House of Representatives,Speaker,113.0,John Boehner,Republican,Ohio,8,,,,
1,legistrative,2,House of Representatives,Speaker,114.0,John Boehner,Republican,Ohio,8,,,,
1,legistrative,2,House of Representatives,Speaker,114.1,Paul Ryan,Republican,Wisconsin,1,,,,
1,legistrative,2,House of Representatives,Speaker,115.0,Paul Ryan,Republican,Wisconsin,1,,,,
1,legistrative,2,House of Representatives,Speaker,116.0,Nancy Pelosi,Democratic,California,12,,,,
1,legistrative,2,House of Representatives,Speaker,117.0,Nancy Pelosi,Democratic,California,12,,,,
1,legistrative,2,House of Representatives,Speaker,118.0,Kevin McCarthy,Republican,California,20,,,,
1,legistrative,2,House of Representatives,Speaker,118.1,Mike Johnson,Republican,Louisiana,4,,,,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,1.0,Charles Hamlin,,,,Woodrow Wilson,1914-08-10,1916-08-09,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,2.0,William Harding,,,,Woodrow Wilson,1916-08-10,1922-08-09,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,3.0,Daniel Crissinger,,,,Warren G. Harding,1923-05-01,1927-09-15,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,4.0,Roy Young,,,,Calvin Coolidge,1927-10-04,1930-08-31,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,5.0,Eugene Meyer,,,,Herbert Hoover,1930-09-16,1933-05-10,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,6.0,Eugene Black,,,,Franklin D. Roosevelt,1933-05-19,1934-08-15,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,7.0,Marriner Eccles,,,,Franklin D. Roosevelt,1934-11-15,1948-01-31,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,8.0,Thomas McCabe,,,,Harry S. Truman,1948-04-15,1951-03-31,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,9.0,Bill Martin,,,,Harry S. Truman,1951-04-02,1970-01-31,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,10.0,Arthur Burns,,,,Richard Nixon,1970-02-01,1978-01-31,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,11.0,William Miller,,,,Jimmy Carter,1978-03-08,1979-08-06,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,12.0,Paul Volcker,,,,Jimmy Carter,1979-08-06,1987-08-11,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,13.0,Alan Greenspan,,,,Ronald Reagan,1987-08-11,2006-01-31,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,14.0,Ben Bernanke,,,,George W. Bush,2006-02-01,2014-01-31,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,15.0,Janet Yellen,,,,Barack Obama,2014-02-03,2018-02-03,
2,executive,0,Federal Reserve,Chair of the Federal Reserve,16.0,Jay Powell,,,,Donald Trump,2018-02-05,incumbent,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,1.0,Joseph P. Kennedy Sr.,,Massachusetts,,Franklin D. Roosevelt,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,2.0,James M. Landis,,Massachusetts,,Franklin D. Roosevelt,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,3.0,William O. Douglas,,Connecticut,,Franklin D. Roosevelt,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,4.0,William O. Douglas,,Illinois,,Franklin D. Roosevelt,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,5.0,Jerome Frank,,Iowa,,Franklin D. Roosevelt,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,6.0,Ganson Purcell,,none,,Franklin D. Roosevelt,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,7.0,James J. Caffrey,,none,,Harry S. Truman,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,8.0,Edmond M. Hanrahan,,New York,,Harry S. Truman,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,9.0,Harry A. McDonald,,none,,Harry S. Truman,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,10.0,Donald C. Cook,,Michigan,,Harry S. Truman,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,11.0,Ralph H. Demmler,,Pennsylvania,,Dwight D. Eisenhower,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,12.0,J. Sinclair Armstrong,,New York,,Dwight D. Eisenhower,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,13.0,Edward N. Gadsby,,Massachusetts,,Dwight D. Eisenhower,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,14.0,William L. Cary,,none,,John F. Kennedy,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,15.0,Manuel F. Cohen,,none,,Lyndon B. Johnson,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,16.0,Hamer H. Budge,,Idaho,,Richard Nixon,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,17.0,William J. Casey,,New York,,Richard Nixon,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,18.0,G. Bradford Cook,,Nebraska,,Richard Nixon,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,19.0,Ray Garrett Jr.,,Illinois,,Richard Nixon,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,20.0,Roderick M. Hills,,California,,Gerald Ford,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,21.0,Harold M. Williams,,California,,Jimmy Carter,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,22.0,John S. R. Shad,,,,Ronald Reagan,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,23.0,David Sturtevant Ruder,,Illinois,,Ronald Reagan,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,24.0,Richard C. Breeden,,New York,,George H. W. Bush,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,25.0,Arthur Levitt,,New York,,Bill Clinton,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,26.0,Harvey Pitt,,New York,,George W. Bush,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,27.0,William H. Donaldson,,New York,,George W. Bush,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,28.0,Christopher Cox,,California,,George W. Bush,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,29.0,Mary Schapiro,,New York,,Barack Obama,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,30.0,Elisse B. Walter,,New York,,Barack Obama,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,31.0,Mary Jo White,,New York,,Barack Obama,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,32.0,Jay Clayton,,Jay Clayton,,Donald Trump,,,
2,executive,0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,33.0,Gary Gensler,,Gary Gensler,,Joe Biden,,,
2,executive,0,White House,Chief of Staff,1.0,John Steelman,Democratic,,,Harry S Truman,,,
2,executive,0,White House,Chief of Staff,2.0,Sherman Adams,Republican,,,Dwight D. Eisenhower,,,
2,executive,0,White House,Chief of Staff,3.0,Wilton Persons,Republican,,,Dwight D. Eisenhower,,,
2,executive,0,White House,Chief of Staff,4.0,H. R. Haldeman,Republican,,,Richard Nixon,,,
2,executive,0,White House,Chief of Staff,5.0,Alexander Haig,Republican,,,Richard Nixon,,,
2,executive,0,White House,Chief of Staff,6.0,Donald Rumsfeld,Republican,,,Gerald Ford,,,
2,executive,0,White House,Chief of Staff,7.0,Dick Cheney,Republican,,,Gerald Ford,,,
2,executive,0,White House,Chief of Staff,8.0,Hamilton Jordan,Democratic,,,Jimmy Carter,,,
2,executive,0,White House,Chief of Staff,9.0,Jack Watson,Democratic,,,Jimmy Carter,,,
2,executive,0,White House,Chief of Staff,10.0,James Baker,Republican,,,Ronald Reagan,,,
2,executive,0,White House,Chief of Staff,11.0,Donald Regan,Republican,,,Ronald Reagan,,,
2,executive,0,White House,Chief of Staff,12.0,Howard Baker,Republican,,,Ronald Reagan,,,
2,executive,0,White House,Chief of Staff,13.0,Kenneth Duberstein,Republican,,,Ronald Reagan,,,
2,executive,0,White House,Chief of Staff,14.0,John Sununu,Republican,,,George H. W. Bush,,,
2,executive,0,White House,Chief of Staff,15.0,Samuel Skinner,Republican,,,George H. W. Bush,,,
2,executive,0,White House,Chief of Staff,16.0,James Baker,Republican,,,George H. W. Bush,,,
2,executive,0,White House,Chief of Staff,17.0,Mack McLarty,Democratic,,,Bill Clinton,,,
2,executive,0,White House,Chief of Staff,18.0,Leon Panetta,Democratic,,,Bill Clinton,,,
2,executive,0,White House,Chief of Staff,19.0,Erskine Bowles,Democratic,,,Bill Clinton,,,
2,executive,0,White House,Chief of Staff,20.0,John Podesta,Democratic,,,Bill Clinton,,,
2,executive,0,White House,Chief of Staff,21.0,Andrew Card,Republican,,,George W. Bush,,,
2,executive,0,White House,Chief of Staff,22.0,Joshua Bolten,Republican,,,George W. Bush,,,
2,executive,0,White House,Chief of Staff,23.0,Rahm Emanuel,Democratic,,,Barack Obama,,,
2,executive,0,White House,Chief of Staff,24.0,Bill Daley,Democratic,,,Barack Obama,,,
2,executive,0,White House,Chief of Staff,25.0,Jack Lew,Democratic,,,Barack Obama,,,
2,executive,0,White House,Chief of Staff,26.0,Denis McDonough,Democratic,,,Barack Obama,,,
2,executive,0,White House,Chief of Staff,27.0,Reince Priebus,Republican,,,Donald Trump,,,
2,executive,0,White House,Chief of Staff,28.0,John F. Kelly,Independent,,,Donald Trump,,,
2,executive,0,White House,Chief of Staff,29.0,Mark Meadows,Republican,,,Donald Trump,,,
2,executive,0,White House,Chief of Staff,30.0,Ron Klain,Democratic,,,Joe Biden,,,
2,executive,0,White House,Chief of Staff,31.0,Jeff Zients,Democratic,,,Joe Biden,,,
2,executive,3,Department of State,Secretary of State,1.0,Thomas Jefferson,Democratic-Republican,,,George Washington,,,United States
2,executive,3,Department of State,Secretary of State,2.0,Edmund Randolph,Federalist,,,George Washington,,,United States
2,executive,3,Department of State,Secretary of State,3.0,Timothy Pickering,Federalist,,,George Washington,,,United States
2,executive,3,Department of State,Secretary of State,4.0,John Marshall,Federalist,,,John Adams,,,United States
2,executive,3,Department of State,Secretary of State,5.0,James Madison,Democratic-Republican,,,Thomas Jefferson,,,United States
2,executive,3,Department of State,Secretary of State,6.0,Robert Smith,Democratic-Republican,,,James Madison,,,United States
2,executive,3,Department of State,Secretary of State,7.0,James Monroe,Democratic-Republican,,,James Madison,,,United States
2,executive,3,Department of State,Secretary of State,8.0,John Quincy Adams,Democratic-Republican,,,James Monroe,,,United States
2,executive,3,Department of State,Secretary of State,9.0,Henry Clay,Democratic-Republican,,,John Quincy Adams,,,United States
2,executive,3,Department of State,Secretary of State,10.0,Martin Van Buren,Democratic,,,Andrew Jackson,,,United States
2,executive,3,Department of State,Secretary of State,11.0,Edward Livingston,Democratic,,,Andrew Jackson,,,United States
2,executive,3,Department of State,Secretary of State,12.0,Louis McLane,Democratic,,,Andrew Jackson,,,United States
2,executive,3,Department of State,Secretary of State,13.0,John Forsyth,Democratic,,,Andrew Jackson,,,United States
2,executive,3,Department of State,Secretary of State,14.0,Daniel Webster,Whig,,,William Henry Harrison,,,United States
2,executive,3,Department of State,Secretary of State,15.0,Abel P. Upshur,Whig,,,John Tyler,,,United States
2,executive,3,Department of State,Secretary of State,16.0,John C. Calhoun,Democratic,,,John Tyler,,,United States
2,executive,3,Department of State,Secretary of State,17.0,James Buchanan,Democratic,,,James K. Polk,,,United States
2,executive,3,Department of State,Secretary of State,18.0,John M. Clayton,Whig,,,Zachary Taylor,,,United States
2,executive,3,Department of State,Secretary of State,19.0,Daniel Webster,Whig,,,Millard Fillmore,,,United States
2,executive,3,Department of State,Secretary of State,20.0,Edward Everett,Whig,,,Millard Fillmore,,,United States
2,executive,3,Department of State,Secretary of State,21.0,William L. Marcy,Democratic,,,Franklin Pierce,,,United States
2,executive,3,Department of State,Secretary of State,22.0,Lewis Cass,Democratic,,,James Buchanan,,,United States
2,executive,3,Department of State,Secretary of State,23.0,Jeremiah S. Black,Democratic,,,James Buchanan,,,United States
2,executive,3,Department of State,Secretary of State,24.0,William H. Seward,Republican,,,Abraham Lincoln,,,United States
2,executive,3,Department of State,Secretary of State,25.0,Elihu B. Washburne,Republican,,,Ulysses S. Grant,,,United States
2,executive,3,Department of State,Secretary of State,26.0,Hamilton Fish,Republican,,,Ulysses S. Grant,,,United States
2,executive,3,Department of State,Secretary of State,27.0,William M. Evarts,Republican,,,Rutherford B. Hayes,,,United States
2,executive,3,Department of State,Secretary of State,28.0,James G. Blaine,Republican,,,James A. Garfield,,,United States
2,executive,3,Department of State,Secretary of State,29.0,Frederick Theodore Frelinghuysen,Republican,,,Chester A. Arthur,,,United States
2,executive,3,Department of State,Secretary of State,30.0,Thomas F. Bayard,Democratic,,,Grover Cleveland,,,United States
2,executive,3,Department of State,Secretary of State,31.0,James G. Blaine,Republican,,,Benjamin Harrison,,,United States
2,executive,3,Department of State,Secretary of State,32.0,John W. Foster,Republican,,,Benjamin Harrison,,,United States
2,executive,3,Department of State,Secretary of State,33.0,Walter Q. Gresham,Democratic,,,Grover Cleveland,,,United States
2,executive,3,Department of State,Secretary of State,34.0,Richard Olney,Democratic,,,Grover Cleveland,,,United States
2,executive,3,Department of State,Secretary of State,35.0,John Sherman,Republican,,,William McKinley,,,United States
2,executive,3,Department of State,Secretary of State,36.0,William R. Day,Republican,,,William McKinley,,,United States
2,executive,3,Department of State,Secretary of State,37.0,John Hay,Republican,,,William McKinley,,,United States
2,executive,3,Department of State,Secretary of State,38.0,Elihu Root,Republican,,,Theodore Roosevelt,,,United States
2,executive,3,Department of State,Secretary of State,39.0,Robert Bacon,Republican,,,Theodore Roosevelt,,,United States
2,executive,3,Department of State,Secretary of State,40.0,Philander C. Knox,Republican,,,William Howard Taft,,,United States
2,executive,3,Department of State,Secretary of State,41.0,William Jennings Bryan,Democratic,,,Woodrow Wilson,,,United States
2,executive,3,Department of State,Secretary of State,42.0,Robert Lansing,Democratic,,,Woodrow Wilson,,,United States
2,executive,3,Department of State,Secretary of State,43.0,Bainbridge Colby,Democratic,,,Woodrow Wilson,,,United States
2,executive,3,Department of State,Secretary of State,44.0,Charles Evans Hughes,Republican,,,Warren G. Harding,,,United States
2,executive,3,Department of State,Secretary of State,45.0,Frank B. Kellogg,Republican,,,Calvin Coolidge,,,United States
2,executive,3,Department of State,Secretary of State,46.0,Henry L. Stimson,Republican,,,Herbert Hoover,,,United States
2,executive,3,Department of State,Secretary of State,47.0,Cordell Hull,Democratic,,,Franklin D. Roosevelt,,,United States
2,executive,3,Department of State,Secretary of State,48.0,Edward Stettinius Jr.,Democratic,,,Franklin D. Roosevelt,,,United States
