system,district,institution,city,state
District Court,6,Eastern District of Kentucky,Lexington,Kentucky
District Court,6,Eastern District of Michigan,Detroit,Michigan
District Court,6,Eastern District of Tennessee,Knoxville,Tennessee
District Court,6,Middle District of Tennessee,Nashville,Tennessee
District Court,6,Northern District of Ohio,Cleveland,Ohio
District Court,6,Southern District of Ohio,Columbus,Ohio
District Court,6,Western District of Kentucky,Louisville,Kentucky
District Court,6,Western District of Michigan,Grand Rapids,Michigan
District Court,6,Western District of Tennessee,Memphis,Tennessee
District Court,7,Central District of Illinois,Springfield,Illinois
District Court,7,Eastern District of Wisconsin,Milwaukee,Wisconsin
District Court,7,Northern District of Illinois,Chicago,Illinois
District Court,7,Northern District of Indiana,South Bend,Indiana
District Court,7,Southern District of Illinois,East St. Louis,Illinois
District Court,7,Southern District of Indiana,Indianapolis,Indiana
District Court,7,Western District of Wisconsin,Madison,Wisconsin
District Court,8,District of Minnesota,Minneapolis,Minnesota
District Court,8,District of Nebraska,Omaha,Nebraska
District Court,8,District of North Dakota,Bismarck,North Dakota
District Court,8,District of South Dakota,Sioux Falls,South Dakota
District Court,8,Eastern District of Arkansas,Little Rock,Arkansas
District Court,8,Eastern District of Missouri,St. Louis,Missouri
District Court,8,Northern District of Iowa,Cedar Rapids,Iowa
District Court,8,Southern District of Iowa,Des Moines,Iowa
District Court,8,Western District of Arkansas,Fort Smith,Arkansas
District Court,8,Western District of Missouri,Kansas City,Missouri
District Court,9,Central District of California,Los Angeles,California
District Court,9,District of Alaska,Anchorage,Alaska
District Court,9,District of Arizona,Phoenix,Arizona
District Court,9,District of Guam,Hagåtña,Guam
District Court,9,District of Hawaii,Honolulu,Hawaii
District Court,9,District of Idaho,Boise,Idaho
District Court,9,District of Montana,Missoula,Montana
District Court,9,District of Nevada,Las Vegas,Nevada
District Court,9,District of Oregon,Portland,Oregon
District Court,9,District of the Northern Mariana Islands,Saipan,Northern Mariana Islands
District Court,9,Eastern District of California,Sacramento,California
District Court,9,Eastern District of Washington,Spokane,Washington
District Court,9,Northern District of California,San Francisco,California
District Court,9,Southern District of California,San Diego,California
District Court,9,Western District of Washington,Seattle,Washington
District Court,10,District of Colorado,Denver,Colorado
District Court,10,District of Kansas,Kansas City,Kansas
District Court,10,District of Utah,Salt Lake City,Utah
District Court,10,District of Wyoming,Cheyenne,Wyoming
District Court,10,District of New Mexico,Albuquerque,New Mexico
District Court,10,Eastern District of Oklahoma,Muskogee,Oklahoma
District Court,10,Northern District of Oklahoma,Tulsa,Oklahoma
District Court,10,Western District of Oklahoma,Oklahoma City,Oklahoma
District Court,11,Middle District of Alabama,Montgomery,Alabama
District Court,11,Middle District of Florida,Orlando,Florida
District Court,11,Middle District of Georgia,Macon,Georgia
District Court,11,Northern District of Alabama,Birmingham,Alabama
District Court,11,Northern District of Florida,Tallahassee,Florida
District Court,11,Northern District of Georgia,Atlanta,Georgia
District Court,11,Southern District of Alabama,Mobile,Alabama
District Court,11,Southern District of Florida,Miami,Florida
District Court,11,Southern District of Georgia,Savannah,Georgia
District Court,D.C.,District of Columbia,Washington D.C.,Washington D.C.
Circuit Court,1,First Circuit,Massachusetts,Boston
Circuit Court,2,Second Circuit,New York City,New York
Circuit Court,3,Third Circuit,Philadelphia,Pennsylvania
Circuit Court,4,Fourth Circuit,Richmond,Virginia
Circuit Court,5,Fifth Circuit,New Orleans,Louisiana
Circuit Court,6,Sixth Circuit,Cincinnati,Ohio
Circuit Court,7,Seventh Circuit,Chicago,Illinois
Circuit Court,8,Eighth Circuit,St. Louis,Missouri
Circuit Court,9,Ninth Circuit,San Francisco,California
Circuit Court,10,Tenth Circuit,Denver,Colorado
Circuit Court,11,Evelenth Circuit,Atlanta,Georgia
Circuit Court,D.C.,District of Columbia Circuit,Washington D.C.,Washington D.C.
Circuit Court,Federal,Court of Appeals for Veterans Claims,Washington D.C.,Washington D.C.
Circuit Court,Federal,Court of Federal Claims,Washington D.C.,Washington D.C.
Circuit Court,Federal,Court of International,Washington D.C.,Washington D.C.
