week,year
19,2011
20,2011
21,2011
22,2011
23,2011
24,2011
25,2011
26,2011
27,2011
28,2011
29,2011
30,2011
31,2011
32,2011
33,2011
34,2011
35,2011
36,2011
37,2011
38,2011
39,2011
40,2011
41,2011
42,2011
43,2011
44,2011
45,2011
46,2011
47,2011
48,2011
49,2011
50,2011
51,2011
52,2011
1,2012
2,2012
3,2012
5,2012
6,2012
7,2012
8,2012
9,2012
10,2012
11,2012
12,2012
13,2012
14,2012
15,2012
16,2012
17,2012
18,2012
19,2012
20,2012
21,2012
22,2012
23,2012
24,2012
25,2012
26,2012
27,2012
28,2012
29,2012
30,2012
31,2012
32,2012
33,2012
34,2012
35,2012
36,2012
37,2012
38,2012
39,2012
40,2012
41,2012
42,2012
43,2012
44,2012
45,2012
46,2012
47,2012
48,2012
49,2012
50,2012
51,2012
52,2012
1,2013
2,2013
3,2013
4,2013
5,2013
6,2013
8,2013
9,2013
10,2013
11,2013
12,2013
13,2013
14,2013
15,2013
16,2013
17,2013
18,2013
19,2013
20,2013
21,2013
22,2013
23,2013
24,2013
25,2013
26,2013
27,2013
28,2013
29,2013
30,2013
31,2013
32,2013
33,2013
34,2013
35,2013
36,2013
37,2013
38,2013
39,2013
40,2013
41,2013
42,2013
43,2013
44,2013
45,2013
46,2013
47,2013
48,2013
49,2013
50,2013
51,2013
52,2013
1,2014
2,2014
3,2014
4,2014
5,2014
6,2014
7,2014
8,2014
9,2014
10,2014
11,2014
12,2014
13,2014
14,2014
15,2014
16,2014
17,2014
18,2014
19,2014
20,2014
21,2014
22,2014
23,2014
24,2014
25,2014
26,2014
27,2014
28,2014
29,2014
30,2014
31,2014
32,2014
33,2014
34,2014
35,2014
36,2014
37,2014
38,2014
39,2014
40,2014
41,2014
42,2014
43,2014
44,2014
45,2014
46,2014
47,2014
48,2014
49,2014
50,2014
51,2014
52,2014
2,2015
3,2015
4,2015
5,2015
6,2015
7,2015
9,2015
10,2015
11,2015
12,2015
13,2015
14,2015
15,2015
16,2015
17,2015
18,2015
19,2015
20,2015
21,2015
22,2015
23,2015
24,2015
25,2015
26,2015
27,2015
28,2015
29,2015
30,2015
31,2015
32,2015
33,2015
34,2015
35,2015
36,2015
37,2015
38,2015
39,2015
40,2015
41,2015
42,2015
43,2015
44,2015
45,2015
46,2015
47,2015
48,2015
49,2015
50,2015
51,2015
52,2015
53,2015
1,2016
2,2016
3,2016
4,2016
5,2016
7,2016
8,2016
9,2016
10,2016
11,2016
12,2016
13,2016
14,2016
15,2016
16,2016
17,2016
18,2016
19,2016
20,2016
21,2016
22,2016
23,2016
24,2016
25,2016
26,2016
27,2016
28,2016
29,2016
30,2016
31,2016
32,2016
33,2016
34,2016
35,2016
36,2016
37,2016
38,2016
39,2016
40,2016
41,2016
42,2016
43,2016
44,2016
45,2016
46,2016
47,2016
48,2016
49,2016
50,2016
51,2016
52,2016
1,2017
2,2017
3,2017
4,2017
5,2017
6,2017
7,2017
8,2017
9,2017
10,2017
11,2017
12,2017
13,2017
14,2017
15,2017
16,2017
17,2017
18,2017
19,2017
20,2017
21,2017
22,2017
23,2017
24,2017
25,2017
26,2017
27,2017
28,2017
29,2017
30,2017
31,2017
32,2017
33,2017
34,2017
35,2017
36,2017
37,2017
38,2017
39,2017
40,2017
41,2017
42,2017
43,2017
44,2017
45,2017
46,2017
47,2017
48,2017
49,2017
50,2017
51,2017
52,2017
1,2018
2,2018
3,2018
4,2018
5,2018
6,2018
7,2018
8,2018
9,2018
10,2018
11,2018
12,2018
13,2018
14,2018
15,2018
16,2018
17,2018
18,2018
19,2018
20,2018
21,2018
22,2018
23,2018
24,2018
25,2018
26,2018
27,2018
28,2018
29,2018
30,2018
31,2018
32,2018
33,2018
34,2018
35,2018
36,2018
37,2018
38,2018
39,2018
40,2018
41,2018
42,2018
43,2018
44,2018
45,2018
46,2018
47,2018
48,2018
49,2018
50,2018
51,2018
52,2018
1,2019
2,2019
3,2019
4,2019
5,2019
7,2019
8,2019
9,2019
10,2019
11,2019
12,2019
13,2019
14,2019
15,2019
16,2019
17,2019
18,2019
19,2019
20,2019
21,2019
22,2019
23,2019
24,2019
25,2019
26,2019
27,2019
28,2019
29,2019
30,2019
31,2019
32,2019
33,2019
34,2019
35,2019
36,2019
37,2019
38,2019
39,2019
40,2019
41,2019
42,2019
43,2019
44,2019
45,2019
46,2019
47,2019
48,2019
49,2019
50,2019
51,2019
52,2019
1,2020
2,2020
3,2020
4,2020
5,2020
6,2020
7,2020
8,2020
9,2020
10,2020
11,2020
12,2020
13,2020
14,2020
15,2020
16,2020
17,2020
18,2020
19,2020
20,2020
21,2020
22,2020
23,2020
24,2020
25,2020
26,2020
27,2020
28,2020
29,2020
30,2020
31,2020
32,2020
33,2020
34,2020
35,2020
36,2020
37,2020
38,2020
39,2020
40,2020
41,2020
42,2020
43,2020
44,2020
45,2020
46,2020
47,2020
48,2020
49,2020
50,2020
51,2020
52,2020
53,2020
1,2021
2,2021
3,2021
4,2021
5,2021
6,2021
7,2021
8,2021
9,2021
10,2021
11,2021
12,2021
13,2021
14,2021
15,2021
16,2021
17,2021
18,2021
19,2021
20,2021
21,2021
22,2021
23,2021
24,2021
25,2021
26,2021
27,2021
28,2021
29,2021
30,2021
31,2021
32,2021
33,2021
34,2021
35,2021
36,2021
37,2021
38,2021
39,2021
40,2021
41,2021
42,2021
43,2021
44,2021
45,2021
46,2021
47,2021
48,2021
49,2021
50,2021
51,2021
52,2021
1,2022
2,2022
3,2022
4,2022
6,2022
7,2022
8,2022
9,2022
10,2022
11,2022
12,2022
13,2022
14,2022
15,2022
16,2022
17,2022
18,2022
19,2022
20,2022
21,2022
22,2022
23,2022
24,2022
25,2022
26,2022
27,2022
28,2022
29,2022
30,2022
31,2022
32,2022
33,2022
34,2022
35,2022
36,2022
37,2022
38,2022
39,2022
40,2022
41,2022
42,2022
43,2022
44,2022
45,2022
46,2022
47,2022
48,2022
49,2022
50,2022
51,2022
52,2022
1,2023
2,2023
3,2023
4,2023
5,2023
6,2023
7,2023
8,2023
9,2023
10,2023
11,2023
12,2023
13,2023
14,2023
