id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,senate_class,state_rank,lis_id
B000153,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000153.,Druie,Douglas,Barnard,,1922-03-20,,D,,,,,401155,,,14404,,,,,,,False,,,,12,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ga/cd:10,,,,GA,10,False,1310,,,
B000204,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000204.,Harry,Stephen,Bartlett,,1947-09-19,M,R,,,,,401203,,,15001,,,,,,,False,,,,6,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:tx/cd:3,,,,TX,3,False,4803,,,
B000213,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000213.,Joe,L.,Barton,,1949-09-15,M,R,,RepJoeBarton,RepJoeBarton,repjoebarton,400018,5248,27082,15085,N00005656,/m/03rspq,,https://joebarton.house.gov,,,False,,,,4,,,,2018-03-07 08:14:15 -0500,ocd-division/country:us/state:tx/cd:6,,,,TX,6,False,4806,,,
B000229,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000229.,Herbert,H.,Bateman,,1928-08-07,M,R,,,,,400569,,,15002,,,,,,,False,,,,6,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:va/cd:1,,,,VA,1,False,5101,,,
B000236,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000236.,Jim,,Bates,,1941-07-21,,D,,,,,401231,,,15003,,,,,,,False,,,,6,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ca/cd:44,,,,CA,44,False,0644,,,
B000318,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000318.,Anthony,C.,Beilenson,,1932-10-26,M,D,,,,,401310,,,14405,,,,,,,False,,,,12,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:ca/cd:23,,,,CA,23,False,0623,,,
B000371,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000371.,Charles,Edward,Bennett,,1910-12-02,M,D,,,,,401363,,,633,,,,,,,False,,,,40,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:fl/cd:3,,,,FL,3,False,1203,,,
B000392,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000392.,Helen,Delich,Bentley,,1923-11-28,F,R,,,,,401383,,,15203,,,,,,,False,,,,4,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:md/cd:2,,,,MD,2,False,2402,,,
B000403,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000403.,Douglas,K.,Bereuter,,1939-10-06,M,R,,,,,400023,,,14605,,,,,,,False,,,,10,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:ne/cd:1,,,,NE,1,False,3101,,,
B000410,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000410.,Howard,L.,Berman,,1941-04-15,M,D,,RepHowardBerman,,RepHowardBerman,400025,1592,,15004,,,,,,,False,,,,6,,,,2016-05-03 15:22:14 -0400,ocd-division/country:us/state:ca/cd:26,,,,CA,26,False,0626,,,
B000431,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000431.,Tom,,Bevill,,1921-03-27,M,D,,,,,401417,,,11000,,,,,,,False,,,,22,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:al/cd:4,,,,AL,4,False,0104,,,
B000432,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000432.,Mario,,Biaggi,,1917-10-26,,D,,,,,401418,,,12003,,,,,,,False,,,,20,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ny/cd:19,,,,NY,19,False,3619,,,
B000462,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000462.,James,H.,Bilbray,,1938-05-19,M,D,,,,,401446,,,15402,,,,,,,False,,,,2,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:nv/cd:1,,,,NV,1,False,3201,,,
B000463,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000463.,Michael,,Bilirakis,,1930-07-16,M,R,,,,,400028,,,15005,,,,,,,False,,,,6,,,,2013-04-12 20:12:02 -0400,ocd-division/country:us/state:fl/cd:9,,,,FL,9,False,1209,,,
B000551,Delegate,Del.,https://api.propublica.org/congress/v1/members/B000551.,Ben,Garrido,Blaz,,1928-02-14,,R,,,,,401526,,,15261,,,,,,,False,,,,4,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:gu/cd:79,,,,GU,At-Large,True,6698,,,
B000556,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000556.,Tom,,Bliley,,1932-01-28,M,R,,,,,400571,,,14802,,,,,,,False,,,,8,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:va/cd:3,,,,VA,3,False,5103,,,
B000586,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000586.,Sherwood,L.,Boehlert,,1936-09-28,M,R,,,,,400035,,,15006,,,,,,,False,,,,6,,,,2013-04-12 20:12:02 -0400,ocd-division/country:us/state:ny/cd:25,,,,NY,25,False,3625,,,
B000592,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000592.,Corinne,Claiborne,Boggs,,1916-03-13,F,D,,,,,401560,,,14067,,,,,,,False,,,,16,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:la/cd:2,,,,LA,2,False,2202,,,
B000600,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000600.,Edward,Patrick,Boland,,1911-10-01,M,D,,,,,401568,,,830,,,,,,,False,,,,36,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ma/cd:2,,,,MA,2,False,2502,,,
B000615,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000615.,William,Hill,Boner,,1945-02-14,M,D,,,,,401582,,,14607,,,,,,,False,,,,10,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:tn/cd:5,,,,TN,5,False,4705,,,
B000619,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000619.,David,E.,Bonior,,1945-06-06,M,D,,,,,400527,,,14407,,,,,,,False,,,,12,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:mi/cd:12,,,,MI,12,False,2612,,,
B000620,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000620.,Don,Leroy,Bonker,,1937-03-07,,D,,,,,401585,,,14208,,,,,,,False,,,,14,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:wa/cd:3,,,,WA,3,False,5303,,,
B000644,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000644.,Robert,A.,Borski,,1948-10-20,M,D,,,,,400542,,,15007,,,,,,,False,,,,6,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:pa/cd:3,,,,PA,3,False,4203,,,
B000648,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000648.,Douglas,Harry,Bosco,,1946-07-28,,D,,,,,401612,,,15008,,,,,,,False,,,,6,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ca/cd:1,,,,CA,1,False,0601,,,
B000657,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000657.,Rick,,Boucher,,1946-08-01,M,D,,,,,400043,6736,,15009,,/m/01_k5m,,,,,False,,,,6,,,,2016-06-14 16:26:01 -0400,ocd-division/country:us/state:va/cd:9,,,,VA,9,False,5109,,,
B000666,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000666.,Eldon,Beau,Boulter,,1942-02-23,,R,,,,,401628,,,15204,,,,,,,False,,,,4,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:tx/cd:13,,,,TX,13,False,4813,,,
B000711,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000711.,Barbara,,Boxer,,1940-11-11,F,D,,SenatorBoxer,senatorboxer,SenatorBoxer,300011,2470,,15011,,/m/01c1n5,,https://www.boxer.senate.gov,https://www.boxer.senate.gov/rss/?p=release,,False,,,,6,,,,2016-06-30 13:52:07 -0400,ocd-division/country:us/state:ca/cd:6,,,,CA,6,False,0606,,,
B000798,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000798.,Joseph,Edward,Brennan,,1934-11-02,M,D,,,,,401755,,,15403,,,,,,,False,,,,2,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:me/cd:1,,,,ME,1,False,2301,,,
B000880,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000880.,Jack,B.,Brooks,,1922-12-18,M,D,,,,,401837,,,1077,,,,,,,False,,,,36,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:tx/cd:9,,,,TX,9,False,4809,,,
B000890,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000890.,William,S.,Broomfield,,1922-04-28,M,R,,,,,401847,,,1087,,,,,,,False,,,,32,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:mi/cd:18,,,,MI,18,False,2618,,,
B000919,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000919.,Hank,,Brown,,1940-02-12,M,R,,,,,401874,,,14803,,,,,,,False,,,,8,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:co/cd:4,,,,CO,4,False,0804,,,
B000918,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000918.,George,E.,Brown,,1920-03-06,M,D,,,,,400572,,,10573,,,,,,,False,,,,24,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:ca/cd:36,,,,CA,36,False,0636,,,
B000971,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000971.,Terry,Lee,Bruce,,1944-03-25,,D,,,,,401923,,,15205,,,,,,,False,,,,4,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:il/cd:19,,,,IL,19,False,1719,,,
B000997,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000997.,John,W.,Bryant,,1947-02-22,M,D,,,,,401947,,,15012,,,,,,,False,,,,6,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:tx/cd:5,,,,TX,5,False,4805,,,
B001036,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001036.,John,William,Buechner,,1940-06-04,M,R,,,,,401986,,,15404,,,,,,,False,,,,2,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:mo/cd:2,,,,MO,2,False,2902,,,
B001066,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001066.,Jim,,Bunning,,1931-10-23,M,R,,,,SenJimBunning,300014,1457,,15405,,/m/0lbm2,,,,,False,,,,2,,,,2016-06-14 16:26:03 -0400,ocd-division/country:us/state:ky/cd:4,,,,KY,4,False,2104,,,
B001149,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001149.,Dan,,Burton,,1938-06-21,M,R,,RepDanBurton,,CongressmanDanBurton,400055,,,15013,,/m/022r4p,,,,,False,,,,6,,,,2016-06-14 16:26:04 -0400,ocd-division/country:us/state:in/cd:6,,,,IN,6,False,1806,,,
B001158,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001158.,Sala,Galante,Burton,,1925-04-01,F,D,,,,,402100,,,15079,,,,,,,False,,,,6,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ca/cd:5,,,,CA,5,False,0605,,,
B001172,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001172.,Albert,Garza,Bustamante,,1935-04-08,M,D,,,,,402114,,,15206,,,,,,,False,,,,4,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:tx/cd:23,,,,TX,23,False,4823,,,
B001220,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001220.,Beverly,Barton Butcher,Byron,,1932-07-27,F,D,,,,,402159,,,14608,,,,,,,False,,,,10,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:md/cd:6,,,,MD,6,False,2406,,,
C000052,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000052.,Sonny,,Callahan,,1932-09-11,,R,,,,,400500,,,15207,,,,,,,False,,,,4,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:al/cd:1,,,,AL,1,False,0101,,,
C000077,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000077.,Ben,Nighthorse,Campbell,,1933-04-13,M,D,,,,,300017,,,15406,,,,,,,False,,,,2,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:co/cd:3,,,,CO,3,False,0803,,,
C000141,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000141.,Benjamin,L.,Cardin,,1943-10-05,M,D,,SenatorCardin,senatorbencardin,senatorcardin,400064,4004,26888,15408,N00001955,/m/025k3k,,https://www.cardin.senate.gov,,,False,,,,2,,,,2019-01-06 15:21:06 -0500,ocd-division/country:us/state:md/cd:3,,,,MD,3,False,2403,,,
C000174,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000174.,Thomas,R.,Carper,,1947-01-23,M,D,,SenatorCarper,tomcarper,senatorcarper,300019,663,22421,15015,N00012508,/m/01xw7t,,https://www.carper.senate.gov,https://www.carper.senate.gov/public/?a=RSS.Feed,,False,,,,6,,,,2023-01-03 08:06:28 -0500,ocd-division/country:us/state:de/cd:1,,,,DE,At-Large,True,1000,,,
C000178,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000178.,Bob,,Carr,,1943-03-27,M,D,,,,,402325,,,14210,,,,,,,False,,,,12,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:mi/cd:6,,,,MI,6,False,2606,,,
C000293,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000293.,Rodney,Dennis,Chandler,,1942-07-13,,R,,,,,402435,,,15015,,,,,,,False,,,,6,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:wa/cd:8,,,,WA,8,False,5308,,,
C000312,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000312.,Jim,,Chapman,,1945-03-08,M,D,,,,,402454,,,15242,,,,,,,False,,,,4,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:tx/cd:1,,,,TX,1,False,4801,,,
C000321,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000321.,William,Venroe,Chappell,,1922-02-03,M,D,,,,,402463,,,12007,,,,,,,False,,,,20,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:fl/cd:4,,,,FL,4,False,1204,,,
C000344,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000344.,Richard,Bruce,Cheney,,1941-01-30,M,R,,,,,402484,,,14611,,,,,,,False,,,,10,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:wy/cd:1,,,,WY,At-Large,True,5600,,,
C000462,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000462.,James,McClure,Clarke,,1917-06-12,M,D,,,,,402600,,,15016,,,,,,,False,,,,4,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:nc/cd:11,,,,NC,11,False,3711,,,
C000488,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000488.,William,,Clay,,1931-04-30,M,D,,,,,402626,,,12009,,,,,,,False,,,,20,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:mo/cd:1,,,,MO,1,False,2901,,,
C000503,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000503.,Bob,,Clement,,1943-09-23,M,D,,,,,400548,,,15449,,,,,,,False,,,,2,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:tn/cd:5,,,,TN,5,False,4705,,,
C000523,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000523.,William,F.,Clinger,Jr.,1929-04-04,M,R,,,,,402657,,,14612,,,,,,,False,,,,10,,,,2017-11-29 06:35:52 -0500,ocd-division/country:us/state:pa/cd:23,,,,PA,23,False,4223,,,
C000542,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000542.,Daniel,,Coats,,1943-05-16,M,R,,SenDanCoats,180671148633644,SenatorCoats,402675,6080,,14806,,/m/0jl26,,http://www.coats.senate.gov,,,False,,,,8,,,,2016-05-03 15:22:15 -0400,ocd-division/country:us/state:in/cd:4,,,,IN,4,False,1804,,,
C000556,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000556.,Howard,,Coble,,1931-03-18,M,R,,HowardCoble,HowardCoble6,,400076,6961,,15092,,/m/0263k5,,http://coble.house.gov,,,False,,,,4,,,,2016-06-14 16:27:36 -0400,ocd-division/country:us/state:nc/cd:6,,,,NC,6,False,3706,,,
C000581,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000581.,Anthony,Lee,Coelho,,1942-06-15,M,D,,,,,402710,,,14613,,,,,,,False,,,,10,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ca/cd:15,,,,CA,15,False,0615,,,
C000618,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000618.,Earl,Thomas,Coleman,,1943-05-29,M,R,,,,,402747,,,14410,,,,,,,False,,,,12,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:mo/cd:6,,,,MO,6,False,2906,,,
C000621,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000621.,Ronald,D.,Coleman,,1941-11-29,M,D,,,,,402750,,,15017,,,,,,,False,,,,6,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:tx/cd:16,,,,TX,16,False,4816,,,
C000634,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000634.,Cardiss,,Collins,,1931-09-24,F,D,,,,,402763,1965,,14068,,,,,,,False,,,,16,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:il/cd:7,,,,IL,7,False,1707,,,
C000653,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000653.,Larry,,Combest,,1945-03-20,M,R,,,,,400079,,,15210,,,,,,,False,,,,4,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:tx/cd:19,,,,TX,19,False,4819,,,
C000709,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000709.,Silvio,Ottavio,Conte,,1921-11-09,,R,,,,,402833,,,2009,,,,,,,False,,,,30,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ma/cd:1,,,,MA,1,False,2501,,,
C000714,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000714.,John,,Conyers,Jr.,1929-05-16,M,D,,RepJohnConyers,CongressmanConyers,JCMI14,400080,1824,26904,10713,N00004029,/m/02hy5d,,https://conyers.house.gov/,,,False,,,,24,,,,2017-11-29 06:35:52 -0500,ocd-division/country:us/state:mi/cd:1,,,,MI,1,False,2601,,,
C000754,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000754.,Jim,,Cooper,,1954-06-19,M,D,,RepJimCooper,JimCooper,RepJimCooper,400081,1201,48891,15019,N00003132,/m/03tm2p,,https://cooper.house.gov,https://cooper.house.gov/rss.xml,,False,,,,6,,,,2021-03-02 02:35:29 -0500,ocd-division/country:us/state:tn/cd:4,,,,TN,4,False,4704,,,
C000794,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000794.,Jerry,F.,Costello,,1949-09-25,M,D,,jerrycostello,,,400082,6352,,15452,,,,,,,False,,,,2,,,,2016-05-03 15:22:15 -0400,ocd-division/country:us/state:il/cd:21,,,,IL,21,False,1721,,,
C000807,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000807.,Robert,Lawrence,Coughlin,,1929-04-11,M,R,,,,,402926,,,12010,,,,,,,False,,,,20,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:pa/cd:13,,,,PA,13,False,4213,,,
C000809,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000809.,James,Andrew,Courter,,1941-10-14,M,R,,,,,402928,,,14614,,,,,,,False,,,,10,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:nj/cd:12,,,,NJ,12,False,3412,,,
C000846,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000846.,William,J.,Coyne,,1936-08-24,M,D,,,,,400543,,,14808,,,,,,,False,,,,8,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:pa/cd:14,,,,PA,14,False,4214,,,
C000858,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000858.,Larry,E.,Craig,,1945-07-20,M,R,,,,,300029,,,14809,,,,,,,False,,,,8,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:id/cd:1,,,,ID,1,False,1601,,,
C000873,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000873.,Philip,M.,Crane,,1930-11-03,M,R,,,,,400085,,,12041,,,,,,,False,,,,20,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:il/cd:12,,,,IL,12,False,1712,,,
C000919,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000919.,George,William,Crockett,,1909-08-10,M,D,,,,,403031,,,14681,,,,,,,False,,,,10,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:mi/cd:13,,,,MI,13,False,2613,,,
D000038,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000038.,Wilbur,Clarence,Daniel,,1914-05-12,M,D,,,,,403178,,,12011,,,,,,,False,,,,20,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:va/cd:5,,,,VA,5,False,5105,,,
D000044,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000044.,William,Edwin,Dannemeyer,,1929-09-22,M,R,,,,,403184,,,14616,,,,,,,False,,,,10,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ca/cd:39,,,,CA,39,False,0639,,,
D000051,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000051.,George,,Darden,,1943-11-22,M,D,,,,,403190,,,15084,,,,,,,False,,,,6,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:ga/cd:7,,,,GA,7,False,1307,,,
D000065,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000065.,Harold,"John, Jr.,",Daub,,1941-04-23,M,R,,,,,403203,,,14810,,,,,,,False,,,,8,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ne/cd:2,,,,NE,2,False,3102,,,
D000131,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000131.,Robert,William,Davis,,1932-07-31,M,R,,,,,403266,,,14618,,,,,,,False,,,,10,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:mi/cd:11,,,,MI,11,False,2611,,,
D000106,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000106.,Jack,,Davis,,1935-09-06,,R,,,,,403242,,,15408,,,,,,,False,,,,2,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:il/cd:4,,,,IL,4,False,1704,,,
