number,name,full_name,age,party,state,birth_state,education,religion,religion_branch,number_of_terms,died_in_office,former_vice,former_governor,former_senator,former_speaker,former_house,former_secretary,age_at_start_of_presidency,age_at_end_of_presidency
16,Abraham Lincoln,Abraham Lincoln,56,Republican,Illinois,Kentucky,none,none,none,two_partial_terms,assassinated,none,none,none,none,Illinois,none,52,56
17,Andrew Johnson,Andrew Johnson,66,Democratic,Tennessee,North Carolina,none,Christian,Protestant,one_partial_term,none,Abraham Lincoln,Tennessee,Tennessee,none,Tennessee,none,56,60
18,Ulysses S. Grant,Hiram Ulysses Grant,63,Republican,Illinois,Ohio,bachelor,Christian,Protestant,two_full_terms,none,none,none,none,none,none,none,46,54
19,Rutherford B. Hayes,Rutherford Birchard Hayes,70,Republican,Ohio,Ohio,law,Christian,Protestant,one_full_term,none,none,Ohio,none,none,Ohio,none,54,58
20,James A. Garfield,James Abram Garfield,49,Republican,Ohio,Ohio,bachelor,Christian,Protestant,one_partial_term,assassinated,none,none,none,none,Ohio,none,49,49
21,Chester A. Arthur,Chester Alan Arthur,57,Republican,New York,Vermont,bachelor,Christian,Protestant,one_partial_term,none,James A. Garfield,none,none,none,none,none,51,55
22,Grover Cleveland,Stephen Grover Cleveland,71,Democratic,New York,New Jersey,none,Christian,Protestant,two_full_terms,none,none,New York,none,none,none,none,47,51
23,Benjamin Harrison,Benjamin Harrison,67,Republican,Indiana,Ohio,bachelor,Christian,Protestant,one_full_term,none,none,none,Indiana,none,none,none,55,59
24,Grover Cleveland,Stephen Grover Cleveland,71,Democratic,New York,New Jersey,none,Christian,Protestant,two_full_terms,none,none,New York,none,none,none,none,55,59
25,William McKinley,William McKinley,58,Republican,Ohio,Ohio,none,Christian,Protestant,two_partial_terms,assassinated,none,Ohio,none,none,Ohio,none,54,58
26,Theodore Roosevelt,Theodore Roosevelt Jr.,60,Republican,New York,New York,bachelor,Christian,Protestant,two_partial_terms,none,William McKinley,New York,none,none,none,none,42,50
27,William Howard Taft,William Howard Taft,72,Republican,Ohio,Ohio,law,Christian,Nontrinitarian,one_full_term,none,none,none,none,none,none,War,51,55
28,Woodrow Wilson,Thomas Woodrow Wilson,67,Democratic,New Jersey,Virginia,doctorate,Christian,Protestant,two_full_terms,none,none,New Jersey,none,none,none,none,56,64
29,Warren G. Harding,Warren Gamaliel Harding,57,Republican,Ohio,Ohio,bachelor,Christian,Protestant,one_partial_term,natural_causes,none,none,Ohio,none,none,none,55,57
30,Calvin Coolidge,John Calvin Coolidge Jr.,60,Republican,Massachusetts,Vermont,bachelor,Christian,Protestant,two_partial_terms,none,Warren G. Harding,Massachusetts,none,none,none,none,51,56
31,Herbert Hoover,Herbert Clark Hoover,90,Republican,California,Iowa,bachelor,Christian,Protestant,one_full_term,none,none,none,none,none,none,Commerce,54,58
32,Franklin D. Roosevelt,Franklin Delano Roosevelt,63,Democratic,New York,New York,bachelor,Christian,Protestant,three_full_terms,natural_causes,none,New York,none,none,none,none,51,63
33,Harry S. Truman,Harry S. Truman,88,Democratic,Missouri,Missouri,none,Christian,Protestant,two_partial_terms,none,Franklin D. Roosevelt,none,Missouri,none,none,none,60,68
34,Dwight D. Eisenhower,"Dwight David ""Ike"" Eisenhower",78,Republican,Kansas,Texas,bachelor,Christian,Protestant,two_full_terms,none,none,none,none,none,none,none,62,70
35,John F. Kennedy,John Fitzgerald Kennedy,46,Democratic,Massachusetts,Massachusetts,bachelor,Christian,Catholic,one_partial_term,assassinated,none,none,Massachusetts,none,none,none,43,46
36,Lyndon B. Johnson,Lyndon Baines Johnson,64,Democratic,Texas,Texas,bachelor,Christian,Protestant,two_partial_terms,none,John F. Kennedy,none,Texas,none,Texas,none,55,60
37,Richard Nixon,Richard Milhous Nixon,81,Republican,California,California,law,Christian,Protestant,two_partial_terms,none,Dwight D. Eisenhower,none,California,none,California,none,56,61
38,Gerald Ford,Gerald Rudolph Ford Jr.,93,Republican,Michigan,Nebraska,law,Christian,Protestant,one_partial_term,none,Richard Nixon,none,none,none,Michigan,none,61,63
39,Jimmy Carter,James Earl Carter Jr.,living,Democratic,Georgia,Georgia,bachelor,Christian,Protestant,one_full_term,none,none,Georgia,none,none,none,none,52,56
40,Ronald Reagan,Ronald Wilson Reagan,93,Republican,California,Illinois,bachelor,Christian,Protestant,two_full_terms,none,none,California,none,none,none,none,69,77
41,George H. W. Bush,George Herbert Walker Bush,94,Republican,Texas,Massachusetts,bachelor,Christian,Protestant,one_full_term,none,Ronald Reagan,none,none,none,Texas,none,64,68
42,Bill Clinton,William Jefferson Clinton,living,Democratic,Arkansas,Arkansas,law,Christian,Protestant,two_full_terms,none,none,Arkansas,none,none,none,none,46,54
43,George W. Bush,George Walker Bush,living,Republican,Texas,Connecticut,master,Christian,Protestant,two_full_terms,none,none,Texas,none,none,none,none,54,62
44,Barack Obama,Barack Hussein Obama II,living,Democratic,Illinois,Hawaii,law,Christian,Protestant,two_full_terms,none,none,none,Illinois,none,none,none,47,55
45,Donald Trump,Donald John Trump,living,Republican,New York,New York,bachelor,Christian,Protestant,one_full_term,none,none,none,none,none,none,none,70,74
46,Joe Biden,Joseph Robinette Biden Jr.,living,Democratic,Delaware,Pennsylvania,law,Christian,Catholic,serving,none,Barack Obama,none,Delaware,none,none,none,78,incumbent
