english,galician
vowel,vocal
wait,esperar
walk,andar
wall,parede
want,quere
war,guerra
warm,quente
was,foi
wash,lavado
watch,asista
water,auga
wave,onda
way,forma
we,nós
wear,desgaste
weather,tempo
week,semana
weight,peso
well,ben
went,fun
were,foron
west,oeste
what,o que
wheel,roda
when,cando
where,onde
whether,se
which,que
while,mentres
white,branco
who,que
whole,todo
whose,cuxa
why,por que
wide,ampla
wife,esposa
wild,salvaxe
will,vontade
win,vitoria
wind,vento
window,fiestra
wing,asa
winter,inverno
wire,fíos
wish,desexo
with,con
woman,muller
women,mulleres
wonder,pregunto
won’t,non vai
wood,madeira
word,palabra
work,traballo
world,mundo
would,faría
write,escribir
written,escrito
wrong,mal
wrote,escribiu
yard,curro
year,ano
yellow,amarelo
yes,si
yet,aínda
you,ti
young,nova
your,seu
