english,turkish
decide,karar vermek
decimal,ondalık
deep,derin
degree,derecesi
depend,bağlı
describe,tanımlamak
desert,çöl
design,dizayn
determine,belirlemek
develop,geliştirmek
dictionary,sözlük
did,yaptım
die,ölmek
differ,farklı
difficult,zor
direct,doğrudan
discuss,tartışmak
distant,uzak
divide,bölmek
division,bölünme
do,do
doctor,doktor
does,yok
dog,köpek
dollar,dolar
done,bitti
don’t,yapamaz
door,kapı
double,çift
down,aşağı
draw,çizmek
dream,rüya
dress,elbise
drink,içki
drive,sürücü
drop,bırakın
dry,kuru
duck,ördek
during,sırasında
each,her
ear,kulak
early,erken
earth,toprak
ease,kolaylığı
east,doğu
eat,yemek
edge,kenar
effect,etkisi
egg,yumurta
eight,sekiz
either,ya da
electric,elektrik
element,eleman
else,başka
end,son
enemy,düşman
energy,enerji
engine,motor
enough,yeterli
enter,girin
equal,eşit
equate,eşit
especially,özellikle
even,hatta
evening,akşam
event,olay
ever,hiç
every,her
exact,tam
example,örnek
except,hariç
excite,heyecanlandırmak
exercise,egzersiz
expect,bekliyoruz
experience,deneyim
experiment,deneme
eye,göz
face,yüz
fact,gerçek
fair,adil
fall,düşmek
family,aile
famous,ünlü
far,kadar
farm,çiftlik
fast,hızlı
fat,şişman
father,baba
favor,iyilik
fear,korku
feed,beslemek
feel,hissetmek
feet,ayaklar
fell,düştü
felt,keçe
few,az
field,alan
fig,incir
fight,kavga
figure,rakam
fill,doldurun
final,nihai
find,bulmak
fine,ince
finger,parmak
finish,bitirmek
fire,yangın
first,ilk
fish,balık
fit,uygun
five,beş
flat,düz
floor,zemin
flow,akış
flower,çiçek
fly,uçmak
follow,izleyin
food,gıda
foot,ayak
for,için
force,kuvvet
forest,orman
form,formu
forward,ileri
found,bulundu
four,dört
fraction,kesir
free,ücretsiz
fresh,taze
friend,arkadaşı
from,dan
front,ön
fruit,meyve
full,tam
fun,eğlenceli
game,oyunu
garden,bahçe
gas,gaz
gather,toplamak
gave,verdi
general,genel
gentle,nazik
get,olsun
girl,kız
give,vermek
glad,memnun
glass,cam
go,gitmek
gold,altın
gone,gitti
good,iyi
got,var
govern,idare
grand,büyük
grass,çim
gray,gri
great,büyük
green,yeşil
grew,büyüdü
ground,zemin
group,grup
grow,büyümek
guess,sanırım
guide,kılavuz
gun,gun
had,vardı
hair,saç
half,yarım
hand,el
happen,olur
happy,mutlu
hard,sert
has,var
hat,şapka
have,var
he,diye
head,kafa
hear,duymak
heard,duydum
heart,kalp
heat,ısı
heavy,ağır
held,tutulan
help,yardım
her,onu
here,burada
high,yüksek
hill,tepe
him,onu
his,onun
history,geçmişi
hit,vurmak
hold,tutun
hole,delik
home,ev
hope,umut
horse,at
hot,sıcak
hour,saat
house,ev
how,nasıl
huge,büyük
human,insan
hundred,yüz
hunt,avı
hurry,acele
i,ben
ice,buz
idea,fikir
if,eğer
imagine,hayal
in,içinde
inch,inch
include,dahil
indicate,göstermektedir
industry,sanayi
insect,böcek
instant,anlık
instrument,enstrüman
interest,faiz
invent,icat
iron,demir
is,olduğunu
island,ada
it,o
job,iş
join,katılmak
joy,sevinç
jump,atlama
just,sadece
keep,tutmak
kept,tuttu
key,anahtar
kill,öldürmek
kind,tür
king,kral
knew,biliyordu
know,bilmek
lady,bayan
lake,göl
land,arazi
language,dil
large,büyük
last,son
late,geç
laugh,gülmek
law,hukuk
lay,koymak
lead,kurşun
learn,öğrenmek
least,en az
leave,bırakın
led,açtı
left,sol
leg,bacak
length,uzunluk
less,daha az
let,let
letter,mektup
level,seviyesi
lie,yalan
life,hayat
lift,asansör
light,ışık
like,gibi
line,hat
liquid,sıvı
list,listesi
listen,dinle
little,küçük
live,canlı
locate,yerleştirmek
log,log
lone,yalnız
long,uzun
look,bak
lost,kaybetti
lot,çok
loud,yüksek sesle
love,aşk
low,düşük
machine,makine
made,yapılan
magnet,mıknatıs
main,ana
major,büyük
make,yapmak
man,adam
many,birçok
map,harita
mark,işareti
market,pazar
mass,kitle
master,usta
match,maç
material,materyal
matter,madde
may,may
me,bana
mean,yani
meant,demek
measure,ölçmek
meat,et
meet,karşılamak
melody,melodi
men,erkekler
metal,metal
method,yöntem
middle,orta
might,olabilir
mile,kilometre
milk,süt
million,milyon
mind,zihin
mine,mayın
minute,dakika
miss,özledim
mix,karıştırmak
modern,çağdaş
molecule,molekülü
moment,an
money,para
month,ay
moon,ay
more,daha fazla
morning,sabah
most,en
mother,anne
motion,hareket
mount,dağ
mountain,dağ
mouth,ağız
move,hareket
much,çok
multiply,çarpmak
music,müzik
must,gerekir
my,benim
name,adı
nation,ulus
natural,doğal
nature,doğa
near,yakın
necessary,gerekli
neck,boyun
need,gerek
neighbor,komşu
never,asla
new,yeni
next,sonraki
night,gece
nine,dokuz
no,hayır
noise,gürültü
noon,öğlen
nor,ne
north,kuzey
nose,burun
note,notu
nothing,hiçbir şey
notice,haber
noun,i
now,şimdi
number,numarası
numeral,rakam
object,nesne
observe,gözlemlemek
occur,meydana
ocean,okyanus
of,arasında
off,kapalı
offer,teklif
office,ofis
often,sık sık
oh,oh
oil,yağ
old,eski
on,üzerinde
once,bir kez
one,bir
only,sadece
open,açık
operate,işletmek
opposite,karşısında
or,veya
order,sipariş
organ,organ
original,orijinal
other,diğer
our,bizim
out,üzerinden
over,üzerinde
own,kendi
oxygen,oksijen
page,sayfa
paint,boya
pair,çifti
paper,kâğıt
paragraph,paragraf
parent,ebeveyn
part,bölüm
particular,özellikle
party,parti
pass,geçmek
past,geçmiş
path,yol
pattern,desen
pay,ödeme
people,insanlar
perhaps,belki
period,dönemi
person,kişi
phrase,ifade
pick,seçmek
picture,resim
piece,parça
pitch,zift
place,yer
plain,düz
plan,planı
plane,düzlem
planet,gezegen
plant,bitki
play,oynamak
please,lütfen
plural,çoğul
poem,şiir
point,nokta
poor,kötü
populate,doldurmak
port,liman
pose,poz
position,pozisyon
possible,mümkün
post,sonrası
pound,kiloluk
power,güç
practice,uygulama
prepare,hazırlamak
present,mevcut
press,basın
pretty,güzel
print,baskı
probable,muhtemel
problem,sorun
process,süreç
produce,üretmek
product,ürün
proper,uygun
property,mülkiyet
protect,korumak
prove,kanıtlamak
provide,sağlamak
pull,çek
push,it
put,koymak
quart,kuart
question,soru
quick,hızlı
quiet,sessiz
quite,oldukça
quotient,bölüm
race,yarış
radio,radyo
rail,demiryolu
rain,yağmur
raise,yükseltmek
ran,koştu
range,aralığı
rather,yerine
reach,ulaşmak
read,okumak
ready,hazır
real,gerçek
reason,neden
receive,almak
record,kayıt
red,kırmızı
region,bölge
remember,hatırlıyorum
repeat,tekrar
reply,cevap
represent,temsil
require,gerektirir
rest,gerisi
result,sonuç
rich,zengin
ride,binmek
right,sağ
ring,halka
rise,yükselecek
river,nehir
road,yol
rock,kaya
roll,rulo
room,oda
root,kök
rope,halat
rose,gül
round,yuvarlak
row,satır
rub,ovmak
rule,kural
run,run
safe,güvenli
said,dedi
sail,yelken
salt,tuz
same,aynı
sand,kum
sat,cts
save,kaydetmek
saw,testere
say,demek
scale,ölçek
school,okul
science,bilim
score,puan
sea,deniz
search,arama
season,sezon
seat,koltuk
second,ikinci
section,bölüm
see,görmek
seed,tohum
seem,görünmek
segment,segmenti
select,seçin
self,öz
sell,satmak
send,göndermek
sense,sense
sent,gönderildi
sentence,cümle
separate,ayrı
serve,hizmet
set,set
settle,yerleşmek
seven,yedi
several,birkaç
shall,shall
shape,şekil
share,payı
sharp,keskin
she,diye
sheet,levha
shell,kabuk
shine,parlaklık
ship,gemi
shoe,ayakkabı
shop,dükkan
shore,kıyı
short,kısa
should,gerekir
shoulder,omuz
shout,bağırmak
show,gösterisi
side,yan
sight,görüş
sign,işareti
silent,sessiz
silver,gümüş
similar,benzer
simple,basit
since,beri
sing,şarkı söylemek
single,tek
sister,kardeş
sit,oturmak
six,altı
size,boyut
skill,beceri
skin,cilt
sky,gökyüzü
slave,köle
sleep,uyku
slip,kayma
slow,yavaş
small,küçük
smell,koku
smile,gülümseme
snow,kar
so,bu yüzden
soft,yumuşak
soil,toprak
soldier,asker
solution,çözüm
solve,çözmek
some,bazı
son,oğlu
song,şarkı
soon,yakında
sound,ses
south,güney
space,uzay
speak,konuşmak
special,özel
speech,konuşma
speed,hız
spell,büyü
spend,harcamak
spoke,konuştu
spot,nokta
spread,yaymak
spring,bahar
square,kare
stand,standı
star,yıldız
start,başlangıç
state,devlet
station,istasyon
stay,kalmak
stead,başkasının yeri
steam,buhar
steel,çelik
step,adım
stick,sopa
still,hala
stone,taş
stood,durdu
stop,dur
store,mağaza
story,hikaye
straight,düz
strange,garip
stream,akışı
street,sokak
stretch,streç
string,dize
strong,güçlü
student,öğrenci
study,çalışma
subject,konu
substance,madde
subtract,çıkarmak
success,başarı
such,böyle
sudden,ani
suffix,sonek
sugar,şeker
suggest,önermek
suit,takım elbise
summer,yaz
sun,güneş
supply,besleme
support,destek
sure,emin
surface,yüzey
surprise,sürpriz
swim,yüzmek
syllable,hece
symbol,sembol
system,sistem
table,tablo
tail,kuyruk
take,almak
talk,tartışma
tall,uzun boylu
teach,öğretmek
team,takım
teeth,dişler
tell,söyle
temperature,sıcaklık
ten,on
term,vadeli
test,test
than,daha
thank,teşekkür ederim
that,bu
the,
their,onların
them,onları
then,o zaman
there,orada
these,bu
they,onlar
thick,kalın
thin,ince
thing,şey
think,düşünmek
third,üçüncü
this,bu
those,bu
though,olsa
thought,düşünce
thousand,bin
three,üç
through,ile
throw,atmak
thus,böylece
tie,kravat
time,zaman
tiny,küçücük
tire,lastik
to,karşı
together,birlikte
told,söyledi
tone,sesi
too,çok
took,aldı
tool,aracı
top,üst
total,toplam
touch,dokunma
toward,doğru
town,kasaba
track,iz
trade,ticaret
train,tren
travel,seyahat
tree,ağaç
triangle,üçgen
trip,gezi
trouble,sorun
truck,kamyon
true,gerçek
try,denemek
tube,tüp
turn,dönüş
twenty,yirmi
two,iki
type,tipi
under,altında
unit,ünitesi
until,kadar
up,yukarı
us,bizi
use,kullanım
usual,olağan
valley,vadi
value,değeri
vary,değiştirmek
verb,fiil
very,çok
view,görünüm
village,köy
visit,ziyareti
voice,ses
vowel,ünlü
wait,bekleyin
walk,yürümek
wall,duvar
want,istiyorum
war,savaş
warm,sıcak
was,oldu
wash,yıkama
watch,izle
water,su
wave,dalga
way,yol
we,biz
wear,giymek
weather,hava
week,hafta
weight,ağırlık
well,iyi
went,gitti
were,vardı
west,batı
what,ne
wheel,tekerlek
when,zaman
where,nerede
whether,olsun
which,hangi
while,süre
white,beyaz
who,kim
whole,bütün
whose,kimin
why,neden
wide,geniş
wife,karısı
wild,vahşi
will,olacak
win,win
wind,rüzgar
window,penceresi
wing,kanat
winter,kış
wire,tel
wish,dilek
with,ile
woman,kadın
women,kadın
wonder,acaba
won’t,olmaz
wood,ahşap
word,kelime
work,iş
world,dünya
would,would
write,yazmak
written,yazılı
wrong,yanlış
wrote,yazdı
yard,yarda
year,yıl
yellow,sarı
yes,evet
yet,henüz
you,sen
young,genç
your,senin
