english,korean
meat,고기
meet,대회
melody,멜로디
men,남자
metal,금속
method,방법
middle,중간
might,수도
mile,마일
milk,우유
million,만
mind,마음
mine,내
minute,분
miss,미스
mix,혼합
modern,현대
molecule,분자
moment,순간
money,돈
month,개월
moon,달
more,더
morning,아침
most,가장
mother,어머니
motion,모션
mount,마운트
mountain,산
mouth,입
move,움직임
much,많은
multiply,곱
music,음악
must,해야
my,내
name,이름
nation,국민
natural,자연
nature,자연
near,가까운
necessary,필요
neck,목
need,필요가있다
neighbor,이웃
never,결코
new,새로운
next,다음
night,밤
nine,구
no,없음
noise,잡음
noon,정오
nor,도
north,북
nose,코
note,주의
nothing,아무것도
notice,예고
noun,명사
now,지금
number,수
numeral,숫자
object,객체
observe,관찰
occur,발생
ocean,대양
of,의
off,오프
offer,제안
office,사무실
often,자주
oh,오
oil,기름
old,늙은
on,에
once,한 번
one,일
only,만
open,오픈
operate,운영
opposite,정반대의
or,또는
order,주문
organ,기관
original,원래
other,다른
our,우리의
out,아웃
over,이상
own,자신의
oxygen,산소
page,페이지
paint,페인트
pair,쌍
paper,종이
paragraph,단락
parent,부모
part,일부
particular,특히
party,파티
pass,통과
past,지난
path,경로
pattern,패턴
pay,지불
people,사람들
perhaps,어쩌면
period,기간
person,사람
phrase,문구
pick,선택
picture,사진
piece,조각
pitch,피치
place,장소
plain,일반
plan,계획
plane,비행기
planet,행성
plant,공장
play,재생
please,제발
plural,복수
poem,시
point,포인트
poor,가난한
populate,웁니다
port,포트
pose,포즈
position,위치
possible,가능한
post,포스트
pound,파운드
power,힘
practice,연습
prepare,준비
present,현재
press,키를 누릅니다
pretty,꽤
print,인쇄
probable,가능성
problem,문제
process,과정
produce,생산
product,제품
proper,적절한
property,등록
protect,보호
prove,증명
provide,제공
pull,당겨
push,푸시
put,넣어
quart,쿼트
question,질문
quick,빨리
quiet,조용한
quite,아주
quotient,지수
race,레이스
radio,라디오
rail,레일
rain,비
raise,인상
ran,실행
range,범위
rather,오히려
reach,범위
read,읽기
ready,준비된
real,실제
reason,이유
receive,수신
record,기록
red,빨간색
region,지역
remember,기억
repeat,반복
reply,응답
represent,대표
require,필요
rest,나머지
result,결과
rich,풍부한
ride,타고
right,바로
ring,링
rise,상승
river,강
road,도로
rock,바위
roll,롤
room,방
root,루트
rope,로프
rose,장미
round,둥근
row,행
rub,문지
rule,규칙
run,실행
safe,안전한
said,말했다
sail,항해
salt,소금
same,동일
sand,모래
sat,토
save,저장
saw,톱
say,말
scale,규모
school,학교
science,과학
score,점수
sea,바다
search,검색
season,시즌
seat,좌석
second,초
section,섹션
see,참조
seed,씨앗
seem,것
segment,세그먼트
select,선택
self,자기
sell,판매
send,보내
sense,의미
sent,전송
sentence,문장
separate,별도의
serve,봉사
set,세트
settle,정착
seven,일곱
several,여러
shall,하여야한다
shape,모양
share,주
sharp,날카로운
she,그녀
sheet,시트
shell,쉘
shine,광택
ship,배
shoe,신발
shop,상점
shore,해안
short,짧은
should,해야
shoulder,어깨
shout,소리
show,쇼
side,측면
sight,시력
sign,로그인
silent,침묵
silver,실버
similar,비슷한
simple,간단한
since,이후
sing,노래
single,단일
sister,자매
sit,앉아
six,육
size,크기
skill,기술
skin,피부
sky,하늘
slave,슬레이브
sleep,잠
slip,슬립
slow,느린
small,작은
smell,냄새
smile,미소
snow,눈
so,그래서
soft,소프트
soil,토양
soldier,군인
solution,용액
solve,해결
some,다소
son,아들
song,노래
soon,곧
sound,소리
south,남쪽
space,공간
speak,이야기
special,특수
speech,음성
speed,속도
spell,철자
spend,지출
spoke,이야기
spot,자리
spread,확산
spring,봄
square,광장
stand,서
star,스타
start,시작
state,상태
station,역
stay,유지
stead,대신
steam,증기
steel,스틸
step,단계
stick,스틱
still,여전히
stone,돌
stood,서
stop,중지
store,상점
story,이야기
straight,직선
strange,기이 한
stream,스트림
street,거리
stretch,스트레칭
string,문자열
strong,강한
student,학생
study,연구
subject,주제
substance,물질
subtract,빼기
success,성공
such,이러한
sudden,갑자기
suffix,접미사
sugar,설탕
suggest,제안
suit,정장
summer,여름
sun,일
supply,공급
support,지원
sure,확실한
surface,표면
surprise,놀람
swim,수영
syllable,음절
symbol,기호
system,시스템
table,나타난
tail,꼬리
take,소요
talk,이야기
tall,키
teach,가르쳐
team,팀
teeth,치아
tell,이야기
temperature,온도
ten,열
term,용어
test,테스트
than,보다
thank,감사
that,그
the,에
their,자신의
them,그
then,다음
there,그곳에
these,이들
they,그들
thick,두께
thin,얇은
thing,일
think,생각
third,세번째
this,이
those,그
though,그래도
thought,생각
thousand,천
three,세
through,를 통해
throw,던져
thus,따라서
tie,넥타이
time,시간
tiny,작은
tire,타이어
to,에
together,함께
told,이야기
tone,톤
too,너무
took,했다
tool,도구
top,최고
total,총
touch,터치
toward,방향
town,마을
track,트랙
trade,무역
train,기차
travel,여행
tree,트리
triangle,삼각형
trip,여행
trouble,수고
truck,트럭
true,사실
try,시험
tube,튜브
turn,회전
twenty,스물
two,두
type,유형
under,아래의
unit,단위
until,까지
up,올라
us,우리
use,사용
usual,보통
valley,계곡
value,값
vary,다양
verb,동사
very,대단히
view,보기
village,마을
visit,방문
voice,음성
vowel,모음
wait,대기
walk,도보
wall,벽
want,필요
war,전쟁
warm,따뜻한
was,했다
wash,세척
watch,손목 시계
water,물
wave,파
way,방법
we,우리
wear,착용
weather,날씨
week,주
weight,무게
well,잘
went,갔다
were,했다
west,서쪽
what,무엇
wheel,휠
when,때
where,어디에
whether,여부
which,하는
while,반면
white,흰색
who,사람
whole,전체
whose,누구의
why,이유
wide,폭
wife,아내
wild,야생
will,것
win,승리
wind,바람
window,창
wing,날개
winter,겨울
wire,와이어
wish,소원
with,와
woman,여성
women,여성
wonder,궁금
won’t,하지 않습니다
wood,나무
word,단어
work,일
world,세계
would,것
write,쓰기
written,기록
wrong,나쁜
wrote,썼다
yard,야드
year,년
yellow,노란색
yes,예
yet,아직
you,당신
young,젊은
your,당신의
