english,arabic
difficult,الصعب
direct,مباشر
discuss,بحث
distant,بعيد
divide,الفجوة
division,تقسيم
do,القيام
doctor,الطبيب
does,لا
dog,الكلب
dollar,الدولار
done,منجز
don’t,لا
door,باب
double,ضعف
down,إلى
draw,رسم
dream,حلم
dress,فستان
drink,شراب
drive,محرك
drop,إسقاط
dry,جاف
duck,بط
during,خلال
each,كل
ear,إذن
early,في وقت مبكر
earth,أرض
ease,سهولة
east,الشرق
eat,أكل
edge,حافة
effect,تأثير
egg,البيض
eight,ثمانية
either,كل
electric,كهربائي
element,عنصر
else,آخر
end,نهاية
enemy,العدو
energy,الطاقة
engine,محرك
enough,بما فيه الكفاية
enter,دخول
equal,متساو
equate,مساواة
especially,خاصة
even,حتى
evening,مساء
event,حدث
ever,أبدا
every,كل
exact,بالضبط
example,مثال
except,إلا
excite,أثار
exercise,ممارسة
expect,توقع
experience,التجربة
experiment,تجربة
eye,العين
face,وجه
fact,حقيقة
fair,عادل
fall,سقط
family,عائلة
famous,الشهيرة
far,الآن
farm,مزرعة
fast,بسرعة
fat,دهن
father,الأب
favor,صالح
fear,خوف
feed,علف
feel,إحساس
feet,قدم
fell,سقط
felt,شعر
few,قليل
field,الحقل
fig,تين
fight,المعركة
figure,الرقم
fill,شغل
final,نهائي
find,اكتشاف
fine,غرامة
finger,إصبع
finish,نهاية
fire,النار
first,الأول
fish,سمك
fit,تناسب
five,خمسة
flat,شقة
floor,الطابق
flow,تدفق
flower,زهرة
fly,يطير
follow,تابع
food,غذاء
foot,القدم
for,إلى
force,قوة
forest,الغابات
form,شكل
forward,إلى الأمام
found,أسس
four,أربعة
fraction,جزء
free,حر
fresh,جديدة
friend,صديق
from,من
front,الجبهة
fruit,الفاكهة
full,كامل
fun,مرح
game,لعبة
garden,حديقة
gas,الغاز
gather,جمع
gave,أعطى
general,عام
gentle,لطيف
get,الحصول على
girl,فتاة
give,منح
glad,سعيد
glass,زجاج
go,تذهب
gold,الذهب
gone,ذهب
good,جيد
got,حصلت
govern,الحكم
grand,الكبرى
grass,العشب
gray,رمادي
great,عظيم
green,الأخضر
grew,نما
ground,أرض
group,مجموعة
grow,تنمو
guess,تخمين
guide,توجيه
gun,بندقية
had,كان
hair,الشعر
half,نصف
hand,يد
happen,يحدث
happy,سعيدة
hard,شاق
has,لديه
hat,قبعة
have,ديك
he,هو
head,رئيس
hear,سمع
heard,سمعت
heart,قلب
heat,حرارة
heavy,ثقيلة
held,عقدت
help,مساعدة
her,لها
here,هنا
high,ارتفاع
hill,التل
him,له
his,له
history,التاريخ
hit,ضرب
hold,عقد
hole,حفرة
home,المنزل
hope,نأمل
horse,الحصان
hot,حار
hour,ساعة
house,منزل
how,كيف
huge,ضخم
human,بشري
hundred,مائة
hunt,مطاردة
hurry,عجل
i,أنا
ice,الجليد
idea,فكرة
if,إذا
imagine,تخيل
in,في
inch,بوصة
include,تضمن
indicate,تشير
industry,صناعة
insect,الحشرة
instant,لحظة
instrument,أداة
interest,مصلحة
invent,اختراع
iron,حديد
is,هو
island,الجزيرة
it,هو
job,العمل
join,انضمام
joy,الفرح
jump,القفزة
just,فقط
keep,احتفظ
kept,أبقى
key,مفتاح
kill,قتل
kind,نوع
king,ملك
knew,عرف
know,تعرف
lady,سيدة
lake,بحيرة
land,الأرض
language,اللغة
large,كبير
last,آخر
late,متأخر
laugh,الضحك
law,القانون
lay,وضع
lead,قيادة
learn,تعلم
least,الأقل
leave,ترك
led,أدى
left,غادر
leg,الساق
length,طول
less,أقل
let,سمح
letter,الرسالة
level,مستوى
lie,كذبة
life,حياة
lift,رفع
light,ضوء
like,مثل
line,خط
liquid,السائل
list,قائمة
listen,استمع
little,القليل
live,حي
locate,حدد
log,تسجيل
lone,وحيد
long,طويل
look,بحث
lost,فقدت
lot,الكثير
loud,بصوت عال
love,الحب
low,منخفض
machine,آلة
made,مصنوع
magnet,مغناطيس
main,رئيسي
major,الرئيسية
make,جعل
man,رجل
many,كثير
map,خريطة
mark,علامة
market,سوق
mass,كتلة
master,سيد
match,مباراة
material,مادة
matter,مسألة
may,قد
me,أنا
mean,متوسط
meant,مقصود
measure,قياس
meat,اللحوم
meet,تلبية
melody,لحن
men,الرجال
metal,المعادن
method,طريقة
middle,وسط
might,قد
mile,ميل
milk,حليب
million,مليون
mind,عقل
mine,منجم
minute,دقيقة
miss,ملكة جمال
mix,مزيج
modern,الحديث
molecule,جزيء
moment,لحظة
money,المال
month,شهر
moon,ضوء القمر
more,أكثر
morning,الصباح
most,أكثر
mother,أم
motion,الحركة
mount,جبل
mountain,الجبل
mouth,فم
move,خطوة
much,كثيرا
multiply,مضاعفة
music,الموسيقى
must,يجب
my,لي
name,اسم
nation,الأمة
natural,طبيعي
nature,الطبيعة
near,قرب
necessary,الضرورة
neck,الرقبة
need,تحتاج
neighbor,الجيران
never,أبدا
new,جديدة
next,المقبل
night,الليل
nine,تسعة
no,لا
noise,الضوضاء
noon,ظهرا
nor,ولا
north,شمال
nose,الأنف
note,مذكرة
nothing,لا شيء
notice,إشعار
noun,إسم
now,الآن
number,عدد
numeral,الأرقام
object,موضوع
observe,رصد
occur,تحدث
ocean,المحيط
of,من
off,بعيدا
offer,العرض
office,مكتب
often,غالبا
oh,يا
oil,زيت
old,قديم
on,في
once,مرة واحدة
one,واحد
only,فقط
open,مفتوحة
operate,العمل
opposite,العكس
or,أو
order,النظام
organ,عضو
original,الأصلي
other,البعض
our,لدينا
out,خارج
over,على
own,الخاصة
oxygen,الأكسجين
page,الصفحة
paint,الطلاء
pair,زوج
paper,ورق
paragraph,فقرة
parent,الأم
part,جزء
particular,خاصة
party,حزب
pass,تمر
past,الماضي
path,مسار
pattern,نمط
pay,دفع
people,الناس
perhaps,ربما
period,فترة
person,شخص
phrase,العبارة
pick,اختيار
picture,صور
piece,قطعة
pitch,رمية
place,مكان
plain,سهل
plan,خطة
plane,طائرة
planet,كوكب
plant,مصنع
play,لعب
please,الرجاء
plural,الجمع
poem,قصيدة
point,نقطة
poor,فقير
populate,أهل
port,ميناء
pose,أربك
position,موقف
possible,ممكن
post,آخر
pound,الجنيه
power,قوة
practice,ممارسة
prepare,إعداد
present,الحاضر
press,الصحافة
pretty,جميل
print,طباعة
probable,محتمل
problem,مشكلة
process,عملية
produce,إنتاج
product,نتاج
proper,السليم
property,الملكية
protect,حماية
prove,إثبات
provide,توفير
pull,سحب
push,دفع
put,وضع
quart,رابعا
question,السؤال
quick,سريع
quiet,هادئ
quite,تماما
quotient,حاصل
race,سباق
radio,راديو
rail,سكة حديدية
rain,مطر
raise,رفع
ran,ركض
range,مجموعة
rather,بالأحرى
reach,الوصول
read,قرأ
ready,جاهزة
real,حقيقية
reason,سبب
receive,تلقي
record,سجل
red,أحمر
region,منطقة
remember,تذكر
repeat,كرر
reply,الرد
represent,تمثيل
require,تتطلب
rest,بقية
result,نتيجة
rich,غني
ride,ركوب
right,الحق
ring,عصابة
rise,الارتفاع
river,النهر
road,طريق
rock,صخرة
roll,لفة
room,غرفة
root,الجذر
rope,حبل
rose,ارتفع
round,جولة
row,الصف
rub,فرك
rule,حكم
run,تشغيل
safe,آمنة
said,قال
sail,الشراع
salt,ملح
same,نفسه
sand,رمل
sat,السبت
save,حفظ
saw,منشار
say,قول
scale,على نطاق و
school,المدرسة
science,علم
score,النتيجة
sea,بحر
search,البحث
season,الموسم
seat,مقعد
second,ثان
section,القسم
see,شاهد
seed,بذرة
seem,يبدو
segment,قطاع
select,اختر
self,النفس
sell,بيع
send,إرسال
sense,المعنى
sent,أرسلت
sentence,عقوبة
separate,منفصلة
serve,خدمة
set,مجموعة
settle,حل
seven,سبعة
several,عدة
shall,يجب
shape,شكل
share,حصة
sharp,حاد
she,هي
sheet,ورقة
shell,قذيفة
shine,تألق
ship,سفينة
shoe,حذاء
shop,متجر
shore,الشاطئ
short,قصير
should,ينبغي
shoulder,الكتف
shout,صيحة
show,المعرض
side,الجانب
sight,مشهد
sign,علامة
silent,الصمت
silver,فضة
similar,مماثل
simple,بسيطة
since,منذ
sing,الغناء
single,احد
sister,شقيقة
sit,الجلوس
six,ستة
size,حجم
skill,مهارة
skin,الجلد
sky,سماء
slave,الرقيق
sleep,نوم
slip,انزلاق
slow,بطيئة
small,صغير
smell,رائحة
smile,الابتسامة
snow,ثلج
so,هكذا
soft,لينة
soil,التربة
soldier,جندي
solution,حل
solve,حل
some,بعض
son,ابن
song,أغنية
soon,قريبا
sound,صوت
south,الجنوب
space,الفضاء
speak,الكلام
special,خاص
speech,خطاب
speed,السرعة
spell,تهجى
spend,أنفق
spoke,وتحدث
spot,بقعة
spread,انتشار
spring,الربيع
square,مربع
stand,الوقوف
star,نجمة
start,بداية
state,دولة
station,محطة
stay,إقامة
stead,بدلا
steam,البخار
steel,الصلب
step,خطوة
stick,عصا
still,لا يزال
stone,حجر
stood,وقفت
stop,توقف
store,متجر
story,قصة
straight,مباشرة
strange,غريب
stream,تيار
street,شارع
stretch,امتداد
string,سلسلة
strong,قوي
student,طالب
study,دراسة
subject,الموضوع
substance,مادة
subtract,طرح
success,نجاح
such,مثل
sudden,مفاجئ
suffix,لاحقة
sugar,السكر
suggest,اقترح
suit,دعوى
summer,الصيف
sun,شمس
supply,تزويد
support,دعم
sure,بالتأكيد
surface,سطح
surprise,مفاجأة
swim,السباحة
syllable,مقطع لفظي
symbol,رمز
system,نظام
table,الجدول
tail,ذيل
take,أخذ
talk,الحديث
tall,طويل
teach,تعليم
team,فريق
teeth,أسنان
tell,أقول
temperature,درجة الحرارة
ten,عشرة
term,مصطلح
test,اختبار
than,من
thank,شكرا
that,أن
the,و
their,من
them,هم
then,ثم
there,هناك
these,هؤلاء
they,هم
thick,سميك
thin,رقيق
thing,شيء
think,اعتقد
third,الثالث
this,هذا
those,تلك
though,على الرغم من
thought,يعتقد
thousand,ألف
three,ثلاثة
through,من خلال
throw,رمي
thus,وبالتالي
tie,ربطة عنق
time,الوقت
tiny,صغير
tire,إطار العجلة
to,إلى
together,معا
told,قال
tone,نغمة
too,أيضا
took,استغرق
tool,أداة
top,أعلى
total,الكل
touch,لمس
toward,نحو
town,مدينة
track,المسار
trade,تجارة
train,قطار
travel,السفر
tree,شجرة
triangle,مثلث
trip,رحلة
trouble,مشكلة
truck,شاحنة
true,صحيح
try,محاولة
tube,أنبوب
turn,منعطف
twenty,عشرون
two,اثنين
type,نوع
under,تحت
unit,وحدة
until,حتى
up,فوق
us,لنا
use,استخدام
usual,معتاد
valley,الوادي
value,قيمة
vary,تختلف
verb,الفعل
very,جدا
view,رأي
village,قرية
visit,زيارة
voice,صوت
vowel,حرف لين
wait,انتظر
walk,سير
wall,جدار
want,تريد
war,حرب
warm,الحارة
was,كان
wash,غسل
watch,راقب
water,ماء
wave,موجة
way,طريق
we,نحن
wear,ارتداء
weather,الطقس
week,أسبوع
weight,الوزن
well,جيد
went,ذهب
were,و
west,غرب
what,ما
wheel,عجلة
when,عندما
where,حيث
whether,سواء
which,التي
while,في حين
white,أبيض
who,الذي
whole,ككل
whose,الذي
why,لماذا
wide,واسع
wife,زوجة
wild,بري
will,سوف
win,الفوز
wind,الرياح
window,نافذة
wing,جناح
winter,شتاء
wire,سلك
wish,رغب
with,مع
woman,امرأة
women,النساء
wonder,عجب
won’t,سوف لا
wood,الخشب
word,كلمة
work,العمل
world,العالم
would,أراد
write,إرسال
written,مكتوبة
wrong,خاطئ
wrote,كتب
yard,ساحة
year,عام
yellow,الأصفر
yes,نعم
yet,بعد
you,أنت
young,الشباب
your,ك
