english,punjabi
electric,ਬਿਜਲੀ ਦੇ
element,ਤੱਤ
else,ਕਿਸੇ ਹੋਰ ਨੂੰ
end,ਅੰਤ ਵਿੱਚ
enemy,ਦੁਸ਼ਮਣ
energy,ਊਰਜਾ
engine,ਇੰਜਣ ਨੂੰ
enough,ਕਾਫ਼ੀ
enter,"ਦਿਓ,"
equal,ਬਰਾਬਰ
equate,ਜ਼ਿੱਲਤ
especially,ਖਾਸ ਕਰਕੇ
even,ਵੀ
evening,ਸ਼ਾਮ ਨੂੰ
event,ਘਟਨਾ
ever,ਕਦੇ
every,ਨੂੰ ਹਰ
exact,ਸਹੀ
example,ਉਦਾਹਰਨ
except,ਨੂੰ ਛੱਡ ਕੇ
excite,ਉਤਸਾਹਿਤ
exercise,ਕਸਰਤ
expect,ਉਮੀਦ ਹੈ
experience,ਦਾ ਤਜਰਬਾ
experiment,ਤਜਰਬੇ
eye,ਅੱਖ
face,ਦਾ ਚਿਹਰਾ
fact,ਅਸਲ ’
fair,ਮੇਲਾ
fall,ਡਿੱਗ
family,ਪਰਿਵਾਰ ਨੂੰ
famous,ਮਸ਼ਹੂਰ
far,ਦੂਰ
farm,ਫਾਰਮ ’
fast,ਫਾਸਟ
fat,ਚਰਬੀ
father,ਪਿਤਾ ਨੂੰ
favor,ਦੇ ਪੱਖ ’
fear,ਡਰ ਹੈ
feed,| ਜੂਨ
feel,ਲੱਗਦਾ ਹੈ
feet,ਪੈਰ
fell,ਡਿੱਗ
felt,ਮਹਿਸੂਸ ਕੀਤਾ
few,ਕੁਝ
field,ਖੇਤਰ
fig,ਅੰਜੀਰ
fight,ਲੜਾਈ
figure,ਇਹ ਅੰਕੜਾ
fill,ਨੂੰ ਭਰਨ
final,ਫਾਈਨਲ
find,ਲੱਭਣ ਲਈ
fine,ਜੁਰਮਾਨਾ
finger,ਫਿੰਗਰ
finish,ਤੇ ਮੁਕੰਮਲ
fire,ਨੂੰ ਅੱਗ
first,ਪਹਿਲੀ
fish,ਮੱਛੀ
fit,ਫਿੱਟ
five,ਪੰਜ
flat,ਫਲੈਟ
floor,ਮੰਜ਼ਿਲ
flow,ਵਹਿਣਾ
flower,ਫੁੱਲ
fly,ਉੱਡਦੀ
follow,ਦੀ ਪਾਲਣਾ ਕਰੋ
food,ਭੋਜਨ
foot,ਪੈਰ
for,ਲਈ
force,ਫੋਰਸ
forest,ਜੰਗਲ
form,ਫਾਰਮ ਨੂੰ
forward,ਅੱਗੇ
found,ਪਾਇਆ
four,ਨੂੰ ਚਾਰ
fraction,"ਬਾਗ,"
free,ਮੁਫ਼ਤ
fresh,ਤਾਜ਼ਾ
friend,ਦੋਸਤ
from,ਤੱਕ
front,ਸਾਹਮਣੇ
fruit,ਫਲ ਨੂੰ
full,ਪੂਰੇ
fun,ਮਜ਼ੇਦਾਰ
game,ਖੇਡ ਹੈ
garden,ਬਾਗ
gas,ਗੈਸ
gather,ਇਕੱਠਾ
gave,ਦੇ ਦਿੱਤੀ ਹੈ
general,ਆਮ ਤੌਰ ’ਤੇ
gentle,ਕੋਮਲ
get,ਪ੍ਰਾਪਤ
girl,ਕੁੜੀ ਨੂੰ
give,ਦੇਣ
glad,ਖੁਸ਼
glass,ਗਲਾਸ
go,ਜਾਣ
gold,ਸੋਨੇ ਦਾ
gone,ਚੁੱਕਾ
good,ਚੰਗਾ
got,ਮਿਲੀ
govern,ਰਾਜ
grand,ਸ਼ਾਨਦਾਰ
grass,ਘਾਹ
gray,ਸਲੇਟੀ
great,ਮਹਾਨ
green,ਹਰੇ
grew,ਦਾ ਵਾਧਾ ਹੋਇਆ
ground,ਜ਼ਮੀਨ
group,ਗਰੁੱਪ ਨੂੰ
grow,ਵਾਧਾ
guess,guess
guide,ਦੀ ਅਗਵਾਈ
gun,ਬੰਦੂਕ
had,"ਸੀ,"
hair,ਵਾਲ
half,ਅੱਧੇ
hand,ਦਾ ਹੱਥ
happen,ਕੀ ਹੋ
happy,ਖੁਸ਼
hard,ਹਾਰਡ
has,ਹੈ
hat,ਟੋਪੀ
have,ਹੈ
he,ਉਸ ਨੇ
head,ਸਿਰ ’
hear,ਸੁਣਦੇ
heard,ਸੁਣਿਆ
heart,ਦਿਲ ਦੇ
heat,ਗਰਮੀ ਦੇ
heavy,ਭਾਰੀ
held,ਚਾਰ
help,ਦੀ ਮਦਦ
her,ਉਸ ਨੂੰ
here,ਇਥੇ
high,ਉੱਚ
hill,ਪਹਾੜੀ
him,ਨੇ ਉਸ ਨੂੰ
his,ਉਸ ਦੇ
history,ਇਤਿਹਾਸ ਨੂੰ
hit,ਹਿੱਟ
hold,ਕੇ ਰੱਖੋ
hole,ਮੋਰੀ
home,ਘਰ ਦੇ
hope,ਆਸ ਹੈ
horse,ਘੋੜਾ
hot,ਗਰਮ
hour,ਘੰਟੇ
house,ਦੇ ਘਰ
how,ਕਿੰਨੇ
huge,ਵੱਡੇ
human,ਮਨੁੱਖੀ
hundred,ਸੌ
hunt,ਸ਼ਿਕਾਰ
hurry,ਛੇਤੀ ਖਿਝ
i,ਮੈਨੂੰ
ice,ਆਈਸ
idea,ਇਹ ਵਿਚਾਰ
if,ਜੇ
imagine,ਕਲਪਨਾ ਕਰੋ
in,ਵਿੱਚ
inch,ਇੰਚ
include,ਸ਼ਾਮਲ ਹਨ
indicate,ਪਤਾ ਲੱਗਦਾ ਹੈ
industry,ਉਦਯੋਗ ਨੂੰ
insect,ਕੀੜੇ
instant,ਤੁਰੰਤ
instrument,ਸਾਧਨ
interest,ਵਿਆਜ
invent,ਕਾਢ
iron,ਲੋਹੇ
is,ਹੈ
island,ਟਾਪੂ ’
it,ਇਸ ਨੂੰ
job,ਦੀ ਨੌਕਰੀ
join,ਵਿੱਚ ਸ਼ਾਮਲ
joy,ਦੀ ਖ਼ੁਸ਼ੀ
jump,ਛਾਲ
just,ਹੁਣੇ ਹੀ
keep,ਰੱਖਣ
kept,ਰੱਖਿਆ
key,ਕੁੰਜੀ ਨੂੰ
kill,ਨੂੰ ਮਾਰਨ
kind,ਦਿਆਲੂ
king,ਰਾਜੇ ਨੇ
knew,ਪਤਾ ਸੀ
know,ਪਤਾ ਹੈ
lady,ਔਰਤ
lake,ਝੀਲ
land,ਜ਼ਮੀਨ ਦੀ
language,ਭਾਸ਼ਾ ਦੀ
large,ਵੱਡੇ
last,ਪਿਛਲੇ
late,ਦੇਰ
laugh,ਹੱਸ
law,ਕਾਨੂੰਨ ਨੂੰ
lay,ਰੱਖਣਗੇ
lead,ਦੀ ਅਗਵਾਈ
learn,ਸਿੱਖਣ
least,ਘੱਟ
leave,ਨੂੰ ਛੱਡ
led,ਦੀ ਅਗਵਾਈ
left,ਨੂੰ ਛੱਡ
leg,ਲੱਤ
length,ਲੰਬਾਈ
less,ਘੱਟ
let,ਦਿਉ
letter,ਪੱਤਰ ’
level,ਦਾ ਪੱਧਰ
lie,ਝੂਠ
life,ਜ਼ਿੰਦਗੀ ਨੂੰ
lift,ਲਿਫਟ
light,ਹਲਕਾ
like,ਵਰਗੇ
line,ਲਾਈਨ
liquid,ਤਰਲ
list,ਸੂਚੀ ਵਿੱਚ
listen,ਗੱਲ ਸੁਣੋ
little,ਥੋੜਾ
live,ਰਹਿੰਦੇ
locate,ਲੱਭਣ
log,ਲਾਗਇਨ ਕਰਨਾ
lone,ਇਕੋ
long,ਲੰਬੇ
look,ਦੇਖ
lost,ਹਾਰ ਦਾ
lot,ਬਹੁਤ ਕੁਝ
loud,ਉੱਚੀ
love,ਪਿਆਰ ਦੀ
low,ਖੋਜੋ
machine,ਮਸ਼ੀਨ ਨੂੰ
made,ਕੀਤੀ ਸੀ
magnet,ਚੁੰਬਕ
main,ਮੁੱਖ
major,ਮੁੱਖ
make,ਕਰ
man,ਆਦਮੀ ਨੂੰ
many,ਬਹੁਤ ਸਾਰੇ
map,"ਨਕਸ਼ਾ,"
mark,ਨਿਸ਼ਾਨ
market,ਮਾਰਕੀਟ ਨੂੰ
mass,ਜਨਤਕ
master,ਮਾਸਟਰ
match,ਮੈਚ
material,ਸਮੱਗਰੀ
matter,ਇਸ ਮਾਮਲੇ
may,ਹੋ ਸਕਦਾ ਹੈ
me,ਮੈਨੂੰ
mean,ਦਾ ਮਤਲਬ ਹੈ
meant,ਦਾ ਮਤਲਬ ਸੀ
measure,ਮਾਪ
meat,ਮੀਟ
meet,ਮਿਲਦੇ ਹਨ
melody,ਭਜਨ
men,ਲੋਕ
metal,ਮੈਟਲ
method,ਢੰਗ ਹੈ
middle,ਮੱਧ
might,ਸ਼ਾਇਦ
mile,ਮੀਲ
milk,ਦੁੱਧ
million,ਲੱਖ
mind,ਮਨ
mine,ਮੇਰੇ ਲਈ
minute,ਮਿੰਟ
miss,ਮਿਸ
mix,ਮਿਕਸ
modern,ਆਧੁਨਿਕ
molecule,ਅਣੂ
moment,ਪਲ
money,ਪੈਸੇ ਨੂੰ
month,ਮਹੀਨੇ ਦੇ
moon,ਚੰਦ
more,ਹੋਰ
morning,ਸਵੇਰ ਦੇ
most,ਸਭ
mother,ਮਾਤਾ
motion,ਮੋਸ਼ਨ
mount,ਮਾਊਟ
mountain,ਪਹਾੜ
mouth,ਦੇ ਮੂੰਹ
move,ਮੂਵ
much,ਬਹੁਤ ਕੁਝ
multiply,ਗੁਣਾ
music,ਸੰਗੀਤ ਨੂੰ
must,ਲਾਜ਼ਮੀ ਹੈ ਕਿ
my,ਮੇਰੇ
name,ਨਾਮ
nation,ਕੌਮ ਨੂੰ
natural,ਕੁਦਰਤੀ
nature,ਸੁਭਾਅ ਨੂੰ
near,ਦੇ ਨੇੜੇ
necessary,ਦੀ ਲੋੜ
neck,ਗਰਦਨ
need,ਦੀ ਲੋੜ ਹੈ
neighbor,ਨੇੜਲਾ
never,ਕਦੇ ਵੀ
new,ਨਵ
next,ਨੂੰ ਅਗਲੇ
night,ਰਾਤ ਨੂੰ
nine,ਨੌ
no,ਕੋਈ ਵੀ
noise,ਰੌਲਾ
noon,ਦੁਪਹਿਰ
nor,ਅਤੇ ਨਾ ਹੀ
north,ਉੱਤਰ
nose,ਨੱਕ
note,ਨੋਟ
nothing,ਕੁਝ ਵੀ
notice,ਨੂੰ ਨੋਟਿਸ
noun,ਨਾਮ
now,ਨੂੰ ਹੁਣ
number,ਦਾ ਨੰਬਰ
numeral,ਅੰਕ
object,ਇਕਾਈ
observe,ਦੀ ਪਾਲਣਾ
occur,ਆ
ocean,ਸਮੁੰਦਰ
of,ਦੇ
off,ਬੰਦ
offer,ਪੇਸ਼ਕਸ਼ ਨੂੰ
office,ਦੇ ਦਫ਼ਤਰ
often,ਅਕਸਰ
oh,ਓਹੁ
oil,ਤੇਲ ਦੀ
old,ਪੁਰਾਣੀ
on,’ਤੇ
once,ਇੱਕ ਵਾਰ
one,ਇੱਕ
only,ਸਿਰਫ
open,ਖੁੱਲ੍ਹਾ
operate,ਨੂੰ ਸੰਚਲਿਤ
opposite,ਇਸ ਦੇ ਉਲਟ
or,ਜ
order,ਕ੍ਰਮ
organ,ਅੰਗ
original,ਅਸਲੀ
other,ਨੂੰ ਹੋਰ
our,ਸਾਡੇ
out,ਬਾਹਰ
over,ਵੱਧ
own,ਆਪਣੇ ਹੀ
oxygen,ਆਕਸੀਜਨ
page,ਸਫ਼ਾ
paint,ਚਿੱਤਰਕਾਰੀ
pair,ਜੋੜਾ
paper,ਪੇਪਰ
paragraph,ਪੈਰਾ
parent,ਮਾਤਾ
part,ਹਿੱਸਾ ਹੈ
particular,ਖਾਸ
party,ਪਾਰਟੀ ਦੇ
pass,ਪਾਸ
past,ਪਿਛਲੇ
path,ਮਾਰਗ ’
pattern,ਪੈਟਰਨ
pay,ਦਾ ਭੁਗਤਾਨ
people,ਲੋਕ
perhaps,ਸ਼ਾਇਦ
period,ਦੀ ਮਿਆਦ
person,ਵਿਅਕਤੀ ਨੂੰ
phrase,ਵਾਕੰਸ਼
pick,ਚੁੱਕਣ
picture,ਤਸਵੀਰ
piece,ਟੁਕੜੇ
pitch,ਪਿੱਚ
place,ਸਥਾਨ
plain,ਸਮਤਲ
plan,ਯੋਜਨਾ ਨੂੰ
plane,ਜਹਾਜ਼
planet,ਗ੍ਰਹਿ
plant,ਬੂਟਾ
play,ਖੇਡਣ
please,ਕ੍ਰਿਪਾ
plural,ਬਹੁਵਚਨ
poem,ਕਵਿਤਾ
point,ਬਿੰਦੂ
poor,ਗਰੀਬ
populate,ਤਿਆਰ
port,ਪੋਰਟ ਨੂੰ
pose,ਪੈਦਾ
position,ਸਥਿਤੀ
possible,ਸੰਭਵ ਹੋ ਸਕੇ
post,ਪੋਸਟ
pound,ਸੇਰ
power,ਬਿਜਲੀ ਦੀ
practice,ਅਭਿਆਸ
prepare,ਨੂੰ ਤਿਆਰ
present,ਮੌਜੂਦ
press,ਪ੍ਰੈੱਸ
pretty,ਪਰੈਟੀ
print,ਪ੍ਰਿੰਟ
probable,ਸੰਭਵ
problem,ਸਮੱਸਿਆ ਦਾ
process,ਕਾਰਜ ਨੂੰ
produce,ਉਤਪਾਦਨ
product,ਉਤਪਾਦ
proper,ਸਹੀ
property,ਸੰਪਤੀ ਨੂੰ
protect,ਦੀ ਰੱਖਿਆ
prove,ਸਾਬਤ
provide,ਮੁਹੱਈਆ
pull,ਖਿੱਚੋ
push,ਧੱਕਾ
put,ਪਾ
quart,ਕਵਾਟਰ
question,ਸਵਾਲ ਦਾ
quick,ਤੇਜ਼
quiet,ਚੁੱਪ
quite,ਕਾਫ਼ੀ
quotient,ਸਮਰੱਥਾ
race,ਦੀ ਦੌੜ
radio,ਰੇਡੀਓ
rail,ਰੇਲ
rain,", ਮੈਸਿਡੋਨਿਆ,"
raise,ਚੁੱਕਣ
ran,ਭੱਜ
range,"ਸੀਮਾ ਹੈ,"
rather,ਨਾ ਕਿ
reach,ਤੱਕ ਪਹੁੰਚਣ
read,ਨੂੰ ਪੜ੍ਹ
ready,ਤਿਆਰ
real,ਦਾ ਅਸਲੀ
reason,ਇਸ ਦਾ ਕਾਰਨ
receive,ਪ੍ਰਾਪਤ
record,ਦਾ ਰਿਕਾਰਡ
red,ਲਾਲ
region,ਇਸ ਖੇਤਰ
remember,ਯਾਦ ਹੈ
repeat,ਦੁਹਰਾਉ
reply,ਜਵਾਬ
represent,ਦੀ ਨੁਮਾਇੰਦਗੀ
require,ਦੀ ਲੋੜ ਹੈ
rest,ਬਾਕੀ ਦੇ
result,ਨਤੀਜਾ
rich,ਅਮੀਰ
ride,ਸਫ਼ਰ
right,ਦਾ ਹੱਕ
ring,ਰਿੰਗ
rise,ਵਧ
river,ਨਦੀ
road,ਸੜਕ ’
rock,ਚੱਟਾਨ
roll,ਰੋਲ
room,ਕਮਰੇ
root,ਰੂਟ
rope,ਰੱਸੀ
rose,ਉੱਠਿਆ
round,ਦੌਰ
row,ਕਤਾਰ
rub,ਰੱਬ ਦੀ
rule,ਨਿਯਮ ਦੇ
run,ਰਨ
safe,ਸੁਰੱਖਿਅਤ
said,ਨੇ ਕਿਹਾ ਕਿ
sail,ਜਹਾਜ਼
salt,ਲੂਣ
same,ਉਸੇ ਹੀ
sand,ਰੇਤ
sat,ਨੂੰ ਸਤਿ
save,ਨੂੰ ਬਚਾ
saw,ਆਰਾ
say,ਦਾ ਕਹਿਣਾ ਹੈ
scale,ਪੈਮਾਨੇ
school,ਸਕੂਲ ਦੇ
science,ਵਿਗਿਆਨ ਦੇ
score,ਸਕੋਰ
sea,ਸਮੁੰਦਰ ਦੇ
search,ਖੋਜ ਨੂੰ
season,ਸੀਜ਼ਨ
seat,ਸੀਟ
second,ਨੂੰ ਦੂਜੀ
section,ਅਨੁਭਾਗ
see,"ਵੇਖੋ,"
seed,ਬੀਜ
seem,ਲੱਗਦਾ ਹੈ
segment,ਸਿਗਮਿੰਟ
select,ਦੀ ਚੋਣ ਕਰੋ
self,ਸਵੈ
sell,ਵੇਚਣ
send,ਭੇਜਣ
sense,ਭਾਵਨਾ
sent,ਨੂੰ ਭੇਜਿਆ
sentence,ਦੀ ਸਜ਼ਾ
separate,ਵੱਖਰੇ
serve,ਦੀ ਸੇਵਾ
set,ਸੈੱਟ ਹੈ
settle,ਵਸਣ
seven,ਸੱਤ
several,ਕਈ ਕਈ
shall,ਦੇਣਗੇ
shape,ਸ਼ਕਲ
share,ਸ਼ੇਅਰ
sharp,ਤਿੱਖੀ
she,ਉਸ ਨੇ
sheet,ਸ਼ੀਟ
shell,ਸ਼ੈੱਲ
shine,ਚਾਨਣ
ship,ਜਹਾਜ਼
shoe,ਜੁੱਤੀ
shop,ਦੁਕਾਨ
shore,ਕੰਢੇ
short,ਛੋਟਾ
should,ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ
shoulder,ਮੋਢੇ
shout,ਦੇਵੇਤੇ
show,ਪ੍ਰਦਰਸ਼ਨ
side,ਪਾਸੇ
sight,ਨਜ਼ਰ
sign,ਨਿਸ਼ਾਨ ਨੂੰ
silent,ਚੁੱਪ
silver,ਸਿਲਵਰ
similar,ਇਸੇ
simple,ਸਧਾਰਨ
since,ਦੇ ਬਾਅਦ
sing,ਦਾ ਗਾਇਨ
single,ਇੱਕਲੇ
sister,ਭੈਣ ਨੂੰ
sit,ਬੈਠ
six,ਛੇ
size,ਦਾ ਆਕਾਰ
skill,ਹੁਨਰ
skin,ਚਮੜੀ ਨੂੰ
sky,ਅਸਮਾਨ
slave,ਨੌਕਰ ਨੂੰ
sleep,ਨ ਦ
slip,ਸਿਲੱਪ
slow,ਹੌਲੀ
small,ਛੋਟੇ ਛੋਟੇ
smell,ਗੰਧ
smile,ਮੁਸਕਾਨ
snow,ਬਰਫ ਦੀ
so,ਇਸ ਲਈ
soft,ਸਾਫਟ
soil,ਮਿੱਟੀ
soldier,ਸਿਪਾਹੀ
solution,ਹੱਲ ਹੈ
solve,ਨੂੰ ਹੱਲ
some,ਨੂੰ ਕੁਝ
son,ਪੁੱਤਰ ਨੂੰ
song,ਗੀਤ
soon,ਜਲਦੀ ਹੀ
sound,ਆਵਾਜ਼
south,ਦੱਖਣ
space,ਸਪੇਸ
speak,ਗੱਲ ਕਰੋ
special,ਵਿਸ਼ੇਸ਼
speech,ਬੋਲਣ ਦੀ
speed,ਦੀ ਗਤੀ
spell,ਜੋੜ
spend,ਖਰਚ
spoke,ਗੱਲ
spot,ਸਪਾਟ
spread,ਫੈਲਣ
spring,ਬਸੰਤ
square,ਵਰਗ
stand,ਖੜ੍ਹੇ
star,ਸਿਤਾਰਾ
start,ਸ਼ੁਰੂ ਕਰਨ
state,ਰਾਜ ਦੇ
station,ਸਟੇਸ਼ਨ
stay,ਰਹਿਣ
stead,ਬੈਠ
steam,ਭਾਫ਼
steel,ਸਟੀਲ
step,ਕਦਮ ਹੈ
stick,ਸਟਿੱਕ
still,ਅਜੇ ਵੀ
stone,ਪੱਥਰ ਨੂੰ
stood,ਖੜ੍ਹੇ ਸਨ
stop,ਰੂਕੋ
store,ਸਟੋਰ
story,ਕਹਾਣੀ
straight,ਸਿੱਧਾ
strange,ਅਜੀਬ
stream,ਸਟਰੀਮ
street,ਗਲੀ ’
stretch,ਤਣਾਅ ਨੂੰ
string,ਸਤਰ
strong,ਮਜ਼ਬੂਤ
student,ਵਿਦਿਆਰਥੀ ਦੀ
study,ਦਾ ਅਧਿਐਨ
subject,ਵਿਸ਼ੇ
substance,ਪਦਾਰਥ
subtract,ਘਟਾਓ
success,ਦੀ ਸਫਲਤਾ
such,ਅਜਿਹੇ
sudden,ਅਚਾਨਕ
suffix,ਪਿਛੇਤਰ
