english,somali
wife,xaaskiisa
wild,duurjoogta ah
will,dardaaran
win,badisay
wind,dabaysha
window,furmo
wing,garabka
winter,jiilaalka
wire,silig
wish,rabto
with,la
woman,haweeney
women,dumarka
wonder,layaabeen
won’t,"ma yeelan doonaan,"
wood,alwaax
word,erayga
work,shaqada
world,adduunka
would,lahaa
write,qori
written,qoraal ah
wrong,khalad
wrote,qoray
yard,daarada
year,sano
yellow,jaalaha ah
yes,haa
yet,weli
you,aad
young,dhalinyarada
your,aad
