english,corsican
dad,sora
dance,ballari
danger,periculu
dark,scure
day,ghjornu
dead,mortu
deal,usure
dear,caru
death,a morte
decide,esaminà
decimal,decimali
deep,abissu
degree,fùria
depend,addipenni
describe,numaru di
desert,u disertu
design,cuncezzione
determine,ditarminendu
develop,elaburà
dictionary,traduzione
did,fattu
die,mori
differ,differ
difficult,difficiule
direct,direttu
discuss,discurremu
distant,luntanu
divide,si spartunu
division,classa
do,fà
doctor,medico
does,ùn
dog,ghjacaru
dollar,carenza
done,fattu
don’t,ùn
door,av
double,doppia
down,falà
draw,piglià
dream,sognu
dress,rochie
drink,vivu
drive,fundale
drop,lintà
dry,asciuttu
duck,anatra
during,duranti
each,ognunu
ear,arechja
early,principiu
earth,terra
ease,cappella
east,este
eat,mangiare
edge,arice
effect,effettu
egg,ovu
eight,ottu
either,manifisteghja
electric,ilettricu
element,elimentu
else,altru
end,fini
enemy,nimicu
energy,enirgia
engine,search engine
enough,bastassi
enter,inserisce
equal,paru
equate,equate
especially,soprattuttu
even,mancu
evening,sera
event,eventu
ever,eternu
every,ogni
exact,esattu
example,esempiu
except,francu
excite,passiuneghjani
exercise,teacher
expect,m’aspettu
experience,espirienza
experiment,sperimentu
eye,ochju
face,faccia
fact,difatti
fair,feri
fall,innamurà
family,a famiglia
famous,cèlibbri
far,luntanu
farm,agricula
fast,viloci
fat,grassu
father,babbu
favor,pusitivamenti
fear,titre
feed,alimenti
feel,sentimu
feet,pedi
fell,cadiu
felt,si ’ntisi
few,qualchi
field,chjosu
fig,fico
fight,cummattimentu
figure,figura
fill,ne scurdà
final,finali
find,truvà
fine,a grana
finger,iditu
finish,arrivata
fire,lu focu
first,primu
fish,pesciu
fit,jìssi
five,cinque
flat,appartamentu
floor,pianu
flow,purtata
flower,fiore
fly,vulari
follow,seguitate
food,pastu
foot,pede
for,di
force,forza
forest,foresta
form,furmulariu
forward,francescon
found,truvonu
four,quattru
fraction,fraction
free,senza
fresh,freschi
friend,amicu
from,da
front,"fronte,"
fruit,fruttu
full,chinu
fun,fun
game,ghjocu
garden,’ortu
gas,a gas
gather,vinianu
gave,detti
general,generale
gentle,ï¿½
get,arrivare
girl,figghjola
give,dà
glad,viulinu
glass,biccheri
go,andà
gold,oru
gone,stilettu
good,bene
got,a te
govern,cuvirnari
grand,prugettu
grass,erba
gray,grisgiu
great,perfettu
green,verde
grew,crisciutu
ground,nterra
group,gruppu
grow,crisciri
guess,devi essa
guide,avvià
gun,cannone
had,avia
hair,capiddi
half,mitati
hand,manu
happen,succede
happy,cuntenti
hard,aspra
has,hà
hat,appeddu
have,avè
he,ellu
head,testa
hear,state à sente
heard,ntisi
heart,lu cori
heat,u caldu
heavy,pisanti
held,guardata
help,aiutu
her,u so
here,ccà
high,altu
hill,cullina
him,ellu
his,u so
history,storia
hit,schjaccià
hold,chjappà
hole,pirtusu
home,casa
hope,speru
horse,"cavallo,"
hot,cavura
hour,ora
house,gîte
how,quantu
huge,grannissimi
human,umanu
hundred,centu
hunt,caccià
hurry,fala
i,i
ice,ghiaccio
idea,’idea
if,si
imagine,à pensà
in,in
inch,inches
include,mappa satellitare
indicate,indicanu
industry,nnustria
insect,insecte
instant,un mumentu
instrument,strumentu
interest,intaressu
invent,scuprianu
iron,ferru
is,hè
island,isula
it,hè
job,travagghiu
join,raghjugna
joy,aligria
jump,santari
just,ghjustu
keep,teniri
kept,mantinutu
key,chiavi
kill,caccialli
kind,curtisi
king,re
knew,canuscia
know,cunnosce
lady,signura
lake,lago
land,paese
language,lingua
large,grossu
last,cognomi
late,tardu
laugh,prêt
law,ghjustizia
lay,mittaraghju
lead,cumannari
learn,amparà
least,omancu
leave,lasciarà
led,cundottu
left,manca
leg,gamma
length,lunghezza
less,menu
let,chì
letter,lettera
level,livellu
lie,minzogna
life,a vita
lift,ascenseur
light,di luce
like,cum’è
line,linia
liquid,liquidu
list,lists
listen,canta
little,pocu
live,campà
locate,piatra
log,scie à
lone,sulitariu
long,tantu
look,circà
lost,persu
lot,mori
loud,populu
love,àmanu
low,suttana
machine,màcchina
made,fattu
magnet,calamita
main,principale
major,maiò
make,fà
man,omu
many,assai
map,mappa
mark,marque
market,mercatu
mass,di massa
master,patruni
match,scintilla
material,a materia
matter,a materia
may,maghju
me,à mè
mean,dì
meant,cambiata
measure,misurari
meat,manghjà
meet,sìmula
melody,quandu
men,l ’omi
metal,di metallu
method,mètudu
middle,mezzu
might,forsi
mile,chilometru
milk,u latti
million,miliuna
mind,cuntata
mine,a meia
minute,minutu
miss,ilu
mix,mmiscari
modern,mudernu
molecule,mulècula
moment,memoria
money,soldi
month,mese
moon,luna
more,di più
morning,mane
most,più
mother,mamma
motion,rimusciu
mount,muntagna
mountain,muntagna
mouth,bocca
move,muvimentu
much,tantu
multiply,multiplica
music,musica
must,ci vole
my,u mo
name,cognome
nation,a nazione
natural,naturale
nature,a natura
near,vicinu
necessary,nicissariu
neck,collu
need,bisognu
neighbor,prossimu
never,mai
new,novu
next,prossimu
night,notte
nine,nove
no,innò
noise,vucciria
noon,a sesta
nor,nè
north,nordu
nose,nasu
note,vascia
nothing,nunda
notice,esaudita
noun,nome
now,oghji
number,nùmeru
numeral,maître
object,ughjettu
observe,osservanu
occur,ghjughjenu
ocean,marina
of,di
off,cumming
offer,offerta
office,ufficiu
often,spissu
oh,oh
oil,ogghiu
old,vecchio
on,nantu
once,una volta
one,unu
only,solu
open,apartu
operate,upirari
opposite,upposta
or,o
order,pà
organ,organi
original,urighjinariu
other,lucca
our,u nostru
out,fora
over,nantu
own,so
oxygen,ossigenu
page,pagina
paint,dipinze
pair,paru
paper,carta
paragraph,comma
parent,female
part,parte
particular,particulari
party,partitu
pass,passani
past,passatu
path,stradellu
pattern,mintali
pay,paiari
people,populu
perhaps,forsi
period,piriudu
person,persona
phrase,scritta
pick,coglie
picture,ritrattu
piece,pezzu
pitch,inchiostru
place,postu
plain,piaghja
plan,pianu
plane,n’aeriu
planet,pianeta
plant,pianta
play,ghjucà
please,per piacè
plural,singular
poem,puema
point,puntu
poor,mischinu
populate,ghìnchinu
port,portu
pose,suspect
position,pusizioni
possible,pussìbbili
post,articulu
pound,mina
power,lu putiri
practice,ghjuvevule
prepare,priparari
present,prisente
press,paolino
pretty,bellucciu
print,stampa
probable,di gattiva
problem,prublemu
process,prucessu
produce,prudùcinu
product,pruduttu
proper,n’aducazzioni
property,a pruprietà
protect,pruteghje
prove,determinà
provide,furnissi
pull,intenzioni
push,totta
put,mintiri
quart,litru
question,quistioni
quick,taliatura
quiet,tranquillu
quite,sosula
quotient,quotient
race,a punti
radio,radiu
rail,ferrovie
rain,arcusgi
raise,addivà
ran,corse
range,catalogu
rather,piuttostu
reach,ghjugna
read,leghje
ready,pronta
real,etrusca
reason,raghjoni
receive,ricìviri
record,discugràfica
red,rossu
region,righjoni
remember,sapere
repeat,ripetiri
reply,rispondi
represent,chjare
require,vurrà
rest,sicretu
result,risurtatu
rich,ricca
ride,accriscimentu
right,diritta
ring,anellu
rise,ricuddà
river,fiume
road,stradale
rock,scogliu
roll,tambour
room,cammara
root,ràdica
rope,corda
rose,s’arrizzò
round,intornu
row,n’angulu
rub,pascale
rule,règula
run,scappu
safe,sicuru
said,dissi
sail,navigheghja
salt,sali
same,listessu
sand,sabbia
sat,assittatu
save,sarvari
saw,vide
say,dì
scale,scala
school,la scola
science,scienzi
score,spartitu
sea,mari
search,local
season,staghjoni
seat,pusatoghju
second,sicondu
section,rùbbrica
see,vidi
seed,sumente
seem,parenu
segment,linìa
select,selezziunà
self,autuditirminazzioni
sell,vendenu
send,mandà
sense,asempiu
sent,mandatu
sentence,filaru
separate,siparati
serve,servinu
set,ghjocu
settle,praticà
seven,sette
several,parechji
shall,sarà
shape,furma
share,sparte
sharp,souffle
she,hà
sheet,fogghiu
shell,conchiglia
shine,beddhu
ship,battellu
shoe,scarpa
shop,shop
shore,riva
short,cortu
should,avissi
shoulder,spalla
shout,populu
show,spettacolo
side,cantu
sight,a vista
sign,scritta
silent,zittu
silver,arghjentu
similar,listessu
simple,sèmplice
since,siccomu
sing,canta u populu
single,sìngulu
sister,surella
sit,occupà
six,sei
size,grannizza
skill,aptitude
skin,coghju
sky,celu
slave,schiavu
sleep,scoprinu
slip,maîtrise
slow,lentu
small,picculu
smell,ciavuru
smile,sorrisu
snow,neve
so,tantu
soft,chjara
soil,pratu
soldier,surdatu
solution,definitivu
solve,cambiamentu
some,certi
son,figliolu
song,cantu
soon,prestu
sound,sonat
south,sudu
space,u spaziu
speak,parlà
special,spiciali
speech,discorsu
speed,vilucitati
spell,scriviri
spend,accadi
spoke,parlava
spot,picu
spread,si diffunnìu
spring,primavera
square,quatratu
stand,tèniti
star,stella
start,partendu
state,statu
station,stazione
stay,dormir
stead,inveças
steam,vapuri
steel,acciaio
step,passu
stick,"bastone,"
still,"ancora,"
stone,petra
stood,firmonu
stop,firmavanu
store,magazzini
story,storia
straight,drittu drittu
strange,attitudina
stream,bracciu
street,carrughju
stretch,striscia
string,catena
strong,forti
student,studiente
study,studiu
subject,sughjettu
substance,sustanza
subtract,scassinatore
success,a riescita
such,tali
sudden,issu
suffix,suffissu
sugar,zùccaru
suggest,laga
suit,vistitu
summer,’estate
sun,soli
supply,branch
support,sustegnu
sure,di sicuru
surface,superficia
surprise,maravigghia
swim,cacciucco
syllable,sillabba
symbol,simmulu
system,sistema
table,tàvula
tail,cuda
take,piglià
talk,conversazione
tall,aeriana
teach,insegni
team,a squatra
teeth,dìanti
tell,dì
temperature,temperatura
ten,deci
term,termine
test,francese test
than,cà
thank,ringraziu
that,chì
the,l
their,i so
them,elli
then,allura
there,ùn ci
these,chisti
they,si
thick,bilingui
thin,sperimentu
thing,cosa
think,e pinsari
third,terzu
this,issu
those,quelli
though,sippuru
thought,pinsau
thousand,milla
three,tre
through,attraversu
throw,graputi
thus,cusì
tie,cravatta
time,tempu
tiny,petricaghju
tire,pneus
to,à
together,nsemmula
told,dittu
tone,tonu
too,troppu
took,pigghiò
tool,cuntzertu
top,cima
total,tutali
touch,tuccari
toward,versu
town,ville
track,pista
trade,prufissioni
train,treno
travel,in viaghju
tree,àrbulu
triangle,triangulu
trip,viaghju
trouble,datti
truck,camion
true,vera
try,pruvà
tube,tubu
turn,turnu
twenty,venti
two,due
type,activité
under,sottu
unit,unità
until,finu
up,l
us,noi
use,’usu
usual,cinquinu
valley,piaghja
value,valuri
vary,varianu
verb,verbo
very,assai
view,vista
village,paesu
visit,ìsita
voice,vuci
vowel,vucali
wait,aspittari
walk,marchjà
wall,parete
want,vuliti
war,a guerra
warm,callu
was,fù
wash,artigianali
watch,fighjulà
water,acqua
wave,suddisfava
way,modu
we,avemu
wear,if
weather,camping
week,settimana
weight,misfattu
well,bè
went,si n’andò
were,eranu
west,oeste
what,ce
wheel,ruota
when,quannu
where,induva
whether,agghicaru
which,chì
while,mentri
white,biancu
who,chì
whole,interu
whose,quale
why,perchè
wide,larga
wife,moglia
wild,salvaticu
will,sarà
win,win
wind,ventu
window,fenêtre
wing,cantu
winter,inguernu
wire,panze
wish,vulete
with,cù
woman,donna
women,donne
wonder,c’avissi
won’t,ùn sarà
wood,legnu
word,parulla
work,travagliu
world,mondu
would,avissi
write,scrivemu
written,scrittu
wrong,sbagghiatu
wrote,cavallu
yard,iarda
year,annu
yellow,ghjallu
yes,iè
yet,added
you,tu
young,ghjovanu
your,vostri
