english,pashto
difficult,ستونزمن
direct,مستقیم
discuss,په اړه
distant,لرې
divide,وېش
division,ویش
do,نه
doctor,ډاکټر
does,کوي
dog,سپی
dollar,د ډالرو
done,ترسره
don’t,نه
door,دروازه
double,دوه
down,ښکته
draw,رسم
dream,خوب
dress,کالی
drink,د څښلو
drive,ډرایو
drop,لر
dry,وچ
duck,هیلۍ
during,په ترڅ کې
each,د هر
ear,د غوږ
early,په لومړيو
earth,ځمکه
ease,تسکين
east,ختيځ
eat,خورئ
edge,څنډه
effect,اغېز
egg,هګۍ
eight,اته
either,يا
electric,برقي
element,عنصر
else,بل
end,پای
enemy,دښمن
energy,د انرژۍ د
engine,انجن
enough,کافي
enter,ننوځي
equal,مساوي
equate,بللای شي
especially,په ځانګړې توګه
even,آن
evening,ماښام
event,پيښه
ever,هر وخت
every,هر
exact,کره
example,مثال په توګه
except,پرته له
excite,وهڅوی
exercise,تمرین
expect,تمه
experience,تجربه
experiment,تجربه
eye,د سترګو
face,مخ
fact,حقيقت
fair,عادلانه
fall,راځي
family,کورنۍ
famous,نامتو
far,تر اوسه
farm,فارم
fast,روژه
fat,وازګه
father,پلار
favor,په ګټه
fear,ويره
feed,خواړه
feel,احساس
feet,په پښو
fell,شو
felt,احساس
few,څو
field,برخه
fig,اينځر
fight,د مبارزې
figure,رقم
fill,ډکه
final,وروستۍ
find,پیدا
fine,ښه
finger,د ګوتې
finish,پای
fire,د اور
first,لومړی
fish,کبان
fit,سره برابر
five,پنځه
flat,هوارو
floor,پوړ
flow,بهيږي
flower,ګل
fly,د الوتلو
follow,تعقيب
food,د خوړو
foot,پښه
for,لپاره
force,ځواک
forest,د ځنګل
form,فورمه
forward,مخ
found,وموندل شول
four,څلور
fraction,کسر
free,وړيا
fresh,تازه
friend,دوست
from,له
front,مخ
fruit,د ميوو
full,بشپړ
function,دنده
game,لوبه
garden,باغ
gas,د ګازو د
gather,راټول
gave,ورکړه
general,عمومي
gentle,نرم
get,تر لاسه
girl,نجلۍ
give,ورکړي
glad,خوښ
glass,ګيلاس
go,ته لاړ
gold,د سرو زرو
gone,شوې
good,ښه
got,ترلاسه کړ
govern,د حکومت
grand,لوئې
grass,واښه
gray,خړ
great,غوره
green,شین
grew,کرلي
ground,د ځمکنیو
group,ډله
grow,وده
guess,فکر
guide,الرښوونه
gun,ټوپک
had,وو
hair,ويښتان
half,نيمايي
hand,د لاس
happen,پېښ
happy,خوښ
hard,سخت
has,لري
hat,خولۍ
have,لري
he,هغه
head,مشر
hear,ډرا
heard,اورېدلي
heart,هرات
heat,تودوخه
heavy,درنو
held,د دغو
help,مرسته
her,د هغې
here,دلته
high,د لوړ
hill,غونډۍ
him,هغه
his,د هغه د
history,تاريخ
hit,وشوه
hold,جوړې
hole,سوري
home,کور
hope,هيله
horse,آس
hot,ګرم
hour,ساعت
house,کور
how,څه ډول
huge,ستر
human,د بشري
hundred,سوه
hunt,تکل لري
hurry,بيړه
i,زه
ice,یخ
idea,مفکوره
if,که
imagine,تصور
in,په
inch,انچ
include,شامل دي
indicate,ښيي
industry,صنعت
insect,د حشراتو
instant,فوري
instrument,آله
interest,ګټه
invent,اختراع
iron,د اوسپنې
is,ده
island,ټاپو
it,دا
job,د کار
join,سره یوځای شي
joy,خوښۍ
jump,ټوپ
just,يوازې د
keep,وساتي
kept,ساتل
key,کلیدي
kill,وژني
kind,ډول
king,پاچا
knew,پوهېدل
know,پوه
lady,ابۍ
lake,جهيل
land,د ځمکې
language,ژبه
large,لوی
last,تیر
late,په وروستيو
laugh,خندا
law,قانون
lay,کېږدي
lead,لامل
learn,زده
least,لږ تر لږه
leave,ووځي
led,په مشرۍ د
left,پاتې
leg,پښه
length,اوږدوالي
less,لږ
let,اجازه
letter,لیک
level,کچه د
lie,دروغ
life,ژوند
lift,فشاري
light,رڼا
like,په شان
line,خط
liquid,مايع
list,لست
listen,غوږ
little,لږ
live,ژوند
locate,او موقعيت
lone,د سرغړولو
long,اوږد
look,وګورو
lost,له لاسه
lot,ډېر
loud,لوړ
love,مينه
low,ټيټ
machine,ماشين
made,کړې
magnet,مقناطيس
main,اصلي
major,لوی
make,لپاره
man,سړي
many,ډېرو
map,نقشه
mark,نښه
market,بازار
mass,ډله
master,د بادار
match,لوبه
material,د مادي
matter,موضوع
may,می
me,ما
mean,مانا
meant,مانا
measure,د اندازه کولو
meat,غوښه
meet,لیدنه کوي
melody,موسيقی
men,نارينه
metal,فلزي
method,ميتود
middle,د منځني
might,ښایي
mile,مایلو
milk,شيدې
million,ميليونه
mind,ذهن
mine,کان
minute,دقیقې
mix,مخلوط
modern,عصري
molecule,ماليکول
moment,شېبه
money,پيسې
month,میاشت
moon,سپوږمۍ
more,نور
morning,سهار
most,تر ټولو
mother,مور
motion,تحريک
mount,غره
mountain,د غره
mouth,خوله
move,حرکت
much,څومره
multiply,ضربوي
music,موسيقي
must,بايد
my,زما د
name,نوم
nation,ملت
natural,د طبيعي
nature,ماهيت
near,ته نږدې
necessary,ضروري
neck,غاړه
need,ته اړتیا لري
neighbor,د ګاونډي
never,هيڅکله
new,نوي
next,بل
night,شپه
nine,نهه
no,نه
noise,شور
noon,غرمه
nor,او نه
north,شمال
nose,پوزه
note,یادښت
nothing,هيڅ
notice,خبرتیا
noun,اسم
now,اوس
number,شمیر
object,څيز
observe,وګوری
occur,واقع
ocean,سمندرونو
of,د
off,پړاو
offer,وړاندیز
office,دفتر
often,زياتره
oh,اوه!
oil,د تیلو
old,زاړه
on,په
once,یوځل
one,یو
only,یوازې
open,دابرخه
operate,فعالیت
opposite,برعکس
or,او یا
order,نظم
organ,ارګان
original,اصلي
other,نور
our,زموږ
out,څخه
over,له
own,خپل
oxygen,اکسيجن
page,مخ
paint,انځورګري
pair,جوړې
paper,کاغذ
paragraph,پاراګراف
parent,مور او پلار
part,برخه
particular,ځانګړي ډول
party,ګوند
pass,پاس
past,په تېرو
path,لاره
pattern,بيلګه
pay,ورکړي
people,خلک
perhaps,ښايي
period,موده
person,شخص
phrase,عبارت
pick,واخلی
picture,انځور
piece,ټوټه
pitch,جګوالی
place,ځای
plain,plain
plan,پلان
plane,الوتکه
planet,سیاره
plant,د نبات د
play,ولوبوي
please,مهرباني وکړه
plural,جمع
poem,شعر
point,ټکی
poor,بې وزله
populate,شئچې
port,بندر
pose,پېښوي
position,دريځ
possible,د امکان
post,وروسته
pound,پونډ
power,قدرت
practice,عمل
prepare,چمتو
present,حاضر
press,مطبوعاتي
pretty,ښایسته
print,چاپي
probable,احتمالي
problem,ستونزه
process,پروسه
produce,توليدول، جوړول
product,د محصول
proper,مناسب
property,د ملکیت
protect,ساتنه
prove,ثابت
provide,برابر کړي
pull,کشول
push,ټیله کول
put,کړي
quart,پتکی
question,پوښتنه
quick,د چټک
quiet,ارام
quite,خورا
quotient,قسمت د
race,نژاد
radio,راډیو
rail,د ریل
rain,باران
raise,د لوړولو
ran,په منډه
range,لړ
rather,پر ځای
reach,ته ورسیږي
read,پاتې برخه
ready,چمتو
real,اصلي
reason,دلیل
receive,تر لاسه
record,ریکارډ
red,سور
region,سیمه
remember,په یاد
repeat,تکرار
reply,ځواب
represent,استازيتوب
require,ته اړتیا لري
rest,پاتې
result,نتيجه
rich,شتمن
ride,ride
right,حق
ring,حلقوي
rise,پاڅون
river,د سيند
road,د سړک
rock,ګټ
roll,رول
room,کوټه
root,د ريښي
rope,رسۍ
rose,د ګلابو
round,پړاو
row,قطار
rub,وموښئ
rule,حاکمیت
run,د دويم پړاو
safe,خوندي
said,وويل
sail,sail
salt,د مالګې
same,ورته
sand,شګه
sat,sat
save,وژغوري
saw,د اره
say,وايي
scale,مقياس
school,د ښوونځي
science,ساینس
score,نمره
sea,د بحر
search,لټون
season,موسم
seat,څوکۍ
second,دوهم
section,برخه
see,وګورئ
seed,د تخم
seem,داسې ښکاري،
segment,برخه
select,غوره
self,ځان
sell,وپلوري
send,واستوي
sense,احساس
sent,لیږل
sentence,سزا
separate,جلا
serve,خدمت
set,ټولګه
settle,د حل
seven,اووه
several,څو
shall,باید
shape,بڼه
share,برخه
sharp,تيره
she,هغې
sheet,پاڼه
shell,پوښ
shine,هرڅنګه
ship,کښتۍ
shoe,بوټ
shop,دوکان
shore,په غاړه
short,لنډ
should,بايد
shoulder,اوږه
show,خپرونه
side,اړخ
sight,سترګې
sign,نښه
silent,چوپه خوله
silver,د سپينو زرو
similar,ورته
simple,ساده
since,راهیسې
sing,سندري
single,واحد
sister,خور
sit,کیني
six,شپږ
size,اندازه
skill,مهارت
skin,د پوستکي
sky,اسمان
slave,برده
sleep,خوب
slip,ټوټه
slow,ورو
small,د وړو
smell,بوی
smile,موسکا
snow,واوره
so,نو
soft,نرم
soil,د خاوری
soldier,سرتیری
solution,د حل
solve,د حل
some,يو شمېر
son,زوی
song,سندره
soon,ژر
sound,غږ
south,سویل
space,فضا
speak,خبرې
special,ځانګړې
speech,وینا
speed,سرعت
spell,په ډاګه
spend,لګوي
spoke,خبرې وکړې
spot,داغ
spread,د خپریدو
spring,پسرلی
square,مربع
stand,ولاړ
star,ستوري
start,پیل
state,د دولت
station,سټيشن
stay,پاتې شي
stead,په عوض
steam,د بخار
steel,فولادو
step,ګام
stick,لښته
still,تر اوسه
stone,ډبره
stood,ولاړ
stop,درېدل
store,پلورنځي
story,کيسه
straight,مستقیم
strange,عجيبه
stream,د ويالو د
street,سړک
stretch,اوږد
string,تار
strong,قوي
student,محصل
study,مطالعه
subject,تابع
substance,موادو
subtract,وشمیري
success,برياليتوب
such,ډول
sudden,ناڅاپه
suffix,وروستاړي
sugar,د بورې
suggest,وړاندیز
suit,سوټ
summer,د اوړي
sun,لمر
supply,رسولو
support,ملاتړ
sure,ډاډه
surface,سطحي
surprise,د حيرانتيا
swim,سویم
syllable,syllable
symbol,سمبول
system,سيستم
table,جدول
tail,لکۍ
take,واخلي
talk,خبرې اترې
tall,دنګ
teach,درس
team,ټیم
teeth,غاښونه
tell,ته ووايي
temperature,د حرارت درجه
ten,لس
term,اصطلاح
test,ازموینه
than,په پرتله
thank,مننه
that,چې
the,د
their,د هغوی
them,د هغوی
then,نو
there,هلته
these,د دغو
they,دوی
thick,نازکه
thin,نری
thing,خبره
think,فکر
third,دریم
this,دې
those,د هغو
though,که څه هم
thought,فکر
thousand,زره
three,درې
through,له لارې د
throw,غورځوي
thus,په دې توګه
tie,غوټه
time,وخت
tiny,کوچنی
tire,د ټايرونو
to,ته
together,په ګډه
told,وويل
tone,لهجه
too,هم
took,کړ
tool,وسیله
top,سر
total,ټول
touch,لمس
toward,په لور
town,ښار
track,روان
trade,د سوداګرۍ
train,روزنه
travel,د سفر
tree,ونې
triangle,د مثلث
trip,سفر
trouble,ستونزې
truck,لارۍ
true,رښتيا
try,هڅه
tube,تيوب
turn,وار
twenty,شل
two,دوه
type,ډول
under,لاندې
unit,واحد
until,تر
up,پورې
us,موږ
use,استعمال
usual,د معمول
valley,دره
value,ارزښت
vary,توپیر لري
verb,فعل
very,ډېر
view,محتویات
village,د کلي
visit,سفر
voice,غږ
wait,انتظار
walk,مزل
wall,دیوال
want,غواړي
war,د جګړې
warm,تاوده
was,وه
wash,سیل
watch,د لیدو لپاره
water,د اوبو د
wave,څپې
way,لاره
we,موږ
wear,واغوندي
weather,د هوا
week,اونۍ
weight,د وزن
well,ښه
went,لاړل
were,وو
west,لويديځ
what,څه
wheel,څرخ
when,كله
where,هلته
whether,که
which,چې
while,په داسې حال کې
white,سپین
who,چې
whole,ټول
whose,د چا
why,ولې
wide,پراخه
wife,ښځه
wild,وحشي
will,به
win,ماتې ورکړه
wind,د باد
window,کړکۍ
wing,وزر
winter,د ژمي په
wire,سیم
wish,هیله
with,سره
woman,ښځه
women,د ښځو
wonder,حيران
won’t,به نه
wood,د لرګيو
word,کلمه
work,د کار
world,نړۍ
would,به
write,ولیکي
written,لیکل
wrong,غلط
wrote,وليکل
yard,انګړ
year,کال
yellow,ژیړ
yes,هو
yet,تر اوسه
you,تاسو
young,ځوان
your,ستاسو
