english,danish
oh,oh
oil,olie
old,gamle
on,på
once,en gang
one,en
only,kun
open,åben
operate,operere
opposite,modsat
or,eller
order,ordre
organ,orgel
original,originale
other,andre
our,vores
out,ud
over,løbet
own,egen
oxygen,ilt
page,side
paint,maling
pair,pair
paper,papir
paragraph,afsnit
parent,forælder
part,del
particular,særlig
party,parti
pass,pass
past,fortid
path,sti
pattern,mønster
pay,betale
people,mennesker
perhaps,måske
period,periode
person,"person,"
phrase,sætning
pick,pick
picture,billede
piece,stykke
pitch,tonehøjde
place,sted
plain,plain
plan,plan
plane,planet
planet,verden
plant,plante
play,spille
please,venligst
plural,flertal
poem,digt
point,punkt
poor,dårlig
populate,befolke
port,havn
pose,udgøre
position,stilling
possible,mulig
post,indlæg
pound,pund
power,magt
practice,praksis
prepare,forberede
present,til stede
press,presse
pretty,temmelig
print,udskriv
probable,sandsynlig
problem,problem
process,proces
produce,producere
product,produkt
proper,korrekt
property,ejendom
protect,beskytte
prove,bevise
provide,give
pull,træk
push,skub
put,sætte
quart,kvart
question,spørgsmål
quick,hurtig
quiet,stille
quite,helt
quotient,kvotient
race,løb
radio,radio
rail,skinne
rain,regn
raise,hæve
ran,løb
range,rækkevidde
rather,snarere
reach,nå
read,læse
ready,klar
real,real
reason,årsag
receive,modtage
record,rekord
red,rød
region,regionen
remember,huske
repeat,gentagelse
reply,svar
represent,repræsentere
require,kræver
rest,hvile
result,resultat
rich,rig
ride,tur
right,højre
ring,ring
rise,stige
river,flod
road,vej
rock,sten
roll,rulle
room,værelse
root,rod
rope,reb
rose,steget
round,runde
row,række
rub,gnide
rule,regel
run,køre
safe,sikker
said,sagde
sail,sejl
salt,salt
same,samme
sand,sandet
sat,lør
save,spare
saw,sav
say,sige
scale,skala
school,skole
science,videnskab
score,baseret
sea,hav
search,søg
season,årstid
seat,sæde
second,sekund
section,sektion
see,se
seed,frø
seem,synes
segment,segmentet
select,vælg
self,selv
sell,sælge
send,sende
sense,fornuft
sent,sendt
sentence,sætning
separate,særskilt
serve,tjene
set,sæt
settle,bosætte
seven,syv
several,flere
shall,skal
shape,form
share,aktie
sharp,skarp
she,hun
sheet,ark
shell,skallen
shine,skinne
ship,skib
shoe,sko
shop,butik
shore,kysten
short,kort
should,bør
shoulder,skulder
shout,råbe
show,vis
side,side
sight,syn
sign,tegn
silent,lydløs
silver,sølv
similar,lignende
simple,simpelt
since,siden
sing,synge
single,enkelt
sister,søster
sit,sidde
six,seks
size,størrelse
skill,færdighed
skin,hud
sky,himmel
slave,slave
sleep,søvn
slip,slip
slow,langsom
small,lille
smell,lugt
smile,smil
snow,sne
so,så
soft,blød
soil,jord
soldier,soldat
solution,opløsning
solve,løse
some,nogle
son,søn
song,sang
soon,snart
sound,lyd
south,syd
space,rum
speak,tale
special,særlige
speech,tale
speed,hastighed
spell,stave
spend,tilbringe
spoke,talte
spot,plet
spread,spredning
spring,fjeder
square,firkantet
stand,stå
star,stjerne
start,begyndelse
state,stat
station,stationen
stay,ophold
stead,stedet
steam,damp
steel,stål
step,trin
stick,stick
still,stadig
stone,sten
stood,stod
stop,stoppe
store,butik
story,historie
straight,lige ud
strange,mærkelig
stream,strøm
street,gade
stretch,strækning
string,streng
strong,stærk
student,studerende
study,undersøgelse
subject,emne
substance,stof
subtract,fratrække
success,succes
such,sådan
sudden,pludselige
suffix,endelse
sugar,sukker
suggest,tyder
suit,kulør
summer,sommer
sun,sol
supply,forsyning
support,støtte
sure,sikker
surface,overflade
surprise,overraskelse
swim,svømme
syllable,stavelse
symbol,symbolet
system,systemet
table,tabel
tail,hale
take,tage
talk,snak
tall,høj
teach,undervise
team,hold
teeth,tænder
tell,fortælle
temperature,temperatur
ten,ti
term,sigt
test,test
than,end
thank,tak
that,at
the,den
their,deres
them,dem
then,derefter
there,der
these,disse
they,de
thick,tyk
thin,tynd
thing,ting
think,tænke
third,tredje
this,dette
those,dem
though,selv
thought,tænkte
thousand,tusinde
three,tre
through,gennem
throw,smide
thus,således
tie,slips
time,tid
tiny,lille
tire,dæk
to,til
together,sammen
told,fortalt
tone,tone
too,også
took,tog
tool,værktøj
top,top
total,samlede
touch,røre
toward,mod
town,by
track,spor
trade,handel
train,tog
travel,rejser
tree,træ
triangle,trekant
trip,tur
trouble,besvær
truck,lastbil
true,sand
try,prøv
tube,rør
turn,tur
twenty,tyve
two,to
type,typen
under,under
unit,enhed
until,indtil
up,op
us,os
use,brug
usual,sædvanlig
valley,dal
value,værdi
vary,variere
verb,verbum
very,meget
view,udsigt
village,landsby
visit,besøg
voice,stemme
vowel,vokal
wait,vente
walk,gang
wall,væg
want,ønsker
war,krig
warm,varm
was,var
wash,vask
watch,ser
water,vand
wave,bølge
way,måde
we,vi
wear,slid
weather,vejr
week,uge
weight,vægt
well,godt
went,gik
were,var
west,vest
what,hvad
wheel,hjul
when,når
where,hvor
whether,hvorvidt
which,som
while,mens
white,hvid
who,der
whole,hele
whose,hvis
why,hvorfor
wide,bred
wife,kone
wild,vild
will,vil
win,sejr
wind,vind
window,vindue
wing,vinge
winter,vinter
wire,ledning
wish,ønske
with,med
woman,kvinde
women,kvinder
wonder,spekulerer
won’t,vil ikke
wood,træ
word,ord
work,arbejde
world,verden
would,ville
write,skrive
written,skriftlig
wrong,forkert
wrote,skrev
yard,værftet
year,år
yellow,gul
yes,ja
yet,endnu
you,du
young,unge
your,deres
