english,malagasy
differ,mitovy
difficult,sarotra
direct,mivantana
discuss,hevitra
distant,lavitra
divide,fisarahana
division,fizarana
do,atao
doctor,dokotera
does,no
dog,amboa
dollar,dolara
done,nanaovanareo
don’t,aza
door,varavarana
double,avo roa heny
down,midina
draw,hanatona
dream,manonofy
dress,fitafiana
drink,zava-pisotro
drive,fiara
drop,mitete
dry,maina
duck,gana
during,mandritra
each,tsirairay
ear,sofina
early,tany am-boalohany
earth,eto an-tany
ease,hanamaivana
east,atsinanana
eat,mihinana
edge,sisin’ny
effect,vokatry
egg,atody
eight,valo
either,na
electric,elektrika
element,singa
else,hafa
end,tapitra
enemy,fahavalo
energy,hery
engine,maotera
enough,ampy
enter,hiditra
equal,mitovy
equate,equate
especially,indrindra
even,na dia
evening,hariva
event,zava-nitranga
ever,mandrakizay
every,rehetra
exact,marina
example,ohatra
except,afa-tsy
excite,manaitaitra
exercise,fanatanjahan-tena
expect,manantena
experience,traikefa
experiment,andrana
eye,maso
face,endrika
fact,raha ny marina
fair,ara-drariny
fall,lavo
family,fianakaviana
famous,malaza
far,lavitra
farm,toeram-pambolena
fast,fifadian-kanina
fat,tavy
father,ray
favor,mankasitraka
fear,tahotra
feed,fahana
feel,mahatsapa
feet,tongotra
fell,latsaka
felt,nahatsapa
few,vitsivitsy
field,an-tsaha
fig,aviavy
fight,ady
figure,endrika
fill,mameno
final,farany
find,hahita
fine,tsara dia tsara
finger,rantsan-tànany
finish,farany
fire,afo
first,voalohany
fish,trondro
fit,antonona
five,dimy
flat,marin-
floor,rihana
flow,mikoriana
flower,voninkazo
fly,manidina
follow,manaraka
food,sakafo
foot,tongotra
for,fa
force,hery
forest,ala
form,endrika
forward,handroso
found,hita
four,efatra
fraction,ampahany
free,maimaim-poana
fresh,vaovao
friend,namana
from,amin’ny
front,anoloana
fruit,vokatra
full,feno
fun,mahafinaritra
game,lalao
garden,zaridaina
gas,mandatsa-dranomaso
gather,hanangona
gave,nanome
general,ankapobeny
gentle,malemy fanahy
get,mahazo
girl,ankizivavy
give,manome
glad,faly
glass,fitaratra
go,mandeha
gold,volamena
gone,lasa
good,tsara
got,nahazo
govern,hitantana
grand,lehibe
grass,ny ahitra
gray,volondavenona
great,lehibe
green,maitso
grew,nitombo
ground,tany
group,vondrona
grow,mitombo
guess,maminavina
guide,hitari-dalana
gun,basy
had,nanana
hair,volony
half,antsasany
hand,tanana
happen,hitranga
happy,sambatra
hard,mafy
has,manana
hat,satroka
have,manana
he,izy
head,lohany
hear,mihainoa
heard,nandre
heart,fo
heat,hafanana
heavy,mavesatra
held,held
help,vonjeo
her,azy
here,eto
high,avo
hill,colina
him,azy
his,ny
history,tantara
hit,voa
hold,mihazona
hole,lavaka
home,an-trano
hope,manantena
horse,soavaly
hot,mafana
hour,ora
house,trano
how,ahoana
huge,goavana
human,olombelona
hundred,jato
hunt,mihaza
hurry,faingana
i,i
ice,ranomandry
idea,hevitra
if,raha
imagine,sary an-tsaina
in,amin’ny
inch,mirefy
include,anisan’ny
indicate,maneho
industry,orinasa
insect,bibikely
instant,avy hatrany
instrument,fitaovana
interest,mahaliana
invent,mamorona
iron,vy
is,dia
island,nosy
it,izany
job,asa
join,hiaraka
joy,fifaliana
jump,hitsambikina
just,fotsiny
keep,foana
kept,foana
key,fototra
kill,mamono
kind,tsara fanahy
king,mpanjaka
knew,nahalala
know,mahafantatra
lady,vehivavy
lake,farihy
land,tany
language,fiteny
large,lehibe
last,farany
late,tara
laugh,nihomehy mihitsy
law,lalàna
lay,mametraka
lead,mitarika
learn,mianatra
least,kely indrindra
leave,miala
led,led
left,niala
leg,tongotra
length,lavany
less,kely kokoa
let,aoka
letter,taratasy
level,ambaratonga
lie,lainga
life,fiainana
lift,atraka
light,fahazavana
like,toy ny
line,tsipika
liquid,rano
list,lisitra
listen,mihaino
little,kely
live,velona
locate,toerana
log,midira
lone,irery
long,ela
look,mijery
lost,very
lot,be dia be
loud,mafy
love,fitiavana
low,ambany
machine,milina
made,nanao
magnet,andriamby
main,lehibe
major,lehibe
make,manao
man,ny olona
many,maro
map,sarintany
mark,marika
market,tsena
mass,faobe
master,tompony
match,lalao
material,fitaovana
matter,zavatra
may,mety
me,ahy
mean,hoe
meant,natao
measure,mandrefy
meat,hena
meet,mivory
melody,hira fiderana
men,ny olona
metal,metaly
method,fomba
middle,afovoany
might,mety
mile,kilaometatra
milk,ronono
million,tapitrisa
mind,an-tsaina
mine,ny ahy
minute,minitra
miss,miss
mix,afangaro
modern,ankehitriny
molecule,molekiola
moment,fotoana
money,vola
month,volana
moon,volana
more,bebe kokoa
morning,maraina
most,indrindra
mother,ny reniny
motion,soratra masina
mount,tendrombohitra
mountain,tendrombohitra
mouth,vava
move,hetsika
much,be
multiply,hahamaro
music,mozika
must,tsy maintsy
my,ny
name,anarana
nation,firenena
natural,voajanahary
nature,toetra
near,akaiky
necessary,ilaina
neck,tendany
need,mila
neighbor,mpiara-belona
never,na oviana na oviana
new,vaovao
next,manaraka
night,alina
nine,sivy
no,tsy
noise,feo
noon,mitataovovonana
nor,na
north,avaratra
nose,orona
note,fanamarihana
nothing,na inona na inona
notice,filazana
noun,anarana iombonana
now,ankehitriny
number,isa
numeral,anarana iombonana
object,zavatra
observe,mandinika
occur,mitranga
ocean,ranomasina
of,ny
off,eny
offer,tolotra
office,birao
often,matetika
oh,ô
oil,menaka
old,taloha
on,amin’ny
once,indray mandeha
one,iray
only,ihany
open,misokatra
operate,miasa
opposite,mifanohitra
or,na
order,mba
organ,taova
original,tany am-boalohany
other,hafa
our,ny
out,avy
over,ny
own,manokana
oxygen,ôksizenina
page,pejy
paint,nandoko
pair,mpivady
paper,taratasy
paragraph,andinin-tsoratra
parent,ray aman-dreny
part,fizarana
particular,manokana
party,antoko
pass,nitranga
past,ny lasa
path,lalana
pattern,fomba
pay,vola
people,ny olona
perhaps,angamba
period,fotoana
person,olona
phrase,andian-teny
pick,haka
picture,sary
piece,kely
pitch,dity
place,toerana
plain,tani-hay
plan,drafitra
plane,fiaramanidina
planet,planeta
plant,fototra
play,milalao
please,mba miangavy re
plural,teny
poem,tononkalo
point,hevitra
poor,mahantra
populate,hameno
port,seranan-tsambo
pose,mametraka
position,toerana
possible,azo atao
post,lahatsoratra
pound,pound
power,fahefana
practice,fanao
prepare,hiomana
present,ankehitriny
press,mpanao gazety
pretty,tsara tarehy
print,printy
probable,inoana
problem,olana
process,dingana
produce,voka-pambolena sy fiompiana
product,vokatra
proper,iombonana
property,fananana
protect,miaro
prove,manaporofo
provide,manome
pull,sintony
push,atoseho
put,mametraka
quart,litatra
question,fanontaniana
quick,haingana
quiet,mangina
quite,tena
quotient,quotient
race,hazakazaka
radio,onjam-peo
rail,lalamby
rain,orana
raise,atsangano
ran,nihazakazaka
range,isan-karazany
rather,fa
reach,hahatratra
read,vakio
ready,vonona
real,tena
reason,antony
receive,mandray
record,rakitsoratra
red,mena
region,faritra
remember,tsarovy
repeat,avereno
reply,navalin’i
represent,maneho
require,mitaky
rest,fitsaharana
result,vokatra
rich,manan-karena
ride,mitaingina
right,marina
ring,peratra
rise,mitsangana
river,ony
road,lalana
rock,vato
roll,horonam-boky
room,efitra
root,faka
rope,tady
rose,nitsangana
round,manodidina
row,ny laharana
rub,rub
rule,fitsipika
run,run
safe,azo antoka
said,nanao hoe:
sail,niondrana an-tsambo
salt,sira
same,toy izany koa
sand,fasika
sat,sat
save,afa-
saw,tsofa
say,milaza
scale,ambaratonga
school,am-pianarana
science,ny siansa
score,maty
sea,ranomasina
search,fikarohana
season,vanim-potoana
seat,seza
second,faharoa
section,faritra
see,jereo
seed,voa
seem,toa
segment,ampahany
select,mifidy
self,tena
sell,mivarotra
send,handefa
sense,hevitra
sent,naniraka
sentence,didim-pitsarana
separate,misaraka
serve,manompo
set,napetraka
settle,hanorim-ponenana
seven,fito
several,maro
shall,dia
shape,endrika
share,anjara
sharp,maranitra
she,izy
sheet,lamba
shell,akorandriaka
shine,hamirapiratra
ship,sambo
shoe,kiraro
shop,fivarotana
shore,eny an-tanety
short,fohy
should,tokony
shoulder,soroka
shout,manaova feo fifaliana
show,fampisehoana
side,lafiny
sight,fahitana
sign,famantarana
silent,mangina
silver,volafotsy
similar,mitovy
simple,tsotra
since,satria
sing,mihira
single,tokan-tena
sister,rahavavy
sit,mipetraka
six,enina
size,habeny
skill,fahaiza-manao
skin,hoditra
sky,lanitra
slave,mpanompo
sleep,torimaso
slip,taratasy mi-
slow,miadana
small,kely
smell,manimbolo
smile,tsiky
snow,oram-panala
so,izany
soft,malefaka
soil,nofon-tany
soldier,miaramila
solution,vahaolana
solve,mamaha
some,ny sasany
son,zazalahy
song,hira
soon,tsy ho ela
sound,feo
south,atsimo
space,toerana
speak,miteny
special,manokana
speech,miteny
speed,hafainganam-pandeha
spell,tsipelina
spend,mandany
spoke,niteny
spot,toerana
spread,fielezan’ny
spring,lohataona
square,kianja
stand,mitsangana
star,kintana
start,nanomboka
state,fanjakana
station,peo
stay,mijanona
stead,hisolo
steam,etona
steel,vy
step,dingana
stick,tapa-kazo
still,mbola
stone,vato
stood,nitsangana
stop,mijanòna
store,fivarotana
story,tantara
straight,mahitsy
strange,hafahafa
stream,stream
street,teny an-dalana
stretch,mihinjitra
string,kofehy
strong,mahery
student,mpianatra
study,fianarana
subject,foto-kevitra
substance,fananana
subtract,analana
success,fahombiazana
such,toy izany
sudden,tampoka
suffix,suffix
sugar,siramamy
suggest,hevitra
suit,niantso ny fiangonany
summer,fahavaratra
sun,masoandro
supply,famatsiana
support,fanohanana
sure,azo antoka
surface,ambonin’ny
surprise,tsy nampoizina
swim,milomano
syllable,vanin
symbol,famantarana
system,rafitra
table,latabatra
tail,rambo
take,handray
talk,lahateny
tall,lava
teach,mampianatra
team,ekipa
teeth,nify
tell,milaza
temperature,mari-pana
ten,folo
term,teny
test,fitsapana
than,noho ny
thank,misaotra
that,fa
the,ny
their,ny
them,azy ireo
then,avy eo
there,ery
these,ireo
they,izy ireo
thick,matevina
thin,manify
thing,zavatra
think,mieritreritra
third,fahatelo
this,izany
those,ireo
though,aza
thought,nihevitra
thousand,arivo
three,telo
through,ny alalan ’
throw,hitora
thus,dia toy izany no
tie,karavato
time,fotoana
tiny,kely
tire,kodiarana
to,ny
together,miara-
told,nilaza
tone,fiteny
too,koa
took,naka
tool,fitaovana
top,ambony
total,tanteraka
touch,mikasika
toward,amin’ny
town,tanàna
track,lalana
trade,varotra
train,fiaran-dalamby
travel,tsangatsangana
tree,hazo
triangle,telozoro
trip,saran-dalana
trouble,olana
truck,kamiao
true,marina
try,manandrana
tube,fantsona
turn,indray
twenty,roa-polo
two,roa
type,karazany
under,eo ambany
unit,vondrona
until,mandra-
up,ny
us,antsika
use,fampiasana
usual,mahazatra
valley,dohasaha
value,danja
vary,tsy mitovy
verb,ny matoanteny amin’ny
very,tena
view,view
village,tanàna
visit,fitsidihana
voice,feo
vowel,zanatsoratra
wait,miandry
walk,mandeha
wall,rindrina
want,te
war,ady
warm,mafana
was,dia
wash,wash
watch,mijery
water,rano
wave,alon
way,fomba
we,izahay
wear,mitondra
weather,toetrandro
week,herinandro
weight,lanja
well,tsara
went,nandeha
were,ireo
west,andrefana
what,inona
wheel,kodiarana
when,rahoviana
where,izay
whether,na
which,izay
while,raha
white,fotsy
who,izay
whole,rehetra
whose,izay
why,antony
wide,malalaka
wife,vadiny
wild,bibidia
will,ho
win,win
wind,rivotra
window,varavarankely
wing,elatra
winter,ririnina
wire,tariby
wish,maniry
with,amin’ny
woman,vehivavy
women,vehivavy
wonder,manontany tena
won’t,dia tsy
wood,hazo
word,teny
work,asa
world,izao tontolo izao
would,te
write,manoratra
written,voasoratra
wrong,diso
wrote,nanoratra
yard,tokontany
year,taona
yellow,mavo
yes,eny
yet,nefa
you,ianao
young,tanora
your,ny
