english,croatian
few,nekoliko
field,polje
fig,slika
fight,borba
figure,slika
fill,popuniti
final,konačni
find,naći
fine,fino
finger,prst
finish,finiš
fire,vatra
first,prvi
fish,riba
fit,pristajati
five,pet
flat,stan
floor,kat
flow,protok
flower,cvijet
fly,letjeti
follow,slijediti
food,hrana
foot,stopala
for,za
force,sila
forest,šuma
form,obrazac
forward,naprijed
found,nađen
four,četiri
fraction,razlomak
free,besplatno
fresh,svježi
friend,prijatelj
from,iz
front,prednji
fruit,voće
full,puna
fun,zabava
game,igra
garden,vrt
gas,plin
gather,okupljaju
gave,dao
general,opći
gentle,nježan
get,dobiti
girl,djevojka
give,daju
glad,drago
glass,staklo
go,ići
gold,zlato
gone,otišli
good,dobro
got,dobio
govern,vladati
grand,veličanstven
grass,trava
gray,siv
great,super
green,zelena
grew,rastao
ground,tlo
group,skupina
grow,rasti
guess,pogađati
guide,voditi
gun,puška
had,imala
hair,kosa
half,pola
hand,ruka
happen,dogoditi se
happy,sretna
hard,teško
has,ima
hat,šešir
have,imati
he,on
head,glava
hear,čuju
heard,čula
heart,srce
heat,topline
heavy,teško
held,održana
help,pomoći
her,ju
here,ovdje
high,visoka
hill,hill
him,ga
his,njegov
history,povijest
hit,hit
hold,držati
hole,rupa
home,početna
hope,nadam
horse,konj
hot,vruće
hour,sat
house,kuća
how,kako
huge,ogroman
human,ljudsko
hundred,sto
hunt,hunt
hurry,požuriti
i,ja
ice,led
idea,ideja
if,ako
imagine,zamislite
in,u
inch,palac
include,uključuju
indicate,naznačiti
industry,industriju
insect,insekata
instant,instant
instrument,instrument
interest,interes
invent,izmišljati
iron,željezo
is,je
island,otok
it,to
job,posao
join,pridruže
joy,radost
jump,skočiti
just,upravo
keep,zadržati
kept,zadržao
key,ključ
kill,ubiti
kind,vrsta
king,kralj
knew,znao
know,znam
lady,dama
lake,jezero
land,zemljište
language,jezik
large,veliki
last,posljednji
late,kasno
laugh,smijati
law,zakon
lay,ležao
lead,dovesti
learn,učiti
least,najmanji
leave,ostavite
led,dovelo
left,napustio
leg,noga
length,dužina
less,manje
let,pustiti
letter,pismo
level,razina
lie,laž
life,život
lift,lift
light,svjetlo
like,kao što
line,linija
liquid,tekućina
list,popis
listen,slušaj
little,malo
live,živjeti
locate,locirati
log,klada
lone,usamljeni
long,dug
look,izgleda
lost,izgubljen
lot,puno
loud,glasno
love,volim
low,niska
machine,uređaj
made,napravljen
magnet,magnet
main,glavni
major,glavni
make,napraviti
man,čovjek
many,mnogi
map,karta
mark,mark
market,tržište
mass,masa
master,majstor
match,susret
material,materijal
matter,stvar
may,svibanj
me,ja
mean,znači
meant,značio
measure,mjeri
meat,meso
meet,upoznajte
melody,melodija
men,muškarci
metal,metala
method,način
middle,srednji
might,možda
mile,milja
milk,mlijeko
million,milijuna
mind,um
mine,rudnik
minute,minuta
miss,propustiti
mix,mix
modern,moderni
molecule,molekula
moment,trenutak
money,novac
month,mjesec
moon,mjesec
more,više
morning,jutro
most,većina
mother,majka
motion,prijedlog
mount,planina
mountain,planina
mouth,usta
move,potez
much,mnogo
multiply,množite
music,glazba
must,mora
my,moj
name,naziv
nation,nacija
natural,prirodni
nature,priroda
near,blizu
necessary,neophodan
neck,vrat
need,potrebno
neighbor,susjed
never,nikad
new,nova
next,sljedeći
night,noć
nine,devet
no,ne
noise,buka
noon,podne
nor,niti
north,sjeverno
nose,nos
note,bilješka
nothing,ništa
notice,obavijest
noun,imenica
now,sada
number,broj
numeral,cifra
object,objekt
observe,promatrati
occur,pojaviti
ocean,ocean
of,od
off,isključen
offer,ponuda
office,ured
often,često
oh,oh
oil,ulje
old,stari
on,na
once,jednom
one,jedan
only,samo
open,otvoren
operate,raditi
opposite,nasuprot
or,ili
order,poredak
organ,orgulje
original,izvorna
other,drugi
our,naša
out,iz
over,više
own,vlastita
oxygen,kisika
page,stranica
paint,slikati
pair,par
paper,papir
paragraph,stavak
parent,roditelj
part,dio
particular,konkretno
party,stranka
pass,proći
past,prošlost
path,put
pattern,uzorak
pay,platiti
people,ljudi
perhaps,možda
period,razdoblje
person,osoba
phrase,fraza
pick,brati
picture,slika
piece,komad
pitch,pitch
place,mjesto
plain,obični
plan,plan
plane,avion
planet,planet
plant,biljka
play,igrati
please,molim
plural,množini
poem,pjesma
point,točka
poor,siromašnih
populate,naseliti
port,luka
pose,poza
position,položaj
possible,moguće
post,poslije
pound,funta
power,snaga
practice,praksa
prepare,pripremi
present,prisutna
press,pritisnite
pretty,prilično
print,ispis
probable,vjerojatno
problem,problem
process,proces
produce,proizvesti
product,proizvod
proper,pravi
property,svojstvo
protect,zaštititi
prove,dokazati
provide,predvidjeti
pull,povući
push,guranje
put,staviti
quart,pošteda
question,pitanje
quick,quick
quiet,tiho
quite,sasvim
quotient,kvocijent
race,utrka
radio,radio
rail,željeznicom
rain,kiša
raise,podizanje
ran,ran
range,domet
rather,radije
reach,dostići
read,pročitati
ready,spremni
real,real
reason,razlog
receive,dobiti
record,rekord
red,crvena
region,regija
remember,zapamtite
repeat,ponoviti
reply,odgovori
represent,predstavljaju
require,zahtijevati
rest,ostatak
result,rezultat
rich,bogata
ride,vožnja
right,pravo
ring,prsten
rise,rasti
river,rijeka
road,cesta
rock,stijena
roll,svitak
room,soba
root,korijen
rope,konop
rose,ruža
round,okrugli
row,red
rub,trljati
rule,pravilo
run,run
safe,sigurno
said,rekao je
sail,jedro
salt,sol
same,isti
sand,pijesak
sat,sat
save,spasiti
saw,pila
say,kažu
scale,razmjera
school,škola
science,znanost
score,postići
sea,more
search,pretraživanje
season,sezona
seat,sjedište
second,drugi
section,dio
see,vidjeti
seed,sjeme
seem,čini se
segment,segment
select,odaberite
self,samouprave
sell,prodajemo
send,poslati
sense,osjećaj
sent,poslao
sentence,rečenica
separate,zaseban
serve,služe
set,skup
settle,nastaniti
seven,sedam
several,nekoliko
shall,mora
shape,oblik
share,udio
sharp,oštar
she,ona
sheet,list
shell,shell
shine,sjaj
ship,brod
shoe,cipela
shop,dućan
shore,prikljucak
short,ukratko
should,trebale
shoulder,ramena
shout,povik
show,show
side,strana
sight,prizor
sign,znak
silent,tihi
silver,srebro
similar,sličan
simple,jednostavan
since,budući
sing,pjevati
single,pojedinačni
sister,sestra
sit,sjediti
six,šest
size,veličina
skill,vještina
skin,koža
sky,nebo
slave,rob
sleep,spavanje
slip,slip
slow,spor
small,mali
smell,miris
smile,osmijeh
snow,snijeg
so,tako
soft,mekan
soil,tlo
soldier,vojnik
solution,otopina
solve,riješiti
some,neki
son,sin
song,pjesma
soon,uskoro
sound,zvuk
south,jug
space,prostor
speak,govoriti
special,poseban
speech,govor
speed,brzina
spell,čarolija
spend,potrošiti
spoke,govorio
spot,mjesto
spread,širenje
spring,proljeće
square,trg
stand,stajati
star,zvijezda
start,početak
state,stanje
station,kolodvor
stay,ostati
stead,stead
steam,para
steel,čelik
step,korak
stick,štap
still,još uvijek
stone,kamena
stood,stajao
stop,zaustaviti
store,trgovina
story,priča
straight,ravno
strange,čudno
stream,potok
street,ulica
stretch,stretch
string,niz
strong,jak
student,student
study,studija
subject,subjekt
substance,tvar
subtract,oduzmite
success,uspjeh
such,kao što
sudden,nagli
suffix,sufiks
sugar,šećer
suggest,predložiti
suit,odijelo
summer,ljeto
sun,sunce
supply,opskrba
support,podrška
sure,sigurni
surface,površina
surprise,iznenađenje
swim,kupanje
syllable,slog
symbol,simbol
system,sistem
table,stol
tail,rep
take,potrajati
talk,razgovor
tall,visok
teach,poučavati
team,tim
teeth,zubi
tell,reći
temperature,temperatura
ten,deset
term,pojam
test,test
than,od
thank,zahvaljujem
that,da
the,biti
their,svoje
them,ih
then,zatim
there,postoji
these,to
they,oni
thick,debela
thin,tanak
thing,stvar
think,mislim
third,treći
this,ovo
those,onima
though,iako
thought,mislio
thousand,tisuća
three,tri
through,kroz
throw,bacati
thus,tako
tie,vezati
time,vrijeme
tiny,maleni
tire,gume
to,kako bi
together,zajedno
told,rekao
tone,ton
too,previše
took,uzeo
tool,alat
top,vrh
total,ukupan
touch,touch
toward,prema
town,grad
track,staza
trade,trgovina
train,vlak
travel,putovanje
tree,stablo
triangle,trokut
trip,putovanje
trouble,nevolja
truck,kamion
true,pravi
try,probati
tube,cijev
turn,red
twenty,dvadesetak
two,dva
type,tip
under,pod
unit,jedinica
until,do
up,do
us,nas
use,koristiti
usual,uobičajena
valley,dolina
value,vrijednost
vary,razlikuju
verb,glagol
very,vrlo
view,pogled
village,selo
visit,posjet
voice,glas
vowel,samoglasnik
wait,čekati
walk,hodati
wall,zid
want,željeti
war,rat
warm,toplo
was,bio
wash,pranje
watch,gledati
water,voda
wave,val
way,način
we,smo
wear,nosite
weather,vremenska prognoza
week,tjedan
weight,težina
well,dobro
went,otišao
were,bili su
west,zapadno
what,što
wheel,kotača
when,kada
where,gdje
whether,da li
which,koji
while,a
white,bijela
who,koji
whole,cijeli
whose,čije
why,zašto
wide,širok
wife,žena
wild,divlja
will,hoće
win,pobjeda
wind,vjetar
window,prozor
wing,krilo
winter,zima
wire,žica
wish,želite
with,s
woman,žena
women,žene
wonder,pitam
won’t,neće
wood,drva
word,riječ
work,rad
world,svijet
would,bi
write,pisati
written,napisano
wrong,pogrešno
wrote,pisao
yard,dvorište
year,godine
yellow,žuta
yes,da
yet,još
you,što
young,mladi
your,vaš
