english,norwegian
offer,tilbudet
office,kontor
often,ofte
oh,oh
oil,olje
old,gammel
on,på
once,gang
one,ett
only,bare
open,åpent
operate,betjene
opposite,motsatt
or,eller
order,rekkefølge
organ,organ
original,opprinnelige
other,andre
our,vår
out,ut
over,løpet
own,egen
oxygen,oksygen
page,side
paint,maling
pair,pair
paper,papir
paragraph,avsnitt
parent,forelder
part,del
particular,særlig
party,fest
pass,passere
past,fortid
path,bane
pattern,mønster
pay,betale
people,folk
perhaps,kanskje
period,periode
person,personer
phrase,frase
pick,plukke
picture,bilde
piece,piece
pitch,banen
place,sted
plain,plain
plan,planen
plane,planet
planet,planet
plant,anlegg
play,spille
please,vennligst
plural,flertall
poem,dikt
point,punkt
poor,dårlig
populate,befolke
port,port
pose,posere
position,stilling
possible,mulig
post,post
pound,pund
power,makt
practice,praksis
prepare,forberede
present,stede
press,trykk
pretty,pen
print,print
probable,sannsynlig
problem,problem
process,prosessen
produce,produsere
product,produkt
proper,riktig
property,eiendom
protect,beskytte
prove,bevise
provide,gi
pull,trekke
push,push
put,sette
quart,kvart
question,spørsmål
quick,rask
quiet,stille
quite,ganske
quotient,kvotient
race,veddeløp
radio,radioen
rail,skinne
rain,regn
raise,heve
ran,ran
range,range
rather,heller
reach,nå
read,lese
ready,klar
real,real
reason,grunnen
receive,motta
record,rekord
red,red
region,region
remember,huske
repeat,gjenta
reply,svar
represent,representerer
require,krever
rest,resten
result,resultat
rich,rik
ride,ride
right,høyre
ring,ring
rise,stige
river,elv
road,vei
rock,stein
roll,rulle
room,rom
root,rot
rope,tau
rose,rose
round,runde
row,rad
rub,gni
rule,regelen
run,kjøre
safe,trygg
said,sa
sail,seil
salt,saltet
same,samme
sand,sand
sat,sat
save,spare
saw,sag
say,si
scale,skala
school,skole
science,vitenskap
score,poengsum
sea,sea
search,søk
season,sesong
seat,sete
second,andre
section,seksjon
see,se
seed,seedet
seem,synes
segment,segment
select,velg
self,selv
sell,selge
send,send
sense,følelse
sent,sendt
sentence,setning
separate,separat
serve,tjene
set,sett
settle,bosette
seven,syv
several,flere
shall,skal
shape,form
share,aksje
sharp,skarp
she,hun
sheet,ark
shell,shell
shine,skinne
ship,skip
shoe,shoe
shop,butikk
shore,shore
short,kort
should,bør
shoulder,skulder
shout,rop
show,vis
side,side
sight,synet
sign,skilt
silent,taus
silver,sølv
similar,lignende
simple,enkel
since,siden
sing,synge
single,enslig
sister,søster
sit,sitte
six,seks
size,størrelse
skill,ferdighet
skin,hud
sky,himmel
slave,slave
sleep,søvn
slip,slip
slow,langsom
small,liten
smell,lukt
smile,smil
snow,snø
so,så
soft,myk
soil,jord
soldier,soldat
solution,løsning
solve,løse
some,noen
son,sønn
song,sangen
soon,snart
sound,høres
south,sør
space,plass
speak,snakke
special,spesiell
speech,tale
speed,hastighet
spell,stave
spend,bruke
spoke,snakket
spot,sted
spread,spredningen
spring,våren
square,square
stand,stå
star,stjerners
start,start
state,stat
station,stasjonen
stay,opphold
stead,stedet
steam,steam
steel,stål
step,trinn
stick,stick
still,fortsatt
stone,stein
stood,sto
stop,stoppe
store,butikken
story,historien
straight,rett
strange,merkelig
stream,stream
street,street
stretch,stretch
string,streng
strong,sterk
student,studenten
study,studien
subject,lagt
substance,substans
subtract,subtrahere
success,suksess
such,slik
sudden,plutselige
suffix,suffiks
sugar,sukker
suggest,foreslå
suit,drakt
summer,sommer
sun,sol
supply,forsyning
support,støtte
sure,sikker
surface,overflaten
surprise,overraskelse
swim,svømmetur
syllable,stavelse
symbol,symbol
system,system
table,bord
tail,halen
take,ta
talk,diskusjon
tall,høyt
teach,undervise
team,teamet
teeth,tenner
tell,fortelle
temperature,temperatur
ten,ti
term,term
test,test
than,enn
thank,takk
that,at
the,den
their,deres
them,dem
then,deretter
there,det
these,disse
they,de
thick,tykk
thin,tynn
thing,ting
think,tror
third,tredje
this,dette
those,de
though,skjønt
thought,trodde
thousand,tusen
three,tre
through,gjennom
throw,kaste
thus,dermed
tie,slips
time,tid
tiny,tiny
tire,dekk
to,til
together,sammen
told,fortalte
tone,tonen
too,også
took,tok
tool,verktøy
top,toppen
total,totalt
touch,røre
toward,mot
town,byen
track,spor
trade,handel
train,tog
travel,reise
tree,tre
triangle,trekant
trip,tur
trouble,trøbbel
truck,lastebil
true,sant
try,prøve
tube,tube
turn,sving
twenty,tjue
two,to
type,typen
under,etter
unit,enhet
until,før
up,opp
us,oss
use,bruk
usual,vanlig
valley,dalen
value,verdi
vary,variere
verb,verb
very,veldig
view,visning
village,landsby
visit,besøk
voice,stemme
vowel,vokal
wait,vente
walk,gå
wall,veggen
want,ønsker
war,krig
warm,varm
was,var
wash,vask
watch,se
water,vann
wave,wave
way,måte
we,vi
wear,slitasje
weather,vær
week,uke
weight,vekt
well,godt
went,gikk
were,var
west,vest
what,hva
wheel,wheel
when,når
where,der
whether,enten
which,som
while,mens
white,hvit
who,som
whole,hele
whose,hvis
why,hvorfor
wide,wide
wife,kone
wild,vill
will,vil
win,vinne
wind,vind
window,vindu
wing,vinge
winter,vinter
wire,ledning
wish,ønsker
with,med
woman,kvinne
women,kvinner
wonder,rart
won’t,vil ikke
wood,tre
word,ordet
work,arbeid
world,verden
would,ville
write,skrive
written,skrevet
wrong,galt
wrote,skrev
yard,tunet
year,år
yellow,gul
yes,ja
yet,ennå
you,du
young,ung
your,din
