english,kazakh
corn,дән
corner,бұрыш
correct,дұрыс
cost,құны
cotton,мақта
could,еді
count,санау
country,ел
course,курс
cover,қақпақ
cow,сиыр
crease,қыртыстарды
create,жасау
crop,өнім
cross,крест
crowd,тобыр
cry,жылау
current,ағымдағы
cut,кесу
dad,әке
dance,би
danger,қауіп
dark,қараңғы
day,күн
dead,өлі
deal,мәміле
dear,құрметті
death,өлім
decide,шешу
decimal,ондық
deep,терең
degree,градус
depend,байланысты
describe,сипаттау
desert,шөл
design,жобалау
determine,анықтау
develop,даму
dictionary,сөздік
did,жасады
die,өлу
differ,әр түрлі
difficult,қиын
direct,тура
discuss,талқылау
distant,алыс
divide,бөлу
division,бөлу
do,істеу
doctor,дәрігер
does,жасайды
dog,ит
dollar,доллар
done,done
don’t,істемеу
door,есік
double,қос
down,төмен
draw,сурет салу
dream,арман
dress,көйлек
drink,сусын
drive,диск
drop,тастау
dry,құрғақ
duck,үйрек
during,ішінде
each,әрбір
ear,құлақ
early,ерте
earth,жер
ease,жеңілдік
east,шығыс
eat,жеу
edge,edge
effect,әсер
egg,жұмыртқа
eight,сегіз
either,немесе
electric,электр
element,элемент
else,тағы
end,соңы
enemy,жау
energy,энергия
engine,қозғалтқыш
enough,жеткілікті
enter,кіру
equal,тең
equate,теңестіру
especially,әсіресе
even,тіпті
evening,кеш
event,оқиға
ever,соңды
every,әрбір
exact,дәл
example,мысал
except,қоспағанда
excite,қоздыру
exercise,жаттығу
expect,күту
experience,тәжірибе
experiment,эксперимент
eye,көз
face,бет
fact,факт
fair,әділ
fall,күз
family,отбасы
famous,атақты
far,алыс
farm,ферма
fast,жылдам
fat,май
father,әке
favor,сыпайылық
fear,қорқыныш
feed,жем
feel,сезу
feet,фут
fell,пала
felt,сезіндім
few,бірнеше
field,өріс
fig,інжір
fight,төбелес
figure,сан
fill,толтыру
final,соңғы
find,табу
fine,айыппұл
finger,саусақ
finish,финиш
fire,от
first,бірінші
fish,балық
fit,fit
five,бес
flat,тегіс
floor,еден
flow,ағыны
flower,гүл
fly,шыбын
follow,орындаңыз
food,тамақ
foot,аяқ
for,үшін
force,күш
forest,орман
form,форма
forward,алға
found,табылған
four,төрт
fraction,фракциясы
free,тегін
fresh,жаңа
friend,дос
from,-дан
front,алдыңғы
fruit,жеміс
full,толық
fun,ермек
game,ойын
garden,бақ
gas,газ
gather,жинау
gave,берді
general,жалпы
gentle,жұмсақ
get,алу
girl,қыз бала
give,беру
glad,қуанышты
glass,шыны
go,жүру
gold,алтын
gone,кеткен
good,жақсы
got,алды
govern,басқару
grand,grand
grass,шөп
gray,сұр
great,ұлы
green,жасыл
grew,өсті
ground,жер
group,топ
grow,өсу
guess,жорамал
guide,гид
gun,мылтық
had,болды
hair,шаш
half,жарты
hand,қол
happen,орын
happy,бақытты
hard,қиын
has,бар
hat,hat
have,бар
he,ол
head,бас
hear,тыңдау
heard,естідім
heart,жүрек
heat,ыстық
heavy,ауыр
held,өткізілген
help,көмектесіңіздер
her,оның
here,мұнда
high,биік
hill,төбе
him,оған
his,оның
history,тарихы
hit,hit
hold,ұстау
hole,тесік
home,үй
hope,үміт
horse,жылқы
hot,ыстық
hour,сағат
house,үй
how,қалай
huge,үлкен
human,адам
hundred,жүз
hunt,аңшылық
hurry,асығу
i,мен
ice,мұз
idea,идея
if,егер
imagine,елестету
in,жылы
inch,дюймдік
include,қамтиды
indicate,көрсету
industry,өнеркәсіп
insect,жәндік
instant,лезде
instrument,аспап
interest,қызығушылық
invent,ойлап
iron,темір
is,болып табылады
island,арал
it,бұл
job,жұмыс
join,қосылу
joy,қуаныш
jump,секіру
just,әділ
keep,ұстау
kept,сақталады
key,кілт
kill,өлтіру
kind,мейірімді
king,патша
knew,білген
know,білу
lady,ханым
lake,көл
land,жер
language,тіл
large,үлкен
last,соңғы
late,кеш
laugh,күлкі
law,заң
lay,қою
lead,қорғасын
learn,үйрену
least,кем дегенде
leave,қалдыру
led,жарық диодты индикатор
left,сол
leg,аяқ
length,ұзындық
less,аздау
let,мүмкіндік
letter,хат
level,деңгей
lie,өтірік
life,өмір
lift,көтеру
light,жеңіл
like,сияқты
line,сызық
liquid,сұйық
list,тізім
listen,тыңдау
little,кішкентай
live,тірі
locate,орналастыру
log,журнал
lone,жалғыз
long,ұзақ
look,іздеу
lost,жоғалған
lot,көп
loud,қатты
love,махаббат
low,төмен
machine,машина
made,құрады
magnet,магнит
main,басты
major,майор
make,жасау
man,адам
many,көптеген
map,карта
mark,белгі
market,базар
mass,масса
master,мастер
match,матч
material,материал
matter,мәселе
may,мүмкін
me,маған
mean,білдіреді
meant,білдіреді
measure,өлшеу
meat,ет
meet,кездестіру
melody,әуен
men,ерлер
metal,металл
method,әдіс
middle,орта
might,лязат
mile,миля
milk,сүт
million,миллион
mind,ақыл
mine,шахта
minute,минут
miss,сағыну
mix,араластыру
modern,қазіргі заманғы
molecule,молекуласы
moment,сәт
money,ақша
month,ай
moon,ай
more,көбірек
morning,таң
most,көбінесе
mother,ана
motion,қозғалыс
mount,mount
mountain,тау
mouth,ауыз
move,ауыстыру
much,өте
multiply,көбейту
music,музыка
must,керек
my,менің
name,ат
nation,ұлт
natural,табиғи
nature,табиғат
near,жақын
necessary,қажет
neck,мойын
need,мұқтаждық
neighbor,көрші
never,ешқашан да
new,жаңа
next,келесі
night,түн
nine,тоғыз
no,жоқ
noise,шу
noon,талтүс
nor,"де,"
north,солтүстік
nose,мұрын
note,ескерту
nothing,ештеңе
notice,ескерту
noun,зат есім
now,қазір
number,нөмір
numeral,сан
object,зат
observe,байқау
occur,пайда
ocean,мұхит
of,туралы
off,ажыратылған
offer,ұсыну
office,кеңсе
often,жиі
oh,oh
oil,мұнай
old,ескі
on,бойынша
once,бір рет
one,бір
only,тек
open,ашық
operate,басқару
opposite,қарама-қарсы
or,немесе
order,тапсырыс
organ,орган
original,түпнұсқа
other,басқа
our,біздің
out,жүзеге
over,үстінде
own,өз
oxygen,оттегі
page,бет
paint,бояу
pair,жұп
paper,қағаз
paragraph,параграф
parent,ата-аналар
part,бөлім
particular,ерекше
party,партия
pass,өту
past,өткен
path,соқпақ
pattern,үлгі
pay,төлеу
people,адамдар
perhaps,мүмкін
period,кезең
person,адам
phrase,сөйлем
pick,жинау
picture,сурет
piece,кесек
pitch,қадам
place,орын
plain,анық
plan,жоспар
plane,ұшақ
planet,планета
plant,өсімдік
play,ойын
please,өтінемін
plural,көптік
poem,өлең
point,тармақ
poor,кедей
populate,толтыру
port,порт
pose,қалып
position,позиция
possible,мүмкін
post,кейінгі
pound,қадақ
power,күш
practice,практика
prepare,әзірлеу
present,қазіргі
press,баспасөз
pretty,әдемі
print,басу
probable,ықтимал
problem,проблема
process,процесс
produce,шығару
product,өнім
proper,дұрыс
property,меншік
protect,қорғау
prove,дәлелдеу
provide,қамтамасыз ету
pull,тарт
push,басыңыз
put,қою
quart,тоқсан
question,сұрақ
quick,жылдам
quiet,тыныш
quite,әбден
quotient,фактор
race,нәсіл
radio,радио
rail,рельс
rain,жаңбыр
raise,көтеру
ran,ran
range,диапазон
rather,тезірек
reach,жету
read,оқу
ready,дайын
real,шын
reason,себеп
receive,алу
record,рекорд
red,қызыл
region,аймақ
remember,есте сақтау
repeat,қайталау
reply,жауап
represent,бейнелеу
require,талап
rest,демалыс
result,нәтиже
rich,бай
ride,жүру
right,оң
ring,жүзік
rise,көтерілу
river,өзен
road,жол
rock,rock
roll,орам
room,бөлме
root,түбір
rope,арқан
rose,раушан
round,дөңгелек
row,қатар
rub,руб
rule,ереже
run,жүгіру
safe,қауіпсіз
said,деді
sail,жүзу
salt,тұз
same,бірдей
sand,құм
sat,сб
save,құтқару
saw,ара
say,айту
scale,ауқымды
school,мектеп
science,ғылым
score,гол
sea,теңіз
search,іздеу
season,маусымы
seat,орын
second,секунд
section,бөлім
see,көру
seed,тұқым
seem,көрінуі
segment,сегмент
select,таңдау
self,өзін-өзі
sell,сату
send,жіберу
sense,сезім
sent,жіберілген
sentence,сөйлем
separate,жеке
serve,қызмет ету
set,орнату
settle,реттеуге
seven,жеті
several,бірнеше
shall,міндетті
shape,кескін
share,үлес
sharp,өткір
she,ол
sheet,табақ
shell,қабыршақ
shine,жылтыр
ship,кеме
shoe,туфли
shop,дүкен
shore,жаға
short,қысқа
should,қажет
shoulder,иық
shout,айқайлау
show,көрсету
side,тарап
sight,көру
sign,белгі
silent,тыныш
silver,күміс
similar,ұқсас
simple,қарапайым
since,бастап
sing,ән салу
single,бір
sister,қарындас
sit,отыру
six,алты
size,мөлшері
skill,шеберлік
skin,тері
sky,аспан
slave,құл
sleep,ұйықтау
slip,таю
slow,баяу
small,кішкентай
smell,иіс
smile,күлімсіреу
snow,қар
so,осылай
soft,жұмсақ
soil,топырақ
soldier,солдат
solution,шешім
solve,шешу
some,кейбір
son,ұл
song,ән
soon,тез
sound,дыбыс
south,оңтүстік
space,ғарыш
speak,айту
special,арнаулы
speech,сөйлеу
speed,жылдамдық
spell,емле
spend,жұмсауға
spoke,спица
spot,дақ
spread,тарату
spring,көктем
square,шаршы
stand,тұру
star,жұлдыз
start,бастау
state,мемлекет
station,станция
stay,болу
stead,stead
steam,бу
steel,болат
step,қадам
stick,таяқ
still,қимылсыз
stone,тас
stood,тұрды
stop,тоқта
store,қойма
story,әңгіме
straight,түзу
strange,оғаш
stream,ағыны
street,көше
stretch,созу
string,жол
strong,күшті
student,студент
study,оқу
subject,пән
substance,зат
subtract,шегеру
success,табыс
such,сондай
sudden,кенет
suffix,жұрнақ
sugar,қант
suggest,ұсынамыз
suit,костюм
summer,жаз
sun,күн
supply,жабдықтау
support,қолдау
sure,сенімді
surface,беті
surprise,тосын
swim,жүзу
syllable,слог
symbol,символы
system,жүйе
table,үстел
tail,құйрық
take,қабылдау
talk,әңгіме
tall,ұзын бойлы
teach,үйрету
team,команда
teeth,тістері
tell,айту
temperature,температура
ten,он
term,мерзім
test,сынақ
than,қарағанда
thank,алғыс айту
that,сол
the,the
their,олардың
them,оларға
then,содан кейін
there,ана жерде
these,осы
they,олар
thick,қалың
thin,жұқа
thing,нәрсе
think,ойлау
third,үшінші
this,осы
those,олар
though,дегенмен
thought,ой
thousand,мың
three,үш
through,арқылы
throw,лақтыру
thus,осылайша
tie,галстук
time,уақыт
tiny,кішкентай
tire,шина
to,қарай
together,бірге
told,айтты
tone,үн
too,де
took,алды
tool,аспап
top,үстінен
total,жалпы
touch,жанасу
toward,қарай
town,қала
track,жол
trade,сауда
train,поезд
travel,саяхат
tree,ағаш
triangle,үшбұрыш
trip,сапар
trouble,қиыншылық
truck,жүк көлігі
true,шынайы
try,әрекет
tube,түтік
turn,бұрылу
twenty,жиырма
two,екі
type,түрі
under,астында
unit,бірлік
until,дейін
up,жоғары
us,бізді
use,пайдалану
usual,әдеттегі
valley,аңғар
value,құн
vary,өзгерту
verb,етістік
very,өте
view,көрініс
village,ауыл
visit,бару
voice,дауыс
vowel,дауысты
wait,күту
walk,серуен
wall,қабырға
want,келеді
war,соғыс
warm,жылы
was,болды
wash,жуу
watch,сағат
water,су
wave,толқын
way,жол
we,біз
wear,кию
weather,ауа райы
week,апта
weight,салмақ
well,жақсы
went,барды
were,болды
west,батыс
what,не
wheel,дөңгелек
when,қашан
where,қайда
whether,ма
which,қай
while,уақыт
white,ақ
who,кім
whole,бүтін
whose,кімнің
why,неге
wide,кең
wife,әйел
wild,жабайы
will,ерік
win,жеңіс
wind,жел
window,терезе
wing,қанат
winter,қыс
wire,сым
wish,тілек
with,бірге
woman,әйел
women,әйелдер
wonder,керемет
won’t,емес болады
wood,орман
word,сөз
work,жұмыс
world,әлем
would,еді
write,жазу
written,жазбаша
wrong,қате
wrote,деп жазды
yard,аула
year,жыл
yellow,сары
yes,иә
yet,тағы
you,сіз
young,жас
your,сіздің
