english,french
listen,écouter
little,peu
live,vivre
locate,localiser
log,enregistrer
lone,seul
long,long
look,regarder
lost,perdu
lot,lot
loud,fort
love,amour
low,faible
machine,machine
made,fabriqué
magnet,aimant
main,principal
major,majeur
make,faire
man,homme
many,beaucoup
map,carte
mark,marque
market,marché
mass,masse
master,maître
match,rencontre
material,matériel
matter,question
may,peut
me,moi
mean,signifier
meant,signifiait
measure,mesurer
meat,viande
meet,se rencontrent
melody,mélodie
men,hommes
metal,métal
method,méthode
middle,milieu
might,puissance
mile,mile
milk,lait
million,million
mind,esprit
mine,mine
minute,minute
miss,manquer
mix,mélanger
modern,moderne
molecule,molécule
moment,moment
money,argent
month,mois
moon,lune
more,plus
morning,matin
most,plus
mother,mère
motion,mouvement
mount,monture
mountain,montagne
mouth,bouche
move,déménagement
much,beaucoup
multiply,multiplier
music,musique
must,il faut
my,ma
name,nom
nation,nation
natural,naturel
nature,nature
near,près de
necessary,nécessaire
neck,cou
need,besoin
neighbor,voisin
never,jamais
new,nouveau
next,suivant
night,nuit
nine,neuf
no,aucun
noise,bruit
noon,midi
nor,ni
north,nord
nose,nez
note,note
nothing,rien
notice,avis
noun,nom
now,maintenant
number,nombre
numeral,chiffre
object,objet
observe,observer
occur,se produire
ocean,océan
of,de
off,de
offer,proposition
office,bureau
often,souvent
oh,oh
oil,huile
old,vieux
on,sur
once,une fois
one,un
only,seulement
open,ouvert
operate,fonctionner
opposite,opposé
or,ou
order,ordre
organ,organe
original,original
other,autre
our,notre
out,dehors
over,sur
own,propre
oxygen,oxygène
page,page
paint,peindre
pair,paire
paper,papier
paragraph,paragraphe
parent,mère
part,partie
particular,particulier
party,partie
pass,passer
past,passé
path,chemin
pattern,modèle
pay,payer
people,personnes
perhaps,peut-être
period,période
person,personne
phrase,phrase
pick,choisir
picture,image
piece,pièce
pitch,pas
place,lieu
plain,plaine
plan,plan
plane,plan
planet,planète
plant,usine
play,jouer
please,s’il vous plaît
plural,pluriel
poem,poème
point,point
poor,pauvres
populate,peupler
port,port
pose,pose
position,position
possible,possible
post,poste
pound,livre
power,puissance
practice,pratique
prepare,préparer
present,présent
press,presse
pretty,assez
print,impression
probable,probable
problem,problème
process,processus
produce,produire
product,produit
proper,propre
property,propriété
protect,protéger
prove,prouver
provide,fournir
pull,tirer
push,pousser
put,mettre
quart,litre
question,question
quick,rapide
quiet,calme
quite,tout à fait
quotient,quotient
race,course
radio,radio
rail,rail
rain,pluie
raise,augmenter
ran,ran
range,gamme
rather,plutôt
reach,atteindre
read,lire
ready,prêt
real,réel
reason,raison
receive,recevoir
record,record
red,rouge
region,région
remember,rappeler
repeat,répétition
reply,répondre
represent,représenter
require,exiger
rest,reste
result,résultat
rich,riche
ride,tour
right,droit
ring,anneau
rise,augmenter
river,rivière
road,route
rock,rock
roll,rouleau
room,chambre
root,racine
rope,corde
rose,rose
round,tour
row,rangée
rub,rub
rule,règle
run,courir
safe,coffre-fort
said,dit
sail,voile
salt,sel
same,même
sand,sable
sat,sat
save,sauver
saw,scie
say,dire
scale,échelle
school,école
science,science
score,score
sea,mer
search,recherche
season,saison
seat,siège
second,deuxième
section,section
see,voir
seed,semence
seem,paraître
segment,segment
select,sélectionner
self,soi
sell,vendre
send,envoyer
sense,sens
sent,expédié
sentence,phrase
separate,séparé
serve,servir
set,ensemble
settle,régler
seven,sept
several,plusieurs
shall,doit
shape,forme
share,part
sharp,net
she,elle
sheet,feuille
shell,coquille
shine,éclat
ship,navire
shoe,chaussure
shop,boutique
shore,rivage
short,court
should,devrait
shoulder,épaule
shout,cri
show,montrer
side,côté
sight,vue
sign,signe
silent,silencieux
silver,argent
similar,similaire
simple,simple
since,depuis
sing,chanter
single,unique
sister,sœur
sit,s’asseoir
six,six
size,taille
skill,compétence
skin,peau
sky,ciel
slave,esclave
sleep,sommeil
slip,glissement
slow,lent
small,petit
smell,odeur
smile,sourire
snow,neige
so,si
soft,doux
soil,sol
soldier,soldat
solution,solution
solve,résoudre
some,certains
son,fils
song,chanson
soon,bientôt
sound,son
south,sud
space,espace
speak,parler
special,spécial
speech,discours
speed,vitesse
spell,épeler
spend,passer
spoke,rayon
spot,place
spread,propagation
spring,printemps
square,carré
stand,supporter
star,étoile
start,début
state,état
station,station
stay,rester
stead,place
steam,vapeur
steel,acier
step,étape
stick,bâton
still,encore
stone,pierre
stood,résisté
stop,arrêtez
store,magasin
story,histoire
straight,droit
strange,étrange
stream,courant
street,rue
stretch,tronçon
string,chaîne
strong,fort
student,étudiant
study,étude
subject,sujet
substance,substance
subtract,soustraire
success,succès
such,tel
sudden,soudain
suffix,suffixe
sugar,sucre
suggest,suggérer
suit,costume
summer,été
sun,soleil
supply,alimentation
support,support
sure,sûr
surface,surface
surprise,surprise
swim,baignade
syllable,syllabe
symbol,symbole
system,système
table,table
tail,queue
take,prendre
talk,parler
tall,haut
teach,enseigner
team,équipe
teeth,dents
tell,dire
temperature,température
ten,dix
term,terme
test,test
than,que
thank,merci
that,que
the,la
their,leur
them,les
then,puis
there,là
these,ces
they,ils
thick,épais
thin,mince
thing,chose
think,penser
third,troisième
this,ce
those,ceux
though,bien que
thought,pensée
thousand,mille
three,trois
through,par
throw,jeter
thus,ainsi
tie,lien
time,temps
tiny,minuscule
tire,pneu
to,à
together,ensemble
told,dit
tone,ton
too,trop
took,a pris
tool,outil
top,haut
total,total
touch,toucher
toward,vers
town,ville
track,piste
trade,commerce
train,train
travel,voyage
tree,arbre
triangle,triangle
trip,voyage
trouble,difficulté
truck,camion
true,vrai
try,essayer
tube,tube
turn,tour
twenty,vingt
two,deux
type,type
under,sous
unit,unité
until,jusqu’à ce que
up,jusqu’à
us,nous
use,utiliser
usual,habituel
valley,vallée
value,valeur
vary,varier
verb,verbe
very,très
view,vue
village,village
visit,visite
voice,voix
vowel,voyelle
wait,patienter
walk,marcher
wall,mur
want,vouloir
war,guerre
warm,chaud
was,était
wash,lavage
watch,regarder
water,eau
wave,vague
way,manière
we,nous
wear,porter
weather,temps
week,semaine
weight,poids
well,bien
went,est allé
were,étaient
west,ouest
what,que
wheel,roue
when,quand
where,où
whether,si
which,qui
while,tandis que
white,blanc
who,qui
whole,ensemble
whose,dont
why,pourquoi
wide,large
wife,femme
wild,sauvage
will,volonté
win,gagner
wind,vent
window,fenêtre
wing,aile
winter,hiver
wire,fil
wish,souhaiter
with,avec
woman,femme
women,femmes
wonder,se demander
won’t,ne sera pas
wood,bois
word,mot
work,travail
world,monde
would,voudrais
write,écrire
written,écrit
wrong,mal
wrote,écrit
yard,cour
year,année
yellow,jaune
yes,oui
yet,encore
you,vous
young,jeune
your,votre
