english,slovenian
cover,pokrov
cow,krava
crease,mečkanju
create,ustvariti
crop,pridelka
cross,čez
crowd,množica
cry,cry
current,sedanji
cut,cut
dad,oče
dance,ples
danger,nevarnost
dark,temna
day,dan
dead,mrtvi
deal,dogovor
dear,dragi
death,smrt
decide,odloči
decimal,decimalno
deep,globoko
degree,stopnja
depend,odvisni
describe,opisati
desert,desert
design,zasnova
determine,določitev
develop,razvoj
dictionary,slovar
did,storil
die,die
differ,razlikujejo
difficult,težko
direct,neposredne
discuss,razpravljali
distant,oddaljeni
divide,divide
division,delitev
do,storiti
doctor,zdravnik
does,ne
dog,pes
dollar,dolarjih
done,narejeno
don’t,ne
door,vrata
double,dvojna
down,navzdol
draw,pripravi
dream,sanjati
dress,obleka
drink,pijača
drive,pogon
drop,spusti
dry,suha
duck,duck
during,med
each,vsak
ear,uho
early,zgodaj
earth,zemlja
ease,enostavnost
east,vzhod
eat,jesti
edge,rob
effect,učinek
egg,jajce
eight,osem
either,bodisi
electric,električni
element,elementa
else,ostalo
end,konec
enemy,sovražnik
energy,energije
engine,motor
enough,dovolj
enter,vpišite
equal,enako
equate,enačijo
especially,še posebej
even,celo
evening,večer
event,dogodek
ever,kdaj
every,vsak
exact,natančen
example,primer
except,razen
excite,navdušile
exercise,vadba
expect,pričakujejo
experience,izkušnje
experiment,eksperiment
eye,oči
face,obraz
fact,dejstvo
fair,poštena
fall,padec
family,družina
famous,slavni
far,daleč
farm,kmetija
fast,hitro
fat,maščobe
father,oče
favor,prednost
fear,strah
feed,krma
feel,počutijo
feet,feet
fell,padel
felt,čutil
few,nekaj
field,polje
fig,fig
fight,boj
figure,slika
fill,izpolnite
final,final
find,ugotovijo
fine,fina
finger,prstov
finish,konča
fire,požar
first,prva
fish,ribe
fit,fit
five,pet
flat,pavšalni
floor,nadstropje
flow,tok
flower,cvet
fly,letenje
follow,sledite
food,hrana
foot,foot
for,za
force,sila
forest,gozd
form,obrazec
forward,naprej
found,najdenih
four,štiri
fraction,frakcija
free,brezplačno
fresh,sveža
friend,prijatelj
from,od
front,spredaj
fruit,sadje
full,polno
fun,zabavno
game,igra
garden,vrt
gas,plin
gather,zbrati
gave,dal
general,splošno
gentle,nežna
get,zaslužiti
girl,dekle
give,dati
glad,vesel
glass,steklo
go,pojdi
gold,gold
gone,odšli
good,dobro
got,dobil
govern,urejajo
grand,jurjev
grass,trava
gray,siva
great,velika
green,zelena
grew,rasla
ground,zemlja
group,skupina
grow,raste
guess,verjetno
guide,vodič
gun,gun
had,imela
hair,lasje
half,pol
hand,hand
happen,zgodilo
happy,srečen
hard,težko
has,ima
hat,hat
have,imajo
he,je
head,glava
hear,slišal
heard,slišal
heart,srce
heat,toplota
heavy,težka
held,ročna
help,pomaga
her,jo
here,tukaj
high,visoka
hill,hribu
him,njega
his,njegov
history,zgodovina
hit,udaril
hold,držite
hole,luknja
home,domov
hope,"upam,"
horse,konj
hot,hot
hour,ura
house,hiša
how,kako
huge,velika
human,človek
hundred,sto
hunt,lov
hurry,pohiti
i,i
ice,ice
idea,ideja
if,če
imagine,predstavljate
in,v
inch,inch
include,vključujejo
indicate,navesti
industry,industrija
insect,insect
instant,takojšnje
instrument,inštrument
interest,obresti
invent,izumiti
iron,likalnik
is,je
island,otok
it,lastna
job,delo
join,pridružite
joy,joy
jump,skok
just,samo
keep,hraniti
kept,hrani
key,ključ
kill,ubiti
kind,vrsta
king,king
knew,vedel
know,vedeti
lady,lady
lake,jezero
land,zemljišč
language,jezik
large,velika
last,zadnja
late,pozno
laugh,smeh
law,pravo
lay,določiti
lead,vodi
learn,naučiti
least,vsaj
leave,zapusti
led,vodil
left,levo
leg,leg
length,dolžina
less,manj
let,naj
letter,pismo
level,raven
lie,laž
life,življenje
lift,vlečnica
light,svetloba
like,kot
line,vrstica
liquid,tekočina
list,seznam
listen,poslušati
little,malo
live,živeti
locate,poiščite
log,se prijavite
lone,samoten
long,dolgo
look,poglej
lost,izgubil
lot,veliko
loud,glasno
love,ljubezen
low,nizka
machine,stroj
made,je
magnet,magnetni
main,glavni
major,velika
make,bi
man,moški
many,veliko
map,zemljevid
mark,znamka
market,trg
mass,masa
master,mojster
match,tekma
material,material
matter,"glede na to,"
may,lahko
me,me
mean,pomeni
meant,pomenilo
measure,merjenje
meat,meso
meet,izpolnjujejo
melody,melodijo
men,moški
metal,kovine
method,metoda
middle,middle
might,morda
mile,miljo
milk,mleko
million,milijonov
mind,razum
mine,rudnik
minute,minute
miss,gospodična
mix,premešamo
modern,sodobna
molecule,molekula
moment,trenutek
money,denar
month,mesec
moon,mesec
more,več
morning,jutro
most,najbolj
mother,mati
motion,gibanja
mount,nastavek
mountain,gorsko
mouth,usta
move,poteza
much,veliko
multiply,množijo
music,glasba
must,mora
my,my
name,ime
nation,narod
natural,naravna
nature,narava
near,blizu
necessary,potrebno
neck,vratu
need,potrebujete
neighbor,sosed
never,nikoli
new,novo
next,naslednja
night,noč
nine,devetimi
no,ne
noise,hrup
noon,opoldne
nor,niti
north,sever
nose,nos
note,opomba
nothing,nič
notice,obvestilo
noun,samostalnik
now,zdaj
number,številka
numeral,številka
object,predmet
observe,opazovati
occur,pojavijo
ocean,oceanov
of,od
off,izklopite
offer,ponudba
office,pisarna
often,pogosto
oh,oh
oil,olje
old,star
on,o
once,enkrat
one,ena
only,samo
open,open
operate,deluje
opposite,nasproti
or,ali
order,da
organ,organov
original,izvirnik
other,druga
our,naše
out,out
over,več
own,lastna
oxygen,kisika
page,stran
paint,barve
pair,par
paper,papir
paragraph,odstavek
parent,matična
part,del
particular,zlasti
party,zabava
pass,mimo
past,mimo
path,pot
pattern,vzorec
pay,plačati
people,ljudje
perhaps,morda
period,obdobje
person,oseba
phrase,stavek
pick,izberi
picture,slika
piece,kos
pitch,smola
place,kraj
plain,plain
plan,načrt
plane,plane
planet,planet
plant,rastlin
play,igrajo
please,prosim
plural,množina
poem,pesem
point,točka
poor,slaba
populate,zapolnijo
port,pristanišče
pose,predstavljajo
position,položaj
possible,mogoče
post,objave
pound,pound
power,moč
practice,praksa
prepare,pripraviti
present,prisoten
press,pritisnite
pretty,precej
print,print
probable,verjetno
problem,težava
process,proces
produce,proizvajajo
product,izdelek
proper,pravilno
property,nepremičnine
protect,zaščito
prove,dokazati
provide,zagotavljajo
pull,potegnite
push,pritisni
put,dal
quart,kvartal
question,vprašanje
quick,hitra
quiet,tiho
quite,precej
quotient,kvocient
race,rase
radio,radijska
rail,železnici
rain,dež
raise,dvigniti
ran,tekel
range,območje
rather,precej
reach,doseže
read,preberite
ready,pripravljen
real,real
reason,razlog
receive,prejemanje
record,zapis
red,rdeča
region,okolica
remember,ne pozabite
repeat,repeat
reply,odgovor
represent,predstavljajo
require,zahtevajo
rest,počitek
result,rezultat
rich,bogata
ride,vožnje
right,prav
ring,obroč
rise,narašča
river,river
road,cesta
rock,skala
roll,rolo
room,soba
root,koren
rope,rope
rose,povečale
round,krog
row,vrstica
rub,rub
rule,pravilo
run,rok
safe,varna
said,je dejal
sail,jadra
salt,sol
same,enako
sand,pesek
sat,sat
save,shranite
saw,žaga
say,reči
scale,lestvica
school,šola
science,znanost
score,ocena
sea,morje
search,iskanje
season,sezona
seat,sedež
second,drugi
section,oddelek
see,glej
seed,seme
seem,zdi
segment,segmenta
select,izberite
self,samozaposlene
sell,prodamo
send,pošlji
sense,občutek
sent,poslano
sentence,stavek
separate,ločena
serve,služijo
set,set
settle,poravnavo
seven,sedem
several,več
shall,se
shape,oblika
share,delež
sharp,ostra
she,ona
sheet,stanja
shell,lupine
shine,lesk
ship,ladja
shoe,čevelj
shop,trgovina
shore,shore
short,short
should,smeli
shoulder,ramo
shout,vzklik
show,prikaži
side,side
sight,pogled
sign,znamenje
silent,tiho
silver,srebrna
similar,podobno
simple,preprost
since,saj
sing,pojejo
single,enojni
sister,sestra
sit,sit
six,šest
size,velikost
skill,spretnost
skin,koža
sky,nebo
slave,suženj
sleep,spanja
slip,slip
slow,počasen
small,majhna
smell,vonj
smile,nasmešek
snow,sneg
so,tako
soft,mehki
soil,tal
soldier,vojak
solution,rešitev
solve,reševanje
some,nekateri
son,sin
song,pesem
soon,kmalu
sound,zvok
south,južno
space,prostor
speak,govorijo
special,posebna
speech,govor
speed,hitrost
spell,črkovati
spend,preživeti
spoke,govoril
spot,mesto
spread,širjenje
spring,pomlad
square,square
stand,stojalo
star,zvezda
start,začetek
state,država
station,postaja
stay,bivanje
stead,stead je
steam,paro
steel,jeklo
step,korak
stick,palica
still,vedno
stone,kamen
stood,stal
stop,ustaviti
store,trgovina
story,zgodba
straight,naravnost
strange,čudno
stream,tok
street,ulica
stretch,odsek
string,niz
strong,močna
student,študent
study,študija
subject,predmet
substance,snov
subtract,odštevanje
success,uspeh
such,kot
sudden,nenadna
suffix,pripona
sugar,sladkorja
suggest,predlagam
suit,obleka
summer,poletje
sun,sonce
supply,oskrba
support,podpora
sure,prepričajte
surface,površina
surprise,presenečenje
swim,swim
syllable,zlog
symbol,simbol
system,sistem
table,miza
tail,rep
take,sprejmejo
talk,pogovor
tall,visok
teach,poučevanje
team,ekipa
teeth,zobje
tell,povej
temperature,temperaturo
ten,ten
term,izraz
test,preskus
than,kot
thank,hvala
that,da
the,pojdi
their,njihovo
them,jim
then,potem
there,obstaja
these,ti
they,so
thick,debela
thin,tanka
thing,stvar
think,mislim
third,tretji
this,to
those,"tisti,"
though,čeprav
thought,mislila
thousand,tisoč
three,tri
through,skozi
throw,vrgel
thus,torej
tie,tie
time,čas
tiny,droben
tire,pnevmatik
to,za
together,skupaj
told,povedal
tone,tona
too,tudi
took,je
tool,orodje
top,na vrh
total,objav
touch,dotikajte
toward,proti
town,mesto
track,steza
trade,trgovina
train,vlak
travel,travel
tree,drevo
triangle,trikotnik
trip,izlet
trouble,težava
truck,tovornjak
true,velja
try,poskusite
tube,cev
turn,zavoj
twenty,dvajset
two,dve
type,tip
under,pod
unit,enota
until,dokler
up,up
us,nam
use,uporaba
usual,običajni
valley,dolina
value,vrednost
vary,razlikujejo
verb,glagol
very,zelo
view,pogled
village,vas
visit,obisk
voice,glas
vowel,samoglasnik
wait,počakajte
walk,sprehod
wall,stena
want,želim
war,vojna
warm,toplo
was,je bil
wash,pranje
watch,gledam
water,vode
wave,val
way,način
we,smo
wear,nosite
weather,vreme
week,teden
weight,teža
well,dobro
went,šel
were,so bili
west,zahodno
what,kaj
wheel,kolo
when,ko
where,kjer je
whether,ali
which,ki
while,medtem
white,bela
who,ki
whole,celoten
whose,katerih
why,zakaj
wide,široka
wife,žena
wild,divje
will,bo
win,win
wind,veter
window,okno
wing,krila
winter,zima
wire,žica
wish,želja
with,s
woman,ženska
women,ženske
wonder,"sprašujem se,"
won’t,ne bo
wood,les
word,beseda
work,delo
world,svet
would,bi
write,pisati
written,pisna
wrong,narobe
wrote,napisal
yard,dvorišče
year,letnik
yellow,rumena
yes,pritrdilen
yet,še
you,si
young,mlada
your,vaš
