english,turkmen
colony,koloniýasy
color,reňk
column,sütün
come,gel
common,umumy
company,kompaniýasy
compare,deňeşdiriň
complete,doly
condition,şert
connect,birikdiriň
consider,serediň
consonant,çekimli ses
contain,öz içine alýar
continent,materik
continue,dowam et
control,gözegçilik
cook,bişiriň
cool,gowy
copy,göçürmek
corn,mekgejöwen
corner,burç
correct,dogry
cost,bahasy
cotton,pagta
could,edip bilerdi
count,hasapla
country,ýurt
course,elbetde
cover,gapagy
cow,sygyr
crease,krem
create,döretmek
crop,ekin
cross,haç
crowd,märeke
cry,agla
current,tok
cut,kes
dad,kaka
dance,tans ediň
danger,howp
dark,garaňky
day,gün
dead,öldi
deal,şertnama
dear,ezizim
death,ölüm
decide,karar ber
decimal,onluk
deep,çuň
degree,derejesi
depend,baglydyr
describe,suratlandyryň
desert,çöl
design,dizaýn
determine,kesgitlemek
develop,ösdürmeli
dictionary,sözlük
did,etdi
die,öl
differ,tapawutlanýar
difficult,kyn
direct,göni
discuss,ara alyp maslahatlaşyň
distant,uzakda
divide,bölmek
division,bölünişik
do,et
doctor,lukman
does,edýär
dog,it
dollar,dollar
done,ýerine ýetirildi
don’t,etme
door,gapy
double,goşa
down,aşak
draw,çyzmak
dream,düýş gör
dress,köýnek
drink,içmek
drive,sürmek
drop,düşmek
dry,gury
duck,ördek
during,wagtynda
each,hersi
ear,gulak
early,ir
earth,ýer
ease,ýeňillik
east,gündogar
eat,iýiň
edge,gyrasy
effect,täsiri
egg,ýumurtga
eight,sekiz
either,ýa-da
electric,elektrik
element,elementi
else,başga
end,soňy
enemy,duşman
energy,energiýa
engine,hereketlendiriji
enough,ýeterlik
enter,gir
equal,deňdir
equate,deňlemek
especially,esasanam
even,hatda
evening,agşam
event,waka
ever,hemişe
every,hersi
exact,takyk
example,mysal
except,muňa degişli däldir
excite,tolgun
exercise,maşk
expect,garaşyň
experience,tejribe
experiment,synag
eye,göz
face,ýüzi
fact,hakykat
fair,ýarmarka
fall,ýykylmak
family,maşgala
famous,meşhur
far,uzakda
farm,ferma
fast,çalt
fat,ýag
father,kakasy
favor,hoşniýetlilik
fear,gorky
feed,iýmit
feel,duý
feet,aýak
fell,ýykyldy
felt,duýuldy
few,az
field,meýdany
fig,injir
fight,söweş
figure,şekil
fill,doldur
final,jemleýji
find,tap
fine,gowy
finger,barmak
finish,gutar
fire,ot
first,ilki bilen
fish,balyk
fit,laýyk
five,bäş
flat,tekiz
floor,pol
flow,akymy
flower,gül
fly,uçmak
follow,yzarla
food,iýmit
foot,aýak
for,üçin
force,güýç
forest,tokaý
form,görnüşi
forward,öňe
found,tapyldy
four,dört
fraction,fraksiýa
free,mugt
fresh,täze
friend,dost
from,dan
front,öň
fruit,miwesi
full,doly
fun,gyzykly
game,oýun
garden,bag
gas,gaz
gather,ýygnan
gave,berdi
general,umumy
gentle,mylaýym
get,al
girl,gyz
give,ber
glad,begenýärin
glass,aýna
go,git
gold,altyn
gone,gitdi
good,gowy
got,aldym
govern,dolandyrmak
grand,uly
grass,ot
gray,çal
great,ajaýyp
green,ýaşyl
grew,ösdi
ground,ýer
group,topary
grow,ösmek
guess,çaklaň
guide,gollanma
gun,ýarag
had,bardy
hair,saç
half,ýarysy
hand,eli
happen,bolup geçýär
happy,bagtly
hard,gaty
has,bar
hat,şlýapa
have,bar
he,ol
head,kellesi
hear,eşidiň
heard,eşitdi
heart,ýürek
heat,ýylylyk
heavy,agyr
held,geçirildi
help,kömek ediň
her,ol
here,şu ýerde
high,beýik
hill,depe
him,ol
his,onuň
history,taryh
hit,ur
hold,tut
hole,deşik
home,öý
hope,umyt
horse,at
hot,yssy
hour,sagat
house,jaý
how,nädip
huge,ullakan
human,adam
hundred,ýüz
hunt,aw
hurry,howlukma
i,men
ice,buz
idea,ideýa
if,eger
imagine,göz öňüne getiriň
in,içinde
inch,dýuým
include,goşmak
indicate,görkez
industry,senagaty
insect,mör-möjek
instant,dessine
instrument,gural
interest,göterim
invent,oýlap tapyň
iron,demir
is,bolup durýar
island,ada
it,bu
job,iş
join,goşul
joy,şatlyk
jump,bökmek
just,diňe
keep,sakla
kept,saklanýar
key,açary
kill,öldürmek
kind,görnüşli
king,patyşa
knew,bilýärdi
know,bil
lady,hanym
lake,köl
land,ýer
language,dili
large,uly
last,iň soňky
late,giç
laugh,gül
law,kanun
lay,ýat
lead,gurşun
learn,öwreniň
least,iň bolmanda
leave,git
led,alyp bardy
left,çep
leg,aýak
length,uzynlygy
less,az
let,goý
letter,hat
level,derejesi
lie,ýalan
life,durmuş
lift,götermek
light,ýagtylyk
like,ýaly
line,setir
liquid,suwuk
list,sanawy
listen,diňle
little,az
live,ýaşa
locate,tapmak
log,gündeligi
lone,ýalňyz
long,uzyn
look,seret
lost,ýitdi
lot,köp
loud,gaty ses bilen
love,söýgi
low,pes
machine,maşyn
made,ýasaldy
magnet,magnit
main,esasy
major,maýor
make,ýasamak
man,adam
many,köp
map,karta
mark,bellik
market,bazary
mass,massa
master,ussat
match,gabat gel
material,material
matter,mesele
may,bolup biler
me,men
mean,diýmekdir
meant,diýmekdir
measure,ölçemek
meat,et
meet,duşuşmak
melody,saz
men,erkekler
metal,metal
method,usuly
middle,ortasy
might,bolup biler
mile,mil
milk,süýt
million,million
mind,akyl
mine,meniňki
minute,minut
miss,sypdyrmak
mix,garmaly
modern,döwrebap
molecule,molekulasy
moment,pursat
money,pul
month,aý
moon,aý
more,has köp
morning,irden
most,köpüsi
mother,ejesi
motion,hereket
mount,dakyň
mountain,dag
mouth,agzy
move,hereket et
much,köp
multiply,köpeltmek
music,aýdym-saz
must,hökman
my,meniň
name,ady
nation,millet
natural,tebigy
nature,tebigat
near,ýakyn
necessary,zerur
neck,boýn
need,zerur
neighbor,goňşusy
never,hiç haçan
new,täze
next,indiki
night,gije
nine,dokuz
no,ýok
noise,ses
noon,günortan
nor,ýa-da däl
north,demirgazyk
nose,burun
note,bellik
nothing,hiç zat
notice,duýduryş
noun,at
now,indi
number,sany
numeral,san
object,obýekt
observe,syn et
occur,bolup geçýär
ocean,umman
of,of
off,öçürildi
offer,teklip
office,ofis
often,köplenç
oh,aý
oil,ýag
old,köne
on,üstünde
once,bir gezek
one,biri
only,diňe
open,açyk
operate,işlemek
opposite,tersine
or,ýa-da
order,sargyt
organ,organ
original,asyl
other,beýlekisi
our,biziň
out,çykdy
over,gutardy
own,eýeçilik edýär
oxygen,kislorod
page,sahypa
paint,boýag
pair,jübüt
paper,kagyz
paragraph,abzas
parent,ene-atasy
part,bölegi
particular,aýratyn
party,partiýa
pass,geçmek
past,geçmiş
path,ýol
pattern,nagyş
pay,tölemek
people,adamlar
perhaps,belki
period,döwür
person,adam
phrase,söz düzümi
pick,saýla
picture,surat
piece,bölek
pitch,meýdança
place,ýeri
plain,sada
plan,meýilnama
plane,uçar
planet,planeta
plant,ösümlik
play,oýnamak
please,haýyş edýärin
plural,köplük
poem,goşgy
point,nokat
poor,garyp
populate,ilat
port,port
pose,poz
position,ýagdaýy
possible,mümkin
post,post
pound,funt
power,kuwwat
practice,tejribe
prepare,taýýarla
present,häzirki wagtda
press,basyň
pretty,owadan
print,çap et
probable,ähtimal
problem,mesele
process,prosesi
produce,öndürýär
product,önüm
proper,laýyk
property,emläk
protect,gora
prove,subut et
provide,üpjün etmek
pull,çekmek
push,iteklemek
put,goý
quart,kwartal
question,sorag
quick,çalt
quiet,ümsüm
quite,gaty gowy
quotient,paý
race,ýaryş
radio,radio
rail,demir ýol
rain,ýagyş
raise,ýokarlandyrmak
ran,ylgady
range,aralygy
rather,"däl-de, eýsem"
reach,ýetmek
read,oka
ready,taýýar
real,hakyky
reason,sebäp
receive,al
record,ýazgy
red,gyzyl
region,sebiti
remember,ýadyňyzda saklaň
repeat,gaýtala
reply,jogap ber
represent,wekilçilik edýär
require,talap edýär
rest,dynç al
result,netije
rich,baý
ride,münmek
right,dogry
ring,jaň
rise,ýokarlanmak
river,derýa
road,ýol
rock,gaýa
roll,rulon
room,otag
root,kök
rope,ýüp
rose,gül boldy
round,tegelek
row,hatar
rub,sürtmek
rule,düzgün
run,ylga
safe,howpsuz
said,-diýdi
sail,ýelkenli
salt,duz
same,şol bir
sand,gum
sat,oturdy
save,tygşytlaň
saw,gördi
say,diýiň
scale,masştab
school,mekdebi
science,ylym
score,bal
sea,deňiz
search,gözlemek
season,möwsüm
seat,oturgyç
second,ikinji
section,bölümi
see,seret
seed,tohum
seem,ýaly görünýär
segment,segmenti
select,saýlaň
self,özi
sell,sat
send,iber
sense,manysy
sent,iberildi
sentence,sözlem
separate,aýry
serve,hyzmat et
set,düzmek
settle,çözmek
seven,ýedi
several,birnäçe
shall,eder
shape,görnüşi
share,paýlaş
sharp,ýiti
she,ol
sheet,sahypa
shell,gabyk
shine,şöhle saç
ship,gämi
shoe,köwüş
shop,dükan
shore,kenar
short,gysga
should,etmeli
shoulder,egin
shout,gygyr
show,görkezmek
side,tarapy
sight,görmek
sign,gol
silent,dymdy
silver,kümüş
similar,meňzeş
simple,ýönekeý
since,şondan bäri
sing,aýdym aýdyň
single,ýeke
sister,aýal dogany
sit,otur
six,alty
size,ululygy
skill,ussatlygy
skin,deri
sky,asman
slave,gul
sleep,uky
slip,süýşmek
slow,haýal
small,kiçi
smell,ys
smile,ýylgyr
snow,gar
so,şeýle
soft,ýumşak
soil,toprak
soldier,esger
solution,çözgüt
solve,çözmek
some,käbirleri
son,ogly
song,aýdym
soon,basym
sound,ses
south,günorta
space,boşluk
speak,gürle
special,ýörite
speech,çykyş
speed,tizlik
spell,jady
spend,harçlamak
spoke,gürledi
spot,ýer
spread,ýaýramagy
spring,bahar
square,inedördül
stand,dur
star,ýyldyz
start,başla
state,ýagdaýy
station,bekedi
stay,gal
stead,ýerine
steam,bug
steel,polat
step,ädim
stick,taýak
still,henizem
stone,daş
stood,durdy
stop,dur
store,dükany
story,hekaýa
straight,göni
strange,geň
stream,akym
street,köçe
stretch,uzat
string,setir
strong,güýçli
student,okuwçy
study,öwrenmek
subject,mowzuk
substance,madda
subtract,aýyrmak
success,üstünlik
such,ýaly
sudden,duýdansyz
suffix,goşulmasy
sugar,şeker
suggest,teklip ediň
suit,kostýum
summer,tomus
sun,gün
supply,üpjün etmek
support,goldaw
sure,elbetde
surface,üstü
surprise,geň galdyryjy
swim,ýüzmek
syllable,bogun
symbol,nyşany
system,ulgamy
table,tablisa
tail,guýrugy
take,al
talk,gürleş
tall,uzyn
teach,öwret
team,topary
teeth,dişler
tell,aýt
temperature,temperatura
ten,on
term,termin
test,synag
than,garanyňda
thank,sag bol
that,bu
the,mälimlik görkeziji artikl
their,olaryň
them,olar
then,soň
there,ol ýerde
these,bular
they,olar
thick,galyň
thin,inçe
thing,zat
think,pikirlen
third,üçünji
this,bu
those,bular
though,garamazdan
thought,pikir etdi
thousand,müň
three,üç
through,üsti bilen
throw,zyň
thus,şeýlelik bilen
tie,galstuk
time,wagt
tiny,kiçijik
tire,teker
to,to
together,bilelikde
told,aýtdy
tone,äheňi
too,şeýle hem
took,aldy
tool,gural
top,ýokarky
total,jemi
touch,degmek
toward,tarapa
town,şäher
track,yzarla
trade,söwda
train,otly
travel,syýahat
tree,agaç
triangle,üçburçluk
trip,syýahat
trouble,kynçylyk
truck,ýük maşyny
true,hakykat
try,synap görüň
tube,turba
turn,öwrüň
twenty,ýigrimi
two,iki
type,görnüşi
under,astynda
unit,birligi
until,çenli
up,ýokary
us,biz
use,ulanmak
usual,adaty
valley,jülgesi
value,bahasy
vary,üýtgeýär
verb,işlik
very,gaty gowy
view,görmek
village,obasy
visit,baryp görmek
voice,ses
vowel,çekimli ses
wait,garaş
walk,ýöremek
wall,diwar
want,isleýär
war,uruş
warm,ýyly
was,boldy
wash,ýuw
watch,sagat
water,suw
wave,tolkun
way,ýol
we,biz
wear,geýmek
weather,howa
week,hepde
weight,agramy
well,gowy
went,gitdi
were,boldy
west,günbatar
what,näme
wheel,tigir
when,haçan
where,nirede
whether,bolsun
which,haýsy
while,wagtynda
white,ak
who,kim
whole,tutuşlygyna
whose,kim
why,näme üçin
wide,giň
wife,aýaly
wild,ýabany
will,eder
win,ýeňiş
wind,ýel
window,penjire
wing,ganaty
winter,gyş
wire,sim
wish,arzuw edýärin
with,bilen
woman,aýal
women,aýallar
wonder,geň gal
won’t,bolmaz
wood,agaç
word,söz
work,işlemek
world,dünýä
would,eder
write,ýaz
written,ýazylan
wrong,nädogry
wrote,ýazdy
yard,howly
year,ýyl
yellow,sary
yes,hawa
yet,entek
you,sen
young,ýaş
your,seniň
