english,malayalam
dark,ഇരുണ്ട
day,ദിവസം
dead,മരിച്ച
deal,കരാര്
dear,പ്രിയ
death,മരണം
decide,തീരുമാനിക്കുക
decimal,ദശാംശ
deep,ആഴമുള്ള
degree,ബിരുദം
depend,ആശ്രയിച്ചിരിക്കുന്നു
describe,വിവരിക്കുക
desert,മരുഭൂമിയിൽ
design,ഡിസൈന്
determine,തീരുമാനിക്കുക
develop,വികസിപ്പിക്കുക
dictionary,നിഘണ്ടു
did,ചെയ്തു
die,മരിക്കുക
differ,ഭിന്നത
difficult,പ്രയാസമാണ്
direct,നേരായ
discuss,ചർച്ച
distant,ദൂരെയുള്ള
divide,വീതിക്കുക
division,ഡിവിഷൻ
do,ചെയ്യുക
doctor,ഡോക്ടര്
does,does
dog,നായ്
dollar,ഡോളറിന്
done,പൂർത്തിയായി
don’t,ചെയ്യരുത്
door,വാതില്
double,ഇരട്ട
down,ഇറങ്ങി
draw,വര്ണിക്കുക
dream,സ്വപ്നം
dress,ഉടുക്കുക
drink,പാനീയം
drive,ഡ്രൈവ്
drop,ഡ്രോപ്പ്
dry,ഉണങ്ങിയ
duck,ഡക്ക്
during,കാലത്ത്
each,ഓരോ
ear,ചെവി
early,നേരത്തെയുള്ള
earth,ഭൂമി
ease,എളുപ്പമുണ്ടായിരിക്കും
east,കിഴക്ക്
eat,ഭക്ഷണം
edge,അറ്റം
effect,ഫലം
egg,മുട്ട
eight,എട്ട്
either,ഒന്നുകിൽ
electric,വൈദ്യുത
element,മൂലകം
else,മറ്റാരെങ്കിലും
end,അവസാനിക്കുന്നു
enemy,ശത്രു
energy,ഊര്ജം
engine,എഞ്ചിൻ
enough,മതി
enter,നൽകുക
equal,ചിഹ്നം
equate,ആക്കുമോ
especially,വിശേഷാല്
even,പോലും
evening,വൈകുന്നേരം
event,സംഭവം
ever,എപ്പോഴും
every,ഓരോ
exact,സൂക്ഷ്മമായ
example,ഉദാഹരണം
except,ഒഴികെ
excite,ഉണര്ത്തുക
exercise,വ്യായാമം
expect,പ്രതീക്ഷ
experience,പരിചയം
experiment,പരീക്ഷണം
eye,കണ്ണ്
face,മുഖം
fact,വസ്തുത
fair,മേള
fall,വീഴ്ച
family,കുടുംബം
famous,പേരുകേട്ട
far,ഇതുവരെ
farm,ഫാം
fast,ഉപവാസം
fat,കൊഴുപ്പ്
father,പിതാവ്
favor,അനുഗ്രഹം
fear,ഭയം
feed,തീറ്റ
feel,സ്പര്ശിക്കുക
feet,കാൽ
fell,അസ്വസ്ഥനായിരുന്നു
felt,തോന്നി
few,കുറെ
field,മണ്ഡലം
fig,അത്തിപ്പഴം
fight,യുദ്ധം
figure,ചിത്രം
fill,നിറയ്ക്കുക
final,ഫൈനലിൽ
find,കണ്ടെത്തുക
fine,പിഴ
finger,വിരല്
finish,തീര്ക്കുക
fire,തീ
first,ആദ്യം
fish,മത്സ്യം
fit,യോജമാക്കുക
five,അഞ്ച്
flat,പരന്ന
floor,തറ
flow,ഒഴുക്ക്
flower,പൂവ്
fly,ഈച്ച
follow,പിന്തുടരുക
food,ഭക്ഷണം
foot,പാദം
for,വേണ്ടി
force,ശക്തി
forest,കാട്
form,രൂപം
forward,മുന്നോട്ട്
found,കണ്ടെത്തി
four,നാല്
fraction,അംശം
free,സ്വതന്ത്ര
fresh,പുതിയ
friend,സ്നേഹിതന്
from,നിന്ന്
front,ഫ്രണ്ട്
fruit,പഴം
full,നിറഞ്ഞ
fun,തമാശ
game,കളി
garden,തോട്ടം
gas,വാതകം
gather,ശേഖരിച്ചു
gave,കൊടുത്തു
general,പൊതുവായ
gentle,ശാന്തനും
get,തെരഞ്ഞെടുക്കപ്പെട്ടതാണ്
girl,പെണ്കുട്ടി
give,കൊടുക്കുക
glad,സന്തോഷിച്ചു
glass,ഗ്ലാസ്
go,പോയി
gold,സ്വർണം
gone,മാറിപ്പോയല്ലോ
good,നല്ല
got,കിട്ടി
govern,ഭരിക്കുക
grand,grand
grass,പുല്ല്
gray,ചാര
great,മഹത്തായ
green,പച്ചയായ
grew,വളർന്നു
ground,നിലത്തു
group,ഗ്രൂപ്പ്
grow,വളരും
guess,ഊഹിക്കുക
guide,വഴികാട്ടി
gun,നോക്ക്
had,ഉണ്ടായിരുന്നു
hair,തലമുടി
half,പകുതി
hand,കൈ
happen,സംഭവിക്കുക
happy,സന്തുഷ്ടമായ
hard,ഹാർഡ്
has,ഉണ്ട്
hat,തൊപ്പി
have,ഞങ്ങൾക്കുണ്ട്
he,അവന്
head,തല
hear,കേള്ക്കുക
heard,കേട്ടു
heart,ഹൃദയം
heat,ചൂട്
heavy,ഭാരമുള്ള
held,held
help,സഹായം
her,അവള്
here,ഇവിടെ
high,ഉയര്ന്ന
hill,കുന്ന്
him,അവനെ
his,അവന്റെ
history,ചരിത്രം
hit,തല്ലുക
hold,പിടിക്കുക
hole,തുള
home,വീട്
hope,പ്രത്യാശ
horse,കുതിര
hot,ചൂടുള്ള
hour,മണിക്കൂര്
house,വീട്
how,എങ്ങനെ
huge,വലിയ
human,മാനുഷികമായ
hundred,നൂറ്
hunt,നായാട്ട്
hurry,ധൃതികൂട്ടുക
i,ഞാന്
ice,മഞ്ഞ്
idea,ആശയം
if,എങ്കില്
imagine,സങ്കൽപ്പിക്കാൻ
in,ലെ
inch,ഇഞ്ച്
include,ഉൾപ്പെടുന്നു
indicate,സൂചിപ്പിക്കുക
industry,വ്യവസായം
insect,പുഴു
instant,തൽക്ഷണ
instrument,ഉപകരണം
interest,പലിശ
invent,കെട്ടിയുണ്ടാക്കുകയുമാണ്
iron,ഇരുമ്പ്
is,ആകുന്നു
island,ദ്വീപ്
it,അത്
job,ജോലി
join,ചേരാൻ
joy,സന്തോഷം
jump,കുതിക്കുക
just,വെറും
keep,സൂക്ഷിക്കുക
kept,ആചരിച്ചു
key,കീ
kill,കൊല്ലുക
kind,തരം
king,രാജാവ്
knew,അറിഞ്ഞു
know,അറിയുക
lady,യുവതിയുടെ
lake,തടാകം
land,നിലം
language,ഭാഷ
large,വലിയ
last,കഴിഞ്ഞ
late,വൈകി
laugh,ചിരിക്കുക
law,നിയമം
lay,കിടന്നു
lead,ഈയം
learn,പഠിക്കാൻ
least,കുറഞ്ഞത്
leave,വിട്ടേക്കുക
led,എൽഇഡി
left,ഇടത്തെ
leg,കാല്
length,ദൈർഘ്യം
less,കുറവ്
let,എന്നു
letter,അക്ഷരം
level,നില
lie,നുണ
life,ജീവന്
lift,ലിഫ്റ്റ്
light,വെളിച്ചം
like,പോലെ
line,വര
liquid,ദ്രാവക
list,പട്ടിക
listen,കേൾക്കാൻ
little,ചെറിയ
live,ജീവിക്കുക
locate,കണ്ടുപിടിക്കുക
log,രേഖ
lone,ഏക
long,നീളമുള്ള
look,നോക്കുക
lost,നഷ്ടപ്പെട്ട
lot,ചീട്ടു
loud,ഉച്ചത്തിലുള്ള
love,സ്നേഹം
low,കുറഞ്ഞ
machine,യന്ത്രം
made,ഉണ്ടാക്കി
magnet,കാന്തം
main,പ്രധാന
major,പ്രധാന
make,ഉണ്ടാക്കുക
man,മനുഷ്യൻ
many,വളരെ
map,ഭൂപടം
mark,അടയാളം
market,വിപണി
mass,പിണ്ഡം
master,യജമാനന്
match,മത്സരം
material,വസ്തു
matter,കാര്യം
may,മേയ്
me,എന്നോട്
mean,അർത്ഥമാക്കുന്നത്
meant,ഉദ്ദേശിച്ചത്
measure,അളവ്
meat,മാംസം
meet,സംഗമം
melody,മാധുരമായ
men,പുരുഷന്മാർ
metal,ലോഹം
method,രീതി
middle,മദ്ധ്യ
might,ശക്തി
mile,നാഴിക
milk,പാൽ
million,ദശലക്ഷം
mind,മനസ്സ്
mine,എന്റെ
minute,മിനിറ്റ്
miss,നഷ്ടപ്പെടുക
mix,കൂട്ടിക്കലര്ത്തുക
modern,ആധുനികമായ
molecule,തന്മാത്ര
moment,നിമിഷം
money,പണം
month,മാസം
moon,ചന്ദ്രൻ
more,കൂടുതൽ
morning,രാവിലെ
most,ഏറ്റവും
mother,അമ്മ
motion,ചലനം
mount,മൌണ്ട്
mountain,പര്വ്വതം
mouth,വായ
move,നീക്കുക
much,വളരെ
multiply,പെരുക്കുക
music,സംഗീതം
must,ആവശമാകുന്നു
my,എന്റെ
name,പേര്
nation,ജാതി
natural,പ്രകൃതി
nature,പ്രകൃതി
near,അടുത്തു
necessary,ആവശ്യമായ
neck,കഴുത്ത്
need,ആവശ്യം
neighbor,കൂട്ടുകാരനെ
never,ഒരിക്കലും
new,പുതിയ
next,അടുത്തത്
night,രാത്രി
nine,ഒന്പത്
no,ഇല്ല
noise,ശബ്ദം
noon,ഉച്ചയ്ക്ക്
nor,അരുതു
north,വടക്ക്
nose,മൂക്ക്
note,കുറിപ്പ്
nothing,ഒന്നും
notice,അറിയിപ്പ്
noun,നാമം
now,ഇപ്പോള്
number,അക്കം
numeral,സംഖ
object,വസ്തു
observe,നിരീക്ഷിക്കുക
occur,സംഭവിക്കുക
ocean,സമുദ്രം
of,ഒരു
off,ഓഫ്
offer,വാഗ്ദാനം
office,ഓഫീസ്
often,അടിക്കടി
oh,ഓ
oil,എണ്ണ
old,പഴയ
on,മേല്
once,ഒരിക്കല്
one,ഒന്ന്
only,മാത്രം
open,തുറക്കുക
operate,ഓപ്പറേറ്റ്
opposite,സമ്മുഖ
or,അഥവാ
order,ഓർഡർ
organ,ശരീരാവയവം
original,യഥാർത്ഥ
other,മറ്റ്
our,നമ്മുടെ
out,പുറത്ത്
over,ഓരോ
own,സ്വന്തം
oxygen,ഓക്സിജൻ
page,പേജ്
paint,ചായം
pair,ഇണ
paper,കടലാസ്
paragraph,ഖണ്ഡിക
parent,പാരന്റ്
part,ഭാഗം
particular,പ്രത്യേക
party,കക്ഷി
pass,ചുരം
past,കഴിഞ്ഞ
path,പാത
pattern,മാതൃക
pay,കൂലി
people,ജനം
perhaps,ഒരുപക്ഷേ
period,കാലഘട്ടം
person,വ്യക്തി
phrase,ശൈലി
pick,തിരഞ്ഞെടുക്കാവുന്നതാണ്
picture,ചിതം
piece,കഷണം
pitch,പിച്ച്
place,സ്ഥലം
plain,പ്ലെയിൻ
plan,പദ്ധതി
plane,വിമാനം
planet,ഗ്രഹം
plant,ചെടി
play,കളി
please,ദയവായി
plural,പദത്തിന്റെ
poem,കവിത
point,ബിന്ദു
poor,പാവപ്പെട്ട
populate,ജനപ്രിയമാക്കുന്നതിന്
port,തുറമുഖം
pose,ഭാവം
position,സ്ഥാനം
possible,സാധ്യത
post,സ്ഥാനം
pound,റാത്തല്
power,ശക്തി
practice,പരിശീലനം
prepare,ഒരുക്കും
present,സമ്മാനം
press,അമർത്തുക
pretty,പ്രെറ്റി
print,അച്ചടിക്കുക
probable,സംഭാവമായ
problem,പ്രശ്നം
process,പ്രക്രിയ
produce,ഉൽപ്പാദിപ്പിക്കുക
product,ഉത്പന്നം
proper,ശരിയായ
property,യോഗ്യത
protect,സംരക്ഷിക്കുക
prove,തെളിയിക്കുക
provide,നൽകുന്നതിന്
pull,വലിക്കുക
push,തള്ളുക
put,ഇടുക
quart,നല്ലൊരു
question,ചോദ്യം
quick,പെട്ടെന്നുള്ള
quiet,മിണ്ടാതിരിപ്പാൻ
quite,തികച്ചും
quotient,ഘടകഗ്രൂപ്പുകൾ
race,ഓട്ടം
radio,റേഡിയോ
rail,റെയിൽ
rain,മഴ
raise,ഉളവാക്കുവാൻ
ran,ത്ത്
range,പരിധി
rather,അധികമായി
reach,എത്താൻ
read,വായിക്കുക
ready,തയ്യാറായ
real,യഥാർത്ഥ
reason,കാരണം
receive,ലഭിക്കും
record,രേഖ
red,ചുവപ്പ്
region,പ്രദേശം
remember,സ്മരിക്കുക
repeat,ആവര്ത്തിക്കുക
reply,മറുപടി
represent,പ്രതിനിധാനം
require,ആവശ്യമായ
rest,ബാക്കി
result,ഫലം
rich,സമ്പന്നമായ
ride,കുതിരസവാരി
right,വലത്
ring,വളയം
rise,വർധന
river,നദി
road,റോഡ്
rock,പാറ
roll,ഉരുളുക
room,ഇടം
root,വേര്
rope,കയര്
rose,പനിനീര്പ്പൂവ്
round,ചുറ്റും
row,നിര
rub,തടവുക
rule,ചട്ടം
run,ഓട്ടം
safe,സുരക്ഷിതമായ
said,പറഞ്ഞു
sail,കപ്പല്യാതചെയ്യുക
salt,ഉപ്പ്
same,ഒരേ
sand,മണല്
sat,ശ
save,അല്ലാതെ
saw,കണ്ടു
say,പറയുക
scale,സ്കെയിൽ
school,സ്കൂൾ
science,ശാസ്ത്രം
score,സ്കോർ
sea,കടല്
search,തിരയൽ
season,കാലം
seat,ഇരിപ്പിടം
second,സെക്കന്റ്
section,വിഭാഗം
see,കാണുക
seed,വിത്ത്
seem,തോന്നുക
segment,സെഗ്മെന്റ്
select,തെരഞ്ഞെടുക്കുക
self,സ്വയം
sell,വിറ്റു
send,അയയ്ക്കുക
sense,അർഥത്തിൽ
sent,അയച്ചു
sentence,വിധി
separate,പ്രത്യേക
serve,സേവിക്കുക
set,ഗണം
settle,settle
seven,ഏഴ്
several,നിരവധി
shall,എന്നു
shape,ആകൃതി
share,പങ്കിടുക
sharp,കൂര്ത്ത
she,അവള്
sheet,ഷീറ്റ്
shell,ഷെൽ
shine,തിളക്കം
ship,കപ്പല്
shoe,ചെരുപ്പ്
shop,കട
shore,തീരം
short,കുറിയ
should,വേണം
shoulder,തോളിൽ
shout,അലറുക
show,കാണിക്കുക
side,വശം
sight,കാഴ്ച
sign,അടയാളം
silent,നിശ്ശബ്ദമായ
silver,വെള്ളി
similar,സമാനമായ
simple,ലഘുവായ
since,പിന്നീട്
sing,പാടുക
single,ഒറ്റ
sister,സഹോദരി
sit,ഇരുന്നു
six,ആറ്
size,വലുപ്പം
skill,നൈപുണ്യ
skin,തൊലി
sky,ആകാശം
slave,അടിമ
sleep,ഉറക്കം
slip,അടിവസ്തം
slow,സ്ലോ
small,ചെറിയ
smell,മണം
smile,പുഞ്ചിരി
snow,മഞ്ഞ്
so,അതുപോലെ
soft,മൃദുവായ
soil,മണ്ണ്
soldier,സൈനികന്റെ
solution,പരിഹാരം
solve,പരിഹരിക്കാൻ
some,കുറെ
son,മകൻ
song,പാട്ട്
soon,പെട്ടെന്ന്
sound,ശബ്ദം
south,തെക്ക്
space,ഇടം
speak,സംസാരിക്കുക
special,പ്രത്യേക
speech,മൊഴി
speed,വേഗം
spell,അക്ഷരപ്പിശക്
spend,ചെലവഴിക്കുകയും
spoke,സ്പോക്
spot,പുള്ളി
spread,വിരിക്കുക
spring,അരുവി
square,സമചതുരം
stand,സ്റ്റാൻഡ്
star,നക്ഷത്ര
start,തുടക്കം
state,അവസ്ഥ
station,സ്റ്റേഷൻ
stay,താമസിക്കാൻ
stead,പകരം
steam,ആവി
steel,ഉരുക്ക്
step,ചുവട്
stick,വടി
still,ഇപ്പോഴും
stone,കല്ല്
stood,നിന്നു
stop,നിർത്തുക
store,സ്റ്റോർ
story,കഥ
straight,ഋജുവായത്
strange,അസാധാരണമായ
stream,സ്ട്രീം
street,തെരുവ്
stretch,പരത്തുക
string,സ്ട്രിംഗ്
strong,ശക്തമായ
student,വിദ്യാർത്ഥി
study,പഠിക്കുക
subject,വിഷയം
substance,സമ്പത്തു
subtract,കുറയ്ക്കുക
success,വിജയം
such,അത്തരം
sudden,പെട്ടെന്നുള്ള
suffix,പ്രത്യയം
sugar,പഞ്ചസാര
suggest,suggest
suit,വസ്തം
summer,വേനല്ക്കാലം
sun,സൂര്യൻ
supply,വിതരണം
support,പിന്തുണ
sure,ഉറപ്പാണോ
surface,ഉപരിതലം
surprise,സർപ്രൈസ്
swim,നീന്തുക
syllable,അക്ഷരങ്ങൾ
symbol,ചിഹ്നം
system,സിസ്റ്റം
table,പട്ടിക
tail,വാല്
take,എടുക്കുക
talk,സംവാദം
tall,പൊക്കമുള്ള
teach,പഠിപ്പിക്കുക
team,ടീം
teeth,പല്ലുകൾ
tell,പറയുന്നു
temperature,താപനില
ten,പത്ത്
term,കാലാവധി
test,പരിശോധന
than,അധികം
thank,നന്ദിപറയുക
that,ആ
the,നബി
their,അവരുടെ
them,അവരെ
then,അപ്പോള്
there,അവിടെ
these,ഇവ
they,അവര്
thick,കട്ടിയുള്ള
thin,കനംകുറഞ്ഞ
thing,വസ്തു
think,ചിന്തിക്കുക
third,മൂന്നാമത്തെ
this,ഈ
those,ആ
though,ആയാലും
thought,ചിന്ത
thousand,ആയിരം
three,മൂന്ന്
through,മുഖാന്തിരം
throw,എറിയുക
thus,ഇങ്ങനെ
tie,ടൈ
time,കാലം
tiny,തീരെച്ചെറിയ
tire,ക്ഷീണം
to,ലേക്ക്
together,ഒന്നിച്ച്
told,പറഞ്ഞു
tone,ഛായ
too,കൂടി
took,എടുത്തു
tool,ഉപകരണം
top,മുകളിൽ
total,മൊത്തം
touch,ടച്ച്
toward,നേരെ
town,പട്ടണം
track,പാത
trade,വ്യാപാരം
train,തീവണ്ടി
travel,യാത്രാ
tree,മരം
triangle,തികോണം
trip,ട്രിപ്പ്
trouble,കഷ്ടത
truck,വണ്ടി
true,സത്യം
try,ശ്രമിക്കുക
tube,കുഴല്
turn,വളവ്
twenty,ഇരുപത്
two,രണ്ട്
type,ടൈപ്പ് ചെയ്യുക
under,കീഴെ
unit,ഘടകം
until,വരെ
up,അപ്
us,ഞങ്ങളെ
use,ഉപയോഗം
usual,സാധാരണമായ
valley,താഴ്വര
value,വില
vary,വ്യത്യാസപ്പെടാം
verb,ക്രിയ
very,വളരെ
view,കാഴ്ച
village,ഗ്രാമം
visit,സന്ദര്ശനം
voice,ശബ്ദം
vowel,സരം
wait,കാക്കുക
walk,നടക്കുക
wall,ചുവര്
want,ആഗ്രഹിക്കുന്നു
war,യുദ്ധം
warm,ഊഷ്മള
was,ആയിരുന്നു
wash,കഴുകുക
watch,കാവൽ
water,വെള്ളം
wave,തിരമാല
way,വഴി
we,ഞങ്ങള്
wear,ധരിക്കാൻ
weather,കാലാവസ്ഥ
week,ആഴ്ച
weight,ഭാരം
well,കിണറ്
went,പോയി
were,ആയിരുന്നു
west,പടിഞ്ഞാറ്
what,എന്ത്
wheel,ചക്രം
when,എപ്പോൾ
where,എവിടെ
whether,എന്ന്
which,ഏത്
while,സമയത്ത്
white,വെളുത്ത
who,ആര്
whole,മുഴുവൻ
whose,ആരുടെ
why,എന്തുകൊണ്ട്
wide,വീതിയുള്ള
wife,ഭാര്യ
wild,കാട്ടുപന്നി
will,will
win,വിജയം
wind,കാറ്റ്
window,ജാലകം
wing,ചിറക്
winter,ശീതകാലം
wire,കന്വി
wish,അഭിലാഷം
with,കൂടെ
woman,സ്ത്രീ
women,സ്ത്രീകൾ
wonder,വിസ്മയം
won’t,മനസ്സില്ല
wood,മരം
word,വാക്ക്
work,വേല
world,ലോകം
would,would
write,എഴുതുക
written,എഴുതിയ
wrong,തെറ്റായ
wrote,എഴുതി
yard,ഗജം
year,വര്ഷം
yellow,മഞ്ഞ
yes,അതെ
yet,ഇതുവരെ
you,നിങ്ങളെ
young,ഇളം
your,നിങ്ങളുടെ
