english,tajik
edge,гӯша
effect,таъсир
egg,тухм
eight,ҳашт
either,ё
electric,барқӣ
element,элемент
else,боз
end,поён
enemy,душман
energy,энергетика
engine,муҳаррик
enough,кофӣ
enter,даромадан
equal,баробар
equate,баробар
especially,махсусан
even,ҳатто
evening,шом
event,ҳодиса
ever,бор
every,ҳар
exact,тамғаи
example,мисол
except,ба истиснои
excite,excite
exercise,варзиш
expect,интизор
experience,таљрибаи
experiment,озмоиш
eye,чашм
face,рӯй
fact,далели
fair,намоишгоҳ
fall,афтод
family,оила
famous,машҳур
far,дур
farm,ферма
fast,зуд
fat,фарбеҳ
father,падар
favor,хаққи
fear,тарс
feed,хўроки
feel,фикр
feet,пойҳои
fell,афтод
felt,ҳис
few,якчанд
field,соҳа
fig,анҷир
fight,мубориза
figure,рақам
fill,пур кардан
final,нињої
find,ёфт
fine,хуб
finger,ангушт
finish,марра
fire,оташ
first,аввал
fish,моҳӣ
fit,муносиб
five,панҷ
flat,ҳамвор
floor,фарш
flow,ҷорист
flower,гул
fly,паридан
follow,пайравӣ
food,таъом
foot,по
for,барои
force,қувваи
forest,ҷангал
form,шакл
forward,пеш
found,пайдо
four,чаҳор
fraction,њиссаи
free,озод
fresh,тару тоза
friend,дугона
from,аз
front,пеш
fruit,мева
full,пур
fun,шавковар
game,бозӣ
garden,боғ
gas,газ
gather,гирд
gave,дод
general,генерал
gentle,мулоим
get,гирифтан
girl,духтар
give,додан
glad,хурсандиовар
glass,шиша
go,рафтан
gold,тилло
gone,гон
good,хуб
got,гирифта
govern,танзим
grand,гранд
grass,алаф
gray,хокистаранг
great,калон
green,сабз
grew,калон
ground,замин
group,гурӯҳ
grow,рӯёнидем
guess,тахмин
guide,ҳидоят
gun,таппончаи
had,"буд,"
hair,мӯй
half,нисф
hand,даст
happen,рӯй
happy,хушбахтӣ
hard,мушкил
has,дорад
hat,кулоҳ
have,доранд
he,вай
head,сар
hear,"мешунавед,"
heard,"шунидам,"
heart,дил
heat,гармӣ
heavy,вазнин
held,барпогардида
help,кӯмак
her,вай
here,ин ҷо
high,баланд
hill,теппа
him,вай
his,вай
history,таърих
hit,задан
hold,доред
hole,сӯрох
home,хона
hope,умед
horse,асп
hot,гарм
hour,соат
house,хона
how,чӣ хел
huge,калон
human,инсон
hundred,сад
hunt,шикор
hurry,шитоб
i,ман
ice,ях
idea,идеяи
if,агар
imagine,тасаввур кардан
in,дар
inch,инч
include,дохил
indicate,ишора
industry,саноат
insect,ҳашароти
instant,фаврӣ
instrument,асбоби
interest,манфиат
invent,"мебофтаанд,"
iron,оҳан
is,"аст,"
island,ҷазира
it,ин
job,кор
join,ҳамроҳ
joy,хурсандӣ
jump,паридан
just,танҳо
keep,доштан
kept,нигоњ
key,калид
kill,куштан
kind,навъ
king,шоҳ
knew,"медонист,"
know,донистан
lady,муждарасон
lake,кул
land,замин
language,забон
large,калон
last,охирин
late,дер
laugh,механданд
law,қонуни
lay,фидо
lead,роҳбарӣ
learn,омӯхтан
least,камтарин
leave,тарк
led,нн – нурнишон
left,чап
leg,пои
length,дарозӣ
less,камтар
let,бигзор
letter,ҳарф
level,сатњи
lie,дурӯғ
life,зиндагӣ
lift,бардоред
light,сабук
like,мисли
line,хати
liquid,моеъ
list,рӯйхат
listen,гӯш кардан
little,хурд
live,зинда
locate,кўда-
log,қайдгири
lone,lone
long,тӯлонӣ
look,нигоҳ
lost,гумшуда
lot,лут
loud,баланд
love,дӯст доштан
low,паст
machine,мошина
made,дод
magnet,оҳанрабо
main,асосӣ
major,асосии
make,кунад
man,одам
many,бисёр
map,харита
mark,марк
market,бозор
mass,омма
master,усто
match,бозии
material,моддї
matter,масъала
may,май
me,ба ман
mean,маъно
meant,маънои
measure,чен
meat,гӯшт
meet,ҷавобгӯ
melody,оҳанг
men,мардум
metal,металл
method,метод
middle,миёна
might,мабодо
mile,мил
milk,шир
million,миллион
mind,хотир
mine,мина
minute,лаҳза
miss,хайрхоҳи
mix,омехта
modern,муосир
molecule,молекулаи
moment,лаҳзаи
money,пул
month,моҳ
moon,моҳ
more,бештар
morning,пагоҳирӯзӣ
most,аксари
mother,модар
motion,ҳаракат
mount,маунт
mountain,кӯҳ
mouth,даҳон
move,ҳаракат
much,хеле
multiply,дучандонаш
music,мусиқӣ
must,бояд
my,аз ман
name,ном
nation,миллат
natural,табиӣ
nature,табиат
near,наздики
necessary,ҳатмӣ
neck,гардан
need,бояд
neighbor,ҳамсоя
never,ҳаргиз
new,нав
next,баъдӣ
night,шаб
nine,нӯҳ
no,нест
noise,садои
noon,нимрӯз
nor,на
north,шимол
nose,бинӣ
note,шарҳ
nothing,чизе
notice,огоҳинома
noun,исм
now,ҳозир
number,шумора
numeral,ададӣ
object,объекти
observe,риоя
occur,рух
ocean,уқёнус
of,аз
off,хомӯш кардан
offer,пешниҳод
office,офис
often,зуд-зуд
oh,оҳ
oil,нефт
old,кӯҳна
on,ба
once,бор
one,як
only,танҳо
open,кушодан
operate,фаъолият
opposite,муқобил
or,ё
order,тартибот
organ,маќомоти
original,аслии
other,дигар
our,мо
out,берун аз
over,дар болои
own,худ
oxygen,кислород
page,саҳифа
paint,ранг
pair,ҷуфти
paper,коғаз
paragraph,банди
parent,волидайн
part,қисми
particular,махсус
party,ҳизб
pass,гузаштан
past,гузашта
path,роҳ
pattern,намуна
pay,пардохт
people,мардум
perhaps,мумкин
period,муддат
person,одам
phrase,ибора
pick,чинанд
picture,расм
piece,порчаи
pitch,қатрон
place,ҷои
plain,ҳамвор
plan,нақшаи
plane,ҳавопаймо
planet,сайёра
plant,растанӣ
play,бозӣ
please,лутфан
plural,ҷамъ
poem,шеър
point,нуқтаи
poor,камбизоат
populate,populate
port,бандаргоҳ
pose,тањдид
position,мавқеи
possible,имконпазир
post,баъди
pound,фунт
power,ҳокимият
practice,амал
prepare,тайёр
present,ҳузур
press,матбуот
pretty,қашанг
print,чоп
probable,имконпазир
problem,проблема
process,раванди
produce,офаридан
product,маҳсулот
proper,дуруст
property,молу мулк
protect,муҳофизат
prove,исбот кардан
provide,таъмин
pull,кашидан
push,тела
put,гузошта
quart,quart
question,савол
quick,тез
quiet,оҳиста
quite,тамоман
quotient,quotient
race,нажод
radio,радио
rail,роҳи оҳан
rain,борон
raise,баланд бардоштани
ran,шитофтанд
range,диапазон
rather,на
reach,расидан ба
read,хондан
ready,тайёр
real,воқеии
reason,сабаб
receive,гирифтан
record,рекорд
red,сурх
region,вилоят
remember,ёд
repeat,такрор
reply,ҷавоб
represent,намояндагӣ
require,талаб
rest,истироҳат
result,дар натиҷа
rich,сарватманд
ride,рафтан
right,дуруст
ring,ангуштарин
rise,қиём
river,дарё
road,роҳ
rock,шах
roll,лӯлапеч
room,хона
root,реша
rope,ресмоне
rose,бархост
round,гирд
row,сатр
rub,рубл
rule,волоияти
run,давидан
safe,бехатар
said,гуфт:
sail,шара
salt,намак
same,якхела
sand,рег
sat,шб
save,наҷот
saw,р
say,гуфтан
scale,миқёси
school,мактаб
science,илм
score,ҳисоб
sea,баҳр
search,кофтуков
season,мавсим
seat,курсии
second,дуюм
section,ҷудокунӣ
see,дидан
seed,тухмӣ
seem,назар
segment,сегмент
select,интихоб кунед
self,худ-
sell,фурӯхтан
send,фиристодан
sense,маъно
sent,фиристода
sentence,ҳукми суд
separate,алоҳида
serve,хизмат
set,маҷмӯи
settle,ҳал
seven,ҳафт
several,якчанд
shall,гузарон
shape,шакл
share,саҳм
sharp,якбора
she,вай
sheet,лавҳаи
shell,ниҳонӣ
shine,_лумо
ship,киштӣ
shoe,кафш
shop,салон
shore,соҳил
short,кӯтоҳ
should,бояд
shoulder,китфи
shout,бонги
show,шоу
side,тараф
sight,биноӣ
sign,имзо
silent,ором
silver,нуқра
similar,монанд
simple,содда
since,зеро
sing,сароидан
single,ягона
sister,хоҳар
sit,нишастан
six,шаш
size,андоза
skill,маҳорат
skin,пӯст
sky,осмон
slave,ғуломи
sleep,хоб
slip,зиддилағзиш
slow,оҳиста
small,майда
smell,бӯй
smile,табассум
snow,барф
so,ҳамин тавр
soft,нарм
soil,хок
soldier,сарбоз
solution,ҳал
solve,ҳал
some,баъзе
son,писар
song,суруд
soon,ба зудӣ
sound,садо
south,ҷануб
space,фазо
speak,сухан
special,махсус
speech,суханронӣ
speed,суръат
spell,насабатонро
spend,сарф
spoke,гуфт
spot,ҷойи
spread,паҳншавии
spring,баҳор
square,мураббаъ
stand,истодан
star,ситора
start,оѓоз
state,давлат
station,истгоҳ
stay,мондан
stead,"бартобед,"
steam,буѓї
steel,пӯлоди
step,қадами
stick,чӯб
still,то ҳол
stone,санг
stood,"истода,"
stop,ист
store,мағозаи
story,ошёна
straight,рост
strange,аҷиб
stream,наҳр
street,кӯча
stretch,андарун
string,сатр
strong,мустаҳкам
student,донишҷӯи
study,омӯзиши
subject,фан
substance,моддањои
subtract,subtract
success,муваффақият
such,монанди
sudden,нобаҳангом
suffix,пасванд
sugar,шакар
suggest,пешниҳод
suit,костюм
summer,тобистон
sun,офтоб
supply,таъминоти
support,дастгирии
sure,ҳосил
surface,рўизаминї
surprise,ҳайратовар
swim,шино
syllable,syllable
symbol,рамз
system,система
table,мизи
tail,дум
take,мегирад
talk,баҳси
tall,баланд
teach,таълим
team,гурӯҳ
teeth,дандон
tell,"мегӯям,"
temperature,ҳарорат
ten,даҳ
term,мӯҳлат
test,озмоиш
than,нисбат ба
thank,ташаккур
that,он
the,дар
their,онҳо
them,онҳо
then,баъд
there,он ҷо
these,онҳо
they,онҳо
thick,пурдарахт
thin,тунук
thing,чиз
think,фикр
third,сеюм
this,ин
those,онҳо
though,ҳатто
thought,фикр
thousand,ҳазор
three,се
through,ба воситаи
throw,партофтан
thus,ҳамин тавр
tie,ақди
time,вақт
tiny,майдаяк
tire,хаста
to,ба
together,ҳамроҳ
told,гуфт
tone,оҳанги
too,аз ҳад зиёд
took,"гирифта,"
tool,воситаи
top,боло
total,умумии
touch,ламс
toward,ба
town,шаҳр
track,суруд
trade,савдо
train,поезд
travel,сафари
tree,дарахт
triangle,секунҷа
trip,сафар
trouble,душворӣ
truck,мошини боркаш
true,ҳақиқӣ
try,кӯшиш
tube,tube
turn,навбати
twenty,бист
two,ду
type,намуди
under,зери
unit,воҳиди
until,то
up,то
us,мо
use,истифода бурдан
usual,муқаррарии
valley,водии
value,арзиши
vary,фарқ
verb,феъл
very,бисёр
view,бознигарии
village,дењаи
visit,боздид
voice,овоз
vowel,vowel
wait,интизор шудан
walk,рафтан
wall,девор
want,мехоҳанд
war,ҷанг
warm,гарм
was,буд
wash,шустан
watch,тамошо кардан
water,об
wave,мавҷи
way,роҳ
we,мо
wear,пӯшидан
weather,обу ҳаво
week,ҳафта
weight,тарозу
well,хуб
went,рафт
were,буданд
west,ғарб
what,чӣ
wheel,чарх
when,кай
where,ки дар он
whether,новобаста аз он
which,кадом
while,ҳол он
white,сафед
who,кӣ
whole,тамоми
whose,ки
why,чаро
wide,васеъ
wife,зани
wild,ваҳшӣ
will,"хоҳад,"
win,бурди
wind,шамол
window,тиреза
wing,ҷиноҳи
winter,зимистон
wire,сим
wish,хоҳиш
with,аз
woman,зан
women,занон
wonder,ҳайрат
won’t,не хоҳад
wood,дарахт
word,сухан
work,кор
world,ҷаҳон
would,розй
write,навиштан
written,навишта
wrong,нодуруст
wrote,навишт
yard,ҳавлӣ
year,сол
yellow,зард
yes,ҳа
yet,ҳоло
you,шумо
young,ҷавонон
your,шумо
