english,privacy_policy
enemy,enemigo
energy,energía
engine,motor
enough,suficiente
enter,entrar
equal,igual
equate,equiparar
especially,especialmente
even,incluso
evening,noche
event,evento
ever,nunca
every,cada
exact,exacta
example,ejemplo
except,excepto
excite,excitar
exercise,ejercicio
expect,esperar
experience,experiencia
experiment,experimento
eye,ojo
face,cara
fact,hecho
fair,justo
fall,caer
family,familia
famous,famoso
far,ahora
farm,granja
fast,rápido
fat,grasa
father,padre
favor,favorecer
fear,miedo
feed,pienso
feel,sentir
feet,pies
fell,cayó
felt,sentido
few,pocos
field,campo
fig,higo
fight,lucha
figure,figura
fill,llenar
final,último
find,encontrar
fine,fina
finger,dedo
finish,acabado
fire,fuego
first,primero
fish,peces
fit,encajar
five,cinco
flat,plana
floor,piso
flow,fluir
flower,flor
fly,volar
follow,siga
food,alimentos
foot,pie
for,para
force,fuerza
forest,bosque
form,forma
forward,adelante
found,encontrado
four,cuatro
fraction,fracción
free,libre
fresh,fresco
friend,amigo
from,desde
front,delante
fruit,fruta
full,completo
fun,diversión
game,juego
garden,jardín
gas,gas
gather,reunir
gave,dio
general,general
gentle,suave
get,conseguir
girl,chica
give,dar
glad,contento
glass,vidrio
go,ir
gold,oro
gone,se ha ido
good,buena
got,conseguido
govern,gobernar
grand,gran
grass,hierba
gray,gris
great,gran
green,verde
grew,creció
ground,suelo
group,grupo
grow,crecer
guess,adivinar
guide,guiar
gun,pistola
had,tenido
hair,pelo
half,medio
hand,mano
happen,suceder
happy,feliz
hard,duro
has,tiene
hat,sombrero
have,tener
he,él
head,cabeza
hear,escuchar
heard,oído
heart,corazón
heat,calor
heavy,pesada
held,en espera
help,ayudar
her,su
here,aquí
high,alto
hill,colina
him,él
his,su
history,historia
hit,golpear
hold,mantenga
hole,agujero
home,casa
hope,esperanza
horse,caballo
hot,caliente
hot,caliente
hour,horas
house,casa
how,cómo
huge,enorme
human,humana
hundred,cien
hunt,caza
hurry,prisa
i,i
ice,hielo
idea,gusta
if,si
imagine,imaginar
in,en
inch,pulgadas
include,incluir
indicate,indicar
industry,industria
insect,insecto
instant,instantánea
instrument,instrumento
interest,interés
invent,inventar
iron,hierro
is,es
island,isla
it,lo
job,trabajo
join,unirse
joy,alegría
jump,saltar
just,sólo
keep,mantener
kept,guardado
key,clave
kill,matar
kind,tipo
king,rey
knew,sabía
know,saber
lady,dama
lake,lago
land,tierra
language,idioma
large,grande
last,último
late,tarde
laugh,risa
law,ley
lay,sentar
lead,conducir
learn,aprender
least,menos
leave,dejar
led,llevado
left,izquierda
leg,pierna
length,longitud
less,menos
let,dejar
letter,carta
level,nivel
lie,mentira
life,vida
lift,ascensor
light,luz
like,como
line,línea
liquid,líquido
list,lista
listen,escuchar
little,poco
live,vivir
locate,localizar
log,log
lone,solitario
long,largo
look,buscar
lost,perdido
lot,mucho
loud,fuerte
love,amar
low,bajo
machine,máquina
made,hecho
magnet,imán
main,principal
major,importante
make,hacer
man,hombre
many,muchos
map,mapa
mark,marca
market,mercado
mass,masa
master,master
match,partido
material,materiales
matter,materia
may,puede
me,me
mean,significará
meant,significado
measure,medir
meat,carne
meet,se reúnen
melody,melodía
men,hombres
metal,de metal
method,método
middle,medio
might,podría
mile,milla
milk,leche
million,millones
mind,mente
mine,mina
minute,minuto
miss,señorita
mix,mezclar
modern,moderno
molecule,molécula
moment,momento
money,dinero
month,mes
moon,luna
more,más
morning,mañana
most,más
mother,madre
motion,movimiento
mount,monte
mountain,montaña
mouth,boca
move,movimiento
much,mucho
multiply,multiplicar
music,música
must,debe
my,mi
name,nombre
nation,nación
natural,naturales
nature,naturaleza
near,cerca
necessary,necesario
neck,cuello
need,necesitará
neighbor,vecino
never,nunca
new,nuevo
next,próximo
night,noche
nine,nueve
no,no
noise,ruido
noon,mediodía
nor,ni
north,norte
nose,nariz
note,nota
nothing,nada
notice,aviso
noun,sustantivo
now,ahora
number,número
numeral,numeral
object,objeto
observe,observar
occur,producirse
ocean,océano
of,de
off,fuera
offer,oferta
office,oficina
often,menudo
oh,oh
oil,aceite
old,viejo
on,en
once,una vez
one,uno
only,sólo
open,abierta
operate,operar
opposite,opuesta
or,o
order,orden
organ,órgano
original,originales
other,otros
our,nuestro
out,fuera
over,sobre
own,propio
oxygen,oxígeno
page,página
paint,pintar
pair,par
paper,papel
paragraph,párrafo
parent,padre
part,parte
particular,"particular,"
party,partido
pass,pasar
past,pasado
path,camino
pattern,patrón
pay,pagar
people,personas
perhaps,quizás
period,período
person,persona
phrase,frase
pick,recoger
picture,imagen
piece,pieza
pitch,pitch
place,lugar
plain,llano
plan,plan de
plane,plano
planet,planeta
plant,planta
play,jugar
please,por favor
plural,plurales
poem,poema
point,punto
poor,pobre
populate,poblar
port,puerto
pose,plantear
position,posición
possible,posible
post,mensaje
pound,libra
power,potencia
practice,práctica
prepare,preparar
present,presente
press,prensa
pretty,bastante
print,print
probable,probable
problem,problema
process,proceso
produce,produce
product,producto
proper,adecuada
property,propiedad
protect,proteger
prove,demostrar
provide,proporcionar
pull,halar
push,empujar
put,poner
quart,cuarto de galón
question,pregunta
quick,rápido
quiet,tranquila
quite,bastante
quotient,cociente
race,carrera
radio,radio
rail,ferrocarril
rain,lluvia
raise,aumentar
ran,corrió
range,alcance
rather,más bien
reach,llegar
read,leer
ready,listo
real,reales
reason,razón
receive,recibir
record,registro
red,rojo
region,región
remember,recordar
repeat,repita
reply,responder
represent,representar
require,exigir
rest,resto
result,resultado
rich,rica
ride,paseo
right,derecho
ring,anillo
rise,aumentando
river,río
road,carretera
rock,roca
roll,rollo
room,habitación
root,raíz
rope,cuerda
rose,rosa
round,ronda
row,fila
rub,frotar
rule,regla
run,ejecutar
safe,seguro
said,dicho
sail,vela
salt,sal
same,misma
sand,arena
sat,satélite
save,guardar
saw,sierra
say,decir
scale,escala
school,escuela
science,ciencia
score,puntuación
sea,mar
search,búsqueda
season,temporada
seat,asiento
second,segundo
section,sección
see,ver
seed,semilla
seem,parecer
segment,segmento
select,seleccionar
self,auto
sell,vender
send,enviar
sense,sentido
sent,enviado
sentence,frase
separate,separada
serve,servir
set,conjunto
settle,resolver
seven,siete
several,varios
shall,deberá
shape,forma
share,cuota
sharp,agudo
she,ella
sheet,hoja
shell,concha
shine,brillo
ship,buque
shoe,zapato
shop,tienda
shore,orilla
short,corto
should,debería
shoulder,hombro
shout,grito
show,show
side,lado
sight,vista
sign,signo
silent,silencio
silver,plata
similar,similar
simple,sencilla
since,desde
sing,cantar
single,sola
sister,hermana
sit,sentarse
six,seis
size,tamaño
skill,habilidad
skin,piel
sky,cielo
slave,esclavo
sleep,sueño
slip,deslizamiento
slow,lenta
small,pequeño
smell,olor
smile,sonrisa
snow,nieve
so,así
soft,suave
soil,suelo
soldier,soldado
solution,solución
solve,resolver
some,algunos
son,hijo
song,canción
soon,pronto
sound,sonar
south,sur
space,espacio
speak,hablar
special,especial
speech,discurso
speed,velocidad
spell,deletrear
spend,pasar
spoke,habló
spot,lugar
spread,propagación
spring,primavera
square,plaza
stand,de pie
star,estrella
start,inicio
state,estado
station,estación
stay,quedarse
stead,lugar
steam,vapor
steel,acero
step,paso
stick,palillo
still,todavía
stone,piedra
stood,destacado
stop,deténgase
store,tienda
story,historia
straight,recta
strange,extraño
stream,corriente
street,calle
stretch,tramo
string,cadena
strong,fuerte
student,estudiante
study,estudio
subject,sujeto
substance,sustancia
subtract,restar
success,éxito
such,tal
sudden,repentina
suffix,sufijo
sugar,azúcar
suggest,sugerir
suit,traje
summer,verano
sun,sol
supply,suministro
support,apoyo
sure,seguro
surface,superficie
surprise,sorpresa
swim,nadar
syllable,sílaba
symbol,símbolo
system,sistema
table,mesa
tail,cola
take,tomar
talk,charla
tall,de altura
teach,enseñar
team,equipo
teeth,dientes
tell,decir
temperature,temperatura
ten,diez
term,plazo
test,prueba
than,que
thank,gracias
that,que
the,la
their,su
them,ellos
then,entonces
there,hay
these,éstos
they,ellos
thick,de espesor
thin,delgado
thing,cosa
think,pensar
third,tercero
this,este
those,los
though,aunque
thought,pensado
thousand,mil
three,tres
through,a través de
throw,lanzar
thus,"por tanto,"
tie,empate
time,tiempo
tiny,pequeño
tire,neumáticos
to,a
together,juntos
told,dicho
tone,tono
too,demasiado
took,tomó
tool,herramienta
top,cima
total,totales
touch,tocar
toward,hacia
town,ciudad
track,pista
trade,comercio
train,tren
travel,viajes
tree,árbol
triangle,triángulo
trip,viaje
trouble,problema
truck,camión
true,verdadero
try,tratar
tube,tubo
turn,"a su vez,"
twenty,veinte
two,dos
type,tipo
under,bajo
unit,unidad
until,hasta
up,hasta
us,nosotros
use,uso
usual,habitual
valley,valle
value,valor
vary,variar
verb,verbo
very,muy
view,vista
village,pueblo
visit,visita
voice,voz
vowel,vocal
wait,espere
walk,caminar
wall,pared
want,querer
war,guerra
warm,caliente
was,era
wash,lavado
watch,ver
water,agua
wave,ola
way,camino
we,nos
wear,desgaste
weather,tiempo
week,semana
weight,peso
well,así
went,se fue
were,eran
west,oeste
what,qué
wheel,rueda
when,cuando
where,donde
whether,si
which,que
while,mientras
white,blanco
who,que
whole,todo
whose,cuya
why,por qué
wide,amplio
wife,esposa
wild,salvaje
will,lo hará
win,ganar
wind,viento
window,ventana
wing,ala
winter,invierno
wire,alambre
wish,desear
with,con
woman,mujer
women,mujeres
wonder,maravilla
won’t,no lo hará
wood,madera
word,palabra
work,trabajo
world,mundo
would,haría
write,escribir
written,escrito
wrong,mal
wrote,escribió
yard,patio
year,años
yellow,amarillo
yes,sí
yet,aún
you,usted
young,joven
your,su
