english,luxembourgish
division,divisioun
do,maachen
doctor,dokter
does,heescht
dog,hond
dollar,dollar
done,gemaach
don’t,maachen net
door,dier
double,duebel
down,iwwer
draw,zéien
dream,dram
dress,rack
drink,drénken
drive,fuert
drop,lëscht
dry,dréchnen
duck,int
during,während
each,all
ear,ouer
early,fréi
earth,äerd
ease,liichtegkeet
east,osten
eat,iessen
edge,wäitschoss
effect,effet
egg,ee
eight,aacht
either,entweder
electric,elektrescht
element,element
else,soss
end,enn
enemy,géigner
energy,energie
engine,moteur
enough,genuch
enter,gitt
equal,gläichberechtegt
equate,näämlech
especially,besonnesch
even,souguer
evening,owend
event,héichwaasser
ever,jee
every,all
exact,genau
example,beispill
except,ausser
excite,provozéiert
exercise,trainéieren
expect,erwaart
experience,erfahrung
experiment,experimenter
eye,aen
face,gesiicht
fact,tatsaach
fair,fair
fall,hierscht
family,famill
famous,berühmte
far,wäit
farm,bauerenhaff
fast,séier
fat,fett
father,papp
favor,dofir
fear,angscht
feed,feed
feel,fillen
feet,féiss
fell,gefall
felt,gefillt
few,puer
field,beräich
fig,figebam
fight,kampf
figure,zuelen
fill,fëllen
final,finale
find,fannen
fine,geldstrof
finger,fanger
finish,virum
fire,feier
first,éischten
fish,fësch
fit,fit
five,fënnef
flat,appartement
floor,stack
flow,onkontrolléiert
flower,kiischtebléieschau
fly,fléien
follow,verfollegen
food,liewensmëttel
foot,fouss
for,fir
force,kraaft
forest,bësch
form,form
forward,vir
found,fonnt
four,véier
fraction,fraktioun
free,fräi
fresh,frësch
friend,frënd
from,aus
front,virun
fruit,uebst
full,voll
fun,spaass
game,spill
garden,gaart
gas,gas
gather,léeen
gave,huet
general,allgemeng
gentle,sanft
get,kréien
girl,girl
give,ginn
glad,frou
glass,glas
go,ginn
gold,gold
gone,eriwwer
good,gutt
got,ass
govern,regéieren
grand,grouss
grass,ausgerëtscht
gray,gro
great,super
green,gréng
grew,gewuess
ground,buedem
group,grupp
grow,wuessen
guess,roden
guide,guide
gun,eng pistoul
had,hu
hair,hoer
half,halschent
hand,dem
happen,geschéien
happy,glécklech
hard,schwéier
has,huet
hat,hittchen
have,hunn
he,hien
head,kapp
hear,héieren
heard,héieren
heart,häerz
heat,hëtzt
heavy,schwéierindustrie
held,ofgehale ginn
help,hëllef
her,hirem
here,hei
high,héich
hill,bierg
him,him
his,sengem
history,geschicht
hit,hit
hold,engëm
hole,lach
home,doheem
hope,hoffen
horse,päerd
hot,waarm
hour,stonn
house,haus
how,wéi
huge,grousse
human,mënsch
hundred,honnert
hunt,kentaur
hurry,presséiert
i,ech
ice,äis
idea,iddi
if,wann
imagine,envisagéieren
in,an
inch,zoll
include,gehéiert
indicate,charakteriséieren
industry,industrie
insect,insekt
instant,instant
instrument,instrument
interest,interesséieren
invent,sort
iron,eisen
is,ass
island,insel
it,et
job,aarbecht
join,anzeschreiwen
joy,glécksgefill
jump,sprangen
just,just
keep,halen
kept,huet
key,schlëssel
kill,ëmzebréngen
kind,aart
king,kinnek
knew,riwwer
know,wëssen
lady,fra
lake,séi
land,land
language,sprooch
large,grouss
last,leschte
late,spéit
laugh,laachen
law,gesetz
lay,zougemaach
lead,an
learn,léieren
least,mannst
leave,verloossen
led,led
left,lénks
leg,been
length,längt
less,manner
let,loosse
letter,bréif
level,niveau
lie,gelunn
life,liewen
lift,ëmdréien
light,liicht
like,wëll
line,linn
liquid,flësseg
list,lëscht
listen,haaptmenu
little,wéineg
live,liewen
locate,situéiert
log,läschlëscht
lone,kommissiounen
long,laang
look,wanterschlof
lost,verluer
lot,vill
loud,haart
love,léift
low,héich
machine,maschinn
made,gemaach
magnet,magnéit
main,haaptstrooss
major,grouss
make,maachen
man,mënsch
many,vill
map,uweisen
mark,uerg
market,maart
mass,mass
master,meeschtesch
match,match
material,material
matter,matière
may,mee
me,mech
mean,heeschen
meant,gemengt
measure,moossnam
meat,fleesch
meet,treffen
melody,ouverture
men,männer
metal,metal
method,method
middle,mëtt
might,kéint
mile,haushéich
milk,mëllech
million,milliounen
mind,geescht
mine,grouf
minute,minutt
miss,profitéiert
mix,mix
modern,modern
molecule,protein
moment,moment
money,suen
month,mount
moon,äerdmound
more,méi
morning,moien
most,meeschte
mother,mamm
motion,dréchnen
mount,montéierung
mountain,bierg
mouth,mond
move,réckelen
much,vill
multiply,féngeren
music,musek
must,muss
my,meng
name,numm
nation,natioun
natural,natierlech
nature,natur
near,nieft
necessary,néideg
neck,verwonnt
need,brauchen
neighbor,noper
never,ni
new,nei
next,nächst
night,nuecht
nine,néng
no,nee
noise,kaméidi
noon,mëttes
nor,nach
north,norden
nose,nues
note,notéieren
nothing,näischt
notice,notiz
noun,gehandelt ginn
now,elo
number,zuel
numeral,numeral
object,objet
observe,observéieren
occur,geschéien
ocean,ozean
of,vun
off,ugefaangen
offer,offer
office,büro
often,oft
oh,oh
oil,ueleg
old,al
on,op
once,eemol
one,eent
only,nëmmen
open,open
operate,bedreiwen
opposite,géigendeel
or,oder
order,uerdnung
organ,uergel
original,original
other,aner
our,eiser
out,aus
over,iwwer
own,eege
oxygen,sauerstoff
page,säit
paint,fierwen
pair,hien huet misse
paper,pabeier
paragraph,paragraph
parent,elterendeel
part,deel
particular,besonnesch
party,partei
pass,virum
past,vergaangenheet
path,ugebonne
pattern,muster
pay,bezuelen
people,leit
perhaps,vläicht
period,zäitraum
person,persoun
phrase,ausdrock
pick,kiischt
picture,eroplueden
piece,stéck
pitch,ofwierzentrum
place,plaz
plain,kreon
plan,plangen
plane,fliger
planet,planéit
plant,planz
play,leeschtung
please,wann ech glift
plural,méizuel
poem,gedicht
point,punkt
poor,aarmséileg
populate,rouegen
port,port
pose,verkleeden
position,positioun
possible,méiglech
post,post
pound,weier
power,muecht
practice,praxis
prepare,preparéieren
present,presentéieren
press,press
pretty,flott
print,print
probable,probabel
problem,problem
process,prozess
produce,recycléieren
product,produit
proper,zäitmiessung
property,propriétéit
protect,protegéieren
prove,beweise
provide,déi
pull,erluecht
push,auslänner
put,no
quart,quart
question,fro
quick,quick
quiet,roueg
quite,relativ
quotient,quotient
race,course
radio,radio
rail,persounegare
rain,reen
raise,dréimoment
ran,géigespiller
range,rei
rather,éischter
reach,erreeche
read,liesen
ready,prett
real,real
reason,grond
receive,kréien
record,rekord
red,rout
region,regioun
remember,erënneren
repeat,widderhuelen
reply,reply
represent,representéieren
require,verlaangen
rest,rescht
result,resultat
rich,räich
ride,corse
right,riets
ring,ring
rise,klammen
river,floss
road,strooss
rock,rock
roll,däerfs
room,zëmmer
root,root
rope,seel
rose,opgefuer
round,ronn
row,rudderen
rub,reift
rule,regel
run,lafen
safe,sécher
said,gesot
sail,segelen
salt,salz
same,selwecht
sand,sand
sat,deputéierten
save,spueren
saw,gesinn
say,soen
scale,skala
school,schoul
science,wëssenschaft
score,stoung
sea,mier
search,sich
season,saison
seat,sëtz
second,zweeten
section,sektioun
see,gesinn
seed,som
seem,schéngs
segment,segment
select,wielt
self,self
sell,verkafen
send,schéckt
sense,sënn
sent,geschéckt
sentence,saz
separate,separat
serve,zerwéieren
set,formatioun
settle,begréisst
seven,siwen
several,puer
shall,duerf
shape,form
share,deelen
sharp,mëttele
she,si
sheet,drécken
shell,réibau
shine,iwwerzeegen
ship,schëff
shoe,schongbuttek
shop,buttek
shore,bord
short,kuerz
should,soll
shoulder,schëller
shout,gefaang
show,weisen
side,säit
sight,gesinn
sign,z’ënnerschreiwen
silent,silent
silver,sëlwer
similar,ähnleche
simple,einfach
since,zënter
sing,sangen
single,eenzel
sister,schwëster
sit,sëtzt
six,sechs
size,gréisst
skill,fäegkeet
skin,haut
sky,himmel
slave,prophéit
sleep,schlof
slip,réck
slow,luesen
small,kleng
smell,gerochssënn
smile,smile
snow,schnéi
so,sou
soft,mëll
soil,buedem
soldier,beruffsoffizéier
solution,léisung
solve,léisen
some,puer
son,jong
song,lidd
soon,geschwënn
sound,toun
south,süden
space,plaz
speak,schwätzen
special,besonnesch
speech,ried
speed,vitesse
spell,heimatt
spend,vakanz
spoke,geschwat
spot,plaz
spread,verbreedung
spring,fréijoer
square,metercarré
stand,toleréieren
star,stär
start,ufank
state,staat
station,statioun
stay,bleiwen
stead,notzen
steam,dampbad
steel,stol
step,schrëtt
stick,duergestallt
still,nach
stone,stee
stood,stoung
stop,ophalen
store,store
story,geschicht
straight,riichtaus
strange,komësch
stream,bäiginn
street,strooss
stretch,zéien
string,string
strong,staark
student,schüler
study,studéieren
subject,sujet
substance,substanz
subtract,subtract
success,succès
such,esou
sudden,drastesch
suffix,derivéiert
sugar,zocker
suggest,proposéiere
suit,kostüm
summer,summer
sun,sonn
supply,fourniture
support,ënnerstëtzung
sure,sécher
surface,uewerfläch
surprise,iwwerraschung
swim,schwammen
syllable,länner ze
symbol,symbol
system,system
table,dësch
tail,schwäif
take,huelen
talk,diskussioun
tall,grouss
teach,léieren
team,team
teeth,zänn
tell,soen
temperature,temperatur
ten,zéng
term,laangfristeg
test,test
than,wéi
thank,merci
that,datt
the,der
their,hir
them,iwwerleeën
then,duerno
there,do
these,dës
they,si
thick,déck
thin,dënn
thing,saach
think,meenung
third,drëtten
this,dëst
those,deene
though,obwuel
thought,geduecht
thousand,dausend
three,dräi
through,duerch
throw,geheien
thus,domat
tie,tie
time,zäit
tiny,klinzeg
tire,verhaalen
to,ze
together,zesumme
told,gesot
tone,ervirhiewen
too,ze
took,huet
tool,blockéieren
top,erop
total,total
touch,déngschtleeschtunge
toward,richtung
town,stad
track,normaliséieren
trade,handel
train,zuch
travel,reesen
tree,bam
triangle,dräieck
trip,rees
trouble,ierger
truck,camion
true,richteg
try,probéieren
tube,kielech
turn,béit
twenty,zwanzeg
two,zwee
type,typ
under,ënner
unit,eenheet
until,bis
up,weider
us,eis
use,benotzung
usual,gewéinlech
valley,dall
value,wäert
vary,variéieren
verb,verb
very,ganz
view,vue
village,duerf
visit,visite
voice,stëmm
vowel,vokal
wait,wait
walk,spadséiergank
wall,mauer
want,wëllen
war,krich
warm,waarm
was,war
wash,wäschen
watch,nuetswuecht
water,waasser
wave,laangwelleg
way,manéier
we,mir
wear,opléisen
weather,wiederstatioun
week,woch
weight,gewiicht
well,gutt
went,gaangen
were,goufen
west,westen
what,waat
wheel,rad
when,wéini
where,wou
whether,ob
which,déi
while,iwwerdeems
white,wäiss
who,déi
whole,ganz
whose,deenen hir
why,firwat
wide,verhënnert
wife,fra
wild,wëllschwäin
will,wäert
win,win
wind,wand
window,fënster
wing,säit
winter,wanter
wire,drot
wish,wënschen
with,mat
woman,fra
women,fraen
wonder,froe mech
won’t,wäert net
wood,holz
word,wuert
work,aarbecht
world,welt
would,géifen
write,schreiwen
written,schrëftlech
wrong,falsch
wrote,geschriwwen
yard,haff
year,joer
yellow,giel
yes,jo
yet,nach
you,dir
young,jonk
your,är
