english,filipino
glass,salamin
go,pumunta
gold,ginto
gone,nawala
good,mabuti
got,nakakuha
govern,namamahala sa
grand,malaki at maganda
grass,damo
gray,kulay-abo
great,mahusay
green,berde
grew,lumago
ground,lupa
group,pangkat
grow,lumaki
guess,hulaan
guide,patnubayan
gun,gun
had,nagkaroon
hair,buhok
half,kalahati
hand,kamay
happen,mangyari
happy,masaya
hard,matapang
has,may
hat,sumbrero
have,mayroon
he,siya
head,ulo
hear,pakinggan
heard,narinig
heart,puso
heat,init
heavy,mabigat
held,pinigilang
help,tulungan
her,sa kanya
here,dito
high,mataas
hill,burol
him,sa kanya
his,kanyang
history,kasaysayan
hit,pindutin ang
hold,matagalan
hole,butas
home,tahanan
hope,umaasa
horse,kabayo
hot,mainit
hour,oras
house,bahay
how,kung paano
huge,malaking
human,pantao
hundred,daang
hunt,hunt
hurry,magmadali
i,ako
ice,yelo
idea,idea
if,kung
imagine,isipin
in,sa
inch,inch
include,isama
indicate,ipahiwatig
industry,industriya
insect,insekto
instant,instant
instrument,instrumento
interest,interes
invent,imbentuhin
iron,bakal
is,ay
island,isla
it,ito
job,trabaho
join,sumali
joy,kagalakan
jump,tumalon
just,lamang
keep,panatilihin
kept,pinananatiling
key,key
kill,pumatay
kind,uri
king,king
knew,alam
know,alam
lady,ginang ng bansa
lake,dagat-dagatan
land,lupa
language,wika
large,malaki
last,huli
late,late
laugh,patawanin
law,batas
lay,mag-ipon
lead,pangunahan
learn,malaman
least,hindi bababa sa
leave,mag-iwan
led,humantong
left,ang natitira
leg,binti
length,haba
less,mas
let,ipaalam
letter,sulat
level,antas
lie,kasinungalingan
life,buhay
lift,pag-angat
light,liwanag
like,tulad ng
line,linya
liquid,likido
list,listahan
listen,makinig
little,maliit
live,mabuhay
locate,hanapin
log,mag-log
lone,kaisa-isa
long,mahaba
look,tumingin
lost,nawala
lot,marami
loud,malakas
love,pag-ibig
low,mababa
machine,makina
made,ginawa
magnet,magneto
main,pangunahin
major,pangunahing
make,gumawa
man,tao
many,marami
map,mapa
mark,mark
market,merkado
mass,masa
master,master
match,pagtutugma
material,materyal
matter,bagay
may,maaari
me,sa akin
mean,ibig sabihin
meant,nakalaan lamang ito
measure,sukatin
meat,karne
meet,matugunan
melody,melody
men,mga lalaki
metal,metal
method,pamamaraan
middle,gitna
might,lakas
mile,milya
milk,gatas
million,milyon
mind,isip
mine,minahan
minute,minutong
miss,tamaan
mix,paghaluin
modern,modernong
molecule,molekyul
moment,sandali
money,pera
month,buwan
moon,gumala
more,higit pa
morning,umaga
most,karamihan
mother,nanay
motion,galaw
mount,may kabit
mountain,bundok
mouth,bibig
move,paglipat
much,magkano
multiply,paramihin
music,musika
must,kailangan
my,ko
name,pangalan
nation,bansa
natural,natural
nature,likas na katangian
near,malapit
necessary,kinakailangan
neck,leeg
need,kailangan
neighbor,kapit-bahay
never,hindi kailanman
new,bago
next,susunod
night,gabi
nine,siyam
no,walang
noise,ingay
noon,tanghali
nor,at hindi rin
north,hilaga
nose,ilong
note,tala
nothing,walang anuman
notice,notice
noun,pangngalan
now,ngayon
number,numero
numeral,numeral
object,bagay
observe,obserbahan
occur,maganap
ocean,karagatan
of,ng
off,mula sa
offer,alok
office,opisina
often,madalas
oh,oh
oil,langis
old,luma
on,sa
once,sabay-sabay
one,isa
only,lamang
open,bukas
operate,magpatakbo
opposite,sa tapat ng
or,o
order,pagkakasunud-sunod
organ,organ
original,orihinal
other,ibang
our,ang aming
out,out
over,sa ibabaw
own,sarili
oxygen,oxygen
page,pahina
paint,pintahan
pair,pares
paper,papel
paragraph,talata
parent,magulang
part,bahagi
particular,partikular na
party,partido
pass,pumasa
past,nakalipas
path,landas
pattern,pattern
pay,bayaran
people,mga tao
perhaps,marahil
period,panahon
person,tao
phrase,parirala
pick,pumili
picture,larawan
piece,piraso
pitch,pitch
place,lugar
plain,plain
plan,plano
plane,eroplano
planet,planeta
plant,halaman
play,maglaro
please,mangyaring
plural,pangmaramihang
poem,tula
point,punto
poor,mahirap
populate,mapuno
port,port
pose,imungkahi
position,posisyon
possible,posible
post,post
pound,pound
power,kapangyarihan
practice,kasanayan
prepare,maghanda
present,kasalukuyan
press,pindutin ang
pretty,medyo
print,naka-print
probable,malamang
problem,problema
process,proseso
produce,gumawa
product,produkto
proper,mga pangngalang
property,ari-arian
protect,ipagtanggol
prove,patunayan
provide,magbigay
pull,hilahin
push,push
put,ilagay
quart,quart
question,tanong
quick,mabilis
quiet,tahimik
quite,medyo
quotient,quotient
race,lahi
radio,radyo
rail,rail
rain,ulan
raise,taasan
ran,pinatatakbo ng
range,hanay
rather,sa lalong maliwanag
reach,maabot
read,basahin
ready,handa
real,tunay
reason,dahilan
receive,tumanggap
record,talaan
red,pula
region,rehiyon
remember,tandaan
repeat,paulit-ulit na
reply,sumagot
represent,katawanin
require,nangangailangan ng
rest,pahinga
result,resulta
rich,mayaman
ride,pagsakay
right,karapatan
ring,singsing
rise,tumaas
river,ilog
road,kalsada
rock,rock
roll,roll
room,room
root,ugat
rope,ng lubid
rose,tumaas
round,pag-ikot
row,hilera
rub,kuskusin
rule,panuntunan
run,tumakbo
safe,ligtas
said,sinabi
sail,layag
salt,asin
same,pareho
sand,ng buhangin
sat,sab
save,i-save ang
saw,nakita
say,sabihin
scale,iskala
school,paaralan
science,agham
score,iskor
sea,dagat
search,paghahanap
season,season
seat,upuan
second,pangalawa
section,seksyon
see,tingnan
seed,buto
seem,mukhang
segment,segment
select,piliin
self,sarili
sell,ibenta
send,magpadala ng
sense,pakiramdam
sent,ipinadala
sentence,pangungusap
separate,hiwalay
serve,maghatid
set,hanay
settle,tumira
seven,pito
several,ilang
shall,tiyak
shape,hugis
share,magbahagi
sharp,matalim
she,siya
sheet,sheet
shell,shell
shine,kinang
ship,barko
shoe,sapatos
shop,shop
shore,baybayin
short,maikling
should,dapat
shoulder,balikat
shout,sigaw
show,palabas
side,gilid
sight,paningin
sign,lagdaan
silent,walang sinasabi
silver,pilak
similar,katulad
simple,simple
since,mula noong
sing,kantahin
single,single
sister,kapatid na babae
sit,umupo
six,anim
size,laki
skill,kasanayan
skin,balat
sky,langit
slave,alipin
sleep,tulog
slip,isuot na madali
slow,mabagal
small,maliit
smell,amoy
smile,ngiti
snow,snow
so,kaya
soft,malambot
soil,lupa
soldier,kawal
solution,solusyon
solve,malutas
some,ilang
son,anak
song,kanta
soon,sa lalong madaling panahon
sound,tunog
south,timog
space,puwang
speak,magsalita
special,espesyal na
speech,na salita
speed,bilis
spell,oras ng paggawa
spend,gumastos
spoke,nagsalita
spot,spot
spread,pagkalat
spring,tagsibol
square,parisukat
stand,tumayo
star,star
start,simula
state,estado
station,station
stay,manatili
stead,stead
steam,steam
steel,asero
step,hakbang
stick,stick
still,pa rin
stone,bato
stood,nakatayo
stop,itigil
store,tindahan
story,kuwento
straight,tuwid
strange,kakaiba
stream,stream
street,kalye
stretch,banatin
string,string
strong,malakas
student,mag-aaral
study,pag-aaral
subject,paksa
substance,bagay
subtract,ibawas
success,tagumpay
such,tulad
sudden,walang anu-ano
suffix,suffix
sugar,asukal
suggest,iminumungkahi
suit,suit
summer,tag-araw
sun,sun
supply,panustos
support,suporta
sure,sigurado
surface,pang-ibabaw
surprise,sorpresa
swim,lumangoy
syllable,pantig
symbol,simbolo
system,sistema
table,talahanayan
tail,buntot
take,kumuha
talk,talk
tall,matangkad
teach,magturo
team,koponan
teeth,ngipin
tell,sabihin
temperature,temperatura
ten,sampu
term,taning
test,pagsubok
than,kaysa
thank,pasasalamat
that,na
the,ang
their,ang kanilang
them,sila
then,pagkatapos
there,doon
these,mga
they,sila
thick,makapal
thin,manipis
thing,bagay
think,palagay
third,ikatlong
this,ito
those,iyon
though,bagaman
thought,pag-iisip
thousand,libo
three,tatlong
through,sa pamamagitan ng
throw,magtapon
thus,kaya
tie,itali
time,oras
tiny,maliit na maliit
tire,gulong
to,sa
together,magkasama
told,sinabi
tone,tono
too,masyado
took,kinuha
tool,kasangkapan
top,tuktok
total,kabuuan
touch,kalabitin
toward,patungo
town,bayan
track,track
trade,kalakalan
train,tren
travel,paglalakbay
tree,puno
triangle,tatsulok
trip,paglalakbay
trouble,pag-
truck,trak
true,totoo
try,subukan
tube,tube
turn,pagliko
twenty,dalawampu’t
two,dalawang
type,uri ng
under,sa ilalim
unit,yunit
until,hanggang sa
up,up
us,atin
use,gamitin
usual,karaniwan
valley,lambak
value,halaga
vary,mag-iba
verb,pandiwa
very,napaka
view,pagtingin
village,nayon
visit,pagbisita
voice,boses
vowel,patinig
wait,maghintay
walk,lumakad
wall,pader
want,gusto
war,digmaan
warm,mainit-init
was,noon ay
wash,wash
watch,panoorin
water,tubig
wave,alon
way,paraan
we,namin
wear,magsuot
weather,lagay ng panahon
week,linggo
weight,timbang
well,na rin
went,nagpunta
were,ay
west,kanluran
what,kung ano
wheel,gulong
when,kapag
where,saan
whether,kung
which,kung saan
while,habang
white,puting
who,kung sino
whole,kabuuan
whose,kung saan ang
why,bakit
wide,malawak
wife,asawa
wild,ligaw
will,pamanahan
win,panalo
wind,hangin
window,window
wing,wing
winter,taglamig
wire,wire
wish,nais
with,may
woman,babae
women,kababaihan
wonder,wonder
won’t,hindi maaari
wood,wood
word,salita
work,trabaho
world,mundo
would,ibig
write,sumulat
written,nakasulat
wrong,mali
wrote,isinulat ni
yard,bakuran
year,taon
yellow,dilaw
yes,yes
yet,pa
you,sa iyo
young,batang
your,iyong
