english,marathi
enemy,शत्रू
energy,ऊर्जा
engine,इंजिन
enough,पुरेशी
enter,प्रविष्ट
equal,समान
equate,बरोबर आहे असे दाखवणे
especially,विशेषत:
even,अगदी
evening,संध्याकाळ
event,कार्यक्रम
ever,कधी
every,प्रत्येक
exact,अचूक
example,उदाहरण
except,वगळता
excite,जागृत
exercise,व्यायाम
expect,अपेक्षा
experience,अनुभव
experiment,प्रयोग
eye,डोळा
face,चेहरा
fact,खरं
fair,गोरा
fall,पडणे
family,कुटुंब
famous,प्रसिद्ध
far,आतापर्यंत
farm,शेत
fast,जलद
fat,चरबी
father,वडील
favor,मर्जी
fear,भीती
feed,फीड
feel,वाटत
feet,पाय
fell,पडले
felt,वाटले
few,काही
field,फील्ड
fig,अंजीर
fight,लढा
figure,आकृती
fill,भरा
final,अंतिम
find,शोधू
fine,सुरेख
finger,हाताचे बोट
finish,समाप्त
fire,आग
first,प्रथम
fish,मासे
fit,फिट
five,पाच
flat,फ्लॅट
floor,मजला
flow,प्रवाह
flower,फ्लॉवर
fly,उडता
follow,अनुसरण
food,अन्न
foot,पाऊल
for,साठी
force,शक्ती
forest,वन
form,फॉर्म
forward,पुढे
found,आढळले
four,चार
fraction,अपूर्णांक
free,मोफत
fresh,ताज्या
friend,मित्र
from,पासून
front,समोर
fruit,फळ
full,पूर्ण
fun,मजा
game,खेळ
garden,बाग
gas,गॅस
gather,गोळा
gave,दिली
general,सामान्य
gentle,सभ्य
get,मिळवा
girl,मुलगी
give,देणे
glad,आनंद
glass,काच
go,जा
gold,सोने
gone,गेला
good,चांगले
got,आला
govern,राज्य
grand,ग्रँड
grass,गवत
gray,राखाडी
great,महान
green,हिरव्या
grew,वाढला
ground,ग्राउंड
group,गट
grow,वाढू
guess,अंदाज
guide,मार्गदर्शन
gun,तोफा
had,होते
hair,केस
half,अर्धा
hand,हात
happen,घडू
happy,आनंदी
hard,हार्ड
has,आहे
hat,हॅट
have,आहे
he,तो
head,डोके
hear,लक्ष देऊन ऐकणे
heard,ऐकले
heart,हृदय
heat,उष्णता
heavy,जोरदार
held,या
help,मदत
her,तिच्या
here,येथे
high,उच्च
hill,हिल
him,त्याला
his,त्याच्या
history,इतिहास
hit,दाबा
hold,धारण
hole,भोक
home,मुख्य पान
hope,आशा आहे
horse,घोडा
hot,गरम
hour,तास
house,घर
how,कसे
huge,प्रचंड
human,मानवी
hundred,शंभर
hunt,शोधाशोध
hurry,धांदल
i,मी
ice,बर्फ
idea,कल्पना
if,तर
imagine,कल्पना
in,मध्ये
inch,इंच
include,समावेश
indicate,सूचित
industry,उद्योग
insect,किटक
instant,झटपट
instrument,इन्स्ट्रुमेंट
interest,व्याज
invent,नवीन शोध लावणे
iron,लोखंड
is,आहे
island,बेट
it,तो
job,नोकरी
join,सामील
joy,आनंद
jump,उडी
just,फक्त
keep,ठेवा
kept,ठेवली
key,कळ
kill,मारणे
kind,प्रकारची
king,राजा
knew,माहीत
know,माहित
lady,महिला
lake,लेक
land,जमीन
language,भाषा
large,मोठ्या
last,गेल्या
late,उशीरा
laugh,हसणे
law,कायदा
lay,पोवाडा
lead,आघाडी
learn,जाणा
least,किमान
leave,सोडा
led,नेतृत्व
left,बाकी
leg,पाय
length,लांबी
less,कमी
let,द्या
letter,पत्र
level,पातळी
lie,खोटे बोलणे
life,जीवन
lift,वर उचलणे
light,प्रकाश
like,जसे
line,ओळ
liquid,द्रव
list,यादी
listen,ऐका
little,थोडे
live,राहतात
locate,शोधून काढणे
log,लॉग इन
lone,एकमेव
long,लांब
look,पाहण्यासारखे
lost,गमावले
lot,भरपूर
loud,मोठा आवाज
love,प्रेम
low,शोधा
machine,मशीन
made,केले
magnet,लोहचुंबक
main,मुख्य
major,मुख्य
make,करा
man,मनुष्य
many,अनेक
map,नकाशा
mark,खूण
market,बाजार
mass,वस्तुमान
master,मास्टर
match,सामना
material,साहित्य
matter,बाब
may,असू शकेल
me,मला
mean,अर्थ
meant,करायचं
measure,मोजण्यासाठी
meat,मांस
meet,बैठक
melody,गोडवा
men,पुरुष
metal,धातू
method,पद्धत
middle,मध्यम
might,कदाचित
mile,मैलाचे
milk,दूध
million,दशलक्ष
mind,मन
mine,खाण
minute,मिनिट
miss,न सापडणे
mix,मिक्स
modern,आधुनिक
molecule,परमाणू
moment,क्षण
money,पैसा
month,महिना
moon,चंद्र
more,अधिक
morning,सकाळी
most,सर्वात
mother,आई
motion,गती
mount,माउंट
mountain,माउंटन
mouth,तोंड
move,हलवा
much,पुष्कळ
multiply,गुणाकार
music,संगीत
must,पाहिजे
my,माझा
name,नाव
nation,राष्ट्र
natural,नैसर्गिक
nature,निसर्ग
near,जवळ
necessary,आवश्यक
neck,मान
need,गरज
neighbor,शेजारी
never,कधीही
new,नवीन
next,पुढील
night,रात्री
nine,नऊ
no,नाही
noise,आवाज
noon,दुपारी
nor,किंवा
north,उत्तरेचा
nose,नाक
note,टीप
nothing,काहीही
notice,सूचना
noun,नाम
now,आता
number,संख्या
numeral,आकडा
object,ऑब्जेक्ट
observe,देखणे
occur,उद्भवू
ocean,महासागर
of,च्या
off,बंद
offer,ऑफर
office,कार्यालय
often,अनेकदा
oh,बापरे
oil,तेल
old,जुन्या
on,वर
once,एकदा
one,एक
only,केवळ
open,उघडा
operate,ऑपरेट
opposite,उलट
or,किंवा
order,ऑर्डर
organ,शरीराचा अवयव
original,मूळ
other,इतर
our,आमच्या
out,बाहेर
over,प्रती
own,स्वत:
oxygen,ऑक्सिजन
page,पृष्ठ
paint,रंगविण्यासाठी
pair,जोडी
paper,कागद
paragraph,परिच्छेद
parent,पालक
part,भाग
particular,विशिष्ट
party,पक्ष
pass,पास
past,गेल्या
path,मार्ग
pattern,नमुना
pay,पे
people,लोक
perhaps,कदाचित
period,कालावधी
person,व्यक्ती
phrase,वाक्यांश
pick,निवडा
picture,चित्र
piece,तुकडा
pitch,खेळपट्टीवर
place,स्थान
plain,साधा
plan,योजना
plane,विमान
planet,ग्रह
plant,वनस्पती
play,प्ले
please,कृपया
plural,अनेकवचन
poem,कविता
point,बिंदू
poor,गरीब
populate,वसाहत
port,पोर्ट
pose,विशिष्ट प्रकारे (स्थितीत) बसवणे
position,स्थान
possible,शक्य
post,पोस्ट
pound,पाउंड
power,शक्ती
practice,सराव
prepare,तयार
present,उपस्थित
press,दाबा
pretty,खूपच
print,मुद्रण
probable,शक्य
problem,समस्या
process,प्रक्रिया
produce,उत्पादन
product,उत्पादन
proper,योग्य
property,मालमत्ता
protect,संरक्षण
prove,सिद्ध
provide,प्रदान
pull,खेचणे
push,पुश
put,ठेवले
quart,quart
question,प्रश्न
quick,जलद
quiet,शांत
quite,जोरदार
quotient,भागाकार
race,शर्यत
radio,रेडिओ
rail,रेल्वे
rain,पाऊस
raise,बढती
ran,संपली
range,श्रेणी
rather,ऐवजी
reach,पोहोचण्याचा
read,वाचा
ready,तयार
real,खरा
reason,कारण
receive,प्राप्त
record,रेकॉर्ड
red,लाल
region,प्रदेश
remember,लक्षात ठेवा
repeat,पुनरावृत्ती
reply,प्रत्युत्तर
represent,प्रतिनिधित्व
require,आवश्यक
rest,विश्रांती
result,परिणाम
rich,श्रीमंत
ride,त्यातील
right,योग्य
ring,अंगठी
rise,वर जाणे
river,नदी
road,रस्ता
rock,रॉक
roll,रोल
room,खोली
root,मूळ
rope,दोरी
rose,गुलाब
round,गोल
row,पंक्ती
rub,घासणे
rule,नियम
run,धाव
safe,सुरक्षित
said,म्हणाला
sail,शीड
salt,मीठ
same,त्याच
sand,वाळू
sat,शनि
save,जतन
saw,करवत
say,म्हणू
scale,स्केल
school,शाळा
science,विज्ञान
score,धावसंख्या
sea,समुद्र
search,शोध
season,हंगाम
seat,आसन
second,दुसरा
section,विभाग
see,पहा
seed,बी
seem,वाटते
segment,वर्तुळखंड
select,निवडा
self,स्वत:
sell,विक्री
send,पाठवा
sense,अर्थ
sent,पाठविले
sentence,वाक्य
separate,स्वतंत्र
serve,सर्व्ह
set,संच
settle,पुर्तता
seven,सात
several,अनेक
shall,"करील,"
shape,आकार
share,शेअर
sharp,तीक्ष्ण
she,ती
sheet,पत्रक
shell,शेल
shine,प्रकाशणे
ship,जहाज
shoe,जोडा
shop,दुकान
shore,किनारा
short,लहान
should,पाहिजे
shoulder,खांदा
shout,ओरडणे
show,शो
side,बाजूला
sight,दृष्टी
sign,साइन
silent,मूक
silver,चांदी
similar,तत्सम
simple,साधी
since,पासून
sing,गाणे
single,एकच
sister,बहीण
sit,बसणे
six,सहा
size,आकार
skill,कौशल्य
skin,त्वचा
sky,आकाश
slave,गुलाम
sleep,झोप
slip,स्लिप
slow,मंद
small,लहान
smell,वास
smile,स्मित
snow,बर्फ
so,त्यामुळे
soft,मऊ
soil,माती
soldier,सैन्यातील शिपाई
solution,उपाय
solve,सोडविण्यास
some,काही
son,मुलगा
song,गाणे
soon,लवकरच
sound,आवाज पातळी
south,दक्षिण
space,जागा
speak,बोलता
special,विशेष
speech,भाषण
speed,गती
spell,शब्दलेखन
spend,खर्च
spoke,बोलले
spot,स्पॉट
spread,प्रसार
spring,स्प्रिंग
square,चौरस
stand,उभे
star,स्टार
start,प्रारंभ
state,राज्य
station,स्टेशन
stay,रहा
stead,जागा
steam,वाफ
steel,स्टील
step,पाऊल
stick,स्टिक
still,अजूनही
stone,दगड
stood,उभा राहिला
stop,थांबा
store,स्टोअर
story,कथा
straight,सरळ
strange,विचित्र
stream,प्रवाह
street,रस्त्यावर
stretch,ताणून
string,स्ट्रिंग
strong,मजबूत
student,विद्यार्थी
study,अभ्यास
subject,विषय
substance,पदार्थ
subtract,वजाबाकी
success,यश
such,अशा
sudden,अचानक
suffix,प्रत्यय
sugar,साखर
suggest,सूचित
suit,खटला
summer,उन्हाळ्यात
sun,सूर्य
supply,पुरवठा
support,समर्थन
sure,खात्री
surface,पृष्ठभाग
surprise,आश्चर्य
swim,पोहणे
syllable,अक्षर
symbol,प्रतीक
system,प्रणाली
table,टेबल
tail,शेपूट
take,घ्या
talk,चर्चा
tall,उंच
teach,शिकवले
team,संघ
teeth,दात
tell,सांगा
temperature,तापमान
ten,दहा
term,मुदत
test,चाचणी
than,पेक्षा
thank,आभार
that,त्या
the,अगोदर निर्देश
their,त्यांच्या
them,त्यांना
then,नंतर
there,तेथे
these,या
they,ते
thick,जाड
thin,पातळ
thing,गोष्ट
think,विचार
third,तिसरा
this,या
those,त्या
though,तरी
thought,विचार
thousand,हजार
three,तीन
through,द्वारे
throw,फेकणे
thus,अशा प्रकारे
tie,टाय
time,वेळ
tiny,लहान
tire,टायर
to,ते
together,एकत्र
told,सांगितले
tone,टोन
too,खूप
took,घेतला
tool,साधन
top,टॉप
total,एकूण
touch,स्पर्श
toward,दिशेने
town,शहर
track,ट्रॅक
trade,व्यापार
train,रेल्वे
travel,प्रवास
tree,झाड
triangle,त्रिकोण
trip,ट्रिप
trouble,समस्या
truck,ट्रक
true,खरे
try,प्रयत्न
tube,नलिका
turn,वळण
twenty,वीस
two,दोन
type,प्रकार
under,अंतर्गत
unit,एकक
until,पर्यंत
up,अप
us,आम्हाला
use,वापर
usual,नेहमीच्या
valley,दरी
value,मूल्य
vary,बदलू
verb,क्रियापद
very,फार
view,दृश्य
village,गावात
visit,भेट
voice,आवाज
vowel,चालणार
wait,प्रतीक्षा
walk,चालणे
wall,भिंत
want,इच्छित
war,युद्ध
warm,उबदार
was,होते
wash,वॉश
watch,पाहू
water,पाणी
wave,लहर
way,मार्ग
we,आम्ही
wear,बोलता
weather,हवामान
week,आठवडा
weight,वजन
well,तसेच
went,गेला
were,होते
west,पश्चिमेकडे
what,काय
wheel,चाक
when,तेव्हा
where,जेथे
whether,की नाही
which,जे
while,तर
white,पांढरा
who,कोण
whole,संपूर्ण
whose,ज्यांचे
why,का
wide,रुंद
wife,पत्नी
wild,वन्य
will,खाईन
win,विजय
wind,वारा
window,विंडो
wing,विंग
winter,हिवाळा
wire,वायर
wish,इच्छा
with,सह
woman,स्त्री
women,महिला
wonder,आश्चर्य
won’t,येणार नाही
wood,लाकूड
word,शब्द
work,काम
world,जग
would,बरी होईल
write,लेखन
written,लेखी
wrong,चूक
wrote,लिहिले
yard,आवारातील
year,वर्ष
yellow,पिवळा
yes,होय
yet,अद्याप
you,आपण
young,तरुण
your,आपल्या
