english,myanmar_(burmese)
effect,အကျိုး
egg,ကြက်ဥ
eight,ရှစ်
either,ဖြစ်စေ
electric,လျှပ်စစ်
element,ဓါတ်
else,အခြားမည်
end,အဆုံး
enemy,ရန်သူ
energy,အင်အား
engine,အင်ဂျင်ကို
enough,လုံလောက်သော
enter,ဝင်ရောက်
equal,တူညီသော
equate,တူညီနေသည်
especially,အထူးသဖြင့်
even,ပင်
evening,ညနေ
event,အဖြစ်အပျက်
ever,အစဉ်
every,တိုင်း
exact,အတိအကျ
example,နမူနာ
except,မှတပါး
excite,excite
exercise,လေ့ကျင့်
expect,မြျှောလငျ့
experience,အတွေ့အကြုံ
experiment,စမ်းသပ်မှု
eye,မျက်စိ
face,မျက်နှာ
fact,အချက်အလက်
fair,တရားမျှတတဲ့
fall,ကျ
family,မိသားစု
famous,ကျော်ကြား
far,ဝေးလံသော
farm,လယ်ယာ
fast,လျင်မြန်စွာ
fat,ဆီ
father,ဖခင်
favor,ကြေးဇူး
fear,ကြောက်လန့်
feed,အစာ
feel,ခံစား
feet,ခြေဘဝါးတော်
fell,လဲကျ
felt,ခံစားခဲ့ရ
few,နည်းသော
field,လယ်ယာ
fig,သဖန်းသီး
fight,တိုကျပှဲ
figure,ဂဏန်း
fill,ဖြည့်
final,ဖိုင်နယ်
find,ရှာတွေ့
fine,ကောင်းသော
finger,လက်ညှိုးထိုး
finish,အပြီးသတ်
fire,မီး
first,ပဌမ
fish,ငါး
fit,မထိုက်မတန်
five,ငါး
flat,ပြားချပ်ချပ်
floor,အထပ်
flow,စီးဆင်း
flower,ပန်း
fly,ယင်ကောင်
follow,လိုက်
food,အစာ
foot,ခြေလျင်
for,အတွက်
force,အင်အား
forest,သစ်တော
form,ပုံသဏ္ဌာန်
forward,ရှေ့သို့
found,တွေ့ရှိ
four,လေး
fraction,အစိတ်အပိုင်း
free,အခမဲ့
fresh,လတ်ဆတ်သော
friend,မိတ်ဆွေ
from,မှ
front,ရှေ့
fruit,အသီး
full,ပြည့်သော
fun,ပျော်စရာ
game,ဂိမ်း
garden,ဥယျာဉ်
gas,ဓာတ်ငွေ့
gather,စုရုံး
gave,ကိုပေး၏
general,ယေဘုယျ
gentle,နူးညံ့သိမ်မွေ့
get,ရယူ
girl,မိန်းကလေး
give,ပေး
glad,ဝမ်းမြောက်ခြင်း
glass,ဖန်ခွက်
go,သွား
gold,ရွှေစင်
gone,သွားကြောင်း
good,ကောင်းသော
got,တယ်
govern,အုပ်ချုပ်
grand,ခမ်းနားကြီးကျယ်
grass,မြက်
gray,မီးခိုးရောင်
great,ကြီးမားသော
green,စိမ်းလန်းသော
grew,ကြီးပြင်းလာ
ground,မြေပြင်
group,အစု
grow,ကြီးထွား
guess,တှေးဆ
guide,လမ်းညွှန်
gun,သေနတ်
had,ရှိခဲ့
hair,ဆံပင်
half,တဝက်
hand,လက်
happen,ဖြစ်ပျက်
happy,မင်္ဂလာရှိသော
hard,ခိုင်မာသော
has,ရှိပါတယ်
hat,ဦးထုပ်
have,ရှိ
he,သူ
head,ဦးခေါင်း
hear,ကြား
heard,ကြားလျှင်
heart,နှလုံး
heat,အပူ
heavy,လေးလံသော
held,ကျင်းပ
help,ကူညီကြပါ
her,သူမ၏
here,ဒီမှာ
high,မြင့်သော
hill,တောင်တော်
him,သူ့ကို
his,သူ၏
history,သမိုင်း
hit,ထိုး
hold,ကိုင်
hole,အပေါက်
home,နေအိမ်
hope,မျှော်လင့်ချက်
horse,မြင်း
hot,ပူသော
hour,နာရီ
house,အိမ်
how,ဘယ်လိုလဲ
huge,ကြီးမားသော
human,လူ့
hundred,တရာ
hunt,အမဲလိုက်ခြင်း
hurry,အလျင်စလို
i,ကျွန်တော်
ice,ရေခဲ
idea,စိတ်ကူး
if,အကယ်.
imagine,စိတ်ကူး
in,တွင်
inch,လက်မ
include,ပါဝင်
indicate,ညွှန်ပြ
industry,စက်မှုလုပ်ငန်း
insect,ပိုးကောင်
instant,ခဏ
instrument,တူရိယာ
interest,ဝါသနာ
invent,တီထွင်
iron,သံ
is,ဖြစ်
island,ကျွန်း
it,က
job,အလုပ်
join,ပူးပေါင်း
joy,ဝမ်းမြောက်သောစိတ်
jump,ခုန်
just,့
keep,သိုထား
kept,ထားရှိမည်
key,သော့
kill,သတ်ဖြတ်
kind,အမျိုးအစား
king,မင်းကြီးသည်
knew,သိ.
know,သိ
lady,အမျိုးသမီး
lake,အင်းအိုင်
land,မြေယာ
language,ဘာသာစကား
large,ကြီးမားတဲ့
last,နောက်ဆုံး
late,နောက်ကျ
laugh,ရယ်မော
law,ပညတ္တိကျမ်း
lay,ချထား
lead,ခဲ
learn,သင်ကြား
least,အနည်းဆုံး
leave,ထွက်သွား
led,အယ်လ်အီးဒီ
left,လက်ဝဲဘက်
leg,ခြေထောက်
length,အရှည်
less,နည်းသော
let,ကုန်အံ့
letter,စာ
level,အဆင့်
lie,မုသား
life,အသက်
lift,ဓာတ်လှေကား
light,အလင်း
like,ကဲ့သို့
line,လိုင်း
liquid,အရည်
list,စာရင်း
listen,နားထောင်
little,အနည်းငယ်
live,အသက်ရှင်သော
locate,နေရာချထား
log,တုံး
lone,lone
long,ရှည်လျားသော
look,ကြည့်ရှု
lost,ပျောက်ဆုံး
lot,အများကြီး
loud,အသံကျယ်သော
love,ချစ်ခြင်းမေတ္တာ
low,နိမ့်ကျ
machine,စက်ယန္တရား
made,ဖန်ဆင်းတော်
magnet,သံလိုက်
main,အဓိက
major,ဗိုလ်မှူး
make,အောင်
man,ယောက်ျား
many,များသော
map,မြေပုံကို
mark,အမှတ်
market,ဈေးကွက်
mass,အစုလိုက်အပြုံလိုက်
master,မာစတာ
match,မီးခြစ်
material,ပစ္စည်း
matter,ကိစ္စ
may,နိုင်
me,အကြှနျုပျ
mean,ဆိုလို
meant,ရည်ရွယ်
measure,တိုင်းတာ
meat,အသား
meet,ဆုံ
melody,တေးသွား
men,ယောက်ျား
metal,သတ္တုဒြပ်စင်
method,နည်းလမ်း
middle,အလယ်
might,အစွမ်းသတ္တိ
mile,မိုင်
milk,နို့
million,သန်း
mind,စိတ်ကို
mine,သတ္တုတွင်း
minute,မိနစ်
miss,လွမ်း
mix,ရောနှော
modern,ခေတ်သစ်
molecule,မော်လီကျူး
moment,တခဏ
money,ပိုက်ဆံ
month,လ
moon,လ
more,နောက်ထပ်
morning,နံနက်
most,အများဆုံး
mother,မိခင်
motion,ရွေ့လျားမှု
mount,တောင်ပေါ်မှာ
mountain,တောင်
mouth,ပါးစပ်
move,လှုပ်ရှား
much,အလွန်
multiply,များပြား
music,ဂီတ
must,ရ
my,ငါ့
name,နာမကို
nation,လူမျိုးသည်
natural,သဘာဝက
nature,သဘာဝ
near,အနား
necessary,လိုအပ်သော
neck,လည်ပင်း
need,လိုအပ်
neighbor,အိမ်နီးချင်း
never,ဘယ်တော့မှမ
new,အသစ်
next,နောက်တစ်ခု
night,ည
nine,ကိုး
no,အဘယ်သူမျှမ
noise,ဆူညံသံ
noon,မွန်းတည့်
nor,မသာ
north,မြောက်ဘက်သို့
nose,နှာခေါင်း
note,မှတ်ချက်
nothing,အဘယ်အရာကိုမျှ
notice,အသိပေးစာ
noun,နာမ်
now,ယခု
number,ဂဏန်း
numeral,ဂဏန်း
object,ကန့်ကွက်
observe,စောင့်ရှောက်
occur,ဖြစ်ပျက်
ocean,သမုဒ္ဒရာ
of,၏
off,သွား
offer,ပေးကမ်း
office,ရုံး
often,ခဏခဏ
oh,oh
oil,ဆီ
old,အဟောင်း
on,အပေါ်
once,တခါ
one,တစ်
only,သာ
open,ဖွင့်လှစ်
operate,လည်ပတ်
opposite,ဆန့်ကျင်ဘက်
or,သို့မဟုတ်
order,အစီအစဉ်
organ,ကိုယ်အင်္ဂါ
original,မူရင်း
other,အခြား
our,ကျွန်တော်တို့၏
out,ထုတ်
over,ကျော်
own,ပိုင်ဆိုင်
oxygen,အောက်စီဂျင်
page,စာမျက်နှာ
paint,ဆေးသုတ်
pair,လင်မယား
paper,စက္ကူ
paragraph,စာပိုဒ်
parent,မိဘတစ်
part,အပိုင်း
particular,အထူးသဖြင့်
party,ပါတီ
pass,သွား
past,အတိတ်
path,လမ်းကြောင်းကို
pattern,ပုံစံ
pay,အခပေး
people,လူထု
perhaps,ဖြစ်ကောင်းဖြစ်နိုင်
period,ကာလ
person,လူ
phrase,ထားသောစာပိုဒ်တိုများ
pick,ခူး
picture,ရုပ်ပုံ
piece,အပိုင်းအစ
pitch,ကတ္တရာစေး
place,နေရာ
plain,လွင်ပြင်
plan,စီမံကိန်း
plane,လေယာဉ်သည်
planet,ဂြိုဟ်
plant,စက်ရုံ
play,ကစား
please,ကျေးဇူးပြု
plural,၏အများကိန်း
poem,ကဗျာတစ်ပုဒ်
point,အမှတ်
poor,ဆင်းရဲသော
populate,နေထိုင်စေ
port,port ကို
pose,ရှိုး
position,အနေအထား
possible,ဖြစ်နိုင်သော
post,တိုင်
pound,ပေါင်
power,စွမ်းအား
practice,အလေ့အကျင့်
prepare,ပြင်ဆင်ထား
present,လက်ဆောင်
press,စာနယ်ဇင်းများ
pretty,လှပသော
print,ပုံနှိပ်
probable,ဖြစ်နိုင်ခြေ
problem,ပြဿနာ
process,ဖြစ်စဉ်
produce,ဟင်းသီးဟင်းရွက်
product,ထုတ်ကုန်
proper,သင့်လျော်သော
property,ပစ္စည်းဥစ္စာပိုင်ဆိုင်မှု
protect,ကာကွယ်
prove,သက်သေပြ
provide,ပေး
pull,ဆွဲပါ
push,တွန်း
put,ထား
quart,ဆေးမြီးတို
question,မေးခွန်း
quick,မြန်ဆန်ပြီး
quiet,တိတ်ဆိတ်သော
quite,လုံးလုံး
quotient,လဒ်
race,လူမျိုး
radio,ရေဒီယို
rail,ရထားလမ်း
rain,မိုးရေ
raise,မြှင့်တင်
ran,ပြေး
range,အကွာအဝေး
rather,ထက်
reach,ရောက်ရှိ
read,ဖတ်
ready,အသင့်ရှိ
real,စစ်မှန်သော
reason,အကွောငျးရငျး
receive,ခံယူ
record,စံချိန်
red,နီသော
region,ဒေသ
remember,သတိရ
repeat,ထပ်
reply,ပြန်ကြားချက်
represent,ကိုယ်စားပြု
require,တောင်းဆို
rest,အနားယူ
result,ရလဒ်
rich,ကြွယ်ဝသော
ride,စီးနင်း
right,မှန်သော
ring,လက်စွပ်
rise,တက်
river,မြစ်
road,လမ်း
rock,ကျောက်လုံးကြီး
roll,အလိပ်
room,အခန်း
root,အမြစ်
rope,ကြိုး
rose,နှင်းဆီ
round,လှည့်လည်
row,အတန်း
rub,ပွတ်တိုက်
rule,အုပ်ချုပ်
run,ပွေးသှား
safe,ဘေးကင်းလုံခြုံ
said,ကပြောပါတယ်
sail,ရွက်
salt,ဆား
same,တူညီတဲ့
sand,သဲ
sat,sat
save,ကယ်ဆယ်
saw,လွှ
say,ပြော
scale,စကေး
school,ကြောငျး
science,သိပ္ပံပညာရပ်
score,နိုင်ပြီ
sea,ပင်လယ်
search,ရှာဖွေရေး
season,ရာသီ
seat,ထိုင်ခုံ
second,ဒုတိယ
section,အပိုင်း
see,မြင်
seed,အစေ့
seem,ထင်ရ
segment,မြွှာ
select,ကိုရွေးပါ
self,မိမိ
sell,ရောင်းချ
send,ပေးပို့
sense,အာရုံ
sent,စေလွှတ်
sentence,ဝါကျ
separate,သီးခြား
serve,အစေခံ
set,အစုံ
settle,စေ့စပ်
seven,ခုနှစ်
several,အတော်ကြာ
shall,မည်
shape,ပုံသဏ္ဌာန်
share,ဝေစု
sharp,ထက်သော
she,သူမ
sheet,စာရွက်
shell,shell ကို
shine,တောက်ပ
ship,သငေ်္ဘာ
shoe,ဖိနပ်
shop,ကုန်ဆိုင်
shore,ကမ်း
short,တိုတောင်းသော
should,သင့်
shoulder,ပခုံး
shout,အော်
show,ပြသ
side,ဘက်
sight,မျက်မှောက်
sign,အမှတ်လက္ခဏာ
silent,အသံတိတ်
silver,ငွေကို
similar,အလားတူ
simple,လွယ်ကူသော
since,မှစ.
sing,sing
single,တခုတည်းသော
sister,အစ်မ
sit,ထိုင်
six,ခွောကျ
size,အရွယ်
skill,ကျွမ်းကျင်မှု
skin,အသားအရေ
sky,မိုးကောင်းကင်
slave,ကျွန်
sleep,အိပ်
slip,စလစ်
slow,နှေးသော
small,သေးငယ်သော
smell,အနံ့
smile,ပွုံးရယျ
snow,မိုးပွင့်
so,ဒါကြောင့်
soft,ပျော့ပျောင်း
soil,မြေဆီလွှာ
soldier,စစ်သား
solution,ဖြေရှင်းချက်
solve,ဖြေရှင်းပေး
some,အချို့သော
son,သား
song,သီချင်း
soon,မကြာမီ
sound,သံကို
south,တောင်
space,အာကာသ
speak,စကားပြော
special,အထူး
speech,မိန့်ခွန်း
speed,အရှိန်
spell,စာလုံးပေါင်း
spend,သုံးစှဲ
spoke,စကားပြော
spot,အစက်
spread,ပျံ့နှံ့
spring,စိမ့်စမ်း
square,စတုရန်းလေးထောင့
stand,ရပ်နေ
star,ကြယ်
start,စတင်
state,ပြည်နယ်
station,ဘူတာရုံ
stay,နေခြင်း
stead,ခမည်းတော်အရာ၌
steam,ရေနွေးငွေ့
steel,သံမဏိ
step,လှမ်း
stick,တုတ်
still,ဆဲ
stone,ကျောက်သည်
stood,ရပ်နေကြ၏
stop,ရပ်
store,စတိုးဆိုင်
story,ဇာတ်လမ်း
straight,တည့်တည့်
strange,ထူးဆန်းတဲ့
stream,စမ်းချောင်း
street,လမ်း
stretch,ဆန့်
string,ကြိုး
strong,အားကြီးသော
student,ကျောင်းသား
study,လေ့လာ
subject,ဘာသာရပ်
substance,ပစ္စည်းဥစ္စာ
subtract,အနုတ်
success,အောင်မြင်ခြင်း
such,ထိုကဲ့သို့သော
sudden,ရုတ်တရက်
suffix,နောက်ဆက်
sugar,သကြား
suggest,အကြံပြု
suit,ဝတ်စုံ
summer,နွေရာသီ
sun,နေ
supply,ပေးသွင်း
support,ထောက်ပံ့
sure,သေချာ
surface,မျက်နှာပြင်
surprise,အံ့သြ
swim,ရေကူး
syllable,syllable
symbol,အထိမ်းအမှတ်
system,စံနစ်
table,စားပှဲ
tail,အမြီး
take,ယူ
talk,ဆွေးနွေးချက်
tall,မြင့်သော
teach,သင်ပေး
team,အဖွဲ့
teeth,အံသွားခဲ
tell,ပြောပြ
temperature,အပူအအေး
ten,ဆယ်
term,သက်တမ်း
test,စမ်းသပ်
than,ထက်
thank,ကျေးဇူးတင်
that,ထို
the,ထို
their,သူတို့၏
them,သူတို့ကို
then,ထိုအခါ
there,ဟိုမှာ
these,ဤ
they,သူတို့
thick,ထူသော
thin,ပိန်သော
thing,အရာ
think,ထင်
third,တတိယ
this,ဤ
those,ထို
though,သော်လည်း
thought,စိတ်ထင်
thousand,တထောင်
three,သုံး
through,ဖြတ်.
throw,ပစ်
thus,ထိုသို့
tie,လည်စည်း
time,အချိန်
tiny,အလွန်သေးငယ်သော
tire,တာယာ
to,သို့
together,အတူတူ
told,သို့ပြောသည်
tone,အသံ
too,လွန်း
took,ကိုယူ
tool,ဒီ tool
top,ထိပ်တန်း
total,စုစုပေါင်း
touch,တို့
toward,ကို
town,မြို့
track,အရာ
trade,ကုန်သွယ်
train,မီးရထား
travel,ခရီးသွား
tree,သစ်ပင်
triangle,တြိဂံ
trip,ခရီးစဉ်
trouble,ဒုက္ခ
truck,ထရပ်ကား
true,စစ်မှန်တဲ့
try,ကြိုးစား
tube,ပြွန်
turn,အလှည့်
twenty,နှစ်ဆယ်
two,နှစ်
type,ပုံစံ
under,အောက်
unit,ယူနစ်
until,သည်အထိ
up,တက်
us,ကျွန်တော်တို့ကို
use,အသုံးပြု
usual,ခါတိုင်းလို
valley,တောင်ကြား
value,အဘိုး
vary,ကွဲပြားခြားနား
verb,ကြိယာ
very,အလွန်
view,အမြင်
village,ရွာ
visit,အလည်အပတ်
voice,အသံ
vowel,သရသံ
wait,စောင့်
walk,လမျးလြှောကျသှား
wall,နံရံ
want,အလိုရှိ
war,စစ်
warm,ပူနွေးသော
was,ခဲ့
wash,ရေချိုး
watch,အစောင့်
water,ရေ
wave,လှိုငျး
way,လမ်း
we,ကျွန်တော်တို့
wear,ဝတ်ဆင်
weather,ရာသီဥတုက
week,ရက်သတ္တပတ်
weight,အလေးချိန်
well,ကောင်းစွာ
went,သွားလေ၏
were,ခဲ့ကြတယ်
west,အနောက်
what,ဘာလဲ
wheel,ဘီး
when,ဘယ်တော့လဲ
where,ဘယ်မှာ
whether,ဖြစ်စေ
which,အရာ
while,စဉ်
white,အဖြူ
who,အဘယ်သူသည်
whole,အလုံးစုံ
whose,မည်သူ၏
why,အဘယ်ကြောင့်
wide,ကျယ်ဝန်းသော
wife,ဇနီး
wild,ရိုင်းသော
will,လိမ့်မည်
win,အောင်မြင်
wind,လေတိုက်
window,ပြတင်းပေါက်
wing,အတောင်
winter,ဆောင်းတွင်း
wire,ဝါယာကြိုး
wish,အလို
with,နှင့်
woman,မိန်းမ
women,အမျိုးသမီးများ
wonder,အံ့ဘွယ်သောအမှု
won’t,မသွားဘူး
wood,သစ်သား
word,စကားလုံး
work,အလုပ်
world,ကမ္ဘာ
would,အလိုတခုတည်း
write,ရေးသား
written,ကျမ်းစာ၌လာသည်
wrong,မှားသော
wrote,ရေးသားခဲ့သည်
yard,ခြံထဲမှာ
year,ခုနှစ်
yellow,ဝါသော
yes,ဟုတ်ကဲ့
yet,သေး
you,ခင်ဗျား
young,ငယ်ရွယ်
your,သင့်
