english,bengali
fire,আগুন
first,প্রথম
fish,মাছ
fit,মাপসই
five,পাঁচ
flat,ফ্ল্যাট
floor,মেঝে
flow,প্রবাহ
flower,ফুল
fly,উড়ে
follow,অনুসরণ করা
food,খাদ্য
foot,পা
for,জন্য
force,বল
forest,বন
form,ফর্ম
forward,অগ্রবর্তী
found,পাওয়া
four,চার
fraction,ভগ্নাংশ
free,বিনামূল্যে
fresh,তাজা
friend,বন্ধু
from,থেকে
front,সামনে
fruit,ফল
full,পূর্ণ
fun,মজা
game,খেলা
garden,বাগান
gas,গ্যাস
gather,জড়ো করা
gave,দিয়েছেন
general,সাধারণ
gentle,মৃদু
get,পাওয়া
girl,মেয়ে
give,দিতে
glad,আনন্দিত
glass,কাচ
go,যাওয়া
gold,স্বর্ণ
gone,সর্বস্বান্ত
good,ভাল
got,পেয়েছিলাম
govern,শাসন করা
grand,গ্র্যান্ড
grass,ঘাস
gray,ধূসর
great,মহান
green,সবুজ
grew,বড় হয়েছি
ground,স্থল
group,গ্রুপ
grow,হত্তয়া
guess,অনুমান
guide,কৌশল
gun,বন্দুক
had,ছিল
hair,চুল
half,অর্ধ
hand,হাত
happen,ঘটা
happy,খুশি
hard,কঠিন
has,আছে
hat,টুপি
have,আছে
he,তিনি
head,মাথা
hear,শ্রবণ
heard,শোনা
heart,হৃদয়
heat,তাপ
heavy,ভারী
held,অনুষ্ঠিত
help,সাহায্য
her,তার
here,এখানে
high,উচ্চ
hill,পাহাড়
him,তাকে
his,তার
history,ইতিহাস
hit,আঘাত
hold,রাখা
hole,গর্ত
home,হোম
hope,আশা
horse,ঘোড়া
hot,গরম
hour,ঘন্টা
house,ঘর
how,কিভাবে
huge,বিশাল
human,মানবীয়
hundred,শত
hunt,খোঁজা
hurry,ত্বরা
i,আমি
ice,বরফ
idea,ধারণা
if,যদি
imagine,কল্পনা
in,মধ্যে
inch,ইঞ্চি
include,অন্তর্ভুক্ত
indicate,নির্দেশ
industry,শিল্প
insect,পোকা
instant,তাত্ক্ষণিক
instrument,উপকরণ
interest,সুদ
invent,উদ্ভাবিত
iron,লোহা
is,হয়
island,দ্বীপ
it,এটা
job,কাজ
join,যোগদান
joy,আনন্দ
jump,ঝাঁপ
just,ঠিক
keep,রাখা
kept,রাখা
key,চাবি
kill,হত্যা
kind,ধরনের
king,রাজা
knew,জানতাম
know,জানা
lady,ভদ্রমহিলা
lake,হ্রদ
land,জমি
language,ভাষা
large,বড়
last,শেষ
late,দেরী
laugh,মজা
law,আইন
lay,রাখা
lead,নেতৃত্ব
learn,শেখা
least,অন্তত
leave,ত্যাগ
led,চালিত
left,বাকি
leg,পা
length,দৈর্ঘ্য
less,কম
let,যাক
letter,চিঠি
level,স্তর
lie,মিথ্যা
life,জীবন
lift,লিফট
light,আলো
like,মত
line,লাইন
liquid,তরল
list,তালিকা
listen,শুনতে
little,সামান্য
live,বাস
locate,সনাক্ত
log,লগ ইন
lone,নির্জন
long,দীর্ঘ
look,চেহারা
lost,হারিয়ে
lot,অনেক
loud,অট্ট
love,প্রেম
low,কম
machine,মেশিন
made,তৈরি
magnet,চুম্বক
main,প্রধান
major,প্রধান
make,না
man,মানুষ
many,অনেক
map,মানচিত্র
mark,চিহ্ন
market,বাজার
mass,ভর
master,মাস্টার
match,ম্যাচ
material,উপাদান
matter,ব্যাপার
may,হতে পারে
me,আমাকে
mean,গড়
meant,বোঝানো
measure,পরিমাপ
meat,মাংস
meet,দেখা
melody,সুর
men,পুরুষ
metal,ধাতু
method,পদ্ধতি
middle,মধ্যম
might,হতে পারে
mile,মাইল
milk,দুধ
million,মিলিয়ন
mind,মন
mine,খনি
minute,মিনিট
miss,মিস্
mix,মিশ্রিত করা
modern,আধুনিক
molecule,অণু
moment,মুহূর্ত
money,টাকা
month,মাস
moon,চাঁদ
more,আরো
morning,সকাল
most,সবচেয়ে
mother,মা
motion,গতি
mount,মাউন্ট
mountain,পর্বত
mouth,মুখ
move,পদক্ষেপ
much,অনেক
multiply,সংখ্যাবৃদ্ধি
music,সঙ্গীত
must,অবশ্যই
my,আমার
name,নাম
nation,জাতি
natural,প্রাকৃতিক
nature,প্রকৃতি
near,কাছাকাছি
necessary,প্রয়োজনীয়
neck,ঘাড়
need,প্রয়োজন
neighbor,প্রতিবেশী
never,না
new,নতুন
next,পরবর্তী
night,রাত
nine,নয়
no,কোন
noise,শব্দ
noon,দুপুর
nor,না
north,উত্তর
nose,নাক
note,নোট
nothing,কিছুই
notice,বিজ্ঞপ্তি
noun,বিশেষ্য
now,এখন
number,সংখ্যা
numeral,সংখ্যা
object,বস্তু
observe,পালন করা
occur,ঘটতে
ocean,মহাসাগর
of,এর
off,বন্ধ
offer,প্রস্তাব
office,অফিস
often,প্রায়ই
oh,উহু
oil,তেল
old,পুরাতন
on,উপর
once,একবার
one,এক
only,শুধুমাত্র
open,খোলা
operate,কাজ
opposite,বিপরীত
or,বা
order,যাতে
organ,অঙ্গ
original,মূল
other,অন্যান্য
our,আমাদের
out,আউট
over,উপর
own,নিজস্ব
oxygen,অক্সিজেন
page,পৃষ্ঠা
paint,আঁকা
pair,জোড়া
paper,কাগজ
paragraph,অনুচ্ছেদ
parent,পিতা বা মাতা
part,অংশ
particular,বিশেষ
party,দল
pass,পাস
past,গত
path,পথ
pattern,প্যাটার্ন
pay,পরিশোধ
people,মানুষ
perhaps,সম্ভবত
period,সময়ের
person,ব্যক্তি
phrase,ফ্রেজ
pick,বাছাই
picture,ছবি
piece,টুকরা
pitch,পিচ
place,স্থান
plain,সাধারণ
plan,পরিকল্পনা
plane,সমতল
planet,গ্রহ
plant,উদ্ভিদ
play,খেলা
please,করুন
plural,বহুবচন
poem,কবিতা
point,বিন্দু
poor,দরিদ্র
populate,পূরণ
port,পোর্ট
pose,জাহির করা
position,অবস্থান
possible,সম্ভব
post,পোস্ট
pound,আধা কেজি
power,ক্ষমতা
practice,অনুশীলন
prepare,প্রস্তুত
present,বর্তমান
press,প্রেস
pretty,চমত্কার
print,মুদ্রণ
probable,সম্ভাব্য
problem,সমস্যা
process,প্রক্রিয়া
produce,উত্পাদন
product,পণ্য
proper,সঠিক
property,সম্পত্তি
protect,রক্ষা
prove,প্রমাণ
provide,প্রদান
pull,টান
push,ধাক্কা
put,করা
quart,গ্যালনের চতুর্থাংশ
question,প্রশ্ন
quick,দ্রুত
quiet,শান্ত
quite,পুরোপুরি
quotient,ভাগফল
race,জাতি
radio,রেডিও
rail,রেল
rain,বৃষ্টি
raise,বাড়াতে
ran,বিশেষত্বহীন
range,পরিসর
rather,বরং
reach,নাগাল
read,পড়া
ready,প্রস্তুত
real,বাস্তব
reason,কারণ
receive,পাবেন
record,রেকর্ড
red,লাল
region,অঞ্চল
remember,"মনে রাখবেন,"
repeat,পুনরাবৃত্তি
reply,উত্তর
represent,প্রতিনিধিত্ব
require,প্রয়োজন
rest,বাকি
result,ফলে
rich,সমৃদ্ধ
ride,যাত্রায়
right,অধিকার
ring,রিং
rise,ওঠা
river,নদী
road,রাস্তা
rock,শিলা
roll,রোল
room,রুম
root,রুট
rope,দড়ি
rose,গোলাপ
round,বৃত্তাকার
row,সারি
rub,বিপত্তি
rule,নিয়ম
run,রান
safe,নিরাপদ
said,"তিনি বলেন,"
sail,পাল তোলা
salt,লবণ
same,একই
sand,বালি
sat,শনি
save,সংরক্ষণ
saw,করাত
say,বলে
scale,স্কেল
school,স্কুল
science,বিজ্ঞান
score,স্কোর
sea,সমুদ্র
search,অনুসন্ধান
season,ঋতু
seat,আসন
second,দ্বিতীয়
section,অধ্যায়
see,দেখা
seed,বীজ
seem,মনে হচ্ছে
segment,অংশ
select,নির্বাচন
self,স্ব
sell,বিক্রি
send,পাঠান
sense,জ্ঞান
sent,পাঠানো
sentence,বাক্য
separate,পৃথক
serve,পরিবেশন করা
set,সেট
settle,স্থায়ীভাবে বসবাস করা
seven,সাত
several,বিভিন্ন
shall,হইবে
shape,আকৃতি
share,ভাগ
sharp,ধারালো
she,তিনি
sheet,শীট
shell,খোলা
shine,উজ্জ্বল
ship,জাহাজ
shoe,জুতো
shop,দোকান
shore,তীরে
short,সংক্ষিপ্ত
should,উচিত
shoulder,কাঁধ
shout,চিত্কার
show,শো
side,পাশ
sight,দৃষ্টিশক্তি
sign,সাইন
silent,নীরব
silver,রূপালী
similar,অনুরূপ
simple,সহজ
since,খবর
sing,গাত্তয়া
single,একক
sister,বোন
sit,বসতে
six,ছয়
size,আকার
skill,দক্ষতা
skin,ত্বক
sky,আকাশ
slave,ক্রীতদাস
sleep,ঘুম
slip,স্লিপ
slow,ধীর
small,ছোট
smell,গন্ধ
smile,হাসি
snow,তুষার
so,সুতরাং
soft,নরম
soil,মাটি
soldier,সৈনিক
solution,সমাধান
solve,সমাধান
some,কিছু
son,ছেলে
song,গান
soon,শীঘ্রই
sound,শব্দ
south,দক্ষিণ
space,স্থান
speak,কথা বলতে
special,বিশেষ
speech,বক্তৃতা
speed,গতি
spell,বানান
spend,ব্যয়
spoke,বক্তব্য রাখেন
spot,অকুস্থল
spread,বিস্তার
spring,বসন্ত
square,বর্গ
stand,দাঁড়ানো
star,তারা
start,শুরু
state,রাষ্ট্র
station,স্টেশন
stay,থাকার
stead,উপকার
steam,বাষ্প
steel,ইস্পাত
step,পদক্ষেপ
stick,লাঠি
still,এখনও
stone,পাথর
stood,দাঁড়িয়ে
stop,বন্ধ
store,দোকান
story,গল্প
straight,সোজা
strange,অদ্ভুত
stream,প্রবাহ
street,রাস্তায়
stretch,প্রসারিত
string,স্ট্রিং
strong,শক্তিশালী
student,ছাত্র
study,গবেষণা
subject,বিষয়
substance,পদার্থ
subtract,বিয়োগ করা
success,সাফল্য
such,এমন
sudden,আকস্মিক
suffix,মূল শব্দের অন্তে যুক্ত প্রত্যয় বিভক্তি প্রভৃতি
sugar,চিনি
suggest,সুপারিশ
suit,মামলা
summer,গ্রীষ্ম
sun,সূর্য
supply,সরবরাহ
support,সমর্থন
sure,নিশ্চিত
surface,পৃষ্ঠ
surprise,বিস্ময়
swim,সাঁতার কাটা
syllable,শব্দাংশ
symbol,প্রতীক
system,সিস্টেম
table,টেবিল
tail,লেঙ্গুড়
take,গ্রহণ করা
talk,আলাপ
tall,লম্বা
teach,শেখান
team,দল
teeth,দাঁত
tell,বলুন
temperature,তাপমাত্রা
ten,দশ
term,শব্দ
test,পরীক্ষা
than,তুলনায়
thank,ধন্যবাদ
that,যে
the,দী
their,তাদের
them,তাদের
then,তারপর
there,সেখানে
these,এই
they,তারা
thick,পুরু
thin,পাতলা
thing,বিষয়
think,মনে
third,তৃতীয়
this,এই
those,যারা
though,যদিও
thought,চিন্তার
thousand,হাজার
three,তিন
through,মাধ্যমে
throw,নিক্ষেপ
thus,এইভাবে
tie,টাই
time,সময়
tiny,অতি ক্ষুদ্র
tire,টায়রা
to,থেকে
together,একসঙ্গে
told,বলা
tone,স্বন
too,খুব
took,গ্রহণ
tool,টুল
top,শীর্ষ
total,মোট
touch,স্পর্শ
toward,দিকে
town,শহরে
track,ট্র্যাক
trade,বাণিজ্য
train,ট্রেন
travel,ভ্রমণ
tree,গাছ
triangle,ত্রিভুজ
trip,ট্রিপ
trouble,কষ্ট
truck,ট্রাক
true,সত্য
try,চেষ্টা
tube,টিউব
turn,পালা
twenty,বিশ
two,দুই
type,টাইপ
under,অধীন
unit,ইউনিট
until,পর্যন্ত
up,আপ
us,আমাদের
use,ব্যবহার
usual,স্বাভাবিক
valley,উপত্যকা
value,মূল্য
vary,পরিবর্তিত হতে
verb,ক্রিয়া
very,খুব
view,দেখুন
village,গ্রাম
visit,দর্শন
voice,ভয়েস
vowel,স্বরবর্ণ
wait,অপেক্ষা করুন
walk,পদব্রজে ভ্রমণ
wall,প্রাচীর
want,চান
war,যুদ্ধ
warm,উষ্ণ
was,ছিল
wash,ধোয়ার
watch,ঘড়ি
water,জল
wave,তরঙ্গ
way,উপায়
we,আমরা
wear,পরিধান
weather,আবহাওয়া
week,সপ্তাহে
weight,ওজন
well,ভাল
went,গিয়েছিলাম
were,ছিল
west,পশ্চিম
what,কি
wheel,চাকা
when,যখন
where,যেখানে
whether,কিনা
which,যা
while,যখন
white,সাদা
who,যারা
whole,সমগ্র
whose,যার
why,কেন
wide,ব্যাপক
wife,স্ত্রী
wild,বন্য
will,অভিলাষ
win,জয়
wind,বায়ু
window,উইন্ডো
wing,গরূৎ
winter,শীতকালীন
wire,তারের
wish,ইচ্ছুক
with,সঙ্গে
woman,নারী
women,নারী
wonder,আশ্চর্যের
won’t,না করবে না
wood,কাঠ
word,শব্দ
work,কাজ
world,বিশ্বের
would,হবে
write,লিখুন
written,লেখা
wrong,ভুল
wrote,লিখেছেন
yard,গজ
year,বছর
yellow,হলুদ
yes,হ্যাঁ
yet,এখনো
you,আপনি
young,তরুণ
your,আপনার
