english,hausa
once,sau ɗaya
one,daya
only,kawai
open,open
operate,aiki
opposite,m
or,ko
order,domin
organ,sashin jiki
original,asali
other,sauran
our,mu
out,out
over,a kan
own,own
oxygen,oxygen
page,page
paint,fenti
pair,biyu
paper,takarda
paragraph,sakin layi
parent,iyaye
part,part
particular,musamman
party,party
pass,auku
past,da
path,hanya
pattern,juna
pay,biya
people,mutane
perhaps,watakila
period,lokaci
person,mutum
phrase,magana
pick,sama
picture,hoto
piece,yanki
pitch,farar
place,wuri
plain,sarari
plan,shirin
plane,jirgin
planet,duniya
plant,shuka
play,wasa
please,don allah
plural,jam’i
poem,waƙa
point,aya
poor,matalauta
populate,populate
port,tashar jiragen ruwa
pose,matsayi
position,wuri
possible,zai yiwu
post,post
pound,laban
power,iko
practice,yi
prepare,shirya
present,ba
press,latsa
pretty,kyakkyawa
print,print
probable,m
problem,matsalar
process,tsari
produce,kera
product,samfur
proper,dace
property,property
protect,kare
prove,tabbatar da
provide,samar da
pull,ja
push,tura
put,sa
quart,quart
question,tambaya
quick,m
quiet,shiru
quite,quite
quotient,quotient
race,race
radio,radio
rail,dogo
rain,ruwan sama
raise,ta da
ran,gudu
range,range
rather,wajen
reach,kai
read,karanta
ready,shirye
real,real
reason,dalilin
receive,sama
record,rikodin
red,ja
region,yankin
remember,tuna
repeat,sake
reply,amsa
represent,wakilci
require,bukata
rest,sauran
result,sakamakon
rich,arziki
ride,tafiya
right,dama
ring,zobe
rise,tashi
river,kogin
road,road
rock,rock
roll,yi
room,dakin
root,tushen
rope,igiya
rose,ya tashi
round,zagaye
row,jere
rub,rub
rule,mulkin
run,ran
safe,lafiya
said,ya ce
sail,ze tashi
salt,gishiri
same,haka
sand,yashi
sat,sat
save,ajiye
saw,saw
say,ka ce
scale,sikelin
school,makaranta
science,kimiyya
score,score
sea,tẽku
search,search
season,kakar
seat,wurin zama
second,na biyu
section,section
see,gani
seed,iri
seem,ze
segment,kashi
select,zaži
self,kai
sell,sayar da
send,aika
sense,ma’ana
sent,aika
sentence,magana
separate,raba
serve,bauta
set,sa
settle,shirya
seven,bakwai
several,da yawa
shall,za
shape,siffar
share,share
sharp,kaifi
she,sai ta
sheet,sheet
shell,harsashi
shine,haske
ship,ship
shoe,shoe
shop,shop
shore,tudu
short,short
should,kammata
shoulder,kafada
shout,ihu
show,show
side,gefe
sight,gani
sign,ãyã
silent,shiru
silver,azurfa
similar,similar
simple,sauki
since,tun
sing,raira
single,single
sister,ya
sit,zauna
six,shida
size,size
skill,fasaha
skin,fata
sky,sama
slave,bawa
sleep,barci
slip,zamewa
slow,jinkirin
small,small
smell,wari
smile,murmushi
snow,snow
so,don haka
soft,laushi
soil,ƙasa
soldier,soja
solution,bayani
solve,warware
some,wasu
son,dan
song,song
soon,da ewa ba
sound,sauti
south,kudu
space,sarari
speak,yi magana
special,na musamman
speech,jawabin
speed,gudun
spell,rubutawa
spend,kashe
spoke,yi magana
spot,tabo
spread,baza
spring,spring
square,muraba’in
stand,tsaya
star,star
start,farko
state,jihar
station,station
stay,zauna
stead,gaji sarautarsa
steam,steam
steel,karfe
step,matakin
stick,sanda
still,har yanzu
stone,dutse
stood,tsaya
stop,daina
store,store
story,story
straight,madaidaiciya
strange,m
stream,ƙorama
street,street
stretch,stretch
string,kirtani
strong,karfi
student,dalibi
study,study
subject,subject
substance,abu
subtract,muka ɗebe
success,nasara
such,irin
sudden,kwatsam
suffix,a baya kalma
sugar,sugar
suggest,bayar da shawarar
suit,kwat da wando
summer,rani
sun,rãnã
supply,wadata
support,goyon bayan
sure,tabbata
surface,surface
surprise,mamaki
swim,yin iyo
syllable,syllable
symbol,alama ce
system,tsarin
table,tebur
tail,wutsiya
take,kai
talk,talk
tall,tsayi
teach,koyar
team,tawagar
teeth,hakora
tell,gaya
temperature,zazzabi
ten,goma
term,kalmomin
test,jarabawa
than,fiye da
thank,gode
that,"cewa,"
the,da
their,da
them,da su
then,"to,"
there,akwai
these,wadannan
they,suna
thick,lokacin farin ciki
thin,na bakin ciki
thing,abu
think,tunani
third,na uku
this,wannan
those,wadanda
though,ko da yake
thought,tsammani
thousand,dubu
three,uku
through,ta hanyar
throw,jefa
thus,haka ne
tie,taye
time,lokaci
tiny,kankanin
tire,taya
to,to
together,tare
told,ya shaidawa
tone,sautin
too,ma
took,ya ɗauki
tool,kayan aiki
top,top
total,total
touch,taba
toward,zuwa ga
town,town
track,track
trade,ciniki
train,jirgin kasa
travel,tafiya
tree,itacen
triangle,alwatika
trip,tafiya da dawowa
trouble,matsala
truck,truck
true,gaskiya ne
try,kokarin
tube,tube
turn,nuna
twenty,ashirin da
two,biyu
type,type
under,karkashin
unit,naúrar
until,har sai
up,up
us,mu
use,amfani
usual,saba
valley,kwarin
value,darajar
vary,bambanta
verb,fi’ili
very,sosai
view,view
village,kauye
visit,ziyarar
voice,murya
vowel,wasali
wait,jira
walk,tafiya
wall,bango
want,so
war,yaki
warm,dumi
was,shi ne
wash,wash
watch,watch
water,ruwa
wave,kalaman
way,hanyar
we,muna
wear,sa
weather,weather
week,mako
weight,nauyi
well,da kyau
went,tafi
were,suna
west,yamma
what,abin da
wheel,wheel
when,a lokacin da
where,inda
whether,ko
which,wanda
while,yayin da
white,white
who,wanda
whole,dukan
whose,wanda
why,dalilin da ya sa
wide,wide
wife,matarsa
wild,daji
will,so
win,nasara
wind,iska
window,taga
wing,reshe
winter,hunturu
wire,waya
wish,so
with,tare da
woman,mace
women,mata
wonder,mamaki
won’t,ki
wood,wood
word,kalma
work,aiki
world,duniya
would,zai
write,rubuta
written,rubuta
wrong,ba daidai ba
wrote,ya rubuta
yard,yadi
year,shekara
yellow,rawaya
yes,i
yet,yet
you,ka
young,matasa
your,your
