english,sinhala
joy,ප්රීතිය
jump,වෙත පනින්න
just,පමණක්
keep,තබා
kept,තබා
key,ප්රධාන
kill,මරා
kind,කාරුණික
king,රජු
knew,දැන
know,දැන
lady,කාන්තාව
lake,විල
land,ඉඩම්
language,භාෂාව
large,විශාල
last,පසුගිය
late,අග
laugh,සිනහ
law,නීතිය
lay,ගිහි
lead,පෙරමුණ
learn,ඉගෙන
least,අවම වශයෙන්
leave,නිවාඩු
led,led
left,වම්
leg,කකුලක්
length,දිග
less,අඩු
let,ඉඩ දෙන්න
letter,ලිපිය
level,මට්ටමින්
lie,බොරුවක්
life,ජීවිතය
lift,විදුලි සෝපානය
light,ආලෝකය
like,වැනි
line,මාර්ගය
liquid,දියර
list,ලැයිස්තුව
listen,සවන්
little,කුඩා
live,සජීවී
locate,සොයා
log,ලඝු-සටහන
lone,තනි වූ
long,දිගු
look,බලන්න
lost,අහිමි
lot,ගොඩක්
loud,ශබ්ද විකාශන යන්ත්ර
love,ආදරය
low,අඩු
machine,යන්ත්රය
made,සිදු
magnet,චුම්භකයක්
main,ප්රධාන
major,ප්රධාන
make,කරන්න
man,මිනිසා
many,බොහෝ
map,සිතියම
mark,ලකුණ
market,වෙළෙඳපොළ
mass,මහා
master,ස්වාමියා
match,තරගය
material,ද්රව්ය
matter,කාරණය
may,හැකිය
me,මට
mean,අදහස්
meant,අදහස්
measure,පියවරක්
meat,මස්
meet,තරග
melody,තනු නිර්මාණය
men,මිනිසුන්
metal,ලෝහ
method,ක්රමය
middle,මධ්යම
might,සමහරවිට
mile,සැතපුම්
milk,කිරි
million,මිලියන
mind,මනස
mine,බිම් බෝම්බ
minute,විනාඩි
miss,මම ඔයාට ආදරේ
mix,මිශ්ර
modern,නවීන
molecule,අණුවක්
moment,මොහොතක්
money,මුදල්
month,මාසය
moon,සඳ
more,තව
morning,අද උදෑසන
most,බොහෝ
mother,මව
motion,යෝජනාව
mount,කන්ද
mountain,කඳු
mouth,මුඛයෙන්
move,පියවර
much,බොහෝ
multiply,ගුණ
music,සංගීතය
must,කල යුතු
my,මගේ
name,නම
nation,ජාතිය
natural,ස්වාභාවික
nature,ස්වභාවය
near,අසල
necessary,අවශ්ය
neck,ගෙල
need,අවශ්යතාව
neighbor,අසල්වැසියා
never,කවදාවත්
new,නව
next,ඊළඟ
night,රාත්රී
nine,නවය
no,කිසිදු
noise,ශබ්ද
noon,දහවල්
nor,"වත්,"
north,උතුරු
nose,නාසය
note,සටහන
nothing,කිසිවක්
notice,දැනුම් දීමකින්
noun,නාම පදයක්
now,දැන්
number,සංඛ්යාව
numeral,ඉලක්කම
object,වස්තුව
observe,නිරීක්ෂණය
occur,සිදු
ocean,සාගර
of,පිළිබඳ
off,කපා
offer,ඉල්ලුමට
office,කාර්යාලය
often,බොහෝ විට
oh,අයියෝ
oil,තෙල්
old,පැරණි
on,මත
once,වරක්
one,එක්
only,පමණක්
open,විවෘත
operate,ක්රියාත්මක
opposite,ප්රතිවිරුද්ධ
or,හෝ
order,නියෝගයක්
organ,ඉන්ද්රිය
original,මුල්
other,වෙනත්
our,අපගේ
out,පිටතට
over,කට
own,ම
oxygen,ඔක්සිජන්
page,පිටුව
paint,තීන්ත
pair,යුගල
paper,කඩදාසි
paragraph,ඡේදය
parent,මව්
part,කොටසක්
particular,විශේෂයෙන්
party,පක්ෂ
pass,සාමාර්ථයක්
past,පසුගිය
path,මාර්ගය
pattern,රටාව
pay,වැටුප්
people,ජනතාව
perhaps,සමහර විට
period,කාලය
person,පුද්ගලයා
phrase,වැකිය
pick,පික්
picture,පින්තූරයක්
piece,කෑල්ලක්
pitch,තණතීරුව
place,ස්ථානය
plain,තැනිතලා
plan,සැලැස්ම
plane,තලය
planet,ග්රහ
plant,බලාගාරය
play,නාට්යයේ
please,කරුණාකර
plural,බහු වචන
poem,කවිය
point,පේදුරු
poor,දුප්පත්
populate,පිරවිය
port,වරාය
pose,මතු
position,තත්ත්වය
possible,හැකි
post,පශ්චාත්
pound,රාත්තල්
power,බලය
practice,ප්රායෝගික
prepare,සූදානම්
present,වර්තමාන
press,මාධ්ය
pretty,ලස්සන
print,මුද්රණය
probable,අනුමාන
problem,ප්රශ්නය
process,ක්රියාවලිය
produce,නිපැයුම
product,නිෂ්පාදන
proper,නිසි
property,දේපල
protect,ආරක්ෂා
prove,ඔප්පු
provide,ලබා
pull,අදින්න
push,තල්ලු කරනවා
put,put
quart,නැළියකට විකිණීම
question,ප්රශ්නය
quick,ඉක්මන්
quiet,නිහඬව
quite,තරමක්
quotient,ලබ්ධිය
race,ජාතිය
radio,ගුවන් විදුලි
rail,දුම්රිය
rain,වැසි
raise,මතු
ran,රන්
range,පරාසයක
rather,ඒ වෙනුවට
reach,ළඟා
read,කියවන්න
ready,සූදානම්
real,සැබෑ
reason,හේතුව
receive,හිමි
record,වාර්තා
red,රතු
region,කලාපයේ
remember,මතක තබා
repeat,නැවත
reply,පිළිතුරු
represent,නියෝජනය
require,අවශ්ය
rest,ඉතිරි
result,ප්රතිඵලය
rich,පොහොසත්
ride,සවාරියක් යෑමේ
right,අයිතිය
ring,මුද්ද
rise,නැගීම
river,ගඟ
road,මාර්ග
rock,ගල්
roll,රෝල්
room,කාමරය
root,මූල
rope,කඹය
rose,රෝස
round,වටයේ
row,පේළි
rub,එතැනයි
rule,පාලනය
run,ලකුණු
safe,ආරක්ෂිත
said,පවසයි
sail,රුවල්
salt,ලුණු
same,එම
sand,වැලි
sat,සෙන
save,බේරා
saw,කියත්
say,කියන්න
scale,පරිමාණ
school,පාසල්
science,විද්යාව
score,ස්කෝර්
sea,මුහුදු
search,සොයන්න
season,කන්නයේ
seat,ආසන
second,දෙවන
section,කොටස
see,බලන්න
seed,බීජ
seem,පෙනේ
segment,කොටස
select,තෝරා
self,ස්වයං
sell,විකුණා
send,එවන
sense,හැඟීමක්
sent,එවා
sentence,දඬුවම
separate,වෙනම
serve,සේවය
set,කට්ටලය
settle,පදිංචි
seven,හත
several,කිහිපයක්
shall,යුතුය
shape,හැඩය
share,කොටස
sharp,තියුණු
she,ඇය
sheet,පත්රය
shell,ෂෙල්
shine,ඔප දමන
ship,නෞකාව
shoe,සපත්තු
shop,වෙළඳ සැලක්
shore,වෙරළ
short,කෙටි
should,කළ යුත්තේ
shoulder,උරහිස්
shout,ඝෝෂා කරනවා
show,පෙන්වන්න
side,පැත්ත
sight,පෙනීම
sign,ලකුණක්
silent,නිහඬ
silver,රිදී
similar,සමාන
simple,සරල
since,සිට
sing,ගී ගයන්න
single,තනි
sister,සහෝදරිය
sit,වාඩි
six,හය
size,විශාලත්වය
skill,නිපුණතා
skin,සම
sky,අහස
slave,වහල්
sleep,නින්ද
slip,ස්ලිප්
slow,මන්දගාමී
small,කුඩා
smell,සුවඳ
smile,සිනහව
snow,හිම
so,එසේ
soft,මෘදු
soil,පස
soldier,යුද හමුදා සෙබලෙකු
solution,විසඳුමක්
solve,විසඳීමට
some,සමහර
son,පුතා
song,ගීතය
soon,ඉක්මනින්
sound,ශබ්ද
south,දකුණු
space,අවකාශය
speak,කතා
special,විශේෂ
speech,කතාව
speed,වේගය
spell,අක්ෂර වින්යාස
spend,වැය
spoke,කථා
spot,ස්ථානයේදීම
spread,පැතිරීම
spring,වසන්ත
square,වර්ග
stand,ස්ථාවරය
star,තරු
start,ආරම්භයක්
state,රාජ්ය
station,ස්ථානය
stay,ඉන්න
stead,වෙනුවට
steam,වාෂ්ප
steel,වානේ
step,පියවර
stick,කෙවිටේ
still,තවමත්
stone,ගල්
stood,සිටගෙන
stop,නවත්වන්න
store,ගබඩා
story,කතාව
straight,කෙලින්ම
strange,අමුතු
stream,විෂය ධාරාව
street,වීදි
stretch,දුර
string,සංගීත
strong,ශක්තිමත්
student,ශිෂ්ය
study,අධ්යයනය
subject,විෂය
substance,ද්රව්යයක්
subtract,අඩු
success,සාර්ථකත්වය
such,එවැනි
sudden,හදිසි
suffix,ෙපර ෙයදුම
sugar,සීනි
suggest,යෝජනා
suit,ඇඳුම
summer,ගිම්හාන
sun,හිරු
supply,සැපයුම
support,සහාය
sure,වග බලා ගන්න
surface,මතුපිට
surprise,පුදුම
swim,පිහිනීම
syllable,syllable
symbol,සංකේතය
system,පද්ධතිය
table,වගුව
tail,වලිගය
take,ගත
talk,සාකච්ඡාව
tall,උස
teach,ඉගැන්වීමට
team,කණ්ඩායම
teeth,දත්
tell,කියන්න
temperature,උෂ්ණත්වය
ten,දස
term,කාලීන
test,ටෙස්ට්
than,වඩා
thank,ස්තුති
that,බව
the,මෙම
their,ඔවුන්ගේ
them,ඔවුන්
then,එවකට
there,එතන
these,මෙම
they,ඔවුන්
thick,ඝන
thin,සිහින්
thing,දෙයක්
think,හිතන්න
third,තුන්වන
this,මෙම
those,එම
though,නමුත්
thought,කල්පනා
thousand,දහසක්
three,තුනක්
through,හරහා
throw,විසි
thus,මෙසේ
tie,ටයි පටියක්
time,කාලය
tiny,ඉතා කුඩා
tire,ටයර්
to,කිරීමට
together,එකට
told,පවසා
tone,ස්වරය
too,ද
took,ගත්
tool,මෙවලමක්
top,ඉහළ
total,මුළු
touch,ස්පර්ශ
toward,දෙසට
town,නගරයේ
track,මාර්ගය
trade,වෘත්තීය
train,දුම්රිය
travel,සංචාරක
tree,ගසක්
triangle,ත්රිකෝණය
trip,චාරිකාව
trouble,කරදර
truck,ට්රක් රථ
true,සැබෑ
try,උත්සාහ
tube,නළ
turn,අනෙක් අතට
twenty,විසි
two,දෙකක්
type,වර්ගය
under,යටතේ
unit,ඒකකය
until,දක්වා
up,දක්වා
us,අපට
use,භාවිතය
usual,සුපුරුදු
valley,නිම්නය
value,වටිනාකම
vary,වෙනස් විය
verb,ක්රියා පදයෙන්
very,ඉතා
view,දැක්ම
village,ගමේ
visit,සංචාරය
voice,හඬ
vowel,ස්වර
wait,ඉන්න
walk,ඇවිදින්න
wall,වෝල්
want,අවශ්ය
war,යුද්ධය
warm,උණුසුම්
was,විය
wash,වොෂ්
watch,වොච්
water,ජල
wave,රැල්ල
way,මාර්ගය
we,අපි
wear,ඇඳීමට
weather,කාලගුණය
week,සතියේ
weight,සිරුරේ බර
well,හොඳින්
went,ගිය
were,වූහ
west,බටහිර
what,කුමක් ද
wheel,රෝද
when,කවදා ද
where,එහිදී
whether,යන්න
which,වන
while,අතර
white,සුදු
who,කරන
whole,මුළු
whose,කාගේ
why,ඇයි
wide,පුරා
wife,බිරිඳ
wild,වල්
will,ඇත
win,ජය
wind,සුළං
window,කවුළුව
wing,වාමාංශික
winter,ශීත
wire,කම්බි
wish,ප්රාර්ථනය
with,සමග
woman,කාන්තාව
women,කාන්තාවන්
wonder,පුදුමයක්
won’t,නෑ
wood,ලී
word,වචනය
work,වැඩ
world,ලෝකයේ
would,බවත්
write,ලියන්න
written,ලිඛිත
wrong,වැරදි
wrote,මෙසේ ලිවීය
yard,අංගනයක්
year,වසර
yellow,කහ
yes,ඔව්
yet,තවමත්
you,ඔබ
young,තරුණ
your,ඔබගේ
