english,hmong
excite,muaj siab
exercise,qoj ib ce
expect,cia siab tias
experience,kev
experiment,xyaum ua tej yam
eye,qhov muag
face,lub ntsej muag
fact,qhov tseeb
fair,ncaj ncees
fall,poob
family,tsev neeg
famous,naas ej
far,deb
farm,ua liaj ua teb
fast,ceev ceev
fat,muaj roj
father,txiv
favor,nyiam
fear,ntshai
feed,pub
feel,xav
feet,ob txhais taw
fell,poob
felt,xav
few,ob peb
field,teb
fig,fig
fight,sib ntaus
figure,duab
fill,sau
final,zaum kawg
find,nrhiav
fine,zoo
finger,ntiv tes
finish,finish
fire,hluav taws
first,thawj
fish,ntses
fit,haum
five,tsib
flat,ca
floor,pem teb
flow,ntws
flower,paj
fly,ya
follow,ua raws li
food,khoom noj khoom haus
foot,ko taw
for,rau
force,quab yuam
forest,hav zoov
form,daim ntawv
forward,pem hauv ntej
found,pom
four,plaub
fraction,feem
free,free
fresh,tshiab
friend,phooj ywg
from,los ntawm
front,pem hauv ntej
fruit,txiv hmab txiv ntoo
full,tag nrho
fun,kev lom zem
game,kev ua si
garden,vaj
gas,gas
gather,sib sau ua ke
gave,muab
general,general
gentle,maj mam
get,tau
girl,hluas nkauj
give,muab
glad,zoo siab
glass,iav
go,mus
gold,kub
gone,ploj
good,zoo
got,tau txais
govern,kav
grand,loj
grass,nyom
gray,grey
great,zoo
green,ntsuab
grew,loj hlob
ground,hauv av
group,pab pawg neeg
grow,loj hlob
guess,twv
guide,coj
gun,phom
had,muaj
hair,cov plaub hau
half,ib nrab
hand,tes
happen,tshwm sim
happy,zoo siab
hard,nyuaj
has,muaj
hat,lub kaus mom
have,muaj
he,nws
head,lub taub hau
hear,hnov
heard,hnov
heart,lub plawv
heat,tshav kub kub
heavy,hnyav
held,tsis tshua muaj lub
help,pab
her,nws
here,nyob ntawm no
high,siab
hill,toj
him,nws
his,nws
history,keeb kwm
hit,ntaus
hold,tuav
hole,qhov
home,tsev
hope,cia siab
horse,nees
hot,kub
hour,teev
house,tsev
how,ua li cas
huge,lossis loj
human,tib neeg
hundred,puas
hunt,hunt
hurry,hurry
i,kuv
ice,ice
idea,lub tswv yim
if,yog tias
imagine,xav txog tej yam
in,nyob rau hauv
inch,nti
include,muaj xws li
indicate,qhia
industry,kev lag luam
insect,kab
instant,instant
instrument,lub cuab tam
interest,paj
invent,txua
iron,hlau
is,yog
island,kob
it,nws
job,txoj hauj lwm
join,koom
joy,muaj kev xyiv fab
jump,dhia
just,xwb
keep,kom
kept,khaws cia
key,tseem ceeb
kill,tua
kind,zoo
king,huab tais
knew,paub
know,paub
lady,tus pojniam
lake,pas dej
land,av
language,lus
large,loj
last,kawg
late,lig
laugh,luag
law,txoj cai lij choj
lay,pw
lead,coj
learn,kawm
least,tsawg kawg
leave,tawm
led,coj
left,tshuav
leg,txhais ceg
length,ntev
less,tsawg
let,cia
letter,tsab ntawv
level,theem
lie,dag
life,lub neej
lift,nqa
light,lub teeb
like,zoo li
line,kab
liquid,kua
list,daim ntawv teev
listen,mloog
little,me ntsis
live,nyob
locate,nrhiav
log,cag ntoo
lone,leeg
long,ntev
look,saib
lost,poob lawm
lot,ntau
loud,nrov
love,hlub
low,tsawg
machine,tshuab
made,ua
magnet,hlau nplaum
main,ntsiab
major,loj
make,ua
man,txiv neej
many,ntau
map,daim ntawv qhia
mark,cim
market,kev ua lag luam
mass,huab hwm coj
master,tswv
match,match
material,cov ntaub ntawv
matter,teeb meem
may,tau
me,kuv
mean,txhais li cas
meant,meant
measure,ntsuas
meat,nqaij
meet,ntsib
melody,suab
men,cov txiv neej
metal,hlau
method,txoj kev
middle,nruab nrab
might,zaum
mile,mile
milk,mis nyuj
million,lab
mind,siab
mine,kuv
minute,feeb
miss,miss
mix,sib tov
modern,niaj hnub
molecule,qauv
moment,caij
money,nyiaj
month,lub hlis
moon,hli
more,ntau
morning,thaum sawv ntxov
most,feem ntau
mother,niam
motion,tsa suab
mount,mount
mountain,roob
mouth,lub qhov ncauj
move,txav
much,ntau
multiply,multiply
music,music
must,yuav tsum
my,kuv
name,lub npe
nation,lub teb chaws
natural,tej yam ntuj tso
nature,qhov
near,nyob ze
necessary,tsim nyog
neck,caj dab
need,xav tau
neighbor,neeg nyob ze
never,yeej tsis
new,tshiab
next,tom ntej no
night,hmo ntuj
nine,cuaj
no,tsis muaj
noise,suab nrov
noon,tav su
nor,los yog
north,sab qaum teb
nose,lub qhov ntswg
note,daim ntawv
nothing,tsis muaj dab tsi
notice,daim ntawv ceeb toom
noun,noun
now,tam sim no
number,muaj pes tsawg tus
numeral,tus nab npawj
object,yam khoom
observe,saib
occur,tshwm sim
ocean,dej hiav txwv
of,ntawm
off,tawm
offer,kev
office,chaw ua hauj lwm
often,feem ntau
oh,huag
oil,roj
old,qub
on,on
once,ib zaug
one,ib
only,tsuas
open,qhib
operate,khiav lag luam
opposite,rov qab
or,los yog
order,yuav
organ,hloov
original,thawj
other,lwm yam
our,peb
out,tawm
over,tshaj
own,tus kheej
oxygen,oxygen
page,page
paint,xim
pair,khub
paper,daim ntawv
paragraph,pawg lus
parent,niam txiv
part,ib feem
particular,xyov
party,tog
pass,dhau
past,yav dhau los
path,txoj kev
pattern,qauv
pay,them
people,cov neeg
perhaps,tej zaum
period,lub sij hawm
person,tus neeg
phrase,kab lus
pick,tos
picture,daim duab
piece,daim
pitch,twawb
place,qhov chaw
plain,tiaj
plan,txoj kev npaj
plane,dav hlau
planet,ntiaj chaw
plant,tsob nroj
play,ua si
please,thov
plural,plural
poem,paj huam
point,taw tes
poor,pluag
populate,populate
port,chaw nres nkoj
pose,pose
position,txoj hauj lwm
possible,tau
post,post
pound,phaus
power,hwj chim
practice,xyaum
prepare,npaj
present,tam sim no
press,xovxwm
pretty,zoo nkauj
print,sau
probable,tej zaum
problem,teeb meem
process,cov txheej txheem
produce,tsim
product,khoom
proper,kom
property,vaj tse
protect,tiv thaiv
prove,ua pov thawj
provide,muab
pull,rub
push,laub
put,muab tso rau
quart,quart
question,lo lus nug
quick,ceev
quiet,ntsiag to
quite,heev
quotient,quotient
race,haiv neeg
radio,xov tooj cua
rail,rail
rain,los nag
raise,tsa
ran,khiav
range,ntau yam
rather,es
reach,cuag
read,nyeem
ready,npaj txhij
real,tiag tiag
reason,yog vim li cas
receive,tau txais
record,cov ntaub ntawv
red,liab
region,cheeb tsam
remember,nco ntsoov
repeat,rov
reply,teb
represent,sawv cev rau
require,tsum
rest,so
result,tau
rich,nplua nuj
ride,caij
right,txoj cai
ring,nplhaib
rise,sawv
river,dej
road,txoj kev
rock,pob zeb
roll,yob
room,chav tsev
root,paus
rope,hlua
rose,sawv
round,puag ncig
row,kab
rub,xuas
rule,txoj cai
run,khiav
safe,muaj kev nyab xeeb
said,hais tias
sail,sail
salt,ntsev
same,tib
sand,xuab zeb
sat,xee
save,txuag
saw,kaw
say,hais
scale,scale
school,lub tsev kawm ntawv
science,science
score,qhab nia
sea,hiav txwv
search,nrhiav
season,lub caij
seat,rooj zaum
second,thib ob
section,kem
see,saib
seed,noob
seem,zoo li
segment,ntu
select,xaiv
self,nws tus kheej
sell,muag
send,xa
sense,siab
sent,xa
sentence,kab lus
separate,cais
serve,pab
set,tso
settle,khom
seven,xya
several,ob peb
shall,yuav
shape,zoo
share,sib qhia
sharp,ntse
she,nws
sheet,daim ntawv
shell,plhaub
shine,ci
ship,nkoj
shoe,khau
shop,khw
shore,ntug dej
short,luv luv
should,yuav tsum
shoulder,xub pwg
shout,qw
show,qhia tau tias
side,sab
sight,pom
sign,kos npe
silent,ntsiag to
silver,silver
similar,zoo sib xws
simple,yooj yim
since,txij li thaum
sing,hu nkauj
single,ib
sister,tus muam
sit,zaum
six,rau
size,loj
skill,kev txawj
skin,daim tawv nqaij
sky,ntuj
slave,qhev
sleep,pw tsaug zog
slip,plam
slow,qeeb
small,me me
smell,tsis hnov tsw
smile,luag
snow,snow
so,yog li
soft,mos
soil,av
soldier,tub rog
solution,daws
solve,daws
some,ib co
son,tus tub
song,song
soon,sai
sound,sound
south,sab qab teb
space,qhov chaw
speak,hais lus
special,tshwj xeeb
speech,hais lus
speed,ceev
spell,yees siv
spend,siv
spoke,hais lus
spot,chaw
spread,kis
spring,caij nplooj ntoos hlav
square,square
stand,sawv ntsug
star,lub hnub qub
start,pib
state,lub xeev
station,chaw nres tsheb
stay,nyob twj ywm
stead,stead
steam,zog
steel,cov hlau
step,kauj ruam
stick,pas
still,tseem
stone,pob zeb
stood,sawv
stop,nres
store,khw
story,zaj dab neeg
straight,ncaj
strange,coj txawv txawv
stream,kwj
street,txoj kev
stretch,stretch
string,hlua
strong,muaj zog
student,me nyuam kawm ntawv
study,txoj kev tshawb
subject,raug
substance,substance
subtract,rho
success,kawm tau zoo
such,xws
sudden,ua ciav
suffix,tom qab
sugar,qab zib
suggest,qhia
suit,nplua
summer,lub caij ntuj sov
sun,hnub
supply,mov
support,kev pab txhawb nqa
sure,paub tseeb
surface,nto
surprise,surprise
swim,luam dej
syllable,sylla
symbol,lub cim
system,system
table,rooj
tail,tsov tus tw
take,noj
talk,tham
tall,siab
teach,qhia
team,pab neeg
teeth,cov hniav
tell,qhia
temperature,kub
ten,kaum
term,lub sij hawm
test,xeem
than,tshaj
thank,ua tsaug
that,uas
the,tus
their,lawv
them,lawv
then,ces
there,muaj
these,cov
they,lawv
thick,tuab
thin,nyias
thing,tshaj plaws
think,xav hais tias
third,thib peb
this,no
those,cov neeg
though,tab sis yog
thought,xav
thousand,txhiab
three,peb
through,los ntawm
throw,muab pov
thus,yog li
tie,khi
time,lub sij hawm
tiny,me me
tire,log
to,mus rau
together,ua ke
told,hais rau
tone,tone
too,heev
took,coj
tool,cuab tam
top,sab saum toj
total,tag nrho
touch,kov
toward,mus rau
town,lub zos
track,khiav
trade,luam
train,tsheb ciav hlau
travel,mus ncig teb chaws
tree,tsob ntoo
triangle,daim duab peb sab
trip,dawm
trouble,teeb meem
truck,tsheb
true,muaj tseeb
try,sim
tube,tube
turn,tig
twenty,nees nkaum
two,ob
type,hom
under,nyob rau hauv
unit,unit
until,kom txog rau thaum
up,mus txog
us,peb
use,siv
usual,li ib txwm
valley,hav
value,nqi
vary,sib txawv
verb,nqe lus
very,heev
view,saib
village,lub zos
visit,mus ntsib
voice,suab
vowel,vowel
wait,tos
walk,mus kev
wall,phab ntsa
want,xav
war,ua tsov ua rog
warm,sov
was,yog
wash,ntxuav
watch,saib
water,dej
wave,yoj
way,txoj kev
we,peb
wear,hnav
weather,huab cua
week,lub lim tiam
weight,hnyav
well,zoo
went,mus
were,twb
west,sab hnub poob
what,dab tsi
wheel,log
when,thaum
where,qhov chaw uas
whether,seb
which,uas
while,thaum
white,dawb
who,uas
whole,tag nrho
whose,uas nws
why,yog vim li cas
wide,thoob
wife,tus poj niam
wild,qus
will,yuav
win,yeej
wind,cua
window,qhov rais
wing,tis
winter,lub caij ntuj no
wire,hlau
wish,xav
with,nrog
woman,poj niam
women,cov poj niam
wonder,xav paub
won’t,yuav tsis
wood,wood
word,lo lus
work,ua hauj lwm
world,ntiaj teb no
would,yuav
write,sau ntawv
written,sau
wrong,tsis ncaj ncees lawm
wrote,sau
yard,mev
year,xyoo
yellow,daj
yes,yawg
yet,tsis tau
you,koj
young,hluas
your,koj
