english,italian
oil,olio
old,vecchio
on,su
once,una volta
one,uno
only,solo
open,aperto
operate,operare
opposite,opposto
or,o
order,ordine
organ,organo
original,originale
other,altro
our,il nostro
out,fuori
over,oltre
own,proprio
oxygen,ossigeno
page,pagina
paint,dipingere
pair,coppia
paper,carta
paragraph,paragrafo
parent,genitore
part,parte
particular,particolare
party,partito
pass,passare
past,passato
path,sentiero
pattern,modello
pay,pagare
people,persone
perhaps,forse
period,periodo
person,persona
phrase,frase
pick,scegliere
picture,immagine
piece,pezzo
pitch,pece
place,posto
plain,pianura
plan,piano
plane,piano
planet,pianeta
plant,impianto
play,giocare
please,per favore
plural,plurale
poem,poesia
point,punto
poor,povero
populate,popolare
port,porto
pose,posa
position,posizione
possible,possibile
post,messaggio
pound,libbra
power,potenza
practice,pratica
prepare,preparare
present,presente
press,stampa
pretty,piuttosto
print,stampa
probable,probabile
problem,problema
process,processo
produce,produrre
product,prodotto
proper,corretto
property,proprietà
protect,proteggere
prove,dimostrare
provide,fornire
pull,tirare
push,spingere
put,mettere
quart,quarto di gallone
question,domanda
quick,veloce
quiet,tranquillo
quite,abbastanza
quotient,quoziente
race,gara
radio,radio
rail,ferrovia
rain,pioggia
raise,aumentare
ran,corse
range,gamma
rather,piuttosto
reach,raggiungere
read,leggere
ready,pronto
real,reale
reason,motivo
receive,ricevere
record,record
red,rosso
region,regione
remember,ricordare
repeat,ripetizione
reply,rispondere
represent,rappresentare
require,richiedere
rest,resto
result,risultato
rich,ricco
ride,giro
right,diritto
ring,anello
rise,salire
river,fiume
road,strada
rock,rock
roll,rotolo
room,camera
root,radice
rope,corda
rose,rosa
round,turno
row,fila
rub,strofinare
rule,regola
run,run
safe,sicuro
said,suddetto
sail,vela
salt,sale
same,stesso
sand,sabbia
sat,sat
save,salvare
saw,sega
say,dire
scale,scala
school,scuola
science,scienza
score,punteggio
sea,mare
search,ricerca
season,stagione
seat,sedile
second,secondo
section,sezione
see,vedere
seed,seme
seem,sembrare
segment,segmento
select,selezionare
self,se stesso
sell,vendere
send,inviare
sense,senso
sent,inviato
sentence,frase
separate,separato
serve,servire
set,set
settle,risolvere
seven,sette
several,alcuni
shall,deve
shape,forma
share,quota
sharp,tagliente
she,lei
sheet,foglio
shell,guscio
shine,shine
ship,nave
shoe,scarpa
shop,negozio
shore,riva
short,breve
should,dovrebbe
shoulder,spalla
shout,shout
show,spettacolo
side,lato
sight,vista
sign,segno
silent,silenzioso
silver,argento
similar,simile
simple,semplice
since,da
sing,cantare
single,singolo
sister,sorella
sit,sedersi
six,sei
size,dimensione
skill,abilità
skin,pelle
sky,cielo
slave,schiavo
sleep,sonno
slip,slittamento
slow,lento
small,piccolo
smell,odore
smile,sorriso
snow,neve
so,così
soft,morbido
soil,suolo
soldier,soldato
solution,soluzione
solve,risolvere
some,alcuni
son,figlio
song,canzone
soon,presto
sound,suono
south,sud
space,spazio
speak,parlare
special,speciale
speech,discorso
speed,velocità
spell,compitare
spend,spendere
spoke,raggio
spot,spot
spread,spread
spring,primavera
square,piazza
stand,stare in piedi
star,stella
start,inizio
state,stato
station,stazione
stay,soggiornare
stead,vece
steam,vapore
steel,acciaio
step,passo
stick,bastone
still,ancora
stone,pietra
stood,sorgeva
stop,stop
store,negozio
story,storia
straight,dritto
strange,strano
stream,ruscello
street,strada
stretch,tratto
string,stringa
strong,forte
student,studente
study,studio
subject,soggetto
substance,sostanza
subtract,sottrarre
success,successo
such,tale
sudden,improvviso
suffix,suffisso
sugar,zucchero
suggest,suggerire
suit,tuta
summer,estate
sun,sole
supply,fornitura
support,supporto
sure,sicuro
surface,superficie
surprise,sorpresa
swim,nuoto
syllable,sillaba
symbol,simbolo
system,sistema
table,tavolo
tail,coda
take,prendere
talk,discussioni
tall,alto
teach,insegnare
team,team
teeth,denti
tell,dire
temperature,temperatura
ten,dieci
term,termine
test,test
than,di
thank,grazie
that,che
the,il
their,loro
them,loro
then,allora
there,ci
these,queste
they,essi
thick,spesso
thin,sottile
thing,cosa
think,pensare
third,terzo
this,questo
those,quelli
though,anche se
thought,pensiero
thousand,migliaia
three,tre
through,attraverso
throw,gettare
thus,così
tie,cravatta
time,tempo
tiny,piccolo
tire,pneumatico
to,a
together,insieme
told,ha detto
tone,tono
too,troppo
took,ha preso
tool,strumento
top,top
total,totale
touch,toccare
toward,verso
town,città
track,pista
trade,commercio
train,treno
travel,viaggi
tree,albero
triangle,triangolo
trip,viaggio
trouble,difficoltà
truck,camion
true,vero
try,provare
tube,tubo
turn,turno
twenty,venti
two,due
type,tipo
under,sotto
unit,unità
until,fino a quando
up,su
us,noi
use,uso
usual,solito
valley,valle
value,valore
vary,variare
verb,verbo
very,molto
view,vista
village,villaggio
visit,visita
voice,voce
vowel,vocale
wait,aspettare
walk,camminare
wall,muro
want,desiderare
war,guerra
warm,caldo
was,era
wash,lavaggio
watch,orologio
water,acqua
wave,onda
way,modo
we,noi
wear,indossare
weather,tempo
week,settimana
weight,peso
well,bene
went,è andato
were,erano
west,ovest
what,cosa
wheel,ruota
when,quando
where,dove
whether,se
which,che
while,mentre
white,bianco
who,che
whole,tutto
whose,la cui
why,perché
wide,ampio
wife,moglie
wild,selvaggio
will,volontà
win,vittoria
wind,vento
window,finestra
wing,ala
winter,inverno
wire,filo
wish,desiderio
with,con
woman,donna
women,donne
wonder,meraviglia
won’t,non sarà
wood,legno
word,parola
work,lavoro
world,mondo
would,sarebbe
write,scrivere
written,scritto
wrong,sbagliato
wrote,ha scritto
yard,cantiere
year,anno
yellow,giallo
yes,sì
yet,ancora
you,voi
young,giovane
your,il tuo
