english,maori
slow,puhoi
small,iti
smell,kakara
smile,ataata
snow,hukarere
so,na
soft,ngohengohe
soil,oneone
soldier,hoia
solution,otinga
solve,te whakaoti
some,etahi
son,tama
song,waiata
soon,hohoro
sound,tangi
south,ki te tonga
space,wāhi
speak,korero
special,motuhake
speech,kupu
speed,tere
spell,takikupu
spend,whakapau
spoke,ka korero
spot,wahi
spread,horapa
spring,puna
square,tapawha
stand,tu
star,whetu
start,tīmatanga
state,kāwanatanga
station,teihana
stay,noho
stead,i muri ia ia
steam,korohū
steel,maitai
step,taahiraa
stick,tokotoko
still,tonu
stone,kohatu
stood,tu
stop,mutu
store,toa
story,kōrero
straight,tika tonu
strange,ke
stream,awa
street,street
stretch,totoro
string,string
strong,kaha
student,ngā ākonga
study,te tai’oraa i te
subject,i raro
substance,taonga
subtract,tango
success,angitu
such,i taua
sudden,ohorere
suffix,pīmuri
sugar,huka
suggest,whakaaro
suit,take
summer,raumati
sun,ra
supply,homai
support,tautoko
sure,tino
surface,mata
surprise,maere
swim,kaukau
syllable,haukūoro
symbol,tohu
system,pūnaha
table,tepu
tail,hiku
take,tango
talk,korero
tall,roroa
teach,e whakaako
team,rōpū
teeth,niho
tell,korero ki
temperature,pāmahana
ten,tekau
term,wā
test,whakamātautau
than,atu
thank,whakawhetai
that,e
the,te
their,ratou
them,ratou
then,ka
there,i reira
these,enei
they,ratou
thick,matotoru
thin,kikokore
thing,mea
think,whakaaro
third,te toru
this,tenei
those,te hunga
though,ahakoa
thought,whakaaro
thousand,mano
three,e toru
through,i roto i
throw,maka
thus,te kupu
tie,here
time,te wā
tiny,iti
tire,mauiui
to,ki
together,tahi
told,ka korerotia
tone,reo
too,rawa
took,ka tango
tool,taputapu
top,runga
total,katoa
touch,pa ki
toward,ki
town,pa
track,ara
trade,hokohoko
train,tereina
travel,haere
tree,rakau
triangle,tapatoru
trip,haerenga
trouble,raruraru
truck,taraka
true,pono
try,tamata
tube,ngongo
turn,tahuri
twenty,e rua tekau
two,e rua
type,momo
under,i raro i
unit,kōwae
until,tae noa ki
up,ake
us,tatou
use,whakamahi
usual,mua
valley,raorao
value,uara
vary,rerekē
verb,verb
very,rawa
view,tiro
village,kainga
visit,haerenga
voice,reo
vowel,oropuare
wait,tatari
walk,haere
wall,taiepa
want,hiahia
war,te whawhai
warm,mahana
was,ko
wash,horoi
watch,mataara
water,wai
wave,poipoi
way,ara
we,tatou i
wear,kakahu
weather,rangi
week,wiki
weight,taimaha
well,pai
went,haere
were,he
west,hauauru
what,te aha
wheel,wira
when,ka
where,i reira
whether,ahakoa
which,nei
while,ia
white,white
who,nei
whole,katoa
whose,tona
why,he aha
wide,whānui
wife,wahine
wild,mohoao
will,e pai
win,wikitōria
wind,hau
window,matapihi
wing,parirau
winter,hotoke
wire,waea
wish,hiahia
with,ki
woman,te wahine
women,wahine
wonder,uiui nei
won’t,e kore e
wood,rakau
word,kupu
work,mahi
world,te ao
would,pai
write,te tuhituhi
written,i tuhituhia
wrong,he
wrote,i tuhituhi
yard,iari
year,tau
yellow,kōwhai
yes,ae
yet,ano
you,koutou
young,taitamariki
your,koutou
