english,frisian
got,got
govern,bestjoere
grand,grand
grass,gers
gray,griis
great,grut
green,grien
grew,groeide
ground,grûn
group,groep
grow,groeie
guess,riede
guide,guide
gun,gun
had,hie
hair,hier
half,heal
hand,hân
happen,barre
happy,lokkich
hard,hurd
has,hat
hat,hoed
have,hawwe
he,hy
head,holle
hear,hearre
heard,heard
heart,hert
heat,hjitte
heavy,swier
held,held
help,help
her,har
here,hjir
high,heech
hill,heuvel
him,him
his,syn
history,skiednis
hit,slaan
hold,hâlde
hole,gat
home,thús
hope,hope
horse,hynder
hot,hyt
hour,oere
house,hûs
how,hoe
huge,grutte
human,minske
hundred,hûndert
hunt,jacht
hurry,hurry
i,ik
ice,iis
idea,idee
if,as
imagine,yntinke
in,yn
inch,inch
include,include
indicate,oanjaan
industry,yndustry
insect,ynsekt
instant,instant
instrument,ynstrumint
interest,rinte
invent,útfine
iron,izer
is,is
island,eilân
it,it
job,taak
join,join
joy,freugde
jump,springe
just,krekt
keep,hâlde
kept,hâlden
key,kaai
kill,fermoardzje
kind,soart
king,kening
knew,witte
know,witte
lady,dame
lake,mar
land,lân
language,taal
large,grut
last,lêst
late,let
laugh,laitsje
law,wet
lay,lizze
lead,foarsprong
learn,leare
least,minst
leave,ferlitte
led,led
left,links
leg,skonk
length,lingte
less,minder
let,litte
letter,letter
level,peil
lie,lizze
life,libben
lift,lift
light,ljocht
like,lykas
line,rigel
liquid,floeistof
list,list
listen,harkje
little,lyts
live,libje
locate,locate
log,lochboek
lone,lone
long,lang
look,sjen
lost,ferlern
lot,protte
loud,lûd
love,leafde
low,leech
machine,masine
made,makke
magnet,magneet
main,foarnaamste
major,majoar
make,meitsje
man,man
many,folle
map,map
mark,merk
market,merk
mass,mis
master,master
match,wedstriid
material,materiaal
matter,matearje
may,meie
me,my
mean,betsjutte
meant,betsjutte
measure,mjitte
meat,fleis
meet,moetsje
melody,melody
men,minsken
metal,metaal
method,metoade
middle,midden
might,macht
mile,myl
milk,molke
million,miljoen
mind,geast
mine,myn
minute,minút
miss,misse
mix,mix
modern,modern
molecule,molecule
moment,momint
money,jild
month,moanne
moon,moanne
more,mear
morning,moarntiid
most,measte
mother,mem
motion,moasje
mount,mount
mountain,berch
mouth,mûle
move,bewege
much,folle
multiply,fermannichfâldigje
music,muzyk
must,moatte
my,myn
name,namme
nation,naasje
natural,natuerlik
nature,natuer
near,tichtby
necessary,needsaaklik
neck,nekke
need,need
neighbor,buorman
never,nea
new,nij
next,folgjende
night,nacht
nine,njoggen
no,nee
noise,lûd
noon,middei
nor,noch
north,noard
nose,noas
note,noat
nothing,neat
notice,notice
noun,haadwurd
now,no
number,nûmer
numeral,numeral
object,objekt
observe,observearjen
occur,foarkomme
ocean,oseaan
of,fan
off,út
offer,oanbod
office,kantoar
often,faak
oh,oh
oil,oalje
old,âld
on,op
once,ienris
one,ien
only,allinnich
open,iepen
operate,operearje
opposite,tsjinoer
or,of
order,oarder
organ,orgaan
original,oarspronklik
other,oar
our,ús
out,út
over,oer
own,eigen
oxygen,soerstof
page,side
paint,fervje
pair,pear
paper,papier
paragraph,paragraaf
parent,âlder
part,diel
particular,beskaat
party,feest
pass,pas
past,ferline
path,paad
pattern,patroan
pay,betelje
people,folk
perhaps,faaks
period,perioade
person,persoan
phrase,phrase
pick,pick
picture,foto
piece,stik
pitch,fjild
place,plak
plain,plain
plan,plan
plane,plane
planet,planeet
plant,fabryk
play,toanielstik
please,asjebleaft
plural,meartal
poem,gedicht
point,punt
poor,earm
populate,populate
port,haven
pose,pose
position,posysje
possible,mooglik
post,peal
pound,pûn
power,krêft
practice,praktyk
prepare,tariede
present,oanwêzich
press,parse
pretty,skoander
print,ôfdrukke
probable,wierskynlik
problem,probleem
process,proses
produce,produsearje
product,produkt
proper,proper
property,besit
protect,beskermje
prove,bewize
provide,foarsjen
pull,lûke
push,triuwe
put,sette
quart,quart
question,fraach
quick,gau
quiet,stil
quite,frij
quotient,quotient
race,ras
radio,radio
rail,rail
rain,rein
raise,opslach
ran,draafde
range,berik
rather,leaver
reach,berikke
read,lêze
ready,klear
real,real
reason,reden
receive,ûntfange
record,opnimme
red,read
region,regio
remember,remember
repeat,repeat
reply,antwurdzje
represent,fertsjintwurdigje
require,fereaskje
rest,rêst
result,resultaat
rich,ryk
ride,rit
right,rjochts
ring,ring
rise,opstean
river,rivier
road,wei
rock,rots
roll,roll
room,keamer
root,woartel
rope,tou
rose,roas
round,rûn
row,rigel
rub,rub
rule,regel
run,run
safe,feilich
said,sei
sail,sile
salt,sâlt
same,selde
sand,sân
sat,sat
save,rêde
saw,saw
say,sizze
scale,skaal
school,skoalle
science,wittenskip
score,skoare
sea,see
search,sykje
season,seizoen
seat,sit
second,twadde
section,ôfdieling
see,sjen
seed,sied
seem,lykje
segment,segment
select,útkieze
self,sels
sell,ferkeapje
send,stjoere
sense,sin
sent,ferstjoerd
sentence,sin
separate,skiede
serve,tsjinje
set,set
settle,settle
seven,sân
several,ferskate
shall,sille
shape,foarm
share,diele
sharp,skerp
she,sy
sheet,fel
shell,shell
shine,glans
ship,skip
shoe,shoe
shop,winkel
shore,wâl
short,koart
should,soene
shoulder,skouder
shout,roppe
show,show
side,side
sight,eagen
sign,teken
silent,stil
silver,sulver
similar,similar
simple,ienfâldich
since,sûnt
sing,sjonge
single,inkel
sister,suster
sit,sitte
six,seis
size,grutte
skill,feardigens
skin,fel
sky,himel
slave,slaaf
sleep,sliep
slip,slip
slow,stadich
small,lyts
smell,rûke
smile,laitsje
snow,snie
so,sa
soft,sêft
soil,ierde
soldier,soldaat
solution,oplossing
solve,oplosse
some,guon
son,soan
song,liet
soon,gau
sound,sound
south,súd
space,rûmte
speak,sprekke
special,spesjaal
speech,spraak
speed,faasje
spell,tsjoen
spend,trochbringe
spoke,spriek
spot,plak
spread,spread
spring,maitiid
square,fjouwerkant
stand,stean
star,stjer
start,start
state,steat
station,stasjon
stay,bliuwe
stead,plak
steam,steam
steel,stiel
step,stap
stick,stôk
still,noch
stone,stien
stood,stie
stop,ophâlde
store,winkel
story,ferhaal
straight,rjocht
strange,frjemd
stream,stream
street,strjitte
stretch,stretch
string,string
strong,sterk
student,studint
study,studearje
subject,ûnderwerp
substance,stof
subtract,subtract
success,sukses
such,sok
sudden,hommels
suffix,efterheaksel
sugar,sûker
suggest,suggest
suit,kostúm
summer,simmer
sun,sinne
supply,leverje
support,stypje
sure,wis
surface,oerflak
surprise,ferrassing
swim,swimme
syllable,wurdlid
symbol,symboal
system,systeem
table,tafel
tail,sturt
take,nimme
talk,prate
tall,grut
teach,ûnderwize
team,ploech
teeth,tosken
tell,fertelle
temperature,temperatuer
ten,tsien
term,term
test,toets
than,as
thank,tankje
that,dat
the,de
their,harren
them,harren
then,dan
there,dêr
these,dizze
they,sy
thick,dik
thin,tin
thing,ding
think,tinke
third,tredde
this,dit
those,dy
though,lykwols
thought,tins
thousand,tûzen
three,trije
through,troch
throw,goaie
thus,dus
tie,bine
time,tiid
tiny,tiny
tire,bân
to,nei
together,mei-inoar
told,ferteld
tone,toan
too,te
took,naam
tool,helpmiddel
top,top
total,totaal
touch,oanreitsje
toward,nei
town,stêd
track,spoar
trade,handel
train,trein
travel,reizgje
tree,beam
triangle,trijehoek
trip,reis
trouble,lijen
truck,frachtauto
true,wier
try,besykje
tube,tube
turn,draaie
twenty,tweintich
two,twa
type,type
under,ûnder
unit,ienheid
until,oant
up,op
us,ús
use,brûke
usual,wenstich
valley,delte
value,wearde
vary,ôfwikselje
verb,tiidwurd
very,hiel
view,fisy
village,doarp
visit,besite
voice,lûd
vowel,lûd
wait,wachtsje
walk,kuier
wall,muorre
want,wolle
war,oarloch
warm,waarm
was,wie
wash,waskje
watch,horloazje
water,wetter
wave,weach
way,wei
we,wy
wear,drage
weather,wetter
week,wike
weight,gewicht
well,goed
went,gie
were,wiene
west,west
what,wat
wheel,tsjil
when,wannear
where,wêr
whether,of
which,dy’t
while,wylst
white,wyt
who,wa
whole,hiel
whose,waans
why,wêrom
wide,wiid
wife,frou
wild,wyld
will,wil
win,winne
wind,wyn
window,finster
wing,wjuk
winter,winter
wire,wire
wish,winsk
with,mei
woman,frou
women,froulju
wonder,wûnder
won’t,sil net
wood,bosk
word,wurd
work,wurk
world,wrâld
would,soe
write,skriuwe
written,skreaun
wrong,ferkeard
wrote,skreau
yard,hiem
year,jier
yellow,giel
yes,ja
yet,noch
you,jo
young,jong
your,dyn
