english,swedish
include,inkluderar
indicate,indikerar
industry,industrin
innovation,innovation
insect,insekt
instant,omedelbar
instrument,instrumentet
interest,intresse
invent,uppfinna
iron,järn
is,är
island,ö
it,den
job,jobb
join,ansluta
joy,glädje
jump,hoppa
just,bara
keep,hålla
kept,hålls
key,nyckel
kill,döda
kind,slag
king,kung
knew,visste
know,vet
lady,damen
lake,sjö
land,mark
language,språk
large,stor
last,sista
late,sen
laugh,skratt
law,lag
lay,låg
lead,bly
learn,lära
least,minst
leave,lämna
led,ledde
left,vänster
leg,ben
length,längd
less,mindre
let,låt
letter,bokstav
level,nivå
lie,lie
life,liv
lift,lift
light,ljus
like,liknande
line,linje
liquid,vätska
list,lista
listen,lyssna
little,liten
live,lever
locate,lokalisera
log,logga
lone,ensam
long,lång
look,ser
lost,förlorat
lot,mycket
loud,högt
love,kärlek
low,låg
machine,maskin
made,gjort
magnet,magnet
main,huvud
major,större
make,göra
man,människa
many,många
map,karta
mark,märke
market,marknad
mass,massa
master,mästare
match,matchen
material,materialet
matter,materia
may,får
me,mig
mean,betyda
meant,innebar
measure,mäta
meat,kött
meet,möts
melody,melodi
men,män
metal,metall
method,metod
middle,mitten
might,kanske
mile,mil
milk,mjölk
million,miljoner
mind,sinne
mine,gruva
minute,minut
miss,miss
mix,blanda
modern,moderna
molecule,molekyl
moment,ögonblick
money,pengar
month,månad
moon,månen
more,mer
morning,morgon
most,mest
mother,mor
motion,rörelse
mount,fäste
mountain,berg
mouth,mun
move,drag
much,mycket
multiply,multiplicera
music,musik
must,must
my,min
name,namn
nation,nation
natural,naturlig
nature,natur
near,nära
necessary,nödvändig
neck,hals
need,behöver
neighbor,granne
never,aldrig
new,ny
next,nästa
night,natt
nine,nio
no,nej
noise,buller
noon,middagstid
nor,eller
north,norr
nose,näsa
note,anteckning
nothing,ingenting
notice,meddelande
noun,subst
now,nu
number,antal
numeral,siffran
object,objektet
observe,observera
occur,inträffa
ocean,ocean
of,av
off,off
offer,erbjudandet
office,kontor
often,ofta
oh,ack
oil,olja
old,gammal
on,på
once,en gång
one,ett
only,endast
open,öppen
operate,fungera
opposite,motsatt
or,eller
order,för
organ,organ
original,original
other,andra
our,vår
out,ut
over,över
own,egen
oxygen,syre
page,sida
paint,måla
pair,par
paper,papper
paragraph,punkt
parent,förälder
part,delen
particular,särskilt
party,parti
pass,passera
past,förbi
path,bana
pattern,mönster
pay,betala
people,människor
perhaps,kanske
period,period
person,personen
phrase,fras
pick,plocka
picture,bilden
piece,stycke
pitch,tonhöjd
place,plats
plain,vanlig
plan,planen
plane,plan
planet,planet
plant,växt
play,spela
please,vänligen
plural,plural
poem,dikt
point,punkt
poor,dålig
populate,befolka
port,port
pose,pose
position,ställning
possible,möjlig
post,inlägg
pound,pund
power,kraft
practice,praktiken
prepare,förbereda
present,föreliggande
press,tryck
pretty,ganska
print,tryck
probable,trolig
problem,problemet
process,processen
produce,producera
product,produkt
proper,ordentlig
property,egenskap
protect,skydda
prove,bevisa
provide,tillhandahålla
pull,dra
push,tryck
put,sätta
quart,quart
question,fråga
quick,sammanfattning
quiet,ro
quite,ganska
quotient,kvoten
race,ras
radio,radio
rail,skena
rain,regn
raise,höja
ran,ran
range,intervall
rather,snarare
reach,nå
read,läsa
ready,klar
real,verklig
reason,anledningen
receive,motta
record,register
red,röd
region,region
remember,minnas
repeat,upprepning
reply,svara
represent,representerar
require,kräva
rest,resten
result,resultat
rich,rik
ride,ritt
right,höger
ring,ring
rise,stiga
river,flod
road,väg
rock,vagga
roll,rulle
room,rum
root,rot
rope,rep
rose,ros
round,rund
row,rad
rub,gnida
rule,regel
run,köra
safe,säker
said,sa
sail,segel
salt,salt
same,samma
sand,sand
sat,satellit
save,spara
saw,sågen
say,säga
scale,skala
school,skola
science,vetenskap
score,poäng
sea,hav
search,sök
season,säsong
seat,säte
second,andra
section,sektion
see,se
seed,frö
seem,tyckas
segment,segment
select,välj
self,själv
sell,sälja
send,skicka
sense,känsla
sent,skickat
sentence,meningen
separate,separat
serve,tjäna
set,uppsättning
settle,sedimentera
seven,sju
several,flera
shall,skall
shape,form
share,andel
sharp,skarp
she,hon
sheet,ark
shell,skal
shine,glans
ship,skepp
shoe,sko
shop,butik
shore,stranden
short,kort
should,bör
shout,rop
show,visar
side,sida
sight,syn
sign,tecken
silent,tyst
silver,silver
similar,liknande
simple,enkel
since,sedan
sing,sjunger
single,singel
sister,syster
sit,sitta
six,sex
size,storlek
skill,förmåga
skin,hud
sky,himmelsblå
slave,slav
sleep,sömn
slip,halka
slow,långsam
small,liten
smell,lukt
smile,le
snow,snö
so,så
soft,mjuk
soil,jord
soldier,soldat
solution,lösning
solve,lösa
some,några
son,son
song,sång
soon,snart
sound,sund
south,söder
space,space
speak,tala
special,speciell
speech,tal
speed,hastighet
spell,stava
spend,spendera
spoke,talade
spot,fläck
spread,spridning
spring,fjäder
square,kvadrat
stand,stå
star,stjärna
start,start
state,tillstånd
station,station
stay,bo
stead,stead
steam,ånga
steel,stål
step,steg
stick,pinne
still,fortfarande
stone,sten
stood,stod
stop,stoppa
store,lagra
story,berättelse
straight,rak
strange,främmande
stream,ström
street,gata
stretch,sträcka
string,sträng
strong,stark
student,studenten
study,studie
subject,ämne
substance,substans
subtract,subtrahera
success,framgång
such,sådan
sudden,plötslig
suffix,suffixet
sugar,socker
suggest,föreslår
suit,kostym
summer,sommar
sun,sol
supply,försörjning
support,stöd
sure,säker
surface,yta
surprise,överraskning
swim,simma
syllable,stavelse
symbol,symbol
system,systemet
table,tabell
tail,svans
take,ta
talk,diskussion
tall,tall
teach,undervisa
team,lag
teeth,tänder
tell,berätta
temperature,temperatur
ten,tio
term,term
test,testet
than,än
thank,tack
that,att
the,den
their,deras
them,dem
there,där
these,dessa
they,de
thick,tjock
thin,tunn
thing,sak
think,tro
third,tredje
this,detta
those,de som
though,though
thought,trodde
thousand,tusen
three,tre
through,genom
throw,kasta
thus,sålunda
tie,slips
time,tid
tiny,liten
tire,däcket
to,till
together,tillsammans
told,sa
tone,ton
too,alltför
took,tog
tool,verktyg
top,topp
total,totalt
touch,rör
toward,mot
town,stad
track,spår
trade,handel
train,tåg
travel,resor
tree,träd
triangle,triangel
trip,resa
trouble,besvär
truck,lastbil
true,sant
try,försök
tube,röret
turn,tur
twenty,tjugo
two,två
type,typ
under,enligt
unit,enhet
until,tills
up,upp
us,oss
use,använda
usual,vanligt
valley,dal
value,värde
vary,varierar
verb,verb
very,mycket
view,vy
village,by
visit,besök
voice,röst
vowel,vokal
wait,vänta
walk,gå
wall,vägg
want,vill
war,krig
warm,varm
was,var
wash,tvätt
watch,klocka
water,vatten
wave,våg
way,sätt
we,vi
wear,slitage
weather,väder
week,vecka
weight,vikt
well,väl
went,gick
were,var
west,väster
what,vad
wheel,hjul
when,när
where,där
whether,huruvida
which,vilken
while,medan
white,vit
who,som
whole,hela
whose,vars
why,varför
wide,bred
wife,fru
wild,vild
will,kommer
win,win
wind,vind
window,fönster
wing,vinge
winter,vinter
wire,tråd
wish,vill
with,med
woman,kvinna
women,kvinnor
wonder,undra
won’t,kommer inte
wood,trä
word,ord
work,arbete
world,världen
would,skulle
write,skriva
written,skriven
wrong,fel
wrote,skrev
yard,gård
year,år
yellow,gul
yes,ja
yet,ännu
you,du
young,ung
your,din
