english,latvian
feed,barības
feel,justies
feet,kājām
fell,samazinājās
felt,jutās
few,maz
field,lauka
fig,fig
fight,cīņa
figure,skaitlis
fill,aizpildīt
final,galīgs
find,atrast
fine,fine
finger,pirksts
finish,apdare
fire,ugunsgrēks
first,pirmais
fish,zivis
fit,piemērots
five,pieci
flat,flat
floor,stāvs
flow,plūsmas
flower,zieds
fly,lidot
follow,sekot
food,pārtika
foot,kāju
for,par
force,spēks
forest,mežs
form,forma
forward,uz priekšu
found,dibināt
four,četri
fraction,daļa
free,bezmaksas
fresh,svaigs
friend,draugs
from,no
front,priekšējais
fruit,augļi
full,pilns
fun,jautrība
game,spēle
garden,dārzs
gas,gāze
gather,savākt
gave,deva
general,vispārējs
gentle,maigs
get,nokļūt
girl,meitene
give,dot
glad,priecīgs
glass,stikls
go,iet
gold,zelta
gone,aizgājuši
good,labs
got,got
govern,valdīt
grand,lielā
grass,zāle
gray,pelēks
great,liels
green,zaļa
grew,pieauga
ground,zemes
group,grupa
grow,augt
guess,uzminēt
guide,virzīt
gun,lielgabals
had,bija
hair,mati
half,puse
hand,roku
happen,notikt
happy,laimīgs
hard,grūti
has,ir
hat,cepure
have,ir
he,viņš
head,vadītājs
hear,dzirdēt
heard,dzirdējis
heart,sirds
heat,siltums
heavy,smags
held,ko
help,palīdzēt
her,viņai
here,šeit
high,augsta
hill,kalns
him,viņam
his,viņa
history,vēsture
hit,hit
hold,turēt
hole,caurums
home,mājas
hope,cerība
horse,zirgs
hot,karsts
hour,stunda
house,māja
how,cik
huge,milzīgs
human,cilvēku
hundred,simti
hunt,medības
hurry,steigā
i,es
ice,ledus
idea,ideja
if,ja
imagine,iedomāties
in,in
inch,inch
include,ietvert
indicate,norādīt
industry,nozare
insect,kukainis
instant,tūlītējs
instrument,instrumentam
interest,procenti
invent,izgudrot
iron,dzelzs
is,ir
island,sala
it,tā
job,darbs
join,pievienoties
joy,prieks
jump,lēkt
just,tikai
keep,glabāt
kept,tur
key,taustiņš
kill,nogalināt
kind,veids
king,karalis
knew,zināja
know,zināt
lady,dāma
lake,ezers
land,zeme
language,valoda
large,liels
last,pagājušajā
late,vēlu
laugh,smieties
law,likums
lay,gulēja
lead,vadīt
learn,mācīties
least,vismaz
leave,atstāt
led,vadīja
left,kreisi
leg,kāja
length,garums
less,mazāk
let,ļaujiet
letter,vēstule
level,līmenis
lie,meli
life,dzīve
lift,pacēlājs
light,gaisma
like,"piemēram,"
line,līnija
liquid,šķidrums
list,saraksts
listen,klausīties
little,maz
live,dzīvot
locate,atrodiet
log,log
lone,vientuļš
long,garš
look,meklēt
lost,zaudējis
lot,daudz
loud,skaļi
love,mīlestība
low,zems
machine,mašīna
made,veikts
magnet,magnēts
main,galvenais
major,galvenais
make,padarīt
man,vīrietis
many,daudz
map,karte
mark,zīme
market,tirgus
mass,masa
master,master
match,mačs
material,materiāls
matter,jautājums
may,var
me,mani
mean,nozīmēt
meant,nozīmēja
measure,izmērīt
meat,gaļa
meet,apmierināt
melody,melodija
men,cilvēki
metal,metāla
method,metode
middle,vidus
might,varētu
mile,jūdze
milk,piens
million,miljons
mind,prāts
mine,raktuve
minute,minūte
miss,miss
mix,samaisa
modern,mūsdienu
molecule,molekula
moment,brīdis
money,nauda
month,mēnesis
moon,pavadonis
more,vairāk
morning,rīts
most,visvairāk
mother,māte
motion,kustības
mount,kalns
mountain,kalns
mouth,mute
move,pārvietot
much,daudz
multiply,reizināt
music,mūzika
must,nepieciešams
my,mans
name,nosaukums
nation,tauta
natural,dabisks
nature,daba
near,netālu
necessary,nepieciešams
neck,kakls
need,vajadzība
neighbor,kaimiņš
never,nekad
new,jaunā
next,nākamais
night,nakts
nine,deviņi
no,nē
noise,troksnis
noon,pusdienlaiks
nor,nedz
north,ziemeļiem
nose,deguns
note,piezīme
nothing,nekas
notice,paziņojums
noun,lietvārds
now,tagad
number,numurs
numeral,cipars
object,objekts
observe,novērot
occur,notikt
ocean,ocean
of,no
off,no
offer,piedāvājums
office,birojs
often,bieži
oh,oh
oil,eļļa
old,vecs
on,gada
once,reizi
one,viens
only,tikai
open,atvērts
operate,darboties
opposite,pretī
or,vai
order,rīkojums
organ,ērģeles
original,oriģināls
other,citi
our,mūsu
out,ārā
over,vairāk
own,paša
oxygen,skābeklis
page,lapa
paint,gleznot
pair,pāris
paper,papīrs
paragraph,daļa
parent,vecāks
part,daļa
particular,īpaši
party,puse
pass,caurlaide
past,pagātne
path,ceļš
pattern,raksts
pay,samaksāt
people,cilvēki
perhaps,varbūt
period,periods
person,persona
phrase,frāze
pick,pick
picture,attēlu
piece,gabals
pitch,piķis
place,vieta
plain,vienkāršs
plan,plāns
plane,plakne
planet,planēta
plant,augs
play,play
please,lūdzu
plural,daudzskaitlis
poem,dzejolis
point,punkts
poor,slikts
populate,apdzīvot
port,port
pose,uzdot
position,pozīciju
possible,iespējams
post,pasta
pound,mārciņa
power,jauda
practice,prakse
prepare,sagatavoties
present,dāvana
press,nospiediet
pretty,diezgan
print,print
probable,iespējams
problem,problēma
process,process
produce,ražot
product,produkts
proper,pienācīgs
property,īpašums
protect,aizsargāt
prove,izrādīties
provide,nodrošināt
pull,vilkt
push,stumtu
put,likts
quart,cet
question,jautājums
quick,ātri
quiet,kluss
quite,diezgan
quotient,koeficients
race,skrējiens
radio,radiofrekvenču
rail,dzelzceļš
rain,lietus
raise,paaugstināt
ran,skrēja
range,diapazons
rather,drīzāk
reach,sasniegt
read,lasīt
ready,gatavs
real,real
reason,iemesls
receive,saņem
record,ieraksts
red,sarkans
region,rajons
remember,atcerēties
repeat,atkārtot
reply,atbildēt
represent,pārstāvēt
require,pieprasīt
rest,atpūta
result,rezultāts
rich,bagāts
ride,ride
right,tiesības
ring,gredzens
rise,pieaugt
river,river
road,ceļš
rock,klinšu
roll,rullis
room,telpa
root,sakne
rope,virve
rose,roze
round,kārta
row,rinda
rub,berzēt
rule,noteikums
run,palaist
safe,drošs
said,teica
sail,bura
salt,sāls
same,tas pats
sand,smiltis
sat,sat
save,glābt
saw,zāģis
say,teikt
scale,skala
school,skola
science,zinātne
score,punktu skaits
sea,jūra
search,meklēšana
season,sezona
seat,sēdeklis
second,otrais
section,sadaļa
see,sk
seed,sēkla
seem,likties
segment,segments
select,izvēlieties
self,pats
sell,pārdot
send,sūtīt
sense,saprāts
sent,nosūtīts
sentence,teikums
separate,atsevišķs
serve,kalpot
set,komplekts
settle,nokārtot
seven,septiņi
several,vairāki
shall,veic
shape,forma
share,daļa
sharp,ass
she,viņa
sheet,lapa
shell,apvalks
shine,spīdēt
ship,kuģis
shoe,apavu
shop,veikals
shore,krasts
short,īss
should,vajadzētu
shoulder,plecu
shout,kliegt
show,izstāde
side,side
sight,skats
sign,zīme
silent,kluss
silver,sudrabs
similar,līdzīga
simple,vienkāršs
since,kopš
sing,dziedāt
single,vienotā
sister,māsa
sit,sēdēt
six,seši
size,izmērs
skill,prasme
skin,āda
sky,debesis
slave,vergu
sleep,miegs
slip,buksēšana
slow,lēni
small,mazs
smell,smarža
smile,smaids
snow,sniegs
so,tā
soft,mīksts
soil,augsne
soldier,karavīrs
solution,risinājums
solve,atrisināt
some,daži
son,dēls
song,dziesma
soon,drīz
sound,skaņu
south,dienvidu
space,telpa
speak,runāt
special,īpašs
speech,runas
speed,ātrums
spell,pareizrakstības
spend,tērēt
spoke,runāja
spot,vieta
spread,izplatība
spring,pavasaris
square,kvadrātveida
stand,stāvēt
star,zvaigzne
start,sākums
state,valsts
station,stacija
stay,uzturēties
stead,baudiet
steam,tvaiks
steel,tērauds
step,solis
stick,nūja
still,vēl
stone,akmens
stood,stāvēja
stop,apstāties
store,veikals
story,stāsts
straight,taisni
strange,dīvains
stream,straume
street,iela
stretch,stiept
string,rinda
strong,spēcīga
student,students
study,pētījums
subject,pakļauts
substance,viela
subtract,atņemt
success,veiksme
such,piemēram
sudden,pēkšņs
suffix,piedēklis
sugar,cukurs
suggest,iesaku
suit,uzvalks
summer,vasara
sun,saule
supply,piegāde
support,atbalsts
sure,pārliecināts
surface,virsma
surprise,pārsteigums
swim,peldēt
syllable,zilbe
symbol,simbols
system,sistēma
table,tabula
tail,aste
take,ņemt
talk,diskusija
tall,augsts
teach,mācīt
team,komanda
teeth,zobi
tell,pateikt
temperature,temperatūras
ten,desmit
term,termins
test,testa
than,nekā
thank,paldies
that,ka
the,siltums
their,viņu
them,viņiem
then,pēc tam
there,tur
these,šie
they,viņi
thick,biezs
thin,plānas
thing,lieta
think,domā
third,trešais
this,šī
those,tās
though,tomēr
thought,doma
thousand,tūkstotis
three,trīs
through,cauri
throw,mest
thus,tādējādi
tie,kaklasaite
time,laiks
tiny,niecīgs
tire,riepa
to,līdz
together,kopā
told,pastāstīja
tone,tonis
too,pārāk
took,paņēma
tool,rīks
top,tops
total,kopējais
touch,pieskarieties
toward,virzienā
town,pilsēta
track,track
trade,tirdzniecība
train,vilciens
travel,ceļot
tree,koks
triangle,trīsstūris
trip,brauciens
trouble,nepatikšanas
truck,truck
true,patiess
try,mēģināt
tube,caurule
turn,kārta
twenty,divdesmit
two,divi
type,tips
under,saskaņā ar
unit,vienība
until,līdz
up,augšup
us,us
use,izmantot
usual,ierasts
valley,ieleja
value,vērtība
vary,mainīties
verb,darbības vārds
very,ļoti
view,skats
village,ciems
visit,apmeklējums
voice,balss
vowel,patskaņu
wait,pagaidiet
walk,staigāt
wall,siena
want,gribu
war,karš
warm,silts
was,bija
wash,mazgāšana
watch,skatīties
water,ūdens
wave,vilnis
way,veids
we,mēs
wear,valkāt
weather,laika
week,nedēļa
weight,svars
well,labi
went,aizgāja
were,bija
west,rietumu
what,ko
wheel,ritenis
when,kad
where,kur
whether,vai
which,kas
while,kamēr
white,balts
who,kurš
whole,viss
whose,kuru
why,kāpēc
wide,plašs
wife,sieva
wild,savvaļā
will,griba
win,win
wind,vējš
window,logu
wing,spārnu
winter,ziema
wire,stieple
wish,vēlēties
with,ar
woman,sieviete
women,sievietes
wonder,brīnums
won’t,nebūs
wood,koks
word,vārds
work,darbs
world,pasaule
would,būtu
write,rakstīt
written,rakstisks
wrong,nepareizs
wrote,rakstīja
yard,yard
year,gads
yellow,dzeltena
yes,jā
yet,vēl
you,jums
young,jauniešiem
your,jūsu
