english,javanese
describe,njlèntrèhaké
desert,ara-ara samun
design,desain
determine,nemtokake
develop,berkembang
dictionary,kamus
did,iya
die,mati
differ,beda-beda
difficult,angel
direct,langsung
discuss,ngrembag
distant,adoh
divide,dibagi
division,divisi
do,apa
doctor,dhokter
does,ora
dog,asu
dollar,dollar
done,wis
don’t,ora
door,lawang
double,pindho
down,mudhun
draw,tarik
dream,ngimpi
dress,sugih
drink,ngombe
drive,drive
drop,nyelehake
dry,garing
duck,bebek
during,sak
each,saben
ear,kuping
early,awal
earth,bumi
ease,ease
east,wétan
eat,mangan
edge,pinggiran
effect,efek
egg,endhog
eight,wolung
either,salah siji
electric,elektrik
element,unsur
else,liya
end,mburi
enemy,mungsuh
energy,energi
engine,engine
enough,cukup
enter,ketik
equal,witjaksono
equate,equate
especially,utamané
even,malah
evening,sore
event,acara
ever,tau
every,saben
exact,pas
example,tuladha
except,kajaba
excite,nyenengake
exercise,ngleksanani
expect,nyana
experience,pengalaman
experiment,eksprimen
eye,mripat
face,pasuryan
fact,kasunyatan
fair,padha
fall,tiba
family,kulawarga
famous,misuwur
far,adoh
farm,farm
fast,cepet
fat,lemak
father,rama
favor,sih
fear,wedi
feed,feed
feel,aran
feet,kaki
fell,ambruk
felt,felt
few,sawetara
field,lapangan
fig,anjir
fight,perang
figure,tokoh
fill,isi
final,pungkasan
find,nemokake
fine,nggoleki
finger,driji
finish,rampung
fire,geni
first,pisanan
fish,iwak
fit,pas
five,limang
flat,flat
floor,lantai
flow,mili
flower,kembang
fly,fly
follow,tindakake
food,pangan
foot,mlaku
for,kanggo
force,pasukan
forest,alas
form,wangun
forward,maju
found,ketemu
four,papat
fraction,sekedhik
free,free
fresh,seger
friend,kanca
from,saka
front,ngarep
fruit,woh
full,lengkap
fun,fun
game,permainan
garden,taman
gas,gas
gather,klumpukne
gave,marang
general,umum
gentle,lanang
get,njaluk
girl,prawan
give,menehi
glad,bungah
glass,kaca
go,pindhah
gold,emas
gone,ical
good,apik
got,tak
govern,mrentah
grand,grand
grass,suket
gray,werna abu-abu
great,gedhe
green,ijo
grew,tansaya
ground,lemah
group,klompok
grow,tuwuh
guess,guess
guide,pandhuan
gun,gun
had,wis
hair,rambute
half,setengah
hand,tangan
happen,kelakon
happy,seneng
hard,hard
has,wis
hat,kupluk
have,duwe
he,piyambakipun
head,sirah
hear,krungu
heard,krungu
heart,jantung
heat,panas
heavy,heavy
held,ngawontenaken
help,bantuan
her,dheweke
here,kene
high,dhuwur
hill,gunung
him,wong
his,kang
history,sajarah
hit,mejet
hold,terus
hole,bolongan
home,ngarep
hope,mugi
horse,jaran
hot,panas
hour,jam
house,house
how,carane
huge,ageng
human,manungsa
hundred,atus
hunt,goleki
hurry,cepet-cepet
i,aku
ice,ès
idea,idea
if,yen
imagine,mbayangno
in,ing
inch,inch
include,kalebu
indicate,nunjukaké
industry,industri
insect,serangga
instant,cepet
instrument,instrument
interest,kapentingan
invent,makna
iron,wesi
is,punika
island,pulo
it,iku
job,proyek
join,nggabungake
joy,bungah
jump,mlumpat
just,mung
keep,tetep
kept,katahan
key,tombol
kill,matèni
kind,jenis
king,king
knew,sumurup
know,ngerti
lady,lady
lake,lake
land,tanah
language,basa
large,gedhe
last,pungkasan
late,pungkasan
laugh,ngguyu
law,hukum
lay,lay
lead,mimpin
learn,sinau
least,paling
leave,ninggalake
led,mimpin
left,ngiwa
leg,wentis
length,dawa
less,kurang
let,supaya
letter,huruf
level,tingkat
lie,ngapusi
life,urip
lift,angkat
light,cahya
like,kaya
line,baris
liquid,cairan
list,dhaftar
listen,ngrungokake
little,sethitik
live,manggon
locate,nemokake
log,log
lone,lone
long,dawa
look,katon
lost,ilang
lot,kathah
loud,sora
love,tresna
low,kurang
machine,machine
made,digawe
magnet,magnet
main,utama
major,utama
make,nggawe
man,wong
many,akeh
map,peta
mark,tandha
market,pasar
mass,massa
master,master
match,match
material,materi
matter,prakara
may,bisa
me,kula
mean,tegese
meant,temenan
measure,ngukur
meat,meat
meet,ketemu
melody,melodi
men,wong
metal,logam
method,cara
middle,tengah
might,bisa uga
mile,mil
milk,susu
million,yuta
mind,atine
mine,mine
minute,menit
miss,miss
mix,nyampur
modern,modern
molecule,molekul
moment,wayahe
money,dhuwit
month,sasi
moon,rembulan
more,liyane
morning,esuk
most,paling
mother,ibune
motion,gerakan
mount,gunung
mountain,gunung
mouth,tutuk
move,pamindhahan
much,akeh
multiply,multiply
music,music
must,kudu
my,sandi
name,jeneng
nation,bangsa
natural,alam
nature,alam
near,cedhak
necessary,perlu
neck,gulu
need,kudu
neighbor,pepadhamu
never,tau
new,anyar
next,sabanjure
night,wengi
nine,sangang
no,ora
noise,gangguan
noon,noon
nor,utawa
north,lor
nose,irung
note,cathetan
nothing,boten
notice,kabar
noun,tembung
now,saiki
number,nomer
numeral,angka
object,obyek
observe,mirsani
occur,kedaden
ocean,segara
of,saka
off,mati
offer,nawarake
office,kantor
often,asring
oh,oh
oil,lenga
old,lawas
on,ing
once,sapisan
one,siji
only,mung
open,mbukak
operate,operate
opposite,ngelawan
or,utawa
order,supaya
organ,organ
original,asli
other,liyane
our,kita
out,metu
over,liwat
own,dhewe
oxygen,oksigen
page,kaca
paint,paint
pair,pasangan
paper,kertas
paragraph,paragraf
parent,tiyang sepah
part,part
particular,tartamtu
party,katelu
pass,pass
past,kepungkur
path,path
pattern,pola
pay,mbayar
people,wong
perhaps,mbok menawa
period,periode
person,wong
phrase,tembung
pick,pick
picture,gambar
piece,piece
pitch,jarak
place,panggonan
plain,kosong
plan,rencana
plane,bidang
planet,planet
plant,tanduran
play,muter
please,please
plural,jamak
poem,geguritan
point,titik
poor,miskin
populate,populate
port,port
pose,nuduhke
position,posisi
possible,bisa
post,post
pound,pound
power,daya
practice,laku
prepare,nyiapake
present,saiki
press,penet
pretty,cantik
print,print
probable,kemungkinan
problem,masalah
process,proses
produce,gawé
product,produk
proper,suwene
property,property
protect,nglindhungi
prove,mbuktekaken
provide,nyedhiyani
pull,narik
push,push
put,sijine
quart,quart
question,pitakonan
quick,cepet
quiet,sepi
quite,cukup
quotient,quotient
race,lomba
radio,radio
rail,ril
rain,udan
raise,mundhakaken
ran,mlayu
range,sawetara
rather,mandan
reach,tekan
read,maca
ready,siap
real,nyata
reason,alesan
receive,nampa
record,rekaman
red,abang
region,wilayah
remember,elinga
repeat,baleni
reply,reply
represent,makili
require,mbutuhake
rest,liyane
result,asil
rich,sugih
ride,kulo
right,tengen
ring,ring
rise,munggah
river,kali
road,dalan
rock,watu
roll,muter
room,kamar
root,oyod
rope,tali
rose,wungu
round,babak
row,saurutan
rub,samubarang kang angel
rule,aturan
run,roto
safe,aman
said,ngandika
sail,sail
salt,uyah
same,padha
sand,wedhi
sat,agangan
save,nyimpen
saw,saw
say,ngomong
scale,ukuran
school,sekolah
science,ilmu
score,skor
sea,segara
search,search
season,mangsa
seat,jog
second,kapindho
section,bagean
see,ndeleng
seed,winih
seem,koyone
segment,babagan
select,pilih
self,poto
sell,ngedol
send,ngirim
sense,raos
sent,dikirim
sentence,ukara
separate,kapisah
serve,ngawula
set,pesawat
settle,dumunung
seven,pitung
several,sawetara
shall,badhe
shape,wangun
share,nuduhake
sharp,cetha
she,dheweke
sheet,sheet
shell,nihan
shine,jenenge sing kawentar
ship,kapal
shoe,spatu
shop,toko
shore,shore
short,short
should,ngirim
shoulder,pundhak
shout,bengok
show,gambar
side,sisih
sight,ngarsane
sign,tandha
silent,bisu
silver,salaka
similar,padha
simple,prasaja
since,wiwit
sing,sing
single,single
sister,adhine
sit,njagong
six,enem
size,ukuran
skill,skill sing
skin,kulit
sky,langit
slave,budhak
sleep,turu
slip,mlebukake
slow,alon
small,cilik
smell,mambu
smile,eseman
snow,salju
so,supaya
soft,alus
soil,lemah
soldier,prajurit
solution,solusi
solve,ngatasi
some,sawetara
son,son
song,song
soon,rauh
sound,muni
south,kidul
space,papan
speak,nganggo
special,khusus
speech,wicara
speed,kacepetan
spell,nulis
spend,nglampahi
spoke,ngandika
spot,titik
spread,panyebaran
spring,spring
square,kothak
stand,ngadeg
star,lintang
start,wiwitan
state,negara
station,stasiun
stay,tetep
stead,nggentosi
steam,uap
steel,baja
step,langkah
stick,kelet
still,isih
stone,watu
stood,jumeneng
stop,mungkasi
store,nyimpen
story,crita
straight,sakcara
strange,aneh
stream,stream
street,werna
stretch,babagan
string,senar
strong,kuwat
student,mahasiswa
study,sinau
subject,subyek
substance,inti
subtract,nyuda
success,sukses
such,kayata
sudden,dadakan
suffix,seselan
sugar,gula
suggest,suggest
suit,miturut
summer,panas
sun,srengenge
supply,sumber
support,support
sure,manawa
surface,lumahing
surprise,surprise
swim,nglangi
syllable,syllable
symbol,simbol
system,sistem
table,tabel
tail,buntut
take,njupuk
talk,dhiskusi
tall,dhuwur
teach,mulang
team,tim
teeth,untu
tell,ngomong
temperature,suhu
ten,sepuluh
term,term
test,test
than,saka
thank,thank
that,sing
the,ing
their,sing
them,wong
then,banjur
there,ana
these,iki
they,padha
thick,nglukis
thin,lancip
thing,bab
think,mikir
third,katelu
this,iki
those,sing
though,sanadyan
thought,panginten
thousand,ewu
three,telung
through,liwat
throw,uncalan
thus,mangkono
tie,dasi
time,wektu
tiny,cilik
tire,ban
to,kanggo
together,bebarengan
told,marang
tone,nada
too,banget
took,njupuk
tool,alat
top,ndhuwur
total,gunggung
touch,demek
toward,menyang
town,kutha
track,trek
trade,perdagangan
train,sepur
travel,travel
tree,wit
triangle,triangle
trip,trip
trouble,alangan
truck,truk
true,bener
try,nyoba
tube,tabung
turn,siji
twenty,puluh
two,loro
type,tipe
under,ing
unit,unit
until,nganti
up,munggah
us,kita
use,nggunakake
usual,biasanipun
valley,lembah
value,nilai
vary,beda-beda
verb,kriyo
very,banget
view,tampilan
village,desa
visit,riko
voice,swara
vowel,aksara
wait,ngenteni
walk,lumaku
wall,tembok
want,pengin
war,perang
warm,anget
was,ana
wash,wisuh
watch,nonton
water,banyu
wave,gelombang
way,cara
we,kita
wear,nyandhang
weather,cuaca
week,minggu
weight,bobot
well,uga
went,tindak
were,padha
west,kulon
what,apa
wheel,setir
when,nalika
where,ngendi
whether,apa
which,kang
while,nalika
white,putih
who,sing
whole,kabèh
whose,kang
why,kok
wide,sudhut
wife,bojo
wild,alam bébas
will,bakal
win,menang
wind,angin
window,jendhela
wing,swiwi
winter,mangsa
wire,kabel
wish,pengin
with,karo
woman,wadon
women,wanita
wonder,wonder
won’t,bakal ora
wood,kayu
word,tembung
work,karya
world,donya
would,ngatur
write,nulis
written,ditulis
wrong,salah
wrote,wrote
yard,yard
year,taun
yellow,kuning
yes,ya
yet,durung
you,sampeyan
young,enom
your,panjenengan
