english,czech
crowd,dav
cry,křik
current,proud
cut,řez
dad,táta
dance,tanec
danger,nebezpečí
dark,tmavá
day,den
dead,mrtvý
deal,dohoda
dear,drahá
death,smrt
decide,rozhodnout
decimal,desetinná
deep,hluboké
degree,stupeň
depend,záviset
describe,popsat
desert,poušť
design,design
determine,určit
develop,rozvíjet
dictionary,slovník
did,ano
die,zemřít
differ,lišit se
difficult,obtížný
direct,přímé
discuss,diskutovat
distant,vzdálené
divide,rozdělit
division,divize
do,dělat
doctor,lékař
does,dělá
dog,pes
dollar,dolarových
done,done
don’t,ne
door,dveře
double,dvojitý
down,dolů
draw,kreslit
dream,sen
dress,šaty
drink,nápoj
drive,pohon
drop,pokles
dry,suché
duck,kachna
during,během
each,každý
ear,ucho
early,brzy
earth,země
ease,snadnost
east,východ
eat,jíst
edge,hrana
effect,efekt
egg,vejce
eight,osm
either,buď
electric,elektrické
element,prvkem
else,jiný
end,konec
enemy,nepřítel
energy,energie
engine,motor
enough,dost
enter,vstoupit
equal,rovná
equate,rovnítko
especially,zejména
even,dokonce
evening,večer
event,událost
ever,kdy
every,každý
exact,přesný
example,příklad
except,mimo
excite,vzrušovat
exercise,cvičení
expect,očekávat
experience,zkušenost
experiment,experimentu
eye,oko
face,tvář
fact,skutečnost
fair,veletrh
fall,spadnout
family,rodina
famous,slavný
far,daleko
farm,farma
fast,rychle
fat,tuk
father,otec
favor,upřednostňují
fear,strach
feed,zdroj
feel,cítit
feet,nohy
fell,klesl
felt,cítil
few,málo
field,pole
fig,obr
fight,boj
figure,obrázek
fill,vyplnit
final,finále
find,najít
fine,v pořádku
finger,prst
finish,úprava
fire,oheň
first,první
fish,ryby
fit,fit
five,pět
flat,byt
floor,podlahy
flow,průtok
flower,květina
fly,podívejte se
follow,následovat
food,jídlo
foot,nohy
for,pro
force,síla
forest,les
form,forma
forward,vpřed
found,nalezeno
four,čtyři
fraction,část
free,zdarma
fresh,čerstvý
friend,přítel
from,od
front,přední
fruit,ovoce
full,plné
fun,zábava
game,hra
garden,zahrada
gas,plyn
gather,shromáždit
gave,dal
general,obecně
gentle,jemný
get,dostat
girl,dívka
give,dát
glad,rád
glass,sklo
go,jít
gold,zlato
gone,pryč
good,dobrý
got,dostal
govern,vládnout
grand,velký
grass,tráva
gray,šedá
great,velký
green,zelená
grew,rostl
ground,země
group,skupina
grow,růst
guess,hádat
guide,průvodce
gun,pistole
had,měl
hair,vlasy
half,polovina
hand,ruka
happen,stát se
happy,šťastný
hard,těžké
has,má
hat,klobouk
have,mají
he,se
head,hlava
hear,slyšet
heard,slyšet
heart,srdce
heat,teplo
heavy,těžký
held,ruční
help,pomoci
her,ní
here,zde
high,vysoký
hill,kopec
him,ho
his,jeho
history,historie
hit,zasažen
hold,držet
hole,hole
home,domácí
hope,"doufám, že"
horse,kůň
hot,horké
hot,horký
hour,hodina
house,dům
how,jak
huge,obrovský
human,člověk
hundred,sto
hunt,lov
hurry,spěchat
i,já
ice,led
idea,nápad
if,pokud
imagine,představte si
in,v
inch,palec
include,patří
indicate,označit
industry,průmysl
insect,hmyz
instant,instant
instrument,nástroj
interest,zájem
invent,vymyslet
iron,železo
is,je
island,ostrov
it,to
job,práce
join,připojit se
joy,radost
jump,skok
just,jen
keep,mít
kept,stále
key,klíč
kill,zabít
kind,druh
king,král
knew,"věděl,"
know,vědět
lady,dáma
lake,jezero
land,země
language,jazyk
large,velký
last,poslední
late,pozdě
laugh,smích
law,zákon
lay,položit
lead,vést
learn,učit se
least,nejméně
leave,odejít
led,vedl
left,vlevo
leg,noha
length,délka
less,méně
let,nechat
letter,dopis
level,úroveň
lie,lež
life,život
lift,výtah
light,světlo
like,jako
line,linka
liquid,kapalina
list,seznam
listen,poslouchat
little,málo
live,žít
locate,lokalizovat
log,přihlásit
lone,osamělý
long,dlouhý
look,hledat
lost,ztratil
lot,hodně
loud,hlasitý
love,láska
low,nízká
machine,stroj
made,z
magnet,magnet
main,hlavní
major,hlavní
make,provést
man,muž
many,mnoho
map,mapa
mark,značka
market,trh
mass,hmotnost
master,master
match,zápas
material,materiál
matter,záležitost
may,května
me,mě
mean,znamenat
meant,znamenalo
measure,opatření
meat,maso
meet,seznamte se
melody,melodie
men,muži
metal,kov
method,metoda
middle,střední
might,síla
mile,míle
milk,mléko
million,milionů
mind,mysl
mine,důl
minute,minuta
miss,slečna
mix,mix
modern,moderní
molecule,molekula
moment,chvíle
money,peníze
month,měsíc
moon,měsíc
more,více
morning,ráno
most,nejvíce
mother,matka
motion,pohyb
mount,držák
mountain,hora
mouth,v ústech
move,krok
much,hodně
multiply,násobit
music,music
must,musí
my,my
name,název
nation,národ
natural,přírodní
nature,příroda
near,poblíž
necessary,potřeby
neck,krk
need,potřebují
neighbor,soused
never,nikdy
new,nový
next,další
night,noc
nine,devět
no,ne
noise,hluk
noon,poledne
nor,ani
north,sever
nose,nos
note,poznámka
nothing,nic
notice,oznámení
noun,podstatné jméno
now,nyní
number,číslo
numeral,číslice
object,objekt
observe,pozorovat
occur,dojít
ocean,oceán
of,z
off,vypnutí
offer,nabídka
office,kancelář
often,často
oh,oh
oil,olej
old,starý
on,na
once,jednou
one,jeden
only,pouze
open,otevřeno
operate,provoz
opposite,proti
or,nebo
order,objednávka
organ,varhany
original,původní
other,další
our,naše
out,out
over,přes
own,vlastní
oxygen,kyslík
page,strana
paint,malovat
pair,pár
paper,papír
paragraph,bod
parent,rodič
part,část
particular,zejména
party,strana
pass,pas
past,kolem
path,cesta
pattern,vzor
pay,zaplatit
people,lidé
perhaps,možná
period,období
person,osoba
phrase,fráze
pick,vybrat
picture,obrázek
piece,kus
pitch,rozteč
place,místo
plain,prostý
plan,plán
plane,letadlo
planet,planeta
plant,rostlina
play,hrát
please,prosím
plural,množné
poem,báseň
point,bod
poor,špatná
populate,naplnit
port,přístav
pose,představovat
position,pozice
possible,možné
post,příspěvek
pound,libra
power,síla
practice,praxe
prepare,připravit
present,přítomen
press,stiskněte tlačítko
pretty,docela
print,vytisknout
probable,"pravděpodobné,"
problem,problém
process,proces
produce,vyrábět
product,produkt
proper,správné
property,nemovitosti
protect,chránit
prove,ukázat
provide,poskytovat
pull,vytáhněte
push,stisk
put,dát
quart,kvart
question,otázka
quick,rychlý
quiet,tichý
quite,docela
quotient,podíl
race,závod
radio,rádio
rail,zábradlí
rain,déšť
raise,zvýšit
ran,běžel
range,rozsah
rather,spíše
reach,dosáhnout
read,číst
ready,ready
real,skutečný
reason,důvod
receive,přijmout
record,záznam
red,červená
region,region
remember,pamatovat si
repeat,opakovat
reply,odpovědět
represent,představovat
require,vyžadují
rest,ostatní
result,výsledek
rich,bohatý
ride,jízda
right,právo
ring,kroužek
rise,stoupat
river,řeka
road,silnice
rock,skála
roll,role
room,pokoj
root,kořen
rope,lano
rose,růže
round,kolo
row,řádek
rub,rub
rule,pravidlo
run,běh
safe,bezpečné
said,řekl
sail,plachta
salt,sůl
same,stejný
sand,písek
sat,nasycený
save,uložit
saw,pila
say,říkají
scale,stupnice
school,škola
science,věda
score,skóre
sea,moře
search,hledání
season,sezóna
seat,sídlo
second,druhé
section,část
see,viz
seed,semínko
seem,připadat
segment,úsek
select,vyberte
self,já
sell,prodávat
send,odeslat
sense,smysl
sent,poslal
sentence,věta
separate,samostatná
serve,sloužit
set,set
settle,usadit
seven,sedm
several,více
shall,musí
shape,tvar
share,podíl
sharp,ostrý
she,ona
sheet,list
shell,skořepina
shine,lesk
ship,loď
shoe,bota
shop,obchod
shore,pobřeží
short,krátký
should,by
shoulder,rameno
shout,křičet
show,výstava
side,strana
sight,pohled
sign,znamení
silent,tichý
silver,stříbrná
similar,podobné
simple,jednoduché
since,od
sing,zpívat
single,jeden
sister,sestra
sit,sedět
six,šest
size,velikost
skill,dovednost
skin,kůže
sky,obloha
slave,otrok
sleep,spánek
slip,skluzu
slow,pomalý
small,malé
smell,vůně
smile,úsměv
snow,sníh
so,tak
soft,měkké
soil,půda
soldier,voják
solution,řešení
solve,řešit
some,některé
son,syn
song,píseň
soon,brzy
sound,zvuk
south,na jih
space,místo
speak,mluvit
special,speciální
speech,řeč
speed,rychlost
spell,kouzlo
spend,strávit
spoke,mluvil
spot,místo
spread,rozšíření
spring,na jaře
square,náměstí
stand,stát
star,hvězda
start,začátek
state,stát
station,stanice
stay,pobyt
stead,místo toho
steam,páry
steel,ocel
step,krok
stick,hůl
still,stále
stone,kámen
stood,stál
stop,stop
store,obchod
story,příběh
straight,rovný
strange,podivný
stream,potok
street,ulice
stretch,úsek
string,řetěz
strong,silný
student,studenta
study,studie
subject,předmět
substance,látka
subtract,odčítání
success,úspěch
such,jako
sudden,náhlé
suffix,přípona
sugar,cukr
suggest,"naznačují,"
suit,oblek
summer,léto
sun,slunce
supply,dodávka
support,podpora
sure,jistý
surface,povrch
surprise,překvapení
swim,plavání
syllable,slabika
symbol,symbol
system,systém
table,tabulka
tail,ocas
take,se
talk,diskuse
tall,vysoký
teach,učit
team,tým
teeth,zuby
tell,říct
temperature,teplota
ten,deset
term,pojem
test,zkouška
than,než
thank,děkuji
that,že
the,výše
their,jejich
them,je
then,pak
there,zde
these,tyto
they,se
thick,tlustý
thin,tenký
thing,věc
think,myslíte
third,třetí
this,tento
those,"ty,"
though,ačkoli
thought,myšlenka
thousand,tisíc
three,tři
through,přes
throw,hodit
thus,tedy
tie,kravata
time,čas
tiny,maličký
tire,pneumatiky
to,na
together,spolu
told,řekl
tone,tón
too,příliš
took,trvalo
tool,nástroj
top,horní
total,celkem
touch,touch
toward,k
town,město
track,dráha
trade,obchod
train,vlak
travel,cestování
tree,strom
triangle,trojúhelník
trip,výlet
trouble,problémy
truck,truck
true,skutečný
try,zkuste
tube,trubka
turn,turn
twenty,dvacet
two,dva
type,typ
under,pod
unit,jednotka
until,do
up,up
us,nám
use,použití
usual,obvykle
valley,údolí
value,hodnota
vary,se liší
verb,sloveso
very,velmi
view,pohled
village,obec
visit,návštěva
voice,hlas
vowel,samohláska
wait,počkejte
walk,chodit
wall,zeď
want,chtít
war,válka
warm,teplý
was,byl
wash,mytí
watch,hodinky
water,voda
wave,vlna
way,cesta
we,my
wear,opotřebení
weather,počasí
week,týden
weight,hmotnost
well,dobře
went,šel
were,byly
west,západ
what,co
wheel,kola
when,kdy
where,kde
whether,zda
which,které
while,zatímco
white,bílá
who,kdo
whole,celý
whose,jehož
why,proč
wide,široký
wife,manželka
wild,divoký
will,bude
win,vítězství
wind,vítr
window,okno
wing,křídlo
winter,zimní
wire,drát
wish,přání
with,s
woman,žena
women,ženy
wonder,"zajímalo by mě,"
won’t,nebude
wood,dřevo
word,slovo
work,práce
world,svět
would,by
write,napsat
written,písemná
wrong,špatně
wrote,napsal
yard,dvůr
year,rok
yellow,žlutý
yes,ano
yet,ještě
you,jste
young,mladý
your,vaše
