english,catalan
he,ell
head,cap
hear,escoltar
heard,sentit
heart,cor
heat,calor
heavy,pesada
held,held
help,ajudar
her,seva
here,aquí
high,alta
hill,turó
him,ell
his,seva
history,història
hit,colpejar
hold,mantenir
hole,forat
home,casa
hope,espere
horse,cavall
hot,calenta
hour,hores
house,casa
how,com
huge,enorme
human,humà
hundred,cent
hunt,caça
hurry,pressa
i,i
ice,gel
idea,idea
if,si
imagine,imaginar
in,en
inch,polzades
include,incloure
indicate,indicar
industry,indústria
insect,insectes
instant,instantània
instrument,instrument
interest,interès
invent,inventar
iron,ferro
is,és
island,illa
it,el
job,treball
join,unir-se
joy,alegria
jump,saltar
just,només
keep,mantenir
kept,guardat
key,clau
kill,matar
kind,tipus
king,rei
knew,sabia
know,saber
lady,dama
lake,llac
land,terra
language,idioma
large,gran
last,última
late,tarda
laugh,riure
law,llei
lay,establir
lead,conduir
learn,aprendre
least,menys
leave,deixar
led,led
left,esquerra
leg,cama
length,longitud
less,menys
let,deixar que
letter,carta
level,nivell
lie,mentida
life,vida
lift,ascensor
light,llum
like,com
line,línia
liquid,líquid
list,llista
listen,escoltar
little,poc
live,viure
locate,localitzar
log,log
lone,solitari
long,llarg
look,buscar
lost,perdut
lot,molt
loud,en veu alta
love,estimar
low,sota
machine,màquina
made,fet
magnet,imant
main,principal
major,important
make,fer
man,home
many,molts
map,mapa
mark,marca
market,mercat
mass,massa
master,màster
match,partit
material,materials
matter,qüestió
may,pot
me,em
mean,significarà
meant,significat
measure,mesurar
meat,carn
meet,es reuneixen
melody,melodia
men,homes
metal,de metall
method,mètode
middle,mitjà
might,podria
mile,milla
milk,llet
million,milions
mind,ment
mine,mina
minute,minuts
miss,senyoreta
mix,barrejar
modern,moderna
molecule,molècula
moment,moment
money,diners
month,mes
moon,lluna
more,més
morning,demà
most,més
mother,mare
motion,moviment
mount,muntatge
mountain,muntanya
mouth,boca
move,moviment
much,molt
multiply,multiplicar
music,música
must,ha
my,el meu
name,nom
nation,nació
natural,naturals
nature,naturalesa
near,a prop
necessary,necessari
neck,coll
need,necessitarà
neighbor,veí
never,mai
new,nou
next,següent
night,nit
nine,còlera
no,no
noise,soroll
noon,migdia
nor,ni
north,nord
nose,nas
note,nota
nothing,res
notice,avís
noun,substantiu
now,ara
number,nombre
numeral,numeral
object,objecte
observe,observar
occur,produir
ocean,oceà
of,d’
off,off
offer,oferta
office,oficina
often,sovint
oh,oh
oil,oli
old,edat
on,en
once,un cop
one,significarà
only,només
open,oberta
operate,operar
opposite,oposada
or,o
order,fi
organ,òrgan
original,originals
other,un altre
our,nostra
out,sortida
over,sobre
own,propi
oxygen,oxigen
page,pàgina
paint,pintar
pair,parell
paper,paper
paragraph,paràgraf
parent,pare
part,part
particular,"particular,"
party,partit
pass,passar
past,passat
path,camí
pattern,patró
pay,pagar
people,persones
perhaps,potser
period,període
person,persona
phrase,frase
pick,recollir
picture,foto
piece,peça
pitch,pitch
place,lloc
plain,pla
plan,pla de
plane,pla
planet,planeta
plant,planta
play,jugar
please,si us plau
plural,plural
poem,poema
point,punt
poor,pobres
populate,poblar
port,port
pose,plantejar
position,posició
possible,possible
post,missatge
pound,lliura
power,poder
practice,pràctica
prepare,preparar
present,aquest
press,premsa
pretty,bastant
print,print
probable,probable
problem,problema
process,procés
produce,produeix
product,producte
proper,adequada
property,propietat
protect,protegir
prove,demostrar
provide,proporcionar
pull,halar
push,empènyer
put,posar
quart,quart
question,pregunta
quick,ràpid
quiet,tranquil
quite,bastant
quotient,quocient
race,carrera
radio,ràdio
rail,ferrocarril
rain,pluja
raise,augmentar
ran,córrer
range,gamma
rather,lloc
reach,arribar
read,llegir
ready,llest
real,reals
reason,raó
receive,rebre
record,registre
red,vermell
region,regió
remember,recordar
repeat,repeteixi
reply,respondre
represent,representar
require,requerir
rest,resta
result,resultat
rich,rica
ride,passeig
right,dret
ring,anell
rise,augmentant
river,riu
road,carretera
rock,roca
roll,rotllo
room,habitació
root,arrel
rope,corda
rose,rosa
round,ronda
row,fila
rub,rub
rule,regla
run,run
safe,segur
said,dit
sail,vela
salt,sal
same,mateixa
sand,sorra
sat,sat
save,guardar
saw,serra
say,dir
scale,escala
school,escola
science,ciència
score,puntuació
sea,mar
search,cerca
season,temporada
seat,seient
second,segon
section,secció
see,veure
seed,llavors
seem,sembla
segment,segment
select,seleccioneu
self,acte
sell,vendre
send,enviar
sense,sentit
sent,enviat
sentence,frase
separate,separada
serve,servir
set,conjunt
settle,resoldre
seven,caràcter
several,diversos
shall,haurà
shape,forma
share,quota
sharp,agut
she,ella
sheet,full
shell,intèrpret
shine,brillantor
ship,vaixell
shoe,sabata
shop,botiga
shore,riba
short,curta
should,ha
shoulder,espatlla
shout,crit
show,espectacle
side,costat
sight,vista
sign,signe
silent,silenci
silver,plata
similar,similars
simple,simple
since,des
sing,cantar
single,sola
sister,germana
sit,seure
six,passeig
size,mida
skill,habilitat
skin,pell
sky,cel
slave,esclau
sleep,somni
slip,lliscament
slow,lenta
small,petit
smell,olor
smile,somriure
snow,neu
so,així
soft,suau
soil,sòl
soldier,soldat
solution,solució
solve,resoldre
some,alguns
son,fill
song,cançó
soon,aviat
sound,so
south,sud
space,espai
speak,parlar
special,especial
speech,discurs
speed,velocitat
spell,lletrejar
spend,passar
spoke,parlar
spot,lloc
spread,propagació
spring,primavera
square,plaça
stand,de peu
star,estrella
start,inici
state,estat
station,estació
stay,quedar
stead,lloc
steam,vapor
steel,acer
step,pas
stick,pal
still,encara
stone,pedra
stood,destacat
stop,aturi
store,botiga
story,història
straight,recta
strange,estrany
stream,corrent
street,carrer
stretch,estirament
string,string
strong,fort
student,estudiant
study,estudi
subject,subjecte
substance,substància
subtract,restar
success,èxit
such,tals
sudden,sobtada
suffix,sufix
sugar,sucre
suggest,suggerir
suit,vestit
summer,estiu
sun,sol
supply,subministrament
support,suport
sure,segur
surface,superfície
surprise,sorpresa
swim,nedar
syllable,síl · laba
symbol,símbol
system,sistema
table,taula
tail,cua
take,prendre
talk,xerrada
tall,d’altura
teach,ensenyar
team,equip
teeth,dents
tell,dir
temperature,temperatura
ten,estrany
term,termini
test,prova
than,que
thank,gràcies
that,que
the,la
their,seva
them,ells
then,"a continuació,"
there,hi
these,aquests
they,que
thick,de gruix
thin,prima
thing,cosa
think,pensar
third,tercer
this,aquest
those,els
though,encara
thought,pensat
thousand,mil
three,mar
through,a través
throw,llançar
thus,"per tant,"
tie,empat
time,temps
tiny,petit
tire,pneumàtics
to,a
together,junts
told,dit
tone,to
too,massa
took,prendre
tool,eina
top,superior
total,total de
touch,tocar
toward,cap
town,ciutat
track,pista
trade,comerç
train,tren
travel,viatges
tree,arbre
triangle,triangle
trip,viatge
trouble,problemes
truck,camió
true,cert
try,tractar
tube,tub
turn,"al seu torn,"
twenty,vint
two,2:00
type,tipus
under,sota
unit,unitat
until,fins
up,fins
us,nosaltres
use,ús
usual,habitual
valley,vall
value,valor
vary,variar
verb,verb
very,molt
view,vista
village,poble
visit,visita
voice,veu
vowel,vocal
wait,esperar
walk,caminar
wall,paret
want,voler
war,guerra
warm,calenta
was,era
wash,rentat
watch,veure
water,aigua
wave,onada
way,camí
we,nosaltres
wear,desgast
weather,temps
week,setmana
weight,pes
well,bé
went,es va anar
were,eren
west,oest
what,ho
wheel,roda
when,quan
where,on
whether,si
which,que
while,mentre
white,blanc
who,que
whole,tot
whose,el
why,per què
wide,àmplia
wife,dona
wild,salvatge
will,ho farà
win,victòria
wind,vent
window,finestra
wing,ala
winter,hivern
wire,filferro
wish,desitjos
with,amb
woman,dona
women,dones
wonder,pregunto
won’t,no ho farà
wood,fusta
word,paraula
work,treball
world,món
would,faria
write,escriure
written,escrit
wrong,mal
wrote,escriure
yard,pati
year,anys
yellow,groc
yes,si
yet,encara
you,vostè
young,jove
your,seva
