english,vietnamese
stay,ở lại
stead,thay
steam,hơi nước
steel,thép
step,bước
stick,thanh
still,vẫn
stone,đá
stood,đứng
stop,ngăn chặn
store,cửa hàng
story,câu chuyện
straight,thẳng
strange,lạ
stream,sông
street,đường phố
stretch,căng ra
string,chuỗi
strong,mạnh mẽ
student,sinh viên
study,nghiên cứu
subject,tiêu đề
substance,chất
subtract,trừ
success,thành công
such,như vậy
sudden,đột ngột
suffix,hậu tố
sugar,đường
suggest,đề nghị
suit,phù hợp với
summer,mùa hè
sun,ánh nắng mặt trời
supply,cung cấp
support,hỗ trợ
sure,chắc chắn
surface,bề mặt
surprise,bất ngờ
swim,bơi
syllable,âm tiết
symbol,biểu tượng
system,hệ thống
table,bảng
tail,đuôi
take,có
talk,nói chuyện
tall,cao
teach,dạy
team,đội
teeth,răng
tell,nói
temperature,nhiệt độ
ten,mười
term,hạn
test,kiểm tra
than,hơn
thank,cảm ơn
that,mà
the,các
their,của họ
them,họ
then,sau đó
there,có
these,các
they,họ
thick,dày
thin,mỏng
thing,điều
think,nghi
third,thứ ba
this,này
those,những
though,mặc dù
thought,nghĩ
thousand,ngàn
three,ba
through,thông qua
throw,ném
thus,do đó
tie,cà vạt
time,thời gian
tiny,nhỏ
tire,lốp xe
to,để
together,cùng
told,nói
tone,giai điệu
too,quá
took,mất
tool,công cụ
top,đầu
total,tổng số
touch,chạm
toward,hướng
town,thị trấn
track,theo dõi
trade,thương mại
train,đào tạo
travel,du lịch
tree,cây
triangle,tam giác
trip,chuyến đi
trouble,rắc rối
truck,xe tải
true,đúng
try,thử
tube,ống
turn,lần lượt
twenty,hai mươi
two,hai
type,loại
under,dưới
unit,đơn vị
until,cho đến khi
up,lên
us,chúng tôi
use,sử dụng
usual,thông thường
valley,thung lũng
value,giá trị
vary,khác nhau
verb,động từ
very,rất
view,xem
village,làng
visit,lần
voice,giọng nói
vowel,nguyên âm
wait,đợi
walk,đi bộ
wall,tường
want,muốn
war,chiến tranh
warm,ấm áp
was,là
wash,rửa
watch,xem
water,nước
wave,sóng
way,cách
we,chúng tôi
wear,mặc
weather,thời tiết
week,tuần
weight,trọng lượng
well,cũng
went,đi
were,là
west,tây
what,những gì
wheel,bánh xe
when,khi
where,nơi
whether,liệu
which,mà
while,trong khi
white,trắng
who,người
whole,toàn bộ
whose,có
why,lý do tại sao
wide,rộng
wife,vợ
wild,hoang dã
will,sẽ
win,giành chiến thắng
wind,gió
window,cửa sổ
wing,cánh
winter,mùa đông
wire,dây
wish,muốn
with,với
woman,người phụ nữ
women,phụ nữ
wonder,tự hỏi
won’t,sẽ không
wood,gỗ
word,từ
work,công việc
world,thế giới
would,sẽ
write,viết
written,bằng văn bản
wrong,sai
wrote,đã viết
yard,sân
year,năm
yellow,vàng
yes,vâng
yet,nhưng
you,anh
young,trẻ
your,của bạn
