english,samoan
hold,umia
hole,lua
home,aiga
hope,faamoemoe
horse,solofanua
hot,vevela
hour,itula
house,fale
how,auala
huge,lāpoʻa
human,tagata
hundred,selau
hunt,tuli
hurry,tili
i,ou
ice,aisa
idea,manatu
if,ana
imagine,vaai faalemafaufau
in,i
inch,inisi
include,aofia
indicate,faailoa
industry,alamanuia
insect,meaola lāiti
instant,faʻavave
instrument,meafaigaluega
interest,tului
invent,fafauina
iron,uʻamea
is,o
island,motu
it,na
job,gāluega
join,auai
joy,fiafiaga
jump,oso
just,tonu
keep,tausia
kept,tausia
key,ki
kill,fasioti
kind,agalelei
king,tupu
knew,iloa
know,iloa
lady,tamaʻitaʻi
lake,lano
land,fanua
language,gagana
large,tele
last,mulimuli
late,tuai
laugh,ata
law,tulafono
lay,taoto
lead,taitai
learn,aoao
least,aupito itiiti
leave,tuua
led,taitaiina
left,taumatau
leg,vae
length,umi
less,itiiti
let,ia
letter,tusi
level,tulaga
lie,pepelo
life,ola
lift,siʻi
light,māmā
like,pei
line,laina
liquid,sua
list,lisi
listen,faalogo
little,itiiti
live,ola
locate,mauaina
log,tusi faʻamau
lone,toatasi
long,umi
look,tilotilo
lost,leiloa
lot,anoano
loud,leotele
love,alofa
low,maulalo
machine,masini
made,faia
magnet,maneta
main,tele
major,tetele
make,fai
man,tagata
many,tele
map,faafanua
mark,togi
market,māketi
mass,anoano
master,aliʻi
match,fetauiga
material,mea
matter,mataupu
may,mae
me,ou
mean,uiga
meant,o lona uiga
measure,fua
meat,aano o manu
meet,e tatau ai
melody,fati
men,tagata
metal,uʻamea
method,faiga
middle,moa
might,mālosi
mile,maila
milk,susu
million,miliona
mind,mafaufau
mine,oʻu
minute,minute
miss,ela
mix,palu
modern,po nei
molecule,molecule
moment,taimi
money,tupe
month,masina
moon,masina
more,nisi
morning,taeao
most,aupito
mother,tina
motion,gāoioiga
mount,mauga
mountain,mauga
mouth,gutu
move,sōsō
much,tele
multiply,faʻatele
music,pese
must,tatau lava
my,loʻu
name,igoa
nation,mālō
natural,faalenatura
nature,natura
near,latalata
necessary,tatau
neck,ua
need,manaomia
neighbor,tuāʻoi
never,aua lava nei
new,fou
next,sosoo ai
night,po
nine,iva
no,leai
noise,pisa
noon,aoauli
nor,po o
north,matu
nose,isu
note,tusi
nothing,leai se mea
notice,le faasilasilaga
noun,nauna
now,nei
number,nūmera
numeral,nūmera
object,mea
observe,tausia
occur,tupu
ocean,vasa
of,a
off,ese
offer,ofo
office,tofi
often,e masani lava ona
oh,oka
oil,suauu
old,matua
on,i
once,fa’atasi
one,tasi
only,ae
open,tatala
operate,galue
opposite,feagai
or,poʻo
order,poloaiga
organ,tōtōga
original,fou
other,ese
our,tatou
out,i fafo
over,i luga
own,lava
oxygen,okesene
page,itulau
paint,vali
pair,soa
paper,pepa
paragraph,parakarafa
parent,matua
part,vaega
particular,faapitoa
party,vaega
pass,teʻa
past,tuanaʻi
path,ala
pattern,mamanu
pay,totogi
people,tagata
perhaps,atonu
period,vaitaimi
person,tagata
phrase,fuaitau
pick,piki
picture,ata
piece,fasi
pitch,pitch
place,mea
plain,manino
plan,fuafuaga
plane,vaalele
planet,pilaneti
plant,totō
play,taaalo
please,fa’amolemole
plural,lasi
poem,tauloto
point,manatu
poor,mativa
populate,faaʻaināina
port,tāulaga
pose,tūlaga
position,tulaga
possible,mafai
post,pou
pound,pauna
power,mana
practice,faiga
prepare,saunia
present,nei
press,nusipepa
pretty,aulelei
print,lolomi
probable,faʻamata
problem,faafitauli
process,faagasologa
produce,gaosi
product,mea e gaosi
proper,tatau
property,meatotino
protect,puipui
prove,faamaonia
provide,tuuina
pull,toso
push,tūlei
put,tuʻu
quart,kuata
question,fesili
quick,vave
quiet,filemu
quite,matuā
quotient,quotient
race,lalolagi
radio,leitio
rail,ala uʻamea
rain,timu
raise,siʻi
ran,tamoe
range,mamao
rather,nai
reach,oʻo
read,faitau
ready,saunia
real,moʻi
reason,mafuaaga
receive,maua
record,faamaumauga
red,lanu mumu
region,vāega
remember,manatua
repeat,toe fai
reply,tali
represent,fai ma sui o
require,manaomia
rest,mapu
result,iʻuga
rich,maumea
ride,tiʻetiʻe
right,tauagavale
ring,liʻo
rise,tulai
river,vaitafe
road,ala
rock,papa
roll,taʻavale
room,potu
root,aʻa
rope,maea
rose,rosa
round,faataamilo
row,atu
rub,mili
rule,tulafono
run,momoʻe
safe,sao
said,fai
sail,folau
salt,māsima
same,lava lea e tasi
sand,oneone
sat,sat
save,faʻaola
saw,ili
say,fai atu
scale,fua
school,āʻoga
science,saienisi
score,togi
sea,sami
search,suʻe
season,tau
seat,nofoa
second,tulaga lua
section,o le fuaiupu
see,vaʻai
seed,fatu
seem,foliga mai
segment,vāega
select,filifili
self,le tagata lava ia
sell,faʻatau atu
send,ave
sense,lagona
sent,auina
sentence,faʻasalaga
separate,vavae
serve,tautua
set,aotelega
settle,faʻaiʻu
seven,fitu
several,nai
shall,e tatau
shape,fōliga
share,sea
sharp,tipitipi
she,ia
sheet,laupepa
shell,atigi
shine,susulu
ship,vaʻa
shoe,seʻevae
shop,faleʻoloa
shore,matāfaga
short,puʻupuʻu
should,e tatau
shoulder,tauʻau
shout,alaga
show,faaalia
side,itū
sight,vaʻai
sign,faʻailoga
silent,fīlēmū
silver,siliva
similar,tutusa
simple,faigofie
since,talu
sing,pese
single,nofofua
sister,tuafafine
sit,nofo
six,ono
size,fua
skill,poto
skin,paʻu
sky,lagi
slave,pologa
sleep,moe
slip,ofuloto
slow,telegese
small,laʻitiiti
smell,sogi
smile,ataʻata
snow,kiona
so,ina
soft,malū
soil,eleʻele
soldier,fitafita
solution,fofo
solve,foia
some,se
son,atali’i
song,pese
soon,vave
sound,leo
south,saute
space,avanoa
speak,tautala
special,faʻapitoa
speech,tautala
speed,saosaoa
spell,feʻau faʻataulāitu
spend,faʻaalu
spoke,na saunoa
spot,mea
spread,sosolo
spring,vaipuna
square,sikuea
stand,tū
star,fetū
start,āmata
state,tulaga
station,taunuʻuga
stay,nofo
stead,sui
steam,ausa
steel,sila
step,laʻa
stick,lāʻau
still,pea
stone,maʻa
stood,tu
stop,taofia
store,faleoloa
story,tala
straight,saʻo
strange,ese
stream,vaitafe
street,ala
stretch,memeʻi
string,mānoa
strong,malosi
student,tamaitiiti
study,suesuega
subject,mataupu
substance,mea
subtract,tōʻese
success,manuia
such,e pei
sudden,faʻafuaseʻi
suffix,suffix
sugar,suka
suggest,fautua
suit,pea
summer,tau māfanafana
sun,lā
supply,tuuina atu
support,lagolago
sure,moni
surface,fogāvai
surprise,ofo
swim,aʻau
syllable,mataitusi
symbol,faʻailoga
system,faiga
table,laulau
tail,siʻusiʻu
take,tago
talk,talanoa
tall,umi
teach,aoao atu
team,au
teeth,nifo
tell,taʻu
temperature,māfanafana
ten,sefulu
term,vaitaimi e
test,suʻega
than,nai lo
thank,faʻafetai
that,lea
the,le
their,latou
them,i latou
then,lea
there,i ai
these,nei
they,latou
thick,mafia
thin,manifi
thing,mea
think,manatu
third,tulaga tolu
this,lea
those,ia
though,e ui ina
thought,manatu
thousand,afe
three,tolu
through,e ala i
throw,togi
thus,faapea ona
tie,fusiua
time,taimi
tiny,laʻitiitī lava
tire,paʻu
to,i
together,faʻatasi
told,taʻu atu
tone,faʻaleoga
too,foʻi
took,ave
tool,mea faigāluega
top,tumutumu
total,atoa
touch,paʻi
toward,i
town,aʻai
track,ala
trade,fefaʻatauaʻiga
train,nofoa afi
travel,malaga
tree,lāʻau
triangle,tafatolu
trip,malaga
trouble,faʻalavelave
truck,loli
true,moni
try,taumafai
tube,faʻagāʻau
turn,liliu
twenty,lua sefulu
two,lua
type,ituaiga
under,i lalo
unit,iunite
until,seʻi
up,i luga
us,tatou
use,faʻaaogā
usual,māsani ai
valley,vanu
value,tāua
vary,fetuunai
verb,veape
very,tele
view,vaaiga
village,nuʻu
visit,asi
voice,leo
vowel,vaueli
wait,tali
walk,savali
wall,pā
want,manaʻo
war,taua
warm,māfanafana
was,sa
wash,fuluga
watch,tausi
water,vai
wave,galu
way,ala
we,tatou
wear,fai
weather,tau
week,vaiaso
weight,mamafa
well,lelei
went,alu
were,sa
west,sisifo
what,ā
wheel,uili
when,a
where,lea
whether,pe
which,lea
while,aʻo
white,lanu pa’epa’e
who,o
whole,atoa
whose,o lona
why,aisea
wide,lautele
wife,toalua
wild,vao
will,o le a
win,mānumālō
wind,matagi
window,faʻamalama
wing,apaʻau
winter,tau mālūlū
wire,uaea
wish,manaʻo
with,i
woman,fafine
women,fafine
wonder,ofo
won’t,le a le
wood,fafie
word,upu
work,galue
world,lalolagi
would,a
write,tusi
written,tusia
wrong,sesē
wrote,na tusia e
yard,lotoā
year,tausaga
yellow,lanu samasama
yes,ioe
yet,ae
you,oe
young,talavou
your,lau
