english,irish
depend,ag brath
describe,cur síos a dhéanamh
desert,fásach
design,dearadh
determine,chinneadh
develop,fhorbairt
dictionary,foclóir
did,rinne
die,bás
differ,difriúil
difficult,deacair
direct,díreach
discuss,plé a dhéanamh ar
distant,i bhfad i gcéin
divide,deighilt
division,roinn
do,dhéanamh
doctor,dochtúir
does,dhéanann
dog,madra
dollar,cheadú
done,rinneadh
don’t,nach
door,doras
double,dúbailte
down,síos
draw,a tharraingt
dream,aisling
dress,gúna
drink,deoch
drive,tiomáint
drop,titim
dry,tirim
duck,lacha
during,le linn
each,gach
ear,cluas
early,go luath
earth,cré
ease,maolú ar
east,soir
eat,ithe
edge,imeall
effect,éifeacht
egg,ubh
eight,ocht
either,ceachtar
electric,leictreacha
element,eilimint
else,eile
end,deireadh
enemy,namhaid
energy,fuinnimh
engine,inneall
enough,leor
enter,isteach
equal,comhionann
equate,ionann
especially,go háirithe
even,fiú
evening,tráthnóna
event,imeacht
ever,riamh
every,gach
exact,cruinn
example,mar shampla
except,ach amháin
excite,spreagfaidh
exercise,a fheidhmiú
expect,ag súil leis
experience,taithí
experiment,turgnamh
eye,súl
face,aghaidh
fact,go deimhin
fair,cóir
fall,titim
family,teaghlach
famous,cáiliúil
far,i bhfad
farm,feirme
fast,tapa
fat,saill
father,athair
favor,bhfabhar
fear,eagla
feed,beatha
feel,bhraitheann
feet,cosa
fell,thit
felt,bhraith
few,beag
field,réimse
fig,fige
fight,troid i
figure,figiúr
fill,líonadh
final,deiridh
find,aimsiú
fine,fíneáil
finger,mhéar
finish,chríochnú
fire,dóiteáin
first,ar dtús
fish,iasc
fit,oiriúnach
five,cúig
flat,árasán
floor,urlár
flow,sreabhadh
flower,bláth
fly,eitilt
follow,leanúint
food,bia
foot,cos
for,do
force,bhfeidhm
forest,foraoise
form,fhoirm
forward,ar aghaidh
found,fuair
four,ceithre
fraction,chodán
free,saor in aisce
fresh,úr
friend,cara
from,ó
front,tosaigh
fruit,torthaí
full,lán
fun,spraoi
game,cluiche
garden,gairdín
gas,gáis
gather,bhailiú
gave,thug
general,ginearálta
gentle,mhín
get,a fháil
girl,cailín
give,thabhairt
glad,sásta
glass,gloine
go,dul
gold,óir
gone,imithe
good,maith
got,fuair
govern,rialaíonn
grand,mhór
grass,féar
gray,liath
great,mór
green,glas
grew,d’fhás
ground,talamh
group,grúpa
grow,fás
guess,buille faoi thuairim
guide,treoir
gun,gunna
had,bhí
hair,gruaig
half,leath
hand,lámh
happen,tharlóidh
happy,sásta
hard,crua
has,tá
hat,hata
have,tá
he,sé
head,ceann
hear,chloisteáil
heard,éisteacht
heart,croí
heat,teas
heavy,trom
held,seilbh
help,cabhrú
her,di
here,anseo
high,ard
hill,cnoc
him,air
his,a
history,stair
hit,hit
hold,shealbhú
hole,poll
home,baile
hope,tá súil
horse,capall
hot,te
hour,uair an chloig
house,teach
how,conas
huge,ollmhór
human,daonna
hundred,céad
hunt,fiach
hurry,hurry
i,mé
ice,oighear
idea,smaoineamh
if,más rud é
imagine,shamhlú
in,i
inch,orlach
include,i measc na
indicate,léiríonn
industry,tionscal
insect,feithidí
instant,toirt
instrument,ionstraim
interest,ús
invent,chumadh
iron,iarann
is,tá
island,oileán
it,sé
job,post
join,páirt a
joy,áthas
jump,léim
just,ach
keep,choinneáil
kept,choimeád
key,eochair
kill,mharú
kind,chineál
king,rí
knew,bhí a fhios
know,tá a fhios
lady,bhean
lake,loch
land,talamh
language,teanga
large,mór
last,seo caite
late,déanach
laugh,gáire
law,dlí
lay,leagan
lead,luaidhe
learn,foghlaim
least,ar a laghad
leave,saoire
led,faoi stiúir
left,chlé
leg,cos
length,fad
less,níos lú
let,a ligean
letter,litir
level,leibhéal
lie,bréag
life,saol
lift,ardaitheoir
light,solas
like,cosúil le
line,líne
liquid,leacht
list,liosta
listen,éisteacht
little,beag
live,beo
locate,aimsiú
log,logáil isteach
lone,aonaracha
long,fada
look,breathnú
lost,caillte
lot,leor
loud,glórach
love,grá
low,íseal
machine,meaisín
made,déanta
magnet,maighnéad
main,príomh-
major,mór-
make,dhéanamh
man,fear
many,go leor
map,léarscáil
mark,marc
market,margadh
mass,mais
master,máistir
match,cluiche
material,ábhar
matter,ábhar
may,féadfaidh
me,dom
mean,ciallóidh
meant,i gceist
measure,a thomhas
meat,feoil
meet,le chéile
melody,séis
men,fir
metal,miotail
method,modh
middle,lár
might,d’fhéadfadh
mile,míle
milk,bainne
million,milliún
mind,aigne
mine,mianach
minute,nóiméad
miss,chailleann
mix,meascán
modern,nua-aimseartha
molecule,móilín
moment,nóiméad
money,airgead
month,mí
moon,gealach
more,níos mó
morning,maidin
most,an chuid is mó
mother,máthair
motion,tairiscint
mount,mount
mountain,sliabh
mouth,béal
move,bogadh
much,i bhfad
multiply,iolrú
music,ceol
must,ní mór
my,mo
name,ainm
nation,náisiún
natural,nádúrtha
nature,nádúr
near,in aice le
necessary,gá
neck,muineál
need,ní mór
neighbor,comharsa
never,riamh
new,nua
next,seo chugainn
night,oíche
nine,naoi
no,aon
noise,torann
noon,meán lae
nor,ná
north,ó thuaidh
nose,srón
note,nóta
nothing,aon rud
notice,fógra
noun,ainmfhocail
now,anois
number,líon
numeral,uimhreán
object,réad
observe,breathnú ar
occur,tharlaíonn
ocean,farraige
of,ar
off,amach
offer,tairiscint
office,oifig
often,is minic
oh,curfá
oil,ola
old,d’aois
on,ar
once,uair amháin
one,amháin
only,ach
open,oscailte
operate,oibriú
opposite,os coinne
or,nó
order,ordú
organ,orgán
original,bunaidh
other,eile
our,ár n-
out,amach
over,níos mó ná
own,féin
oxygen,ocsaigin
page,leathanach
paint,péint
pair,péire
paper,páipéar
paragraph,mír
parent,tuismitheoir
part,chuid
particular,ar leith
party,páirtí
pass,pas a fháil
past,am atá thart
path,cosán
pattern,patrún
pay,íoc
people,daoine
perhaps,b’fhéidir
period,tréimhse
person,duine
phrase,frása
pick,pioc
picture,pictiúr
piece,píosa
pitch,tuinairde
place,áit
plain,plain
plan,plean
plane,eitleán
planet,pláinéad
plant,plandaí
play,imirt
please,le do thoil
plural,iolra
poem,dán
point,pointe
poor,droch-
populate,populate
port,calafoirt
pose,údar
position,seasamh
possible,féidir
post,post
pound,punt
power,cumhacht
practice,cleachtas
prepare,ullmhú
present,i láthair
press,preas
pretty,deas
print,cló
probable,is dócha
problem,fhadhb
process,próiseas
produce,ar aird
product,táirge
proper,ceart
property,maoin
protect,chosaint
prove,chruthú
provide,a chur ar fáil
pull,tarraingt
push,bhrú
put,chur
quart,leanna
question,ceist
quick,tapaidh
quiet,ciúin
quite,go leor
quotient,chomhrann
race,cine
radio,raidió
rail,iarnróid
rain,báisteach
raise,ardú
ran,rith
range,raon
rather,in áit
reach,a bhaint amach
read,léamh
ready,réidh
real,fíor
reason,chúis
receive,fháil
record,taifead
red,dearg
region,réigiún
remember,cuimhnigh
repeat,athuair
reply,freagra
represent,ionadaíocht a dhéanamh
require,a cheangal ar
rest,chuid eile
result,toradh
rich,saibhir
ride,marcaíochta
right,ceart
ring,fáinne
rise,ardú
river,abhainn
road,bóthar
rock,carraig
roll,rolla
room,seomra
root,fréimhe
rope,téad
rose,ardaigh
round,bhabhta
row,as a chéile
rub,rub
rule,riail
run,rith
safe,sábháilte
said,dúirt
sail,seol
salt,salann
same,céanna
sand,gaineamh
sat,shuigh
save,shábháil
saw,chonaic
say,rá
scale,scála
school,scoil
science,eolaíocht
score,scór
sea,farraige
search,cuardach
season,séasúr
seat,suíochán
second,an dara
section,alt
see,féach
seed,síol
seem,is cosúil go
segment,deighleog
select,roghnaigh
self,féin
sell,dhíol
send,sheoladh
sense,ciall
sent,sheoladh
sentence,abairt
separate,ar leithligh
serve,freastal
set,leagtha
settle,réiteach
seven,seacht
several,roinnt
shall,déanfaidh
shape,cruth
share,scair
sharp,géar
she,sí
sheet,bileog
shell,bhlaosc
shine,shine
ship,long
shoe,bróg
shop,siopa
shore,gcósta
short,gearr
should,ba chóir
shoulder,ghualainn
shout,shout
show,thaispeáint
side,taobh
sight,radharc
sign,comhartha
silent,adh
silver,airgid
similar,den chineál céanna
simple,simplí
since,ós rud é
sing,chanadh
single,singil
sister,deirfiúr
sit,suí
six,sé
size,méid
skill,scil
skin,craiceann
sky,spéir
slave,daor
sleep,codlata
slip,duillín
slow,mall
small,beag
smell,boladh
smile,aoibh gháire
snow,sneachta
so,mar sin
soft,bog
soil,ithir
soldier,saighdiúir
solution,réiteach
solve,réiteach
some,roinnt
son,mac
song,song
soon,go luath
sound,fuaim
south,ó dheas
space,spás
speak,labhairt
special,speisialta
speech,urlabhra
speed,luas
spell,litriú
spend,chaitheamh
spoke,labhair
spot,láthair
spread,leathadh
spring,earrach
square,cearnach
stand,seasamh
star,réalta
start,tús
state,stáit
station,stáisiún
stay,fanacht
stead,ionad
steam,gaile
steel,cruach
step,céim
stick,bata
still,fós
stone,cloch
stood,sheas
stop,stad
store,siopa
story,scéal
straight,díreach
strange,aisteach
stream,sruth
street,ainm
stretch,stráice
string,teaghrán
strong,láidir
student,mac léinn
study,staidéar
subject,ábhar
substance,substaint
subtract,dealaigh
success,rath
such,den sórt sin a
sudden,tobann
suffix,iarmhír
sugar,siúcra
suggest,fios
suit,oireann
summer,samhradh
sun,ghrian
supply,soláthar
support,tacaíocht
sure,cinnte
surface,dromchla
surprise,iontas
swim,snámh
syllable,siolla
symbol,siombail
system,córas
table,tábla
tail,eireaball
take,ghlacadh
talk,plé
tall,ard
teach,mhúineadh
team,fhoireann
teeth,fiacla
tell,insint
temperature,teocht
ten,deich
term,téarma
test,tástáil
than,ná
thank,go raibh maith
that,go
the,an
their,n-
them,iad
then,ansin
there,ann
these,na
they,siad
thick,tiubh
thin,tanaí
thing,rud
think,"i mo thuairimse,"
third,tríú
this,seo
those,sin
though,cé go
thought,shíl
thousand,míle
three,trí
through,trí
throw,caith
thus,dá bhrí sin
tie,comhionannas vótaí
time,am
tiny,beag bídeach
tire,bonn
to,go
together,le chéile
told,inis
tone,ton
too,freisin
took,ghlac
tool,uirlis
top,barr
total,iomlán
touch,teagmháil
toward,i dtreo
town,baile
track,rian
trade,trádáil
train,traein
travel,taisteal
tree,crann
triangle,triantáin
trip,turas
trouble,dtrioblóid
truck,trucail
true,fíor
try,iarracht
tube,feadán
turn,cas
twenty,fiche
two,dhá
type,cineál
under,faoi
unit,aonad
until,go dtí
up,suas
us,dúinn
use,úsáid
usual,gnách
valley,gleann
value,luach
vary,athrú
verb,briathar
very,an-
view,dearcadh
village,sráidbhaile
visit,cuairt a thabhairt ar
voice,guth
vowel,guta
wait,fan
walk,siúl
wall,balla
want,ba mhaith
war,cogadh
warm,te
was,bhí
wash,nigh
watch,féachaint ar
water,uisce
wave,tonn
way,bhealach
we,againn
wear,chaitheamh
weather,aimsir
week,seachtain
weight,meáchan
well,go maith
went,chuaigh
were,bhí
west,siar
what,cad
wheel,roth
when,nuair
where,i gcás ina
whether,cé acu
which,a
while,cé go
white,bán
who,a
whole,fad
whose,a bhfuil a
why,cén fáth
wide,ar fud an
wife,bean chéile
wild,fiáin
will,beidh
win,bhuachan
wind,gaoithe
window,fuinneog
wing,sciathán
winter,gheimhridh
wire,sreang
wish,is mian
with,le
woman,bean
women,mná
wonder,wonder
won’t,ní bheidh
wood,adhmad
word,focal
work,obair
world,domhan
would,bheadh
write,scríobh
written,scríofa
wrong,mícheart
wrote,scríobh
yard,clós
year,bliain
yellow,buí
yes,yes
yet,fós
you,tú
young,óg
your,do
