english,nepali
enemy,शत्रु
energy,ऊर्जा
engine,इन्जिन
enough,पर्याप्त
enter,प्रवेश
equal,बराबर
equate,समान मनाना
especially,विशेष गरी
even,पनि
evening,साँझ
event,घटना
ever,कहिल्यै
every,हरेक
exact,सही
example,उदाहरणका
except,बाहेक
excite,उत्तेजित
exercise,व्यायाम
expect,आशा
experience,अनुभव
experiment,प्रयोग
eye,आँखा
face,अनुहार
fact,वास्तवमा
fair,निष्पक्ष
fall,गिरावट
family,परिवार
famous,प्रसिद्ध
far,टाढा
farm,खेत
fast,छिटो
fat,बोसो
father,पिता
favor,कृपा
fear,डर
feed,फिड
feel,महसुस
feet,खुट्टा
fell,खसे
felt,महसुस
few,केही
field,क्षेत्र
fig,नेभाराको
fight,लडाई
figure,आंकडा
fill,भर्ने
final,अन्तिम
find,फेला
fine,राम्रो
finger,औंला
finish,समाप्त
fire,आगो
first,पहिलो
fish,माछा
fit,फिट
five,पाँच
flat,तला
floor,तल्ला
flow,प्रवाह
flower,फूल
fly,उड
follow,पछ्याउन
food,खाना
foot,खुट्टा
for,को लागि
force,बल
forest,वन
form,फारम
forward,अगाडी
found,फेला
four,चार
fraction,अंश
free,निःशुल्क
fresh,ताजा
friend,मित्र
from,देखि
front,अगाडि
fruit,फल
full,पूर्ण
fun,मजा
game,खेल
garden,बगैंचामा
gas,ग्याँस
gather,भेला
gave,दिए
general,सामान्य
gentle,कोमल
get,प्राप्त
girl,केटी
give,दिन
glad,खुसी
glass,ग्लास
go,जाने
gold,सुन
gone,पाएकै
good,राम्रो
got,मिल्यो
govern,शासन
grand,महान्
grass,घाँस
gray,ग्रे
great,ठूलो
green,हरियो
grew,बढ्दै
ground,जमीन
group,समूह
grow,बढ्दै
guess,अनुमान
guide,डोऱ्याउन
gun,बन्दूक
had,थियो
hair,कपाल
half,आधा
hand,हात
happen,के
happy,खुसी
hard,कडा
has,छ
hat,टोपी
have,छ
he,उहाँले
head,टाउको
hear,सुन्छन्
heard,सुनेको
heart,हृदय
heat,गर्मी
heavy,भारी
held,धान
help,मदत
her,उनको
here,यहाँ
high,उच्च
hill,पहाडी
him,तिनलाई
his,आफ्नो
history,इतिहास
hit,मारा
hold,पकड
hole,प्वाल
home,घर
hope,आशा
horse,घोडा
hot,तातो
hour,घण्टा
house,घर
how,कसरी
huge,विशाल
human,मानव
hundred,सय
hunt,शिकार
hurry,हतार
i,म
ice,बरफ
idea,विचार
if,यदि
imagine,कल्पना
in,मा
inch,इन्चको
include,समावेश
indicate,सङ्केत
industry,उद्योग
insect,कीरा
instant,तत्काल
instrument,साधन
interest,चासो
invent,आविष्कार
iron,फलाम
is,छ
island,द्वीप
it,यो
job,काम
join,join
joy,आनन्द
jump,हामफाल्नु
just,बस
keep,राखन
kept,राखिएको
key,प्रमुख
kill,मार्न
kind,दयालु
king,राजा
knew,थाह थियो
know,थाहा
lady,महिला
lake,ताल
land,भूमि
language,भाषा
large,ठूलो
last,अन्तिम
late,लेट
laugh,हाँसेको
law,व्यवस्था
lay,सुते
lead,नेतृत्व
learn,सिक्न
least,कम से कम
leave,छोड
led,नेतृत्व
left,बायाँ
leg,खुट्टा
length,लम्बाइ
less,कम
let,गरौं
letter,पत्र
level,स्तर
lie,झूट
life,जीवन
lift,लिफ्ट
light,प्रकाश
like,जस्तै
line,नयाँ
liquid,तरल
list,सूची
listen,सुन्न
little,साना
live,बाँच्न
locate,तोक्न
log,लग
lone,लोन
long,लामो
look,रुप
lost,गुमाए
lot,धेरै
loud,चर्को
love,प्रेम
low,कम
machine,मिसिन
made,गरे
magnet,चुम्बक
main,मुख्य
major,प्रमुख
make,बनाउन
man,मानिस
many,धेरै
map,नक्शा
mark,मार्क
market,बजार
mass,सामूहिक
master,मालिक
match,म्याच
material,भौतिक
matter,कुरा
may,may
me,मलाई
mean,अर्थ
meant,अर्थ
measure,उपाय
meat,मासु
meet,बैठक
melody,माधुर्य
men,पुरुष
metal,धातु
method,विधि
middle,बीचमा
might,होस्
mile,मील
milk,दूध
million,लाख
mind,मन
mine,मेरो
minute,मिनेट
miss,मिस
mix,मिश्रण
modern,आधुनिक
molecule,अणु
moment,क्षण
money,पैसा
month,महिना
moon,चन्द्र
more,थप
morning,बिहान
most,सबैभन्दा
mother,आमा
motion,गति
mount,माउन्ट
mountain,पहाड
mouth,मुख
move,कदम
much,धेरै
multiply,वृद्धि
music,संगीत
must,पर्छ
my,मेरो
name,नाम
nation,राष्ट्र
natural,प्राकृतिक
nature,प्रकृति
near,निकट
necessary,आवश्यक
neck,घाँटी
need,आवश्यक
neighbor,छिमेकीलाई
never,कहिल्यै
new,नयाँ
next,अर्को
night,रात
nine,नौ
no,कुनै
noise,शोर
noon,दिउसो
nor,न त
north,उत्तर
nose,नाक
note,नोट
nothing,केही
notice,सूचना
noun,संज्ञा
now,अब
number,नम्बर
numeral,सङ्ख्याको
object,वस्तु
observe,पालन
occur,हुन
ocean,सागर
of,को
off,बन्द
offer,प्रस्ताव
office,कार्यालयको
often,अक्सर
oh,हरे
oil,तेल
old,पुराना
on,मा
once,एक पटक
one,एक
only,केवल
open,खुला
operate,सञ्चालन
opposite,विपरीत
or,वा
order,आदेश
organ,अंग
original,मूल
other,अन्य
our,हाम्रो
out,बाहिर
over,मा
own,आफ्नै
oxygen,अक्सिजन
page,पृष्ठ
paint,उतार्न
pair,जोडी
paper,कागज
paragraph,अनुच्छेद
parent,आमा
part,अंश
particular,विशेष
party,पार्टी
pass,पारित
past,विगत
path,बाटो
pattern,नमुना
pay,तिर्न
people,मान्छे
perhaps,सायद
period,अवधिमा
person,व्यक्ति
phrase,वाक्यांश
pick,लेने
picture,picture
piece,टुक्रा
pitch,पिच
place,ठाउँ
plain,सादा
plan,योजना
plane,विमान
planet,ग्रह
plant,बिरूवा
play,खेल
please,कृपया
plural,बहुवचन
poem,कविता
point,बिन्दु
poor,गरिब
populate,आबाद
port,पोर्ट
pose,pose
position,स्थिति
possible,सम्भव
post,पोस्ट
pound,पाउन्ड
power,शक्ति
practice,अभ्यास
prepare,तयार
present,वर्तमान
press,प्रेस
pretty,धेरै
print,मुद्रण
probable,संभावित
problem,समस्या
process,प्रक्रिया
produce,उत्पादन
product,उत्पादन
proper,उचित
property,सम्पत्ति
protect,सुरक्षा
prove,प्रमाणित
provide,प्रदान
pull,पुल
push,धक्का
put,डाल
quart,रमा
question,प्रश्न
quick,छिटो
quiet,शान्त
quite,एकदम
quotient,भागफल
race,दौड
radio,रेडियो
rail,रेल
rain,वर्षा
raise,हुर्काउन
ran,भाग्यो
range,सीमा
rather,बरु
reach,पुग्न
read,पढ्न
ready,तयार
real,वास्तविक
reason,कारण
receive,प्राप्त
record,रेकर्ड
red,रातो
region,क्षेत्र
remember,सम्झना
repeat,फेरि
reply,जवाफ
represent,प्रतिनिधित्व
require,आवश्यकता
rest,बाँकी
result,परिणाम
rich,धनी
ride,सवारी
right,सही
ring,औंठी
rise,उठ्नेछ
river,नदी
road,सडक
rock,चट्टान
roll,रोल
room,कोठा
root,मूल
rope,डोरी
rose,गुलाब
round,गोल
row,पङ्क्ति
rub,दल्नु
rule,नियम
run,रन
safe,सुरक्षित
said,भने
sail,पाल
salt,नुन
same,त्यसै
sand,बालुवा
sat,sat
save,बचत
saw,देख्यो
say,भन्न
scale,मात्रा
school,स्कूल
science,विज्ञान
score,स्कोर
sea,समुद्र
search,खोज
season,मौसम
seat,सीट
second,दोस्रो
section,खण्ड
see,हेर्नुहोस्
seed,बीउ
seem,जस्तो
segment,भाग
select,चयन
self,आत्म
sell,बेचन
send,पठाउन
sense,अर्थ
sent,पठाए
sentence,सजाय
separate,अलग
serve,सेवा
set,सेट
settle,सुल्झाउन
seven,सात
several,धेरै
shall,गर्छु
shape,आकार
share,शेयर
sharp,धारिलो
she,त्यो
sheet,पाना
shell,खोल
shine,घाम लागोस्
ship,जहाज
shoe,जूता
shop,पसल
shore,किनारमा
short,छोटो
should,चाहिए
shoulder,काँध
shout,स्वरले
show,शो
side,पक्ष
sight,दृष्टि
sign,साइन
silent,मौन
silver,चाँदी
similar,यस्तै
simple,सरल
since,पछि
sing,गाउँछन्
single,एकल
sister,बहिनी
sit,बस्न
six,छ
size,आकार
skill,सीप
skin,छाला
sky,आकाश
slave,दास
sleep,निद्रामा
slip,पर्ची
slow,ढिलो
small,साना
smell,बास्ना
smile,मुस्कान
snow,हिउँ
so,यति
soft,नरम
soil,माटो
soldier,सिपाही
solution,समाधान
solve,समाधान
some,केही
son,छोरा
song,गीत
soon,चाँडै
sound,sound
south,दक्षिण
space,अन्तरिक्ष
speak,बोल्न
special,विशेष
speech,बोली
speed,गति
spell,हिज्जे
spend,खर्च
spoke,कुरा
spot,स्थान
spread,फैलियो
spring,वसन्त
square,वर्ग
stand,खडा
star,तारा
start,सुरु
state,राज्य
station,स्टेशन
stay,रहन
stead,उनीपछि नयाँ
steam,भाप
steel,स्टील
step,कदम
stick,छडी
still,अझै पनि
stone,ढुङ्गा
stood,उभिए
stop,बन्द
store,स्टोर
story,कथा
straight,सीधा
strange,अनौठो
stream,प्रवाह
street,सडक
stretch,तान्नु
string,स्ट्रिङ
strong,बलियो
student,विद्यार्थीको
study,अध्ययन
subject,विषयगत
substance,पदार्थ
subtract,घटाउनुहोस्
success,सफलता
such,यस्तो
sudden,अचानक
suffix,प्रत्यय
sugar,चिनी
suggest,सुझाव
suit,सूट
summer,गर्मी
sun,सूर्य
supply,आपूर्ति
support,सहयोग
sure,निश्चित
surface,सतह
surprise,आश्चर्य
swim,पौडी
syllable,शब्दांश
symbol,प्रतीक
system,प्रणाली
table,तालिका
tail,पुच्छर
take,ले
talk,भाषण
tall,अग्लो
teach,सिकाउँछन्
team,टीम
teeth,दाँत
tell,भन्नु
temperature,तापमान
ten,दस
term,अवधि
test,परीक्षण
than,भन्दा
thank,धन्यवाद
that,कि
the,को
their,आफ्नो
them,तिनीहरूलाई
then,त्यसपछि
there,त्यहाँ
these,यी
they,तिनीहरू
thick,बाक्लो
thin,पातलो
thing,कुरा
think,विचार
third,तेस्रो
this,यो
those,ती
though,यद्यपि
thought,लाग्यो
thousand,हजार
three,तीन
through,माध्यम
throw,बिसाउन
thus,यसरी
tie,टाई
time,समय
tiny,साना
tire,टायर
to,गर्न
together,सँगै
told,यसो भने
tone,टोन
too,पनि
took,लिनुभयो
tool,उपकरण
top,शीर्ष
total,कुल
touch,छुन
toward,तिर
town,शहर
track,ट्रयाक
trade,व्यापार
train,रेल
travel,यात्रा
tree,रूख
triangle,त्रिकोण
trip,यात्रा
trouble,समस्या
truck,ट्रक
true,साँचो
try,प्रयास
tube,ट्यूब
turn,फलस्वरूप
twenty,बीस
two,दुई
type,प्रकार
under,अन्तर्गत
unit,एकाइ
until,सम्म
up,अप
us,हामीलाई
use,प्रयोग
usual,सामान्य
valley,उपत्यकामा
value,मूल्य
vary,भिन्न
verb,क्रिया
very,धेरै
view,दृष्टिकोण
village,गाउँमा
visit,भ्रमण
voice,आवाज
vowel,स्वर
wait,प्रतीक्षा
walk,हिंड्न
wall,पर्खाल
want,चाहनुहुन्छ
war,युद्ध
warm,न्यानो
was,थियो
wash,धुनु
watch,घडी
water,पानी
wave,लहर
way,बाटो
we,हामी
wear,लगाउँछन्
weather,मौसम
week,हप्ता
weight,वजन
well,राम्रो
went,गए
were,थिए
west,पश्चिम
what,के
wheel,पाङ्ग्रा
when,जब
where,जहाँ
whether,कि
which,जो
while,जबकि
white,सेतो
who,जो
whole,सारा
whose,जसको
why,किन
wide,व्यापक
wife,पत्नी
wild,जङ्गली
will,हुनेछ
win,जीत
wind,हावा
window,सञ्झ्याल
wing,भाग
winter,जाडो
wire,तार
wish,इच्छा
with,संग
woman,महिला
women,महिला
wonder,आश्चर्य
won’t,नहीं हुनेछ
wood,काठ
word,शब्द
work,काम
world,संसार
would,हुनेछ
write,लेख्न
written,लिखित
wrong,गलत
wrote,यस्तो लेखे
yard,यार्ड
year,वर्ष
yellow,पहेंलो
yes,हो
yet,अझै
you,तपाईं
young,जवान
your,आफ्नो
