english,german
modern,modernen
molecule,molekül
moment,moment
money,geld
month,monat
moon,mond
more,mehr
morning,morgen
most,am meisten
mother,mutter
motion,bewegung
mount,berg
mountain,berg
mouth,mund
move,umzug
much,viel
multiply,multiplizieren
music,musik
must,muss
my,meine
name,name
nation,nation
natural,natürlich
nature,natur
near,in der nähe von
necessary,erforderlich
neck,hals
need,müssen
neighbor,nachbar
never,nie
new,neu
next,nächste
night,nacht
nine,neun
no,nicht
noise,lärm
noon,mittag
nor,noch
north,norden
nose,nase
note,note
nothing,nichts
notice,hinweis
noun,nomen
now,jetzt
number,anzahl
numeral,zahl
object,objekt
observe,beobachten
occur,auftreten
ocean,ozean
of,von
off,aus
offer,angebot
office,büro
often,oft
oh,oh
oil,öl
old,alt
on,auf
once,einmal
one,ein
only,nur
open,geöffnet
operate,betreiben
opposite,gegenteil
or,oder
order,bestellen
organ,orgel
original,original
other,andere
our,unsere
out,aus
over,über
own,besitzen
oxygen,sauerstoff
page,seite
paint,malen
pair,paar
paper,papier
paragraph,absatz
parent,elternteil
part,teil
particular,besondere
party,partei
pass,passieren
past,vergangenheit
path,weg
pattern,muster
pay,zahlen
people,menschen
perhaps,vielleicht
period,zeit
person,person
phrase,ausdruck
pick,pflücken
picture,bild
piece,stück
pitch,tonhöhe
place,ort
plain,ebene
plan,plan
plane,flugzeug
planet,erde
plant,anlage
play,spielen
please,bitte
plural,mehreren
poem,gedicht
point,punkt
poor,arm
populate,besiedeln
port,hafen
pose,pose
position,position
possible,möglich
post,nach
pound,pfund
power,macht
practice,praxis
prepare,vorbereiten
present,vorhanden
press,presse
pretty,ziemlich
print,druck
probable,wahrscheinlich
problem,problem
process,prozess
produce,produzieren
product,produkt
proper,richtig
property,immobilien
protect,schützen
prove,beweisen
provide,bieten
pull,ziehen
push,drücken
put,setzen
quart,quart
question,frage
quick,schnell
quiet,ruhig
quite,ganz
quotient,quotient
race,rennen
radio,funk
rail,schiene
rain,regen
raise,erhöhen
ran,lief
range,angebot
rather,eher
reach,erreichen
read,lesen
ready,bereit
real,realen
reason,grund
receive,empfangen
record,rekord
red,rot
region,region
remember,merken
repeat,wiederholung
reply,antworten
represent,vertreten
require,erfordern
rest,rest
result,ergebnis
rich,reich
ride,fahrt
right,recht
ring,rings
rise,steigen
river,fluss
road,straße
rock,stein
roll,rolle
room,zimmer
root,wurzel
rope,seil
rose,stiegen
round,runde
row,reihe
rub,einreiben
rule,regel
run,laufen
safe,sicher
said,sagte
sail,segel
salt,salz
same,gleich
sand,sand
sat,sa
save,sparen
saw,säge
say,sagen
scale,maßstab
school,schule
science,wissenschaft
score,partitur
sea,meer
search,suche
season,saison
seat,sitz
second,zweite
section,abschnitt
see,sehen
seed,samen
seem,scheinen
segment,segment
select,wählen
self,selbst
sell,verkaufen
send,senden
sense,sinn
sent,gesendet
sentence,satz
separate,trennen
serve,dienen
set,satz
settle,regeln
seven,sieben
several,mehrere
shall,wird
shape,form
share,aktie
sharp,scharf
she,sie
sheet,blatt
shell,schale
shine,glanz
ship,schiff
shoe,schuh
shop,geschäft
shore,ufer
short,kurz
should,sollte
shoulder,schulter
shout,schrei
show,zeigen
side,seite
sight,blick
sign,zeichen
silent,still
silver,silber
similar,ähnlich
simple,einfach
since,seit
sing,singen
single,einzel
sister,schwester
sit,sitzen
six,sechs
size,größe
skill,geschicklichkeit
skin,haut
sky,himmel
slave,sklave
sleep,schlaf
slip,rutsch
slow,schleppend
small,klein
smell,geruch
smile,lächeln
snow,schnee
so,so
soft,weich
soil,boden
soldier,soldat
solution,lösung
solve,lösen
some,einige
son,sohn
song,lied
soon,bald
sound,klingen
south,süden
space,raum
speak,sprechen
special,besondere
speech,rede
speed,geschwindigkeit
spell,buchstabieren
spend,verbringen
spoke,speiche
spot,stelle
spread,verbreitung
spring,frühling
square,platz
stand,stehen
star,stern
start,beginn
state,zustand
station,station
stay,bleiben
stead,statt
steam,dampf
steel,stahl
step,schritt
stick,stick
still,noch
stone,stein
stood,stand
stop,stopp
store,speicher
story,geschichte
straight,gerade
strange,seltsam
stream,strom
street,straße
stretch,stretch
string,schnur
strong,stark
student,schüler
study,studie
subject,thema
substance,substanz
subtract,subtrahieren
success,erfolg
such,so
sudden,plötzlich
suffix,suffix
sugar,zucker
suggest,vorschlagen
suit,anzug
summer,sommer
sun,sonne
supply,versorgung
support,unterstützung
sure,sicher
surface,oberfläche
surprise,überraschung
swim,schwimmen
syllable,silbe
symbol,zeichen
system,system
table,tabelle
tail,schwanz
take,nehmen
talk,vortrag
tall,hoch
teach,lehren
team,mannschaft
teeth,gebiss
tell,sagen
temperature,temperatur
ten,zehn
term,begriff
test,prüfung
than,als
thank,danken
that,dass
the,die
their,ihre
them,sie
then,dann
there,da
these,diese
they,sie
thick,dick
thin,dünn
thing,sache
think,denken
third,dritte
this,dies
those,diejenigen
though,obwohl
thought,gedanken
thousand,tausend
three,drei
through,durch
throw,werfen
thus,so
tie,krawatte
time,zeit
tiny,winzig
tire,reifen
to,zu
together,zusammen
told,sagte
tone,ton
too,zu
took,nahm
tool,werkzeug
top,obere
total,gesamt
touch,berühren
toward,auf
town,stadt
track,spur
trade,handel
train,zug
travel,reise
tree,baum
triangle,dreieck
trip,reise
trouble,ärger
truck,lastwagen
true,wahr
try,versuchen
tube,rohr
turn,wiederum
twenty,zwanzig
two,zwei
type,typ
under,unter
unit,einheit
until,bis
up,nach oben
us,uns
use,verwendung
usual,üblich
valley,tal
value,wert
vary,variieren
verb,verbum
very,sehr
view,blick
village,dorf
visit,besuch
voice,stimme
vowel,vokal
wait,warten
walk,gehen
wall,wand
want,wollen
war,krieg
warm,warme
was,war
wash,wasch
watch,beobachten
water,wasser
wave,welle
way,weg
we,wir
wear,tragen
weather,wetter
week,woche
weight,gewicht
well,gut
went,ging
were,waren
west,westen
what,was
wheel,rad
when,wenn
where,wo
whether,ob
which,die
while,während
white,weiß
who,die
whole,ganze
whose,deren
why,warum
wide,breit
wife,frau
wild,wilden
will,werden
win,gewinnen
wind,wind
window,fenster
wing,flügel
winter,winter
wire,draht
wish,wünschen
with,mit
woman,frau
women,frauen
wonder,wunder
won’t,wird nicht
wood,holz
word,wort
work,arbeit
world,welt
would,würde
write,schreiben
written,geschrieben
wrong,falsch
wrote,schrieb
yard,hof
year,jahr
yellow,gelb
yes,ja
yet,noch
you,sie
young,jung
your,ihre
