english,esperanto
rub,rub
rule,regulo
run,run
safe,sekura
said,diris
sail,velo
salt,sala
same,sama
sand,sablon
sat,sat
save,ŝpari
saw,segilo
say,diras
scale,skalo
school,lernejo
science,scienco
score,interpunkcio
sea,maro
search,serĉo
season,sezono
seat,seĝo
second,dua
section,sekcio
see,vidi
seed,semoj
seem,ŝajnas
segment,segmento
select,elekti
self,aŭto
sell,vendi
send,sendu
sense,sento
sent,sendis
sentence,kondamno
separate,apartaj
serve,servas
set,aro
settle,starigi
seven,sep
several,pluraj
shall,mortigu
shape,formo
share,samkondiĉe
sharp,akra
she,ŝi
sheet,sheet
shell,konko
shine,briligi
ship,ŝipo
shoe,ŝuo
shop,butiko
shore,bordo
short,mallonga
should,devus
shoulder,ŝultro
shout,krio
show,spektaklo
side,flanko
sight,vido
sign,signo
silent,malbrua
silver,arĝento
similar,simila
simple,simpla
since,ekde
sing,kanti
single,sola
sister,fratino
sit,sidiĝi
six,ses
size,grandeco
skill,lerto
skin,haŭto
sky,ĉielo
slave,sklavo
sleep,dormo
slip,slip
slow,malrapida
small,malgranda
smell,bonodoro
smile,rideto
snow,neĝo
so,tiel
soft,mola
soil,planko
soldier,soldato
solution,solvo
solve,solvi
some,iuj
son,filo
song,kanto
soon,baldaŭ
sound,soni
south,sude
space,spaco
speak,paroli
special,speciala
speech,parolado
speed,rapido
spell,literumi
spend,elspezi
spoke,parolis
spot,punkto
spread,disvastiĝo
spring,printempo
square,kvadrata
stand,staras
star,stelo
start,komenco
state,ŝtata
station,stacidomo
stay,resti
stead,anstataux
steam,vaporo
steel,ŝtalo
step,paŝo
stick,bastono
still,ankoraŭ
stone,ŝtono
stood,staris
stop,ĉesi
store,vendejo
story,rakonto
straight,rektaj
strange,stranga
stream,fluo
street,strato
stretch,sekcio
string,kordo
strong,forta
student,lernantino
study,studo
subject,subjekto
substance,substanco
subtract,subtrahi
success,sukceso
such,tiaj
sudden,subita
suffix,sufikso
sugar,sukero
suggest,sugesti
suit,kostumo
summer,someron
sun,suno
supply,provizado
support,subteno
sure,certas
surface,surfaco
surprise,surprizo
swim,naĝi
syllable,silabo
symbol,simbolo
system,sistemo
table,tablo
tail,vosto
take,preni
talk,diskuto
tall,altkreska
teach,instruos
team,teamo
teeth,dentoj
tell,diru
temperature,temperaturo
ten,dek
term,termino
test,testo
than,ol
thank,dankon
that,ke
the,la
their,iliaj
them,ilin
then,tiam
there,tie
these,tiuj
they,ili
thick,dikaj
thin,maldika
thing,afero
think,pensas
third,triono
this,tiu
those,tiuj
though,kvankam
thought,pensis
thousand,milo
three,tri
through,per
throw,ĵeti
thus,tiele
tie,egaleco
time,tempo
tiny,etajn
tire,pneŭo
to,por
together,kune
told,rakontis
tone,tono
too,tro
took,prenis
tool,ilo
top,supro
total,entute
touch,tuŝi
toward,rilate
town,urbo
track,aŭtoveturejo
trade,komerco
train,trajno
travel,vojaĝado
tree,arbo
triangle,triangulo
trip,vojaĝo
trouble,malfelicxo
truck,kamiono
true,vera
try,provu
tube,tubo
turn,siavice
twenty,dudek
two,du
type,tipo
under,sub
unit,unuo
until,ĝis
up,supren
us,nin
use,uzo
usual,kutima
valley,valo
value,valoro
vary,varios
verb,verbo
very,tre
view,vido
village,vilaĝo
visit,vizito
voice,voĉo
vowel,vokalo
wait,atendi
walk,marŝi
wall,muro
want,volas
war,milito
warm,varma
was,estis
wash,lavita
watch,spekti
water,akvo
wave,ondo
way,vojo
we,ni
wear,surhavi
weather,vetero
week,semajno
weight,pezo
well,bone
went,eniris
were,estis
west,okcidenta
what,kio
wheel,radon
when,kiam
where,kie
whether,ĉu
which,kio
while,dum
white,blanka
who,kiuj
whole,aro
whose,kies
why,kial
wide,larĝa
wife,edzino
wild,sovaĝa
will,volo
win,venko
wind,vento
window,fenestro
wing,flugilo
winter,vintro
wire,drato
wish,deziri
with,kun
woman,virino
women,virinoj
wonder,demandas
won’t,ne faros
wood,ligno
word,vorto
work,laboro
world,mondo
would,farus
write,skribi
written,skribita
wrong,malĝusta
wrote,skribis
yard,jardo
year,jaro
yellow,flava
yes,jes
yet,ankoraŭ
you,vi
young,junulo
your,via
