english,finnish
day,päivä
dead,kuollut
deal,sopimus
dear,rakas
death,kuolema
decide,päättää
decimal,desimaalin
deep,syvä
degree,aste
depend,riippua
describe,kuvata
desert,aavikko
design,suunnittelu
determine,määrittää
develop,kehittää
dictionary,sanakirja
did,teki
die,die
differ,erota
difficult,vaikea
direct,suora
discuss,keskustella
distant,kaukainen
divide,kahtiajaon
division,jako
do,tehdä
doctor,lääkäri
does,tekee
dog,koira
dollar,dollari
done,tehty
don’t,eivät
door,ovi
double,kaksinkertainen
down,alas
draw,piirtää
dream,unelma
dress,mekko
drink,juoma
drive,ajaa
drop,pudota
dry,kuiva
duck,ankka
during,aikana
each,kukin
ear,korva
early,varhainen
earth,maa
ease,helppous
east,itään
eat,syödä
edge,reuna
effect,vaikutus
egg,muna
eight,kahdeksan
either,jompikumpi
electric,sähköinen
element,elementti
else,muu
end,pää
enemy,vihollinen
energy,energia
engine,moottori
enough,tarpeeksi
enter,astua
equal,yhtäläinen
equate,rinnastaa
especially,erityisesti
even,jopa
evening,ilta
event,tapahtuma
ever,koskaan
every,joka
exact,tarkka
example,esimerkiksi
except,paitsi
excite,kiihottaa
exercise,liikunta
expect,odottaa
experience,kokemus
experiment,kokeilu
eye,silmä
face,kasvot
fact,tosiasia
fair,oikeudenmukainen
fall,pudota
family,perhe
famous,kuuluisa
far,pitkälle
farm,maatila
fast,nopeasti
fat,rasva
father,isä
favor,suosia
fear,pelko
feed,rehu
feel,tuntea
feet,jalat
fell,laski
felt,huopa
few,harvat
field,kenttä
fig,viikuna
fight,taistelu
figure,kuva
fill,täyttää
final,lopullinen
find,löytää
fine,hieno
finger,sormi
finish,viimeistely
fire,palo
first,ensimmäinen
fish,kala
fit,sovittaa
five,viisi
flat,tasainen
floor,lattia
flow,virtaus
flower,kukka
fly,lentää
follow,seurata
food,ruoka
foot,jalka
for,varten
force,voima
forest,metsä
form,lomake
forward,eteenpäin
found,löytyi
four,neljä
fraction,osa
free,vapaa
fresh,tuore
friend,ystävä
from,alkaen
front,etuosa
fruit,hedelmät
full,täysi
fun,hauskaa
game,peli
garden,puutarha
gas,kaasu
gather,kerätä
gave,antoi
general,yleinen
gentle,lempeä
get,saada
girl,tyttö
give,antaa
glad,iloinen
glass,lasi
go,mennä
gold,kulta
gone,poissa
good,hyvä
got,sai
govern,säätelevät
grand,suuri
grass,ruoho
gray,harmaa
great,suuri
green,vihreä
grew,kasvoi
ground,maa
group,ryhmä
grow,kasvaa
guess,arvata
guide,opas
gun,gun
had,oli
hair,hiukset
half,puoli
hand,käsi
happen,tapahtua
happy,onnellinen
hard,kova
has,on
hat,hattu
have,olla
he,hän
head,pää
hear,kuulla
heard,kuuli
heart,sydän
heat,lämpö
heavy,raskas
held,held
help,auttaa
her,hänen
here,täällä
high,korkea
hill,mäki
him,häntä
his,hänen
history,historia
hit,osuma
hold,pidä
hole,reikä
home,koti
hope,toivottavasti
horse,hevonen
hot,kuuma
hour,tunti
house,talo
how,miten
huge,valtava
human,ihmisen
hundred,sata
hunt,metsästää
hurry,kiire
i,minä
ice,jää
idea,idea
if,jos
imagine,kuvitella
in,sisään
inch,tuuma
include,sisältävät
indicate,osoittaa
industry,teollisuus
insect,hyönteinen
instant,välitön
instrument,väline
interest,etua
invent,keksiä
iron,rauta
is,on
island,saari
it,se
job,työ
join,yhtyä
joy,ilo
jump,hyppy
just,vain
keep,pitää
kept,säilytettävä
key,avain
kill,tappaa
kind,kind
king,kuningas
knew,tiesi
know,tietää
lady,lady
lake,järvi
land,maa
language,kieli
large,suuri
last,viime
late,myöhään
laugh,nauraa
law,laki
lay,asettaa
lead,johtaa
learn,oppia
least,vähiten
leave,jätä
led,led
left,vasen
leg,jalka
length,pituus
less,vähemmän
let,antaa
letter,kirje
level,taso
lie,valhe
life,elämä
lift,hissi
light,valo
like,kuten
line,linja
liquid,neste
list,lista
listen,kuunnella
little,vähän
live,elää
locate,paikantaa
log,loki
lone,yksinäinen
long,pitkä
look,katso
lost,menetetty
lot,paljon
loud,äänekäs
love,rakkaus
low,alhainen
machine,kone
made,tehty
magnet,magneetti
main,tärkein
major,merkittävä
make,tehdä
man,mies
many,monet
map,kartta
mark,merkki
market,markkinat
mass,massa
master,mestari
match,ottelu
material,materiaali
matter,asia
may,saattaa
me,minua
mean,tarkoittaa
meant,tarkoitti
measure,mitata
meat,liha
meet,tavata
melody,melodia
men,miehet
metal,metalli
method,menetelmä
middle,keskellä
might,ehkä
mile,maili
milk,maito
million,miljoona
mind,mieli
mine,mine
minute,minuutti
miss,neiti
mix,sekoittaa
modern,nykyaikainen
molecule,molekyyli
moment,hetki
money,raha
month,kuukausi
moon,moon
more,lisää
morning,aamu
most,eniten
mother,äiti
motion,motion
mount,mount
mountain,vuori
mouth,suu
move,liikkua
much,paljon
multiply,lisääntyä
music,musiikki
must,must
my,minun
name,nimi
nation,kansakunta
natural,luonnollinen
nature,luonto
near,lähellä
necessary,välttämätön
neck,niska
need,tarvitsevat
neighbor,naapuri
never,ei koskaan
new,uusi
next,seuraava
night,yö
nine,yhdeksän
no,ei
noise,melu
noon,keskipäivällä
nor,eikä myöskään
north,pohjoiseen
nose,nenä
note,huomautus
nothing,ei mitään
notice,huomautus
noun,substantiivi
now,nyt
number,numero
numeral,numero
object,esine
observe,tarkkailla
occur,esiintyä
ocean,valtameri
of,jos
off,pois
offer,tarjous
office,toimisto
often,usein
oh,oi
oil,öljy
old,vanha
on,päälle
once,kerran
one,yksi
only,vain
open,avoin
operate,toimivat
opposite,päinvastainen
or,tai
order,järjestys
organ,urut
original,alkuperäinen
other,muut
our,meidän
out,ulos
over,yli
own,oma
oxygen,happi
page,sivu
paint,maali
pair,pari
paper,paperi
paragraph,kohta
parent,vanhempi
part,osa
particular,erityinen
party,puolue
pass,kulkea
past,ohi
path,polku
pattern,kuvio
pay,maksaa
people,ihmiset
perhaps,ehkä
period,aika
person,henkilö
phrase,lause
pick,poimia
picture,kuva
piece,pala
pitch,piki
place,paikka
plain,tavallinen
plan,suunnitelma
plane,kone
planet,planeetta
plant,kasvi
play,pelata
please,olkaa hyvä
plural,monikko
poem,runo
point,kohta
poor,kehno
populate,asuttaa
port,portti
pose,aiheuttaa
position,asema
possible,mahdollinen
post,virka
pound,punta
power,voima
practice,käytäntö
prepare,valmistella
present,nykyinen
press,lehdistö
pretty,aika
print,painatus
probable,todennäköinen
problem,ongelma
process,prosessi
produce,tuottaa
product,tuote
proper,oikea
property,omaisuus
protect,suojella
prove,todistaa
provide,antaa
pull,vetää
push,push
put,laittaa
quart,gallona
question,kysymys
quick,nopea
quiet,hiljainen
quite,melko
quotient,osamäärä
race,kilpailu
radio,radio
rail,kisko
rain,sade
raise,nostaa
ran,juoksi
range,alue
rather,pikemminkin
reach,tavoittaa
read,lue
ready,valmis
real,todellinen
reason,syy
receive,vastaanottaa
record,ennätys
red,punainen
region,alue
remember,muistaa
repeat,toistaa
reply,vastata
represent,edustaa
require,vaatia
rest,levätä
result,tulos
rich,rikas
ride,ratsastaa
right,oikea
ring,rengas
rise,nousta
river,joki
road,tie
rock,kallio
roll,rulla
room,huone
root,juuri
rope,köysi
rose,rose
round,pyöreä
row,rivi
rub,hieroa
rule,sääntö
run,run
safe,turvallinen
said,sanoi
sail,purje
salt,suola
same,sama
sand,hiekka
sat,kyll
save,tallentaa
saw,saha
say,sanoa
scale,asteikko
school,koulu
science,tiede
score,pisteet
sea,meri
search,haku
season,kausi
seat,istuin
second,toinen
section,jakso
see,nähdä
seed,siemen
seem,näyttää
segment,segmentti
select,valita
self,itse
sell,myydä
send,lähettää
sense,merkityksessä
sent,lähetetty
sentence,virke
separate,erillinen
serve,palvella
set,setti
settle,asettua
seven,seitsemän
several,useat
shall,on
shape,muoto
share,osake
sharp,teräviä
she,hän
sheet,arkki
shell,kuori
shine,paistaa
ship,laiva
shoe,kenkä
shop,kauppa
shore,rannikko
short,lyhyt
should,pitäisi
shoulder,olkapää
shout,huutaa
show,show
side,puoli
sight,näky
sign,merkki
silent,hiljainen
silver,hopea
similar,samankaltainen
simple,yksinkertainen
since,koska
sing,laulaa
single,single
sister,sisko
sit,istua
six,kuusi
size,koko
skill,taito
skin,iho
sky,taivas
slave,orja
sleep,uni
slip,lipsahdus
slow,hidas
small,pieni
smell,haju
smile,hymy
snow,lumi
so,niin
soft,pehmeä
soil,maaperä
soldier,sotilas
solution,ratkaisu
solve,ratkaista
some,jotkut
son,poika
song,laulu
soon,pian
sound,ääni
south,etelään
space,tilaa
speak,puhua
special,erityistä
speech,puhe
speed,nopeus
spell,oikeinkirjoituksen
spend,viettää
spoke,puhui
spot,paikka
spread,leviäminen
spring,kevät
square,neliö
stand,seistä
star,tähti
start,alku
state,valtio
station,asema
stay,pysyä
stead,sijaansa
steam,höyry
steel,teräs
step,vaihe
stick,stick
still,vielä
stone,kivi
stood,seisoi
stop,lopettaa
store,myymälä
story,tarina
straight,suora
strange,outo
stream,virta
street,katu
stretch,venyttää
string,string
strong,vahva
student,opiskelija
study,tutkimus
subject,aihe
substance,aine
subtract,vähentää
success,menestys
such,niin
sudden,äkillinen
suffix,pääte
sugar,sokeri
suggest,ehdottaa
suit,puku
summer,kesä
sun,aurinko
supply,tarjonta
support,tuki
sure,varma
surface,pinta
surprise,yllätys
swim,uida
syllable,tavu
symbol,symboli
system,järjestelmä
table,taulukko
tail,pyrstö
take,ottaa
talk,puhua
tall,pitkä
teach,opettaa
team,joukkue
teeth,hampaat
tell,kertoa
temperature,lämpötila
ten,kymmenen
term,termi
test,testi
than,kuin
thank,kiitos
that,että
the,päälle
their,niiden
them,niitä
then,sitten
there,siellä
these,nämä
they,ne
thick,paksu
thin,ohut
thing,asia
think,ajatella
third,kolmas
this,tämä
those,ne
though,vaikka
thought,ajatus
thousand,tuhatta
three,kolme
through,kautta
throw,heittää
thus,näin
tie,sitoa
time,aika
tiny,pikkuruinen
tire,rengas
to,to
together,yhdessä
told,kertoi
tone,sävy
too,liian
took,otti
tool,työkalu
top,alkuun
total,yhteensä
touch,koskettaa
toward,kohti
town,kaupunki
track,raita
trade,kauppa
train,juna
travel,matkailu
tree,puu
triangle,kolmio
trip,matka
trouble,ongelmia
truck,truck
true,totta
try,yrittää
tube,putki
turn,vuoro
twenty,kaksikymmentä
two,kaksi
type,tyyppi
under,alle
unit,yksikkö
until,saakka
up,ylös
us,meille
use,käyttää
usual,tavallinen
valley,laakso
value,arvo
vary,vaihdella
verb,verbi
very,hyvin
view,näkymä
village,kylä
visit,vierailun
voice,ääni
vowel,vokaali
wait,odottaa
walk,kävellä
wall,seinä
want,haluta
war,sota
warm,lämmin
was,oli
wash,pesu
watch,katsella
water,vesi
wave,aalto
way,tapa
we,me
wear,kuluminen
weather,sää
week,viikko
weight,paino
well,hyvin
went,meni
were,olivat
west,länsi
what,mitä
wheel,pyörä
when,kun
where,jossa
whether,onko
which,joka
while,taas
white,valkoinen
who,jotka
whole,koko
whose,joiden
why,miksi
wide,leveä
wife,vaimo
wild,villi
will,tahtoa
win,voittaa
wind,tuuli
window,ikkuna
wing,siipi
winter,talvi
wire,lanka
wish,toivottaa
with,kanssa
woman,nainen
women,naiset
wonder,ihme
won’t,eivät
wood,puu
word,sana
work,työ
world,maailma
would,olisi
write,kirjoittaa
written,kirjallinen
wrong,väärä
wrote,kirjoitti
yard,piha
year,vuosi
yellow,keltainen
yes,kyllä
yet,vielä
you,sinua
young,nuori
your,sinun
