english,chinese
good,好的
good,好好
good night,晚安
gosh,天哪
governess,姆
grace,恩
gram,克
great,太棒
grid,格
ground,地
group,组
gu,顾
guard,卫
guess,猜
guide,导
gun,枪
guy,家伙
ha,哈
hair,发
half,半
hand,手
handkerchief,帕
happy,欢
happy,喜
harm,害
harmonious,谐
has been,一直
have,有
have,都有
he,他
he,伊
head,头
health,生了
heart,心
help,帮
help,助
hemp,麻
her,她的
here,這裡
hey,嘿
hi,嗨
high,很高
high,高
his,他的
history,史
home,家
hope,希望
hope,希
horse,马
hospital,院
hot,热
house,房子
how,怎麼
how,如何
how,怎
how long,多久
how much,多少
however,然
hurt,伤
husband,夫
husband,丈夫
i,我
i,i
i am pleased to,我喜
i am sorry,對不起
i really do not,真不
if,要是
if,如果
image,像
implement,器
impossible,不可能
in,里
in,在
in,中
in,裏
in,裡
in addition to,除了
in the end,到底
income,收
indeed,确
independent,独
industry,业
inferior,亚
inferior,亞
instrument,械
insurance,保
interest,兴
interesting,有趣
inverted,倒
is,才是
is,就是
is not,是不是
it,吧
it,呢
it,它
item,件
its,其
jack,杰克
joe,乔
join,联
joke,玩笑
jump,跳
just,刚
justice,义
keeping,保持
kill,杀
kill,殺
king,王
know,知道
know,知
knowledge,识
korea,丽
la,啦
language,语
large,大
last,最后
last night,昨晚
laugh,笑
law,法
le,勒
learn,学
leave,離開
less,少
less than,不到
let,讓
let,让
level,级
levin,莱
li,莉
life,生命
life,命
life,生活
light,轻
light,光
like,好像
like,喜歡
like,像是
line,线
listen,听
live,活
live,住
lives in,住在
local,地方
long,长
look,看看
look for,找
loose,松
lose,失
lose,失去
love,愛
love,情
love,爱
lu,鲁
lucky,吉
lun,伦
luo,罗
machine,机
mad,狂
main,主
make,作
make,使
man,曼
man,男人
many,很多
map,图
mark,标
marriage,婚
mary,玛
matter,物
may,可能
meaning,意思
meaning,意
meet,接
member,员
mention,提
meter,计
meter,米
military,军
mine,雷
minute,分
miss,小姐
mo,莫
mom,妈
mom,媽媽
money,钱
money,錢
mongolian,蒙
moral,德
more,更
more,越
morning,早上
most,最
mother,母
mountain,山
mouth,嘴
mouth,口
move,动
mr.,先生
mrs.,夫人
ms.,女士
multi-,多
music,乐
must,须
must,必
must,必須
must not,不要
my,我的
myself,我自己
na,娜
name,名
name,名字
need,需要
need not,不用
negligent,懈
new,新
new,新的
news,消息
next,明
ni,妮
nigeria,尼
night,晚
no,沒有
no,无
no,不是
no longer,不再
not,没
not,不
not,不了
not,都不
not,沒
not,未
not work,不行
note,注意
nothing more,而已
now,現在
number,号
number,数
oblique,斜
occasion,际
odd,奇
of,的
of,化
of course,當然
office,任
official,官
often,常
oh,噢
oh,喔
oh,哦
okay,好嗎
old,老
on,就
on,上
on behalf of,代
on the,放在
once,曾
once,一次
one day,一天
oneself,自己
only,只
only,才
open,开
or,或
or,或者
or,還是
orchid,兰
original,原
other,其他
out,出
out,出去
outside,外面
outside,外
outstanding,杰
own,自己的
package,包
painting,画
pakistan,巴
parent,亲
parents,父母
participate,参
partner,伙
pass,传
passenger,客
pay,付
people,人
perhaps,也許
person,者
phase,相
philippines,菲
photo,照
photo,照片
place,处
plan,打算
play,玩
play,戏
play,演
please,请
please,請
please,拜托
plus,加
point,點
point,点
pole,极
police,警
police,警察
poor,差
positive,正
present,现
prestige,威
previous,以前
price,价
prison,狱
problem,問題
profit,利
promise,许
promise,诺
protect,护
public,公
pull,拉
put,放
put down,放下
quasi-,准
quickly,很快
quiet,静
random,乱
ratio,比
raw,生
reach,达
real,实
real,真正
really,真是
really,真的
reason,原因
reason,理
receive,收到
recently,最近
recognize,认
record,录
red,丹
red,红
regard,视
regardless of,不管
release,释
remember,记
report,报
request,求
responsibility,责
return,回
return home,回家
rice,饭
right,权
risk,险
road,路
road,道
rockwell,洛
roll,滚
room,房
room,室
root,根
row,行
ruin,毁
rule,治
run,跑
rush,赶
safe,安
said,說的
salary,薪
sample,样
sand,沙
sang,褬
sant,真
save,救
say,说
say,說
scholar,士
school,校
scrap,屑
sea,海
search,索
secondary,次
security,安全
see,看到
see,看
see,见
seed,种
selected,选
sell,卖
send,送
send,派
sense,感
seoul,爾
seoul,尔
sex,性
shadow,影
shakespeare,莎
she,她
shellfish,贝
ship,船
shock,惊
shoot,射
shop,馆
shop,店
should,应
should,應該
show,显
side,边
single,单
sit,坐
six,六
skin,皮
sleep,睡
small,小
so,這麼
so,這樣
so,所以
so,如此
solution,解
some,些
some,有些
some,有人
some,一些
song,歌
sorry,抱歉
sound,声
sound,音
speak,讲
special,特
speech,言
spirit,灵
square,方
sri lanka,斯
star,星
start,起
start,開始
state,州
station,站
stay,留下
stem,蒂
stick,棒
stone,石
stop,停
stopper,塞
story,故事
straight,直
strange,怪
strange,奇怪
strength,强
strict,严
strike,击
strive,努力
subtitle,字幕
success,成功
suitable,适
sure,肯定
surface,面
swiss,瑞
system,系
table,表
take,拿
take off,脱
talk,谈
teach,教
team,队
technique,术
tell,告訴
tell,告
ten thousand,万
test,试
test,考
test,验
thai,泰
thank,谢
thank you,謝謝
thank you,谢谢
that,那
that,那個
that,該
that,该
the,了
the,所
the,之
the,the
the best,最好
the line,行了
then,便
then,那麼
then,则
then,然后
then,然後
theory,论
these,這些
they,们
they,他們
they,們
thing,事情
thing,東西
thing,事
think,認為
think,思
think,想到
think i,想我
this,這
this,本
this,這個
this,这
this,此
those,那些
threaten,胁
three,三
through,通
tight,紧
tile,瓦
time,時
time,時間
time,时
title,题
to,向
to,给
to,到了
to,對
to,到
to,給
to,把
to,对
to be,待
to see,去看
today,今天
together,一起
tomorrow,明天
tonight,今晚
too,太
too,太多
total,总
touch,碰
tour,游
tower,塔
transport,运
treatment,医
triumphant,凯
tuan,褍
tube,管
tune,调
turn,转
two,二
u.s.,美
uh,呃
under,下
understand,了解
understand,懂
understand,明白
unique,唯一
until,直到
urgent,急
use,用
very,很
very,非常
wait,候
wait,等
want,想
want,想要
want to know,想知道
war,战
water,水
wave,波
we,我們
we,咱
weapon,武器
wear,穿
wear,戴
week,周
weight,重
welcome,迎
well,好了
well,好吧
well,嘛
well,很好
well,好啊
western,西
what,麽
what,何
what,啥
what,什麼
what,么
wheat,麦
when,的時候
when the,當
when the,当
where,在哪
whether,是否
which,哪
white,白
who,誰
who,谁
whole,全部
whole,整
whole,全
why,為什麼
wife,老婆
wife,妻子
wife,太太
will,将
will,將
will not,不會
willing,愿
win,赢
wind,风
wine,酒
wire,丝
wish,要
with,跟
with,着
with,著
with,以
with,有了
with,同
within,内
woman,女人
word,字
words,话
work,工作
work,工
world,世界
worship,拜
wow,哇
write,写
wrong,错
yeah,呀
yeah,耶
years,年
years,岁
yes,是的
yield,产
you,你
you,你們
you,妳
you,您
you,you
your,你的
yourself,你自己
yu,褕
zhang,张
zinc,锌
