english,sesotho
feel,ikutloa
feet,maoto a
fell,oela
felt,o ile a ikutloa
few,tse seng kae
field,tšimo
fig,feie
fight,ntoa
figure,palo
fill,tlatsa
final,ho qetela
find,fumana
fine,ntle
finger,monoana
finish,fihlela qetellong
fire,mollo
first,pele
fish,litlhapi
fit,lumellane
five,tse hlano
flat,bataletseng
floor,fatse
flow,phalla
flower,lipalesa
fly,fofa
follow,latela
food,lijo
foot,maoto a
for,bakeng sa
force,matla a
forest,moru
form,foromo
forward,pele
found,ile a fumana
four,tse ’ne
fraction,karoloana
free,mahala
fresh,a hloekileng
friend,motsoalle
from,ho tloha
front,pel’a
fruit,litholoana
full,feletseng
fun,monate
game,tai game
garden,serapeng
gas,khase
gather,bokella
gave,o ile a fa
general,kakaretso
gentle,bonolo
get,fumana
girl,ngoanana
give,fa
glad,thabela
glass,khalase
go,ee
gold,khauta
gone,gone gone gone
good,molemo
got,a
govern,laolang
grand,kholo
grass,joang bo
gray,ea bohlooho
great,e khōlō
green,tala
grew,hōla
ground,fatše
group,sehlopha
grow,hōle
guess,hakanya
guide,tataisa
gun,sethunya
had,ne
hair,moriri
half,halofo
hand,letsoho la
happen,etsahala
happy,thaba
hard,ka thata
has,o na le
hat,hats
have,ba le
he,o ile a
head,hlooho
hear,utloa
heard,utloa
heart,pelo
heat,mocheso
heavy,boima
held,aa mo go one
help,thusa
her,hae
here,mona
high,phahameng
hill,leralleng
him,mo
his,hae
history,histori
hit,otla
hold,tšoara
hole,lesoba
home,lapeng
hope,le tšepo ea
horse,pere
hot,chesang
hour,hora
house,ntlo
how,joang
huge,khōlō
human,batho
hundred,le makholo a
hunt,tsoma
hurry,potlaka
i,ke
ice,leqhoa le
idea,maikutlo a
if,haeba
imagine,nahana
in,a
inch,ka intshi
include,kenyeletsa
indicate,bontša
industry,lefapha
insect,likokoanyana
instant,hang-hang
instrument,seletsa
interest,thahasello
invent,qapa
iron,tsepe
is,ke
island,sehlekehlekeng
it,e
job,mosebetsi
join,ba setho
joy,thabo
jump,qhomela
just,feela
keep,’ne
kept,a ’na a
key,moodle
kill,bolaea
kind,mofuta ofe
king,morena
knew,ne a tseba
know,tseba
lady,lady gaga
lake,letšeng
land,naheng
language,puo tn lefatshe
large,khōlō
last,ho qetela
late,morao
laugh,tseha
law,molao
lay,larileng ka
lead,lebisa
learn,ithuta
least,bonyane
leave,tlohela
led,led
left,tloha
leg,leoto
length,bolelele
less,nyane
let,a ke
letter,lengolo le
level,boemong ba
lie,leshano
life,bophelo
lift,phahamisa
light,leseli
like,joaloka
line,line line
liquid,metsi
list,lethathamo
listen,mamela
little,nyenyane
live,phela
locate,fumana
log,kena
lone,ka bomong ba chesehang
long,nako e telele
look,sheba
lost,lahleheloa
lot,ngata
loud,le phahameng
love,rata
low,tlaase
machine,mochine
made,ile a etsa
magnet,makenete
main,ka sehloohong
major,kgolo
make,etsa
man,motho
many,ba bangata ba
map,mapa
mark,letšoao
market,marakeng
mass,boima
master,mong’a
match,a bapisoa
material,lintho tse bonahalang
matter,taba
may,ka
me,’na
mean,bolela
meant,ho ne ho bolela
measure,lekanya
meat,nama
meet,kopana le
melody,lipina tsa thoriso
men,banna ba
metal,tšepe
method,mokgwa wa
middle,bohareng
might,ka ’na
mile,mile rap battle
milk,lebese
million,limilione tse
mind,kelello
mine,ka
minute,motsotso
miss,miss
mix,kopanya
modern,mehleng ea kajeno
molecule,molek’hule
moment,motsotso
money,chelete
month,moodle moodle
moon,khoeli
more,hape
morning,hoseng
most,ka ho fetisisa
mother,’me
motion,tshisinyo
mount,thabeng
mountain,thabeng
mouth,molomo oa
move,falla
much,haholo
multiply,atisa
music,mino
must,lokela ho
my,ka
name,lebitso la mokgatlo
nation,sechaba
natural,tlhaho
nature,tlhaho
near,kgauswi le
necessary,hlokahala
neck,molaleng
need,lokela
neighbor,moahelani oa
never,mohla
new,ncha
next,e ’ngoe
night,bosiu
nine,tse robong
no,ha ho
noise,lerata
noon,motsehare o moholo
nor,kapa
north,ka leboea
nose,nko
note,hlokomela
nothing,ha ho letho le
notice,tsebiso
noun,lereho
now,hona joale
number,nomoro ya
numeral,ho sebediswa makgetlo a
object,ntho
observe,boloka
occur,etsahala
ocean,leoatle
of,ea
off,theoha
offer,fana ka
office,ofisi
often,hangata
oh,la oh oh oh
oil,oli
old,li
on,ka
once,hang
one,e mong
only,feela
open,bulehileng
operate,sebetsa
opposite,fapaneng
or,kapa
order,e le hore
organ,le lekala
original,pele
other,tse ling tse
our,rōna
out,tsoa
over,ka
own,le
oxygen,oksijene
page,leqepheng la
paint,pente
pair,para
paper,pampiri
paragraph,ya ka temana ya
parent,motsoali
part,karolo
particular,itseng
party,mokga
pass,feta
past,nakong e fetileng
path,tsela
pattern,mohlala
pay,lefa
people,batho ba
perhaps,mohlomong u ka
period,nako
person,motho
phrase,poleloana e reng
pick,a nke
picture,setšoantšo
piece,sengoathoana
pitch,sekontiri se metsi
place,habité
plain,thota
plan,moralo
plane,sefofane
planet,polanete
plant,dimela
play,bapala
please,ka kopo
plural,ka bongateng
poem,thothokiso
point,ntlha
poor,mafutsana
populate,tlatse
port,koung
pose,eachother
position,boemo ba
possible,ho khoneha
post,poso
pound,boima ba
power,matla a
practice,tshebetso
prepare,lokisetsa
present,hona joale
press,tobetsa
pretty,le ntle
print,условия:
probable,probable
problem,bothata
process,tshebetso
produce,lihlahisoa
product,sehlahiswa
proper,loketseng
property,thepa
protect,sireletsa
prove,ba
provide,fana ka
pull,hula
push,sututsa
put,beha
quart,quart
question,potso
quick,ka potlako
quiet,khutsitseng
quite,haholo
quotient,quotient
race,morabe
radio,-le-moea
rail,seporo
rain,pula
raise,phahamisa
ran,a matha
range,fapaneng
rather,ho e-na
reach,fihla
read,bala
ready,itokiselitse
real,sebele
reason,lebaka la
receive,fumana
record,rekoto
red,khubelu
region,sebakeng
remember,hopola
repeat,a pheta-pheta
reply,araba ka
represent,emela
require,hloka
rest,ba bang kaofela
result,lebaka leo
rich,ruileng
ride,palama
right,tokelo ya
ring,lesale
rise,tsoha
river,nōka
road,tsela
rock,lefika
roll,moqolo
room,kamoreng
root,motso
rope,thapo
rose,a ema
round,pota
row,mola
rub,tsoaetsa
rule,busa
run,li matha
safe,bolokehileng
said,a re
sail,tsamaea ka sekepe
salt,letsoai
same,tšoanang
sand,lehlabathe
sat,a lula
save,pholosa
saw,o ile a bona
say,re
scale,tekanyo
school,sekolong
science,saense
score,laduma
sea,leoatle
search,batla
season,nako
seat,setulo
second,bobeli
section,karolo
see,bona
seed,peo ea
seem,bonahala eka
segment,karolo
select,khetha
self,ho intša
sell,rekisa
send,romela
sense,kutloisiso
sent,o ile a romela
sentence,polelo
separate,thoko
serve,sebeletsa
set,sete
settle,rarolla
seven,supa
several,tse ’maloa
shall,tla
shape,sebōpeho
share,kabelo
sharp,bohale
she,o ile a
sheet,lakane
shell,shell a
shine,le khanye ka
ship,sekepe
shoe,boots
shop,lebenkele
shore,lebopong la leoatle
short,khutšoanyane
should,lokela
shoulder,ka mahetla
shout,mohoo
show,bontša
side,lehlakoreng
sight,mahlong a
sign,pontšo
silent,ka pelong
silver,silevera
similar,tšoanang
simple,bonolo
since,ho tloha ka
sing,bina
single,nang molekane
sister,morali’abo rona
sit,lula
six,tse tseletseng
size,boholo
skill,bokgoni
skin,letlalo
sky,leholimo
slave,lekhoba
sleep,robala
slip,setlankana
slow,ea liehang
small,nyenyane
smell,monko
smile,smile smile smile
snow,lehloa
so,e le
soft,bonolo
soil,mobu
soldier,lesole
solution,tharollo
solve,rarolla
some,ba bang ba
son,mora oa
song,pina
soon,hang
sound,utloahala e
south,ka boroa
space,sebaka
speak,bua
special,khethehileng
speech,puo
speed,lebelo
spell,peleta
spend,qeta
spoke,o ile a bua
spot,letheba
spread,ata
spring,selemo
square,lisekoere
stand,ema
star,naleli
start,qala
state,mmuso
station,seteisheneng
stay,lula
stead,sebakeng
steam,mouoane
steel,tšepe
step,mohato
stick,thupa
still,e sa ntse e
stone,lejoe
stood,ema
stop,ema
store,boloka
story,pale
straight,setereiti
strange,e makatsang
stream,molapo
street,seterateng
stretch,otlolla
string,khoele
strong,matla
student,seithuti
study,ithuta
subject,taba
substance,ntho
subtract,subtract
success,katleho
such,joalo
sudden,ka tsohanyetso
suffix,suffix
sugar,tsoekere
suggest,fana ka maikutlo a
suit,sutu
summer,lehlabula
sun,letsatsi
supply,phepelo
support,tshehetso
sure,bonnete ba hore
surface,holim’a
surprise,makala ha
swim,sesa
syllable,senoko sa lentsoe se
symbol,letšoao
system,tsamaiso
table,tafoleng
tail,mohatla
take,nka
talk,puo
tall,e ba telele
teach,ruta
team,sehlopha
teeth,meno a
tell,bolella
temperature,mocheso
ten,tse leshome
term,nako
test,teko
than,ho feta
thank,leboha
that,hore
the,ea
their,ba bona ba
them,ba
then,ka nako eo
there,mono
these,tsena
they,ba
thick,teteaneng
thin,tšesaane
thing,ntho e
think,nahana
third,boraro
this,ena
those,ba
though,leha ho le joalo
thought,nahana
thousand,tse likete tse
three,tse tharo
through,ka ho
throw,lahlela
thus,ka tsela eo
tie,thae
time,nako
tiny,nyenyane
tire,khathala
to,ho
together,hammoho
told,ile a re ho
tone,modumo
too,le eena o
took,o ile a nka
tool,sesebelisoa
top,holimo
total,kakaretso
touch,ama
toward,ho
town,motse
track,pina
trade,khoebo
train,terene e
travel,maeto
tree,sefate
triangle,kgutlotharo
trip,leeto
trouble,khathatso
truck,teraka e
true,’nete
try,leka
tube,"tube,"
turn,lehlakoreng le
twenty,mashome a mabeli
two,tse peli tse
type,mofuta wa sebaka
under,tlas’a
unit,yuniti eno ya thuto
until,ho fihlela
up,ka
us,re
use,sebelisa
usual,tloaelehileng
valley,phuleng
value,bohlokoa
vary,fapana
verb,leetsi
very,haholo
view,maikutlo a
village,motseng
visit,etela
voice,lentsoe la
vowel,selumi sa senyesemane
wait,ema ho
walk,tsamaea
wall,lerako
want,batla
war,ntoa
warm,mofuthu
was,e ne e
wash,hlatsoa
watch,shebella
water,metsi a
wave,tsokoang ka
way,tsela
we,re
wear,apara
weather,meteo
week,beke le beke
weight,boima
well,hantle
went,a tsoela
were,ba ne ba
west,ka bophirimela
what,eng
wheel,pale
when,neng
where,moo
whether,hore na
which,e leng
while,ha a ntse a
white,tšoeu
who,ba ba neng ba
whole,eohle
whose,eo
why,ke hobane’ng ha
wide,ka bophara
wife,mosali oa
wild,hlaha
will,tla
win,trong win
wind,moea
window,fensetere
wing,lepheo
winter,mariha
wire,terata
wish,lakatsa
with,le
woman,mosali
women,basali ba
wonder,ipotsa
won’t,ke ke
wood,lehong
word,lentsoe la
work,mosebetsi oa
world,lefatše
would,ne
write,ngola
written,e ngotsweng
wrong,fosahetseng
wrote,o ile a ngola
yard,jareteng
year,selemo
yellow,mosehla
yes,e
yet,leha ho le joalo
you,u
young,bacha
your,hao
