english,albanian
measure,të matur
meat,mish
meet,takohen
melody,melodi
men,burra
metal,metalike
method,metoda
middle,mesme
might,mund
mile,milje
milk,qumësht
million,milion
mind,mendja
mine,minave
minute,minutë
miss,miss
mix,përzierje
modern,moderne
molecule,molekulë
moment,moment
money,paratë
month,muaj
moon,moon
more,më shumë
morning,mëngjes
most,më
mother,nënë
motion,lëvizje
mount,mali
mountain,mal
mouth,gojë
move,veprim
much,shumë
multiply,shumohen
music,muzikë
must,duhet
my,tim
name,emri
nation,komb
natural,natyrore
nature,natyra
near,afër
necessary,nevojshme
neck,qafë
need,duhet
neighbor,fqinji
never,kurrë
new,të reja
next,tjetër
night,natën
nine,nëntë
no,asnjë
noise,zhurmë
noon,mesditë
nor,as
north,veri
nose,hundë
note,shënim
nothing,asgjë
notice,njoftim
noun,emër
now,tani
number,numri
numeral,numëror
object,objekt
observe,vëzhguar
occur,ndodhin
ocean,oqean
of,i
off,nga
offer,oferta
office,zyrë
often,shpesh
oh,oh
oil,naftës
old,vjetër
on,në
once,dikur
one,një
only,vetëm
open,hapur
operate,operoj
opposite,kundërta
or,ose
order,mënyrë
organ,organ
original,origjinal
other,tjetër
our,tonë
out,jashtë
over,mbi
own,vet
oxygen,oksigjen
page,faqe
paint,bojë
pair,palë
paper,letër
paragraph,paragraf
parent,prind
part,pjesë
particular,i veçantë
party,parti
pass,kaloj
past,e kaluara
path,rrugë
pattern,model
pay,paguajnë
people,njerëz
perhaps,ndoshta
period,periudha
person,person
phrase,fraza
pick,marr
picture,foto
piece,pjesë
pitch,katran
place,vendi
plain,plain
plan,plani
plane,aeroplan
planet,planet
plant,bimë
play,luajnë
please,ju lutem
plural,shumës
poem,poemë
point,pikë
poor,varfër
populate,populloj
port,port
pose,paraqesin
position,pozita
possible,të jetë e mundur
post,pas
pound,kile
power,fuqia
practice,praktikë
prepare,përgatisë
present,pranishëm
press,shtypi
pretty,mjaft
print,print
probable,mundshme
problem,problemi
process,procesi
produce,prodhojnë
product,produkt
proper,i duhur
property,pronë
protect,mbrojtur
prove,provoj
provide,sigurojë
pull,tërheq
push,shtytje
put,vendos
quart,kuart
question,pyetje
quick,shpejtë
quiet,i qetë
quite,mjaft
quotient,herës
race,garë
radio,radio
rail,hekurudhor
rain,shi
raise,të rritur
ran,vrapoi
range,varg
rather,më tepër
reach,arrijnë
read,lexoj
ready,gati
real,real
reason,arsyeja
receive,marrë
record,rekord
red,i kuq
region,rajoni
remember,kujtoj
repeat,përsëritje
reply,përgjigjen
represent,përfaqësojnë
require,kërkojnë
rest,tjetër
result,rezultati
rich,i pasur
ride,udhëtim
right,drejtë
ring,unazë
rise,ngrihem
river,lumi
road,rrugë
rock,shkëmb
roll,roll
room,dhomë
root,rrënjë
rope,litar
rose,u rrit
round,rreth
row,rresht
rub,fshij
rule,rregull
run,drejtuar
safe,i sigurt
said,tha
sail,lundrojnë
salt,kripë
same,i njëjtë
sand,rërë
sat,sat
save,ruani
saw,pa
say,thonë
scale,shkallë
school,shkollë
science,shkenca
score,pikë
sea,deti
search,kërko
season,sezon
seat,vend
second,i dytë
section,seksion
see,shih
seed,farë
seem,duket
segment,segment
select,zgjidhni
self,vetë
sell,shes
send,dërgoni
sense,kuptim
sent,dërguar
sentence,fjali
separate,të ndara
serve,shërbejnë
set,i vendosur
settle,vendosen
seven,shtatë
several,disa
shall,duhet
shape,formë
share,pjesa
sharp,mprehtë
she,ajo
sheet,fletë
shell,shell
shine,shndrit
ship,anije
shoe,këpucëve
shop,dyqan
shore,breg
short,i shkurtër
should,duhet
shoulder,shpatull
shout,bërtas
show,show
side,anë
sight,pamje
sign,shenjë
silent,heshtur
silver,argjendi
similar,ngjashme
simple,thjeshtë
since,që prej
sing,këndoj
single,i vetëm
sister,motra
sit,rri
six,gjashtë
size,madhësia
skill,aftësi
skin,lëkurës
sky,qiell
slave,rob
sleep,gjumë
slip,shqip
slow,i ngadalshëm
small,vogël
smell,erë
smile,buzëqeshje
snow,borë
so,kështu
soft,e butë
soil,tokës
soldier,ushtar
solution,zgjidhje
solve,zgjidhur
some,disa
son,djali
song,song
soon,shpejt
sound,zë
south,jug
space,hapësirë
speak,flasin
special,të veçantë
speech,fjalim
speed,shpejtësi
spell,magji
spend,shpenzojnë
spoke,foli
spot,vend
spread,përhap
spring,pranverë
square,katrore
stand,qëndrim
star,yll
start,fillimi
state,shtet
station,stacion
stay,qëndrojnë
stead,në vend
steam,avull
steel,çeliku
step,hapi
stick,shkop
still,ende
stone,guri
stood,qëndroi
stop,stop
store,dyqan
story,histori
straight,drejt
strange,çuditshme
stream,lumë
street,rrugë
stretch,shtrirje
string,string
strong,fortë
student,studenti
study,studimi
subject,subjekt
substance,substancë
subtract,zbres
success,suksesi
such,i tillë
sudden,papritur
suffix,prapashtesë
sugar,sheqer
suggest,sugjerojnë
suit,kostum
summer,verë
sun,dielli
supply,furnizim
support,mbështetje
sure,i sigurt
surface,sipërfaqe
surprise,surprizë
swim,notoj
syllable,rrokje
symbol,simbol
system,sistemi
table,tabela
tail,bisht
take,marrë
talk,flasim
tall,i gjatë
teach,mësojnë
team,ekipi
teeth,dhëmbët
tell,them
temperature,temperatura
ten,dhjetë
term,term
test,provë
than,se
thank,thank
that,që
the,thonë
their,tyre
them,ata
then,pastaj
there,atje
these,këto
they,ata
thick,i trashë
thin,i hollë
thing,gjë
think,mendoj
third,tretë
this,kjo
those,ato
though,ndonëse
thought,mendimi
thousand,mijë
three,tre
through,me anë të
throw,hedh
thus,kështu
tie,kravatë
time,koha
tiny,vogël
tire,gomë
to,në
together,së bashku
told,tha
tone,ton
too,shumë
took,mori
tool,mjet
top,top
total,totale
touch,prek
toward,drejt
town,qytet
track,udhë
trade,tregtisë
train,tren
travel,udhëtimit
tree,pemë
triangle,trekëndësh
trip,udhëtim
trouble,probleme
truck,kamion
true,e vërtetë
try,përpiqem
tube,tub
turn,kthesë
twenty,njëzet
two,dy
type,lloj
under,nën
unit,njësi
until,deri
up,up
us,na
use,përdorimi
usual,zakonshme
valley,luginë
value,vlera
vary,ndryshojnë
verb,folje
very,shumë
view,view
village,fshati
visit,vizitë
voice,zë
vowel,zanore
wait,pres
walk,eci
wall,mur
want,dua
war,luftë
warm,ngrohtë
was,ishte
wash,laj
watch,shikojnë
water,ujë
wave,vala
way,mënyrë
we,ne
wear,vesh
weather,mot
week,javë
weight,pesha
well,mirë
went,shkoi
were,ishin
west,perëndim
what,çfarë
wheel,rrotë
when,kur
where,ku
whether,nëse
which,e cila
while,ndërsa
white,e bardhë
who,që
whole,tërë
whose,të cilit
why,pse
wide,të gjerë
wife,gruaja
wild,egra
will,do
win,fitore
wind,era
window,dritare
wing,krahut
winter,dimrit
wire,tela
wish,uroj
with,me
woman,grua
women,gratë
wonder,pyes veten
won’t,nuk do të
wood,dru
word,fjalë
work,punë
world,botëror
would,do
write,shkruaj
written,shkruar
wrong,gabuar
wrote,shkroi
yard,oborr
year,vit
yellow,verdhë
yes,po
yet,ende
you,ju
young,i ri
your,tuaj
