english,welsh
each,pob un
ear,clust
early,gynnar
earth,ddaear
ease,leddfu
east,ddwyrain
eat,bwyta
edge,ymyl
effect,effaith
egg,wy
eight,wyth
either,naill ai
electric,trydan
element,elfen
else,arall
end,pen
enemy,gelyn
energy,ynni
engine,peiriant
enough,ddigon
enter,fynd i mewn
equal,gyfartal
equate,cyfateb
especially,yn enwedig
even,hyd yn oed
evening,gyda’r nos
event,digwyddiad
ever,erioed
every,bob
exact,union
example,enghraifft
except,ac eithrio
excite,cyffroi
exercise,ymarfer corff
expect,disgwyl
experience,profiad
experiment,arbrawf
eye,llygad
face,wyneb
fact,ffaith
fair,deg
fall,disgyn
family,teulu
famous,enwog
far,yn hyn
farm,fferm
fast,cyflym
fat,braster
father,tad
favor,ffafrio
fear,ofn
feed,porthiant
feel,teimlo
feet,traed
fell,syrthiodd
felt,teimlwyd
few,ychydig
field,maes
fig,ffig
fight,frwydr
figure,ffigur
fill,llenwi
final,terfynol
find,dod o hyd i
fine,dirwy
finger,bys
finish,gorffen
fire,tân
first,yn gyntaf
fish,pysgod
fit,ffitio
five,pump
flat,fflat
floor,llawr
flow,llif
flower,blodyn
fly,hedfan
follow,dilyn
food,bwyd
foot,droed
for,gyfer
force,grym
forest,goedwig
form,ffurflen
forward,ymlaen
found,dod o hyd i
four,pedwar
fraction,ffracsiwn
free,rhad ac am ddim
fresh,ffres
friend,ffrind
from,o
front,blaen
fruit,ffrwythau
full,llawn
fun,hwyl
game,gêm
garden,gardd
gas,nwy
gather,casglu
gave,rhoddodd
general,gyffredinol
gentle,ysgafn
get,cael
girl,merch
give,rhoi
glad,falch
glass,gwydr
go,fynd
gold,aur
gone,wedi mynd
good,dda
got,got
govern,llywodraethu
grand,mawreddog
grass,glaswellt
gray,llwyd
great,mawr
green,gwyrdd
grew,tyfodd
ground,ddaear
group,grŵp
grow,tyfu
guess,dyfalu
guide,arwain
gun,gwn
had,roedd gan
hair,gwallt
half,hanner
hand,llaw
happen,yn digwydd
happy,hapus
hard,caled
has,mae gan
hat,het
have,wedi
he,ef
head,pen
hear,clywed
heard,clywed
heart,galon
heat,gwres
heavy,trwm
held,a gedwir yn
help,helpu
her,hi
here,yma
high,uchel
hill,bryn
him,iddo
his,ei
history,hanes
hit,taro
hold,dal
hole,twll
home,cartref
hope,gobeithio
horse,ceffyl
hot,poeth
hour,awr
house,tŷ
how,sut
huge,enfawr
human,dynol
hundred,cant
hunt,helfa
hurry,frys
i,yr wyf yn
ice,iâ
idea,syniad
if,os
imagine,dychmygu
in,yn
inch,modfedd
include,cynnwys
indicate,dangos
industry,diwydiant
insect,pryfed
instant,amrantiad
instrument,offeryn
interest,llog
invent,dyfeisio
iron,haearn
is,yw
island,ynys
it,mae’n
job,swydd
join,ymuno
joy,llawenydd
jump,neidio
just,yn unig
keep,cadw
kept,cadw
key,allweddol
kill,lladd
kind,fath
king,brenin
knew,gwybod
know,gwybod
lady,wraig
lake,llyn
land,tir
language,iaith
large,mawr
last,diwethaf
late,hwyr
laugh,chwerthin
law,gyfraith
lay,lleyg
lead,arwain
learn,dysgu
least,lleiaf
leave,gadael
led,arweinir
left,gadawodd
leg,goes
length,hyd
less,llai
let,gadewch
letter,llythyr
level,lefel
lie,gorwedd
life,bywyd
lift,lifft
light,golau
like,hoffi
line,llinell
liquid,hylif
list,rhestr
listen,gwrando
little,bach
live,byw
locate,o hyd
log,log
lone,eich pen eich hun
long,hir
look,edrych
lost,gollwyd
lot,llawer
loud,uchel
love,wrth eu bodd
low,isel
machine,peiriant
made,wnaed
magnet,magnet
main,prif
major,mawr
make,gwneud
man,dyn
many,llawer
map,fap
mark,marc
market,farchnad
mass,màs
master,meistr
match,gêm
material,deunydd
matter,mater
may,gall
me,mi
mean,golygu
meant,golygu
measure,mesur
meat,cig
meet,cwrdd
melody,alaw
men,dynion
metal,metel
method,dull
middle,canol
might,allai
mile,milltir
milk,llaeth
million,miliwn
mind,meddwl
mine,mwynglawdd
minute,munud
miss,miss
mix,cymysgu
modern,modern
molecule,moleciwl
moment,hyn o bryd
money,arian
month,mis
moon,lleuad
more,mwy
morning,bore
most,y rhan fwyaf
mother,mam
motion,cynnig
mount,mynydd
mountain,mynydd
mouth,geg
move,symud
much,llawer
multiply,lluosi
music,cerddoriaeth
must,rhaid
my,fy
name,enw
nation,cenedl
natural,naturiol
nature,natur
near,ger
necessary,angenrheidiol
neck,gwddf
need,angen
neighbor,cymydog
never,byth
new,newydd
next,nesaf
night,nos
nine,naw
no,dim
noise,sŵn
noon,canol dydd
nor,nac
north,gogledd
nose,trwyn
note,nodyn
nothing,dim byd
notice,rhybudd
noun,enw
now,awr
number,rhif
numeral,rhifolyn
object,gwrthrych
observe,arsylwi
occur,yn digwydd
ocean,cefnfor
of,yr
off,off
offer,cynnig
office,swyddfa
often,yn aml
oh,oh
oil,olew
old,oed
on,ar
once,unwaith
one,un
only,yn unig
open,agored
operate,gweithredu
opposite,gyferbyn
or,neu
order,gorchymyn
organ,organ
original,gwreiddiol
other,arall
our,ein
out,allan
over,dros
own,eu hunain
oxygen,ocsigen
page,dudalen
paint,paent
pair,pâr
paper,papur
paragraph,paragraff
parent,rhiant
part,rhan
particular,penodol
party,parti
pass,pasio
past,gorffennol
path,llwybr
pattern,patrwm
pay,talu
people,pobl
perhaps,efallai
period,cyfnod
person,person
phrase,ymadrodd
pick,ddewis
picture,llun
piece,darn
pitch,traw
place,lle
plain,plaen
plan,cynllun
plane,awyren
planet,blaned
plant,planhigion
play,chwarae
please,os gwelwch yn dda
plural,lluosog
poem,cerdd
point,pwynt
poor,gwael
populate,boblogi
port,porthladd
pose,peri
position,sefyllfa
possible,bosibl
post,swydd
pound,punt
power,pŵer
practice,ymarfer
prepare,paratoi
present,bresennol
press,wasg
pretty,’n bert
print,print
probable,tebygol
problem,problem
process,broses
produce,cynhyrchu
product,cynnyrch
proper,briodol
property,eiddo
protect,amddiffyn
prove,profi
provide,darparu
pull,tynnu
push,gwthio
put,rhoi
quart,chwart
question,cwestiwn
quick,cyflym
quiet,dawel
quite,eithaf
quotient,cyniferydd
race,hil
radio,cymru
rail,rheilffyrdd
rain,glaw
raise,codi
ran,rhedodd
range,amrediad
rather,yn hytrach
reach,cyrraedd
read,darllen
ready,barod
real,go iawn
reason,rheswm
receive,derbyn
record,cofnod
red,coch
region,rhanbarth
remember,cofio
repeat,ailadrodd
reply,ateb
represent,cynrychioli
require,ei gwneud yn ofynnol
rest,gorffwys
result,canlyniad
rich,gyfoethog
ride,taith
right,hawl
ring,ffoniwch
rise,codi
river,afon
road,ffordd
rock,graig
roll,gofrestr
room,ystafell
root,gwraidd
rope,rhaff
rose,rhosyn
round,rownd
row,rhes
rub,rhwbio
rule,rheol
run,rhedeg
safe,yn ddiogel
said,dywedodd
sail,hwylio
salt,halen
same,un fath
sand,tywod
sat,sat
save,arbed
saw,welodd
say,dweud
scale,graddfa
school,ysgol
science,gwyddoniaeth
score,sgôr
sea,môr
search,chwilio
season,tymor
seat,sedd
second,yn ail
section,adran
see,gweld
seed,hadau
seem,ymddangos
segment,gylchran
select,dewis
self,hunan
sell,gwerthu
send,anfon
sense,synnwyr
sent,anfon
sentence,dedfryd
separate,ar wahân
serve,gwasanaethu
set,set
settle,setlo
seven,saith
several,nifer
shall,rhaid
shape,siâp
share,rhannu
sharp,miniog
she,hi
sheet,taflen
shell,cragen
shine,disgleirio
ship,llong
shoe,esgid
shop,siop
shore,lan
short,byr
should,dylai
shoulder,ysgwydd
shout,gweiddi
show,sioe
side,ochr
sight,golwg
sign,arwydd
silent,dawel
silver,arian
similar,tebyg
simple,syml
since,ers
sing,canu
single,sengl
sister,chwaer
sit,eistedd
six,chwech
size,maint y
skill,sgiliau
skin,croen
sky,awyr
slave,gaethweision
sleep,cysgu
slip,slip
slow,araf
small,bach
smell,arogl
smile,gwenu
snow,eira
so,felly
soft,meddal
soil,pridd
soldier,milwr
solution,ateb
solve,datrys
some,rhai
son,mab
song,cân
soon,yn fuan
sound,sain
south,de
space,gofod
speak,siarad
special,arbennig
speech,lleferydd
speed,cyflymder
spell,sillafu
spend,gwario
spoke,siaradodd
spot,fan a’r lle
spread,lledaenu
spring,gwanwyn
square,sgwâr
stand,sefyll
star,seren
start,cychwyn
state,cyflwr
station,orsaf
stay,aros
stead,le ef
steam,stêm
steel,dur
step,cam
stick,ffon
still,dal
stone,cerrig
stood,sefyll
stop,rhoi’r gorau i
store,siop
story,stori
straight,syth
strange,rhyfedd
stream,nant
street,stryd
stretch,ymestyn
string,llinyn
strong,gryf
student,myfyriwr
study,astudiaeth
subject,pwnc
substance,sylweddau
subtract,tynnu
success,llwyddiant
such,fath
sudden,sydyn
suffix,ôl-ddodiad
sugar,siwgr
suggest,awgrymu
suit,siwt
summer,haf
sun,haul
supply,cyflenwad
support,cymorth
sure,siwr
surface,wyneb
surprise,syndod
swim,nofio
syllable,sillaf
symbol,arwydd
system,system
table,tabl
tail,gynffon
take,cymryd
talk,sgwrs
tall,tal
teach,dysgu
team,tîm
teeth,dannedd
tell,dweud
temperature,tymheredd
ten,deg
term,dymor
test,prawf
than,nag
thank,diolch
that,bod
the,â’r
their,eu
them,nhw
then,"yna,"
there,yno
these,rhain
they,maent
thick,trwchus
thin,tenau
thing,beth
think,meddwl
third,trydydd
this,hwn
those,y rhai
though,er bod
thought,meddwl
thousand,mil
three,tri
through,trwy
throw,taflu
thus,felly
tie,tei
time,amser
tiny,bach
tire,teiars
to,i’r
together,gyda’i gilydd
told,gwybod
tone,tôn
too,rhy
took,cymerodd
tool,offeryn
top,top
total,cyfanswm
touch,cyffwrdd
toward,tuag
town,dref
track,trac
trade,masnach
train,trên
travel,teithio
tree,goeden
triangle,triongl
trip,daith
trouble,trafferth
truck,lori
true,yn wir
try,ceisiwch
tube,tiwb
turn,dro
twenty,ugain
two,dau
type,math
under,o dan
unit,uned
until,nes
up,i fyny
us,ni
use,defnydd
usual,arferol
valley,dyffryn
value,gwerth
vary,amrywio
verb,berf
very,iawn
view,barn
village,pentref
visit,ymweliad
voice,llais
vowel,llafariad
wait,aros
walk,cerdded
wall,wal
want,eisiau
war,rhyfel
warm,gynnes
was,oedd
wash,golchi
watch,gwylio
water,dŵr
wave,don
way,ffordd
we,rydym
wear,gwisgo
weather,tywydd
week,wythnos
weight,pwysau
well,yn dda
went,aeth
were,roedd
west,orllewin
what,beth
wheel,olwyn
when,pan
where,lle
whether,p’un a
which,sy’n
while,tra
white,gwyn
who,pwy
whole,cyfan
whose,y mae ei
why,pam
wide,eang
wife,gwraig
wild,gwyllt
will,bydd
win,ennill
wind,gwynt
window,ffenestr
wing,adain
winter,gaeaf
wire,gwifren
wish,dymuno
with,gyda
woman,fenyw
women,menywod
wonder,tybed
won’t,ni fydd
wood,pren
word,gair
work,gwaith
world,byd
would,byddai
write,ysgrifennu
written,ysgrifenedig
wrong,anghywir
wrote,ysgrifennodd
yard,iard
year,flwyddyn
yellow,melyn
yes,ie
yet,eto
you,chi
young,ifanc
your,eich
