english,latin
enough,sufficit
enter,intrant
equal,aequales
equate,aequat
especially,maxime
even,etiam
evening,ad vesperum
event,eventus
ever,in perpetuum
every,omnis
exact,exactam
example,exemplum
except,nisi
excite,"excitant,"
exercise,exercitium
expect,sperare
experience,"experientiam,"
experiment,experimento
eye,oculus
face,faciem
fact,eo
fair,pulchrae
fall,ceciderit
family,familia
famous,celebre
far,tantum
farm,fundum
fast,"ieiunium,"
fat,adipem
father,"pater,"
favor,gratiam
fear,timore
feed,pascuntur
feel,sentio
feet,"pedes,"
fell,cecidit
felt,sensi
few,pauci
field,"agro,"
fig,fig
fight,pugna
figure,"figura,"
fill,imple
final,ultima
find,invenies
fine,postremo
finger,digitus
finish,peroratum
fire,"ignis,"
first,prima
fish,"pisces,"
fit,apta
five,"quinque,"
flat,flat
floor,pavimentum
flow,influunt
flower,flos
fly,fuge
follow,sequitur
food,cibum
foot,pede
for,nam
force,vi
forest,saltus
form,"forma,"
forward,et deinceps
found,invenit
four,"quatuor,"
fraction,fractionem
free,absque
fresh,recentes
friend,amicitia
from,de
front,ante
fruit,fructus
full,pleni
fun,fun
game,ludum
garden,hortum
gas,vestibulum
gather,congregate
gave,deditque
general,generalis
gentle,mitis
get,adepto
girl,puella
give,dabit
glad,gavisus
glass,vitro
go,"vade,"
gold,"aurum,"
gone,abiit
good,"bonum,"
got,obtinuit
govern,regunt
grand,magnificum
grass,fœnum
gray,gray
great,magna
green,viridem
grew,crevit
ground,"terra,"
group,group
grow,crescat
guess,suspicor
guide,dirige
gun,gun
had,quod
hair,capillum
half,dimidiam
hand,manibus
happen,fieri
happy,beati
hard,difficile
has,habet
hat,hat
have,habent
he,ipse
head,"caput,"
hear,audite
heard,audivit
heart,cor
heat,calor
heavy,magna
held,posside
help,adiuva
her,eius
here,hic
high,princeps
hill,tumulus
him,eo
his,eius
history,rerum
hit,ictus
hold,tenent
hole,"violet,"
home,domum
hope,spero
horse,equo
hot,calidum
hour,"hora,"
house,domus
how,quam
huge,ingenti
human,hominis
hundred,centum
hunt,hunt
hurry,festinate
i,sum
ice,"glaciem,"
idea,idea
if,si
imagine,imaginari
in,in
inch,inch
include,comprehendo
indicate,indica
industry,industria
insect,insect
instant,instant
instrument,"instrumentum,"
interest,interest
invent,confingunt
iron,"ferrum,"
is,est
island,"insulam,"
it,quod
job,officium
join,iungere
joy,"gaudium,"
jump,salire
just,iustus
keep,custodi
kept,custodivit
key,key
kill,occides
kind,quaedam
king,"rex,"
knew,cognovit
know,scitis
lady,dominae
lake,stagnum
land,"terra,"
language,lingua
large,magna
last,novissime
late,quondam
laugh,rideat
law,legem
lay,dormivitque
lead,ducit
learn,discant
least,minimus
leave,relinquo
led,ductus
left,reliquit
leg,leg
length,longitudinis
less,minor
let,dimitte
letter,litteris
level,plana
lie,mendacium
life,"vita,"
lift,vitae
light,lucem
like,sicut
line,line
liquid,liquidum
list,album
listen,audite
little,parum
live,vivo
locate,locant
log,stipes
lone,"agitur,"
long,longis
look,respice
lost,"perierat,"
lot,multum
loud,magna
love,amant
low,"humilis,"
machine,apparatus
made,factum
magnet,magnes
main,main
major,major
make,fac
man,hominis
many,multis
map,tabula
mark,caracterem
market,ipsum
mass,missa
master,magister
match,par
material,material
matter,materia
may,ut
me,me
mean,significant
meant,intelligantur
measure,metiretur
meat,cibum
meet,concurrunt
melody,melodiam
men,homines
metal,ferrum
method,methodo
middle,mediam
might,ut
mile,mille passuum
milk,"lac,"
million,million
mind,animus
mine,mea
minute,minute
miss,requisierit
mix,"miscere,"
modern,modern
molecule,moleculo
moment,momento
money,"pecuniam,"
month,mense
moon,lunam
more,more
morning,"mane,"
most,maxime
mother,"mater,"
motion,motus
mount,montem
mountain,montem
mouth,"os,"
move,movemur
much,tantum
multiply,multiplicabo
music,musica
must,necesse
my,mea
name,nomen
nation,gentem
natural,naturalis
nature,natura
near,prope
necessary,necesse
neck,cervicibus
need,opus
neighbor,"proximus,"
never,numquam
new,novum
next,postero
night,noctis
nine,"novem,"
no,nulla
noise,sonus
noon,meridies
nor,neque
north,aquilonem
nose,nasum
note,note
nothing,aliquid
notice,observate
noun,noun
now,nunc
number,numerus
numeral,numerales
object,obiectum
observe,observa
occur,incididunt
ocean,oceanus
of,de
off,off
offer,offer
office,officium
often,saepe
oh,o
oil,olei
old,vetus
on,in
once,quondam
one,unum
only,nisi
open,aperi
operate,"operantur,"
opposite,oppositi
or,vel
order,ut
organ,"organo,"
original,original
other,alia
our,nostrum
out,ex
over,supra
own,ipse
oxygen,dolor
page,page
paint,"pingere,"
pair,par
paper,cartam
paragraph,paragraph
parent,parente
part,"pars,"
particular,particularis
party,pars
pass,factum
past,past
path,semita
pattern,"exemplar,"
pay,redde
people,"populus,"
perhaps,forsan
period,tempus
person,aliquis
phrase,phrase
pick,colligunt
picture,ipsum
piece,frustrum
pitch,picem
place,pro eo
plain,"patet,"
plan,consilium
plane,planum
planet,planeta
plant,herba
play,fabula
please,"obsecro,"
plural,plural
poem,poem
point,punctum
poor,"pauper,"
populate,frequentare
port,"portus,"
pose,"aut statum,"
position,locus
possible,potest
post,post
pound,libra
power,potestatem
practice,praxi
prepare,praeparabit
present,praesens
press,turba
pretty,bellum
print,print
probable,probabile
problem,forsit
process,aliquid
produce,producere
product,vestibulum
proper,proprium
property,proprietate
protect,protegat
prove,probant
provide,praestare
pull,attrahendam
push,dis
put,posuit
quart,quart
question,quaestio
quick,acutus
quiet,quietum
quite,prorsus
quotient,quotus
race,generis
radio,radio
rail,cogitis
rain,pluviae
raise,resuscitabo
ran,"cucurrit,"
range,range
rather,"potius,"
reach,attingere
read,lego
ready,parata
real,ipsum
reason,ideo
receive,accipiet
record,testimonium
red,red
region,regionem
remember,memores
repeat,iterum
reply,respondeo
represent,"repraesentant,"
require,requirunt
rest,reliqua
result,ex
rich,dives
ride,ride
right,ius
ring,orbis
rise,surgere
river,fluvio
road,"via,"
rock,petræ
roll,volumen
room,locus
root,radix
rope,fune
rose,surrexit
round,per
row,row
rub,fricabis
rule,imperium
run,currunt
safe,salvum
said,dixitque
sail,vela
salt,"sal,"
same,idem
sand,"arenam,"
sat,sat
save,salvum
saw,viderunt omnes
say,dicunt
scale,statera
school,scholae
science,"scientia,"
score,octoginta
sea,"mare,"
search,quaerere
season,tempore
seat,cathedra
second,secundo
section,section
see,video
seed,"semen,"
seem,videtur
segment,segmentum
select,"eligere,"
self,ipsum
sell,"vende,"
send,mitto
sense,sensum
sent,misit
sentence,sententia
separate,separatum
serve,serviant
set,set
settle,habita
seven,"septem,"
several,plures
shall,numquid
shape,figura
share,share
sharp,"acutum,"
she,quae
sheet,linteum
shell,testa
shine,luceat
ship,navem
shoe,calceum
shop,taberna
shore,litore
short,breves
should,ut
shoulder,umero
shout,jubila
show,ostende
side,latere
sight,visum
sign,signum
silent,silentium
silver,"argentum,"
similar,simile
simple,"simplex,"
since,cum
sing,cantabo
single,una
sister,soror
sit,sedebitis
six,"sex,"
size,amplitudo
skill,peritia
skin,pelle
sky,caelum
slave,servus
sleep,somnum
slip,labente
slow,tardus
small,parva
smell,olfactus
smile,risu
snow,"nix,"
so,ita
soft,molli
soil,solum
soldier,"miles,"
solution,solutio
solve,solve
some,aliqua
son,"filius,"
song,canticum
soon,mox
sound,tuba canerent
south,austri
space,locus
speak,dicere
special,peculiarem
speech,oratio
speed,celeritate
spell,eamque
spend,expendas
spoke,locutusque
spot,locum
spread,expandit
spring,ver
square,quadratum
stand,stant
star,"stella,"
start,initium
state,status
station,statio
stay,manete
stead,pro eo
steam,vapor
steel,"ferrum,"
step,step
stick,lignum
still,etiam
stone,"lapis,"
stood,stetit
stop,subsisto
store,store
story,fabula
straight,rectas
strange,mirum
stream,fluvius
street,platea
stretch,tractum
string,nervo
strong,confortare
student,discipulo
study,studiorum
subject,subiectum
substance,substantia
subtract,auferatur
success,successu
such,talis
sudden,repentino
suffix,etiamne
sugar,sugar
suggest,suadeant
suit,sectam
summer,aestas
sun,solis
supply,copia
support,auxilium
sure,certus
surface,superficies
surprise,mirantique
swim,natant
syllable,syllabae
symbol,signum
system,ratio
table,mensamque
tail,caudae
take,accipe
talk,disputatio
tall,tall
teach,docebit
team,bigas
teeth,dentium
tell,indica
temperature,temperatus
ten,decem
term,term
test,aliquam
than,quam
thank,gratias
that,quod
the,in
their,eorum
them,eorum
then,tunc
there,ibi
these,haec
they,illi
thick,densa
thin,tenuis
thing,aliquid
think,puto
third,tertia
this,hoc
those,eorum
though,tametsi
thought,cogitavit
thousand,milia
three,tribus
through,per
throw,mittite
thus,ita
tie,tatem
time,tempore
tiny,vegrandis
tire,piget
to,ut
together,simul
told,nuntiavit
tone,tone
too,etiam
took,tulit
tool,ferramentum
top,top
total,totalis
touch,tangerent
toward,in
town,urbem
track,semita
trade,commercia
train,erant
travel,peregrinationes
tree,lignum
triangle,triangulo
trip,trinus
trouble,angustia
truck,dolor
true,verum
try,tentant
tube,tube
turn,vicissim
twenty,viginti
two,duobus
type,type
under,sub
unit,unitas
until,usque
up,ascendit
us,nos
use,"usus,"
usual,more
valley,vallis
value,value
vary,variant
verb,"verbo,"
very,ipsum
view,visum
village,villa
visit,visit
voice,vox
vowel,"vocali,"
wait,exspecta
walk,ambulate
wall,murum
want,volo
war,"bellum,"
warm,calidum
was,fuit
wash,lava
watch,vigilate
water,aquam
wave,"unda,"
way,modo
we,nos
wear,induere
weather,tempestas
week,week
weight,"pondus,"
well,etiam
went,abiit
were,erant
west,occasu
what,quod
wheel,rotam
when,cum
where,ubi
whether,sive
which,quibus
while,cum
white,album
who,"qui,"
whole,omnis
whose,cuius
why,quid
wide,wide
wife,uxorem
wild,fera
will,voluntas
win,vincere
wind,spiritus
window,fenestram
wing,alae
winter,winter
wire,wire
wish,volunt
with,cum
woman,"mulier,"
women,"mulieres,"
wonder,"admiramini,"
won’t,nolo
wood,lignum
word,"verbo,"
work,opus
world,orbis
would,utinam
write,scribo
written,scriptum
wrong,iniuriam
wrote,scripsit
yard,navale
year,anno
yellow,flavis
yes,etiam
yet,sed
you,"vos,"
young,adulescens
your,tuus
