english,serbian
except,осим
excite,узбуђују
exercise,вежба
expect,очекују
experience,искуство
experiment,експеримент
eye,еие
face,фаце
fact,чињеница
fair,фаир
fall,пасти
family,породица
famous,познати
far,далеко
farm,фарм
fast,фаст
fat,масти
father,отац
favor,фаворизовати
fear,страх
feed,феед
feel,осетити
feet,феет
fell,пала
felt,осећао
few,мало
field,поље
fig,фиг
fight,фигхт
figure,слика
fill,попунити
final,коначни
find,наћи
fine,фино
finger,прст
finish,финисх
fire,фире
first,прво
fish,фисх
fit,фит
five,фиве
flat,стан
floor,спрат
flow,флов
flower,фловер
fly,фли
follow,фоллов
food,фоод
foot,фоот
for,за
force,сила
forest,шума
form,облик
forward,напред
found,фоунд
four,четири
fraction,фракција
free,бесплатно
fresh,фресх
friend,пријатељ
from,из
front,фронт
fruit,фруит
full,пун
fun,фун
game,гаме
garden,гарден
gas,гас
gather,окупљају
gave,дао
general,генерал
gentle,нежан
get,добити
girl,девојка
give,даје
glad,драго
glass,стакло
go,иди
gold,злато
gone,гоне
good,гоод
got,имам
govern,регулишу
grand,гранд
grass,трава
gray,греи
great,велики
green,зелена
grew,растао
ground,тло
group,група
grow,расти
guess,ваљда
guide,водич
gun,гун
had,имао
hair,хаир
half,халф
hand,рука
happen,деси
happy,срећан
hard,тежак
has,има
hat,шешир
have,имају
he,он
head,глава
hear,хеар
heard,чуо
heart,хеарт
heat,топлоте
heavy,тежак
held,хелд
help,помоћ
her,јој
here,овде
high,висока
hill,хилл
him,га
his,његов
history,историја
hit,ударити
hold,држите
hole,холе
home,дом
hope,надам се
horse,хорсе
hot,хот
hour,сат
house,хоусе
how,како
huge,огроман
human,људски
hundred,сто
hunt,хунт
hurry,пожури
i,и
ice,ице
idea,идеја
if,ако
imagine,замислите
in,у
inch,инцх
include,укључују
indicate,указују
industry,индустрија
insect,инсеката
instant,инстант
instrument,инструмент
interest,интерест
invent,инвент
iron,ирон
is,је
island,исланд
it,она
job,јоб
join,придружи
joy,јои
jump,јумп
just,само
keep,задржати
kept,чува
key,кеи
kill,убити
kind,врста
king,кинг
knew,знао
know,знам
lady,лади
lake,лаке
land,ланд
language,лангуаге
large,велика
last,ласт
late,касно
laugh,смех
law,закон
lay,лаи
lead,води
learn,научити
least,најмање
leave,оставити
led,водио
left,напустио
leg,нога
length,дужина
less,мање
let,лет
letter,леттер
level,ниво
lie,лаж
life,живот
lift,лифт
light,лигхт
like,као
line,линија
liquid,течност
list,листа
listen,листен
little,литтле
live,ливе
locate,лоцирати
log,лог
lone,усамљен
long,лонг
look,изгледа
lost,изгубио
lot,лот
loud,гласно
love,лове
low,низак
machine,машина
made,маде
magnet,магнет
main,маин
major,мајор
make,направити
man,човек
many,многи
map,карта
mark,ознака
market,тржиште
mass,маса
master,мастер
match,матцх
material,материјал
matter,материја
may,мај
me,ме
mean,значити
meant,значило
measure,мерење
meat,месни
meet,меет
melody,мелоди
men,мен
metal,метал
method,метод
middle,миддле
might,моћ
mile,миле
milk,млеко
million,милиона
mind,минд
mine,мине
minute,минут
miss,мисс
mix,мик
modern,модеран
molecule,молекул
moment,тренутак
money,новац
month,месец
moon,моон
more,више
morning,морнинг
most,мост
mother,мајка
motion,мотион
mount,моунт
mountain,моунтаин
mouth,уста
move,потез
much,много
multiply,помножите
music,мусиц
must,муст
my,мој
name,назив
nation,народ
natural,природни
nature,природа
near,близу
necessary,неопходно
neck,врат
need,треба
neighbor,комшија
never,никад
new,нев
next,следећа
night,нигхт
nine,девет
no,но
noise,бука
noon,ноон
nor,нити
north,север
nose,нос
note,напомена
nothing,ништа
notice,белешка
noun,именица
now,сада
number,број
numeral,нумерал
object,објекат
observe,посматрати
occur,доћи
ocean,оцеан
of,од
off,офф
offer,понуда
office,канцеларија
often,често
oh,ох
oil,уље
old,олд
on,о
once,једном
one,један
only,само
open,отворен
operate,раде
opposite,супротно
or,или
order,редослед
organ,орган
original,оригинал
other,друго
our,наш
out,напоље
over,преко
own,сопствени
oxygen,кисеоник
page,паге
paint,боја
pair,паир
paper,папир
paragraph,став
parent,родитељ
part,парт
particular,посебно
party,парти
pass,проћи
past,прошлост
path,путања
pattern,паттерн
pay,плате
people,људи
perhaps,можда
period,период
person,лице
phrase,фраза
pick,пицк
picture,пицтуре
piece,комад
pitch,нагиб
place,место
plain,плаин
plan,план
plane,плане
planet,планет
plant,биљка
play,плаи
please,молим те
plural,плурал
poem,песма
point,поинт
poor,лоша
populate,населити
port,порт
pose,посе
position,позиција
possible,могуће
post,пост
pound,поунд
power,повер
practice,пракса
prepare,припремити
present,присутна
press,пресс
pretty,прилично
print,штампа
probable,вероватно
problem,проблем
process,процес
produce,производе
product,продуцт
proper,правилно
property,проперти
protect,заштитити
prove,доказати
provide,обезбедити
pull,повући
push,пусх
put,пут
quart,куарт
question,питање
quick,брзо
quiet,куиет
quite,сасвим
quotient,количник
race,раса
radio,радио
rail,раил
rain,раин
raise,подићи
ran,ран
range,домет
rather,прилично
reach,достићи
read,прочитајте
ready,реади
real,прави
reason,разлог
receive,добијају
record,рекорд
red,црвена
region,регион
remember,запамтите
repeat,репеат
reply,одговорити
represent,представљају
require,захтевају
rest,одмор
result,резултат
rich,богат
ride,вожња
right,право
ring,ринг
rise,рисе
river,ривер
road,пут
rock,роцк
roll,ролна
room,соба
root,роот
rope,конопац
rose,росе
round,роунд
row,ред
rub,руб
rule,правило
run,рун
safe,безбедан
said,рекао
sail,саил
salt,со
same,исто
sand,санд
sat,сат
save,сачувати
saw,сав
say,кажу
scale,скала
school,сцхоол
science,наука
score,скор
sea,сеа
search,претраживање
season,сеасон
seat,сеат
second,други
section,секција
see,видети
seed,семе
seem,изгледа
segment,сегмент
select,изаберите
self,селф
sell,продају
send,сенд
sense,осећање
sent,послао
sentence,реченица
separate,посебан
serve,служе
set,сет
settle,реше
seven,седам
several,неколико
shall,ће
shape,облик
share,схаре
sharp,схарп
she,она
sheet,лист
shell,шкољка
shine,схине
ship,схип
shoe,схое
shop,схоп
shore,схоре
short,кратак
should,треба
shoulder,раме
shout,схоут
show,схов
side,страна
sight,призор
sign,знак
silent,нем
silver,силвер
similar,слично
simple,симпле
since,од
sing,певати
single,сингле
sister,сестра
sit,седети
six,шест
size,величина
skill,вештина
skin,кожа
sky,ски
slave,роб
sleep,слееп
slip,слип
slow,споро
small,мала
smell,мирис
smile,смиле
snow,снов
so,тако
soft,софт
soil,земљишта
soldier,војник
solution,решење
solve,решити
some,неки
son,син
song,сонг
soon,ускоро
sound,звук
south,југ
space,спаце
speak,спеак
special,специал
speech,говор
speed,спеед
spell,спелл
spend,троше
spoke,крака
spot,спот
spread,спреад
spring,пролеће
square,скуаре
stand,станд
star,звезда
start,старт
state,држава
station,статион
stay,остани
stead,уместо тога
steam,стеам
steel,стеел
step,корак
stick,стицк
still,још
stone,стоне
stood,стајао
stop,престати
store,сторе
story,прича
straight,страигхт
strange,чудно
stream,поток
street,улица
stretch,стретцх
string,стринг
strong,јака
student,студент
study,студија
subject,предмет
substance,супстанца
subtract,одузмите
success,успех
such,таква
sudden,изненадна
suffix,суфикс
sugar,шећер
suggest,сугеришу
suit,одело
summer,суммер
sun,сун
supply,снабдевање
support,суппорт
sure,сигуран
surface,сурфаце
surprise,изненађење
swim,свим
syllable,слог
symbol,симбол
system,систем
table,табле
tail,реп
take,узети
talk,разговор
tall,талл
teach,учи
team,тим
teeth,зуби
tell,рећи
temperature,температура
ten,десет
term,термин
test,тест
than,од
thank,хвала
that,да
the,ово
their,њихове
them,им
then,онда
there,тамо
these,ово
they,они
thick,дебела
thin,танак
thing,ствар
think,мисли
third,трећи
this,ова
those,они
though,мада
thought,мислио
thousand,хиљада
three,три
through,кроз
throw,бацити
thus,тако
tie,тие
time,време
tiny,тини
tire,гума
to,до
together,заједно
told,рекао
tone,тоне
too,сувише
took,узео
tool,алат
top,топ
total,укупно
touch,додирнути
toward,ка
town,град
track,трацк
trade,траде
train,траин
travel,травел
tree,дрво
triangle,триангле
trip,трип
trouble,невоља
truck,камион
true,прави
try,пробајте
tube,тубе
turn,ред
twenty,двадесет
two,два
type,типе
under,под
unit,јединица
until,до
up,уп
us,нас
use,користити
usual,уобичајено
valley,валлеи
value,вриједност
vary,варирају
verb,глагол
very,веома
view,виев
village,виллаге
visit,висит
voice,воице
vowel,самогласник
wait,ваит
walk,валк
wall,валл
want,желим
war,рат
warm,топло
was,био
wash,васх
watch,ватцх
water,вода
wave,талас
way,ваи
we,ми
wear,носе
weather,временска прогноза
week,недеља
weight,тежина
well,добро
went,отишао
were,су
west,запад
what,ста
wheel,точак
when,када
where,где је
whether,без обзира да ли
which,која
while,док
white,бела
who,који
whole,цела
whose,чији
why,зашто
wide,виде
wife,супруга
wild,вилд
will,воља
win,вин
wind,ветар
window,прозор
wing,винг
winter,винтер
wire,жица
wish,жеља
with,с
woman,жена
women,жене
wonder,питам се
won’t,неће
wood,воод
word,реч
work,рад
world,свет
would,би
write,пишу
written,написано
wrong,погрешно
wrote,написао
yard,иард
year,године
yellow,жут
yes,да
yet,још
you,ви
young,млади
your,ваш
