english,estonian
pitch,pigi
place,koht
plain,tavaline
plan,kava
plane,lennuk
planet,planeet
plant,tehase
play,mängida
please,palun
plural,mitmus
poem,luuletus
point,punkti
poor,vaene
populate,asustada
port,port
pose,kujutavad
position,asend
possible,võimalik
post,post
pound,nael
power,võimsus
practice,tava
prepare,valmistada
present,praegu
press,vajutage
pretty,päris
print,print
probable,tõenäoline
problem,probleem
process,protsessi
produce,tootma
product,toode
proper,korralik
property,kinnisvara
protect,kaitsta
prove,tõestama
provide,anda
pull,tõmba
push,push
put,pane
quart,liiter
question,küsimus
quick,kiire
quiet,vaikne
quite,üsna
quotient,jagatis
race,rassi
radio,raadio
rail,raudtee
rain,vihm
raise,tõsta
ran,jooksis
range,vahemik
rather,pigem
reach,jõuda
read,lugema
ready,valmis
real,reaalne
reason,põhjus
receive,saada
record,rekord
red,punane
region,piirkond
remember,mäletan
repeat,korrake
reply,vastus
represent,esindama
require,vaja
rest,ülejäänud
result,tulemus
rich,rikas
ride,ride
right,õigus
ring,ring
rise,tõusma
river,jõgi
road,tee
rock,rock
roll,rull
room,tuba
root,root
rope,köis
rose,roos
round,ringi
row,rida
rub,hõõruda
rule,reegel
run,run
safe,ohutu
said,ütles
sail,puri
salt,soola
same,sama
sand,liiv
sat,sat
save,säästa
saw,saag
say,öelda
scale,skaala
school,kool
science,teadus
score,tulemus
sea,meri
search,otsing
season,hooaeg
seat,iste
second,teine
section,lõik
see,vaata
seed,seeme
seem,tunduvad
segment,segment
select,vali
self,ise
sell,müüa
send,kirjuta
sense,mõttes
sent,saatis
sentence,lause
separate,eraldi
serve,teenima
set,komplekt
settle,elama
seven,seitse
several,mitu
shall,peab
shape,kuju
share,osa
sharp,terav
she,ta
sheet,leht
shell,kest
shine,sära
ship,laev
shoe,kinga
shop,pood
shore,shore
short,lühike
should,peaks
shoulder,õlg
shout,shout
show,näita
side,pool
sight,vaatepilt
sign,märk
silent,vaikne
silver,hõbe
similar,sarnane
simple,lihtne
since,alates
sing,laulda
single,ühe
sister,õde
sit,istuda
six,kuus
size,suurus
skill,oskus
skin,nahk
sky,taevas
slave,ori
sleep,uni
slip,libisemine
slow,aeglane
small,väike
smell,lõhn
smile,naeratus
snow,lumi
so,nii
soft,pehme
soil,pinnase
soldier,sõdur
solution,lahendus
solve,lahendada
some,mõned
son,poeg
song,laul
soon,varsti
sound,heli
south,lõuna
space,ruumi
speak,rääkida
special,erilist
speech,kõne
speed,kiirus
spell,õigekirja
spend,kulutada
spoke,rääkis
spot,koha
spread,leviku
spring,aasta kevadel
square,ruut
stand,seisma
star,star
start,algus
state,riik
station,jaama
stay,jääda
stead,asemel
steam,auru
steel,teras
step,samm
stick,stick
still,veel
stone,kivi
stood,seisis
stop,peatus
store,kauplus
story,lugu
straight,sirge
strange,kummaline
stream,oja
street,street
stretch,venitada
string,string
strong,tugev
student,õpilane
study,uuring
subject,teema
substance,aine
subtract,lahutama
success,edu
such,selline
sudden,ootamatu
suffix,järelliide
sugar,suhkur
suggest,soovitan
suit,ülikond
summer,suvel
sun,päike
supply,pakkumine
support,toetus
sure,kindlasti
surface,pind
surprise,üllatus
swim,ujuda
syllable,silp
symbol,sümbol
system,süsteem
table,tabelis
tail,saba
take,võtta
talk,jutt
tall,pikk
teach,õpetada
team,meeskond
teeth,hambad
tell,öelda
temperature,temperatuur
ten,kümne
term,mõiste
test,test
than,kui
thank,tänan
that,et
the,alates
their,oma
them,neid
then,siis
there,seal
these,need
they,nad
thick,paks
thin,õhuke
thing,asi
think,arvan
third,kolmas
this,selle
those,need
though,kuigi
thought,arvasin
thousand,tuhat
three,kolm
through,läbi
throw,visata
thus,seega
tie,tie
time,aeg
tiny,väike
tire,rehv
to,kuni
together,kokku
told,ütles
tone,toon
too,liiga
took,võttis
tool,tööriist
top,top
total,kokku
touch,puudutage
toward,poole
town,linn
track,track
trade,kaubandus
train,rong
travel,reisimine
tree,puu
triangle,kolmnurk
trip,reis
trouble,hädas
truck,veoauto
true,tõsi
try,proovida
tube,toru
turn,omakorda
twenty,kakskümmend
two,kaks
type,tüüp
under,alla
unit,üksus
until,kuni
up,üles
us,us
use,kasutamine
usual,tavaline
valley,org
value,väärtus
vary,erinevad
verb,verb
very,väga
view,vaade
village,küla
visit,visiidi
voice,hääl
vowel,vokaali
wait,ootama
walk,kõndida
wall,seina
want,tahad
war,sõda
warm,soe
was,oli
wash,pesu
watch,vaata
water,vesi
wave,laine
way,viis
we,me
wear,kandma
weather,ilm
week,nädal
weight,kaal
well,hästi
went,läks
were,olid
west,lääne
what,mida
wheel,rool
when,kui
where,kus
whether,kas
which,mis
while,kuigi
white,valge
who,kes
whole,kogu
whose,kelle
why,miks
wide,suur
wife,naine
wild,looduses
will,teeb
win,win
wind,tuul
window,aken
wing,tiib
winter,talv
wire,juhe
wish,soovida
with,koos
woman,naine
women,naised
wonder,huvitav
won’t,mitte
wood,puit
word,sõna
work,töö
world,maailma
would,oleks
write,kirjuta
written,kirjalik
wrong,vale
wrote,kirjutas
yard,õu
year,aasta
yellow,kollane
yes,jah
yet,veel
you,sa
young,noored
your,oma
