english,japanese
great,素晴らしい
green,緑
grew,成長した
ground,地面
group,グループ
grow,成長する
guess,推測
guide,ガイド
gun,銃
had,持っていた
hair,髪
half,半分
hand,手
happen,起こる
happy,幸せな
hard,ハード
has,があります
hat,帽子
have,持っている
he,彼
head,ヘッド
hear,聞く
heard,聞いた
heart,心
heat,熱
heavy,重い
held,ハンドヘルド
help,助け
her,彼女の
here,ここに
high,高い
hill,丘
him,彼に
his,彼の
history,歴史
hit,ヒット
hold,ホールド
hole,穴
home,ホーム
hope,希望
horse,馬
hot,ホット
hour,時間
house,家
how,方法
huge,巨大な
human,人間
hundred,百
hunt,狩り
hurry,急ぐ
i,私は
ice,アイス
idea,アイデア
if,もし
imagine,想像する
in,で
inch,インチ
include,含める
indicate,示す
industry,業界
insect,昆虫
instant,インスタント
instrument,楽器
interest,関心
invent,発明する
iron,鉄
is,です
island,島
it,それ
job,仕事
join,参加する
joy,喜び
jump,ジャンプ
just,ただ
keep,キープ
kept,保管
key,キー
kill,殺す
kind,種類
king,王
knew,知っていた
know,知っている
lady,女性
lake,湖
land,土地
language,言語
large,大きい
last,最後の
late,遅く
laugh,笑い
law,法則
lay,産む
lead,鉛
learn,学ぶ
least,最低
leave,去る
led,主導
left,左
leg,レッグ
length,長さ
less,レス
let,てみましょう
letter,手紙
level,レベル
lie,うそ
life,生活
lift,リフト
light,光
like,ような
line,ライン
liquid,液体
list,リスト
listen,聞く
little,少し
live,暮らす
locate,検索する
log,ログ
lone,ローン
long,長い
look,見える
lost,失われた
lot,たくさん
loud,騒々しい
love,愛
low,低い
machine,マシン
made,製
magnet,マグネット
main,メイン
major,主要な
make,作る
man,男
many,多くの
map,マップ
mark,マーク
market,市場
mass,マス
master,マスター
match,マッチ
material,材料
matter,問題
may,よい
me,私に
mean,意味する
meant,意味
measure,測定
meat,肉
meet,大会
melody,メロディー
men,人々
metal,金属
method,方法
middle,ミドル
might,可能性がある
mile,マイル
milk,ミルク
million,万
mind,心
mine,地雷
minute,分
miss,ミス
mix,ミックス
modern,モダン
molecule,分子
moment,瞬間
money,マネー
month,月
moon,ムーン
more,多くの
morning,朝
most,最も
mother,母
motion,モーション
mount,マウント
mountain,山
mouth,口
move,移動
much,ずっと
multiply,掛ける
music,音楽
must,しなければならない
my,私の
name,名前
nation,国家
natural,ナチュラル
nature,自然
near,近く
necessary,必要
neck,首
need,必要
neighbor,隣人
never,ネバー
new,新しい
next,次
night,夜
nine,人
no,いいえ
noise,ノイズ
noon,正午
nor,も
north,北
nose,鼻
note,ノート
nothing,何も
notice,予告
noun,名詞
now,今
number,番号
numeral,数字
object,オブジェクト
observe,観察する
occur,起こる
ocean,海
of,の
off,オフ
offer,申し出
office,オフィス
often,しばしば
oh,ああ
oil,オイル
old,古い
on,上の
once,一度
one,一つ
only,唯一の
open,オープン
operate,操作する
opposite,反対
or,または
order,オーダー
organ,オルガン
original,オリジナル
other,その他
our,私たちの
out,アウト
over,オーバー
own,独自の
oxygen,酸素
page,ページ
paint,ペイント
pair,ペア
paper,紙
paragraph,パラグラフ
parent,親
part,パート
particular,特定の
party,パーティー
pass,合格
past,過去
path,パス
pattern,パターン
pay,支払い
people,人々
perhaps,たぶん
period,期間
person,人
phrase,フレーズ
pick,選ぶ
picture,絵
piece,作品
pitch,ピッチ
place,場所
plain,平野
plan,計画
plane,飛行機
planet,惑星
plant,植物
play,遊ぶ
please,どうぞ
plural,複数
poem,詩
point,ポイント
poor,貧しい
populate,投入する
port,ポート
pose,ポーズ
position,ポジション
possible,可能
post,ポスト
pound,ポンド
power,パワー
practice,練習
prepare,準備する
present,現在
press,プレス
pretty,かわいい
print,印刷
probable,ありそうな
problem,問題
process,プロセス
produce,作る
product,製品
proper,適切な
property,財産
protect,守る
prove,証明する
provide,提供する
pull,引っ張る
push,プッシュ
put,置く
quart,クォート
question,質問
quick,クイック
quiet,静かな
quite,かなり
quotient,商
race,レース
radio,ラジオ
rail,レール
rain,雨
raise,上げる
ran,走った
range,レンジ
rather,むしろ
reach,リーチ
read,読む
ready,レディー
real,リアル
reason,理由
receive,受け取る
record,記録
red,赤
region,地域
remember,覚えている
repeat,リピート
reply,返事
represent,表す
require,必要とする
rest,残り
result,結果
rich,金持ち
ride,乗る
right,権利
ring,リング
rise,上昇
river,川
road,道路
rock,岩
roll,ロール
room,部屋
root,ルート
rope,ロープ
rose,ローズ
round,ラウンド
row,行
rub,こする
rule,ルール
run,ラン
safe,金庫
said,前記
sail,帆
salt,塩
same,同じ
sand,砂
sat,土
save,保存
saw,のこぎり
say,言う
scale,スケール
school,学校
science,科学
score,スコア
sea,海
search,検索
season,シーズン
seat,座席
second,第2
section,セクション
see,見る
seed,シード
seem,見える
segment,セグメント
select,選択する
self,自己
sell,売る
send,送信
sense,感覚
sent,送信された
sentence,文
separate,別
serve,サーブ
set,セット
settle,落ち着く
seven,7
several,いくつかの
shall,しなければならない
shape,形状
share,シェア
sharp,シャープ
she,彼女
sheet,シート
shell,シェル
shine,輝き
ship,船
shoe,靴
shop,ショップ
shore,海岸
short,短い
should,べき
shoulder,肩
shout,シャウト
show,ショー
side,サイド
sight,視力
sign,看板
silent,サイレント
silver,銀
similar,同じような
simple,シンプル
since,以来
sing,歌う
single,シングル
sister,姉妹
sit,座る
six,六
size,サイズ
skill,スキル
skin,スキン
sky,空
slave,スレーブ
sleep,スリープ
slip,スリップ
slow,遅い
small,小さい
smell,匂い
smile,笑顔
snow,雪
so,そう
soft,ソフト
soil,土壌
soldier,兵士
solution,ソリューション
solve,解く
some,いくつかの
son,息子
song,歌
soon,すぐに
sound,聞こえる
south,南
space,スペース
speak,話す
special,特別
speech,スピーチ
speed,スピード
spell,スペル
spend,過ごす
spoke,スポーク
spot,スポット
spread,スプレッド
spring,春
square,広場
stand,スタンド
star,スター
start,スタート
state,状態
station,駅
stay,滞在
stead,代わり
steam,スチーム
steel,スチール
step,ステップ
stick,スティック
still,まだ
stone,石
stood,立っていた
stop,停止
store,店
story,物語
straight,ストレート
strange,奇妙な
stream,ストリーム
street,ストリート
stretch,ストレッチ
string,文字列
strong,強い
student,学生
study,研究
subject,テーマ
substance,物質
subtract,引く
success,成功
such,そのような
sudden,突然の
suffix,サフィックス
sugar,砂糖
suggest,提案する
suit,スーツ
summer,夏
sun,太陽
supply,サプライ
support,サポート
sure,確か
surface,表面
surprise,驚き
swim,泳ぐ
syllable,音節
symbol,シンボル
system,システム
table,テーブル
tail,テール
take,取る
talk,トーク
tall,背の高い
teach,教える
team,チーム
teeth,歯牙
tell,言う
temperature,温度
ten,十
term,言葉
test,テスト
than,比べて
thank,感謝
that,その
the,インクルード
their,それらの
them,それら
then,その後
there,そこ
these,これらの
they,彼ら
thick,厚い
thin,薄い
thing,もの
think,思う
third,第3
this,この
those,それらの
though,しかし
thought,考え
thousand,千の
three,個
through,スルー
throw,投げる
thus,このようにして
tie,ネクタイ
time,時間
tiny,小さな
tire,タイヤ
to,へ
together,一緒に
told,言われ
tone,トーン
too,あまりに
took,かかった
tool,ツール
top,トップ
total,合計
touch,触れる
toward,の方へ
town,町
track,トラック
trade,トレード
train,列車
travel,旅行
tree,ツリー
triangle,三角形
trip,旅
trouble,トラブル
truck,トラック
true,真の
try,試す
tube,チューブ
turn,ターン
twenty,個の
two,二つ
type,タイプ
under,下
unit,ユニット
until,まで、
up,アップ
us,私たち
use,使用
usual,いつもの
valley,谷
value,値
vary,変える
verb,動詞
very,非常に
view,ビュー
village,村
visit,訪問
voice,声
vowel,母音
wait,待つ
walk,歩く
wall,壁
want,欲しい
war,戦争
warm,暖かい
was,た
wash,ウォッシュ
watch,見る
water,水
wave,波
way,道
we,我々
wear,着用
weather,天候
week,週
weight,重さ
well,よく
went,行ってきました
were,だった
west,西
what,何
wheel,ホイール
when,時
where,どこ
whether,かどうか
which,これ
while,一方、
white,白
who,誰
whole,全体
whose,その
why,なぜ
wide,広い
wife,妻
wild,ワイルド
will,意志
win,勝つ
wind,風
window,窓
wing,ウイング
winter,冬
wire,ワイヤー
wish,希望
with,とともに
woman,女
women,女性たち
wonder,不思議
won’t,ないでしょう
wood,木材
word,言葉
work,仕事
world,世界
would,でしょう
write,書く
written,書かれた
wrong,間違った
wrote,書いた
yard,庭
year,年
yellow,黄色
yes,はい
yet,まだ
you,あなた
young,若い
your,あなたの
