english,lao
book,ປື້ມບັນ
born,ເກີດ
both,ທັງສອງ
bottom,ທາງລຸ່ມ
bought,ຊື້
box,ຫມາຍໃສ່ໃນປ່ອງ
boy,ເດັກຜູ້ຊາຍ
branch,ສາຂາ
bread,ເຂົ້າຈີ່
break,ການພັກຜ່ອນ
bright,ສົດໃສ
bring,ເອົາມາໃຫ້
broad,ຢ່າງກວ້າງຂວາງ
broke,ຫັກ
brother,ອ້າຍ
brought,ໄດ້ນໍາເອົາ
brown,ສີນ້ໍາ
build,ການກໍ່ສ້າງ
burn,ໄຫມ້
busy,ທຸລະກິດ
but,ແຕ່ວ່າ
buy,ຊື້
by,ໂດຍ
call,ໂທ
came,ມາ
camp,ຄ້າຍ
can,ສາມາດເຮັດໄດ້
capital,ນະຄອນຫຼວງ
captain,ນາຍເຮືອ
car,ລົດ
card,ບັດ
care,ການດູແລ
carry,ປະຕິບັດການ
case,ກໍລະນີ
cat,ແລ້ງ
catch,ຈັບ
caught,ຈັບໄດ້
cause,ສາເຫດ
cell,ຫ້ອງ
cent,ເປີເຊັນ
center,ສູນກາງ
century,ສະຕະວັດທີ
certain,ສະເພາະໃດຫນຶ່ງ
chair,ປະທານ
chance,ໂອກາດ
change,ການປ່ຽນແປງ
character,ລັກສະນະ
charge,ໄລ່ເອົາ
chart,ຕາຕະລາງ
check,ໃຫ້ກວດເບິ່ງ
chick,ທັງຫລາຍ chick
chief,ຫົວຫນ້າ
child,ເດັກ
children,ເດັກນ້ອຍ
choose,ເລືອກ
chord,ການ
circle,ແຜ່ນປ້າຍວົງກົມ
city,ນະຄອນ
claim,ການຮ້ອງຂໍ
class,ຫ້ອງຮຽນ
clean,ສະອາດ
clear,ຈະແຈ້ງ
climb,ຮູ້ສຶກເມື່ອຍ
clock,ໂມງ
close,ໃກ້ຊິດ
clothe,ເຄື່ອງນຸ່ງຫົ່ມ
cloud,ຟັງ
coast,ແຄມຝັ່ງທະເລ
coat,ເປືອກຫຸ້ມນອກ
cold,ເຢັນ
collect,ເກັບກໍາຂໍ້
colony,ກວ້າງ
color,ສີ
column,ຖັນ
come,ມາ
common,ທົ່ວໄປ
company,ບໍລິສັດ
compare,ສົມທຽບ
complete,ສໍາເລັດສົມບູນ
condition,ສະພາບການ
connect,ເຊື່ອມຕໍ່
consider,ພິຈາລະນາ
consonant,ພະຍັນຊະນະ
contain,ບັນຈຸ
continent,ທະວີບ
continue,ສືບຕໍ່
control,ການຄວບຄຸມ
cook,ການຄົວກິນ
cool,ເຢັນ
copy,ສໍາເນົາ
corn,ສາລີ
corner,ແຈ
correct,ໄປ
cost,ຄ່າໃຊ້ຈ່າຍ
cotton,ຝ້າຍ
could,ສາມາດເຮັດໄດ້
count,ນັບ
country,ປະເທດ
course,ແນ່ນອນ
cover,ການປົກຫຸ້ມຂອງ
cow,ງົວ
crease,ເພີ່ມທະວີຂຶ້ນ
create,ສ້າງ
crop,ການປູກພືດ
cross,ກາ
crowd,ທີ່ແອອັດ
cry,ໄຫ້
current,ໃນປະຈຸບັນ
cut,ການຕັດ
dad,ພໍ່
dance,ການເຕັ້ນ
danger,ອັນຕະລາຍ
dark,ຊ້ໍາ
day,ມື້
dead,ການຕາຍ
deal,deal
dear,ຮັກແພງ
death,ການເສຍຊີວິດ
decide,ຕັດສິນໃຈ
decimal,ອັດຕານິຍົມ
deep,ເລິກ
degree,ລະດັບ
depend,ຂຶ້ນ
describe,ອະທິບາຍ
desert,ທະເລຊາຍ
design,ການອອກແບບ
determine,ການກໍານົດ
develop,ການພັດທະນາ
dictionary,ການຄົ້ນຫາ
did,ໄດ້
die,ເສຍຊີວິດ
differ,ຄວາມແຕກຕ່າງກັນ
difficult,ມີຄວາມຫຍຸ້ງຍາກ
direct,ໂດຍກົງ
discuss,ປຶກສາຫາລື
distant,ຫ່າງໄກ
divide,ແບ່ງ
division,ພະແນກ
do,ເຮັດແນວໃດ
doctor,ທ່ານຫມໍ
does,ບໍ່
dog,ຫມາ
dollar,ເງິນໂດລາ
done,ເຮັດ
don’t,ເຮັດບໍ່ໄດ້
door,ປະຕູ
double,ສອງ
down,ລົງ
draw,ແຕ້ມ
dream,ຝັນ
dress,ລາຍລະອຽດ
drink,ເຄື່ອງດື່ມ
drive,ຂັບ
drop,ລົງ
dry,ແຫ້ງແລ້ງ
duck,ເປັດ
during,ໃນລະຫວ່າງການ
each,ແຕ່ລະຄົນ
ear,ຫູ
early,ຕົ້ນ
earth,ແຜ່ນດິນໂລກ
ease,ຄວາມງ່າຍຂອງ
east,ພາກຕາເວັນອອກ
eat,ກິນອາຫານ
edge,ແຂບ
effect,ຜົນກະທົບ
egg,ໄຂ່
eight,ແປດ
either,ບໍ່ວ່າຈະ
electric,ໄຟຟ້າ
element,ອົງປະກອບຂອງ
else,ອື່ນ
end,ໃນຕອນທ້າຍ
enemy,ສັດຕູ
energy,ພະລັງງານ
engine,ເຄື່ອງຈັກ
enough,ພຽງພໍ
enter,ເຂົ້າ
equal,ເທົ່າທຽມກັນ
equate,ເວັນອອກ
especially,ໂດຍສະເພາະແມ່ນ
even,ເຖິງແມ່ນວ່າ
evening,ຕອນແລງ
event,ກໍລະນີທີ່
ever,ເຄີຍ
every,ທຸກ
exact,ຄືກັນອ້ອຍຕ້ອຍ
example,ການຍົກຕົວຢ່າງ
except,ຍົກເວັ້ນ
excite,ຕື່ນເຕັ້ນ
exercise,ອອກກໍາລັງກາຍ
expect,ຄາດຫວັງວ່າການ
experience,ປະສົບການ
experiment,ການທົດລອງ
eye,ຕາ
face,ໃບຫນ້າ
fact,ຄວາມຈິງ
fair,ຄວາມຍຸຕິທໍາ
fall,ຕົກລົງ
family,ຄອບຄົວ
famous,ມີຊື່ສຽງ
far,ໄກ
farm,ການກະສິກໍາ
fast,ໄວ
fat,ໄຂມັນ
father,ພໍ່
favor,ເອື້ອອໍານວຍ
fear,ຄວາມຢ້ານກົວ
feed,ອາຫານ
feel,ຄວາມຮູ້ສຶກ
feet,ຕີນ
fell,ໄດ້ຫຼຸດລົງ
felt,ຮູ້ສຶກວ່າ
few,ບໍ່ຫຼາຍປານໃດ
field,ພາກສະຫນາມ
fig,ຊາວ
fight,ການຕໍ່ສູ້
figure,ຮູບ
fill,ຕື່ມຂໍ້ມູນໃສ່
final,ສຸດທ້າຍ
find,ຊອກຫາ
fine,ອັນດີງາມ
finger,ນິ້ວມືຂອງ
finish,ສໍາເລັດຮູບ
fire,ໄຟ
first,ຄັ້ງທໍາອິດ
fish,ປາ
fit,ເຫມາະ
five,ຫ້າ
flat,ຮາບພຽງຢູ່
floor,ຊັ້ນ
flow,ໄຫຼ
flower,ດອກ
fly,ບິນ
follow,ປະຕິບັດຕາມ
food,ອາຫານ
foot,ຕີນ
for,ສໍາລັບການ
force,ຜົນບັງຄັບໃຊ້
forest,ປ່າໄມ້
form,ຮູບແບບ
forward,ຕໍ່
found,ພົບ
four,ສີ່
fraction,"ແຕ່ສ່ວນຫນຶ່ງ,"
free,ອອນໄລນ
fresh,ສົດ
friend,ຫມູ່ເພື່ອນ
from,ຈາກ
front,ຫນ້າ
fruit,ຫມາກໄມ້
full,ຢ່າງເຕັມທີ່
fun,ມ່ວນ
game,ເກມ
garden,ການເຮັດສວນ
gas,ອາຍແກັສ
gather,ເກັບ
gave,ໃຫ້
general,ໂດຍທົ່ວໄປ
gentle,ອ່ອນນ້ອມ
get,ໄດ້ຮັບ
girl,ສາວ
give,ໃຫ້
glad,ດີໃຈ
glass,ແກ້ວ
go,ໄປ
gold,ຄໍາ
gone,ຫມົດ
good,ດີ
got,ໄດ້ຮັບ
govern,ລັດຖະບານ
grand,ຂອງປູ່
grass,ຫຍ້າ
gray,ສີຂີ້ເຖົ່າ
great,ທີ່ຍິ່ງໃຫຍ່
green,ສີຂຽວ
grew,ເພີ່ມຂຶ້ນ
ground,ດິນ
group,ກຸ່ມ
grow,ການຂະຫຍາຍຕົວ
guess,ຮີດ
guide,ນໍາ
gun,ປືນ
had,ໄດ້
hair,ຜົມ
half,ເຄິ່ງຫນຶ່ງ
hand,ມື
happen,ມີຫຍັງເກີດຂຶ້ນ
happy,ມີຄວາມສຸກ
hard,ຍາກ
has,ມີ
hat,ຫລີກ
have,ມີ
he,ລາວ
head,ຫົວ
hear,ຍິນ
heard,ໄດ້ຍິນ
heart,ຫົວໃຈ
heat,ຄວາມຮ້ອນ
heavy,ຢ່າງຮຸນແຮງ
held,ຈັດຂຶ້ນໃນວັນ
help,ຊ່ວຍເຫຼືອ
her,ນາງ
here,ທີ່ນີ້
high,ສູງ
hill,ພູ
him,ພຣະອົງ
his,ລາວ
history,ປະຫວັດສາດ
hit,ມົນຕີ
hold,ຖື
hole,ຂຸມ
home,ເຮືອນ
hope,ຫວັງວ່າ
horse,ມ້າ
hot,ຮ້ອນ
hour,ຊົ່ວໂມງ
house,ເຮືອນ
how,ວິທີການ
huge,ເປັ
human,ມະນຸດ
hundred,ຮ້ອຍ
hunt,ການລ່າສັດ
hurry,ໄດ້
i,ຂ້າພະເຈົ້າ
ice,ກ້ອນ
idea,ແນວຄວາມຄິດ
if,ຖ້າຫາກວ່າ
imagine,ຈິນຕະນາການ
in,ໃນ
inch,ນິ້ວ
include,ປະກອບມີ
indicate,ຊີ້ບອກ
industry,ອຸດສາຫະກໍາ
insect,ແມງໄມ້
instant,ຕົວ
instrument,ເຄື່ອງມື
interest,ມີຄວາມສົນໃຈ
invent,ໄດ້ປັ້ນ
iron,ທາດເຫຼັກ
is,ແມ່ນ
island,ເກາະ
it,ມັນ
job,ວຽກເຮັດງານທໍາ
join,ເຂົ້າຮ່ວມ
joy,ຄວາມສຸກ
jump,ເຕັ້ນໄປຫາ
just,ພຽງແຕ່
keep,ຮັກສາ
kept,ເກັບຮັກສາໄວ້
key,ທີ່ສໍາຄັນ
kill,ຂ້າ
kind,ປະເພດ
king,ຄົນ
knew,ຮູ້
know,ຮູ້
lady,ເປັນ
lake,lake
land,ທີ່ດິນ
language,ພາສາ
large,ຂະຫນາດໃຫຍ່
last,ສຸດທ້າຍ
late,ທ້າຍ
laugh,ຫົວຫລິ້ນ
law,ກົດຫມາຍ
lay,ການຈັດວາງ
lead,ນໍາໄປສູ່ການ
learn,ຮຽນຮູ້
least,ຢ່າງຫນ້ອຍ
leave,ອອກຈາກ
led,ການນໍາພາ
left,ໄວ້
leg,ຂາ
length,ຄວາມຍາວ
less,ຫນ້ອຍ
let,ໃຫ້
letter,ຈົດຫມາຍສະບັບ
level,ລະດັບ
lie,ນອນ
life,ຊີວິດ
lift,ຍົກ
light,ແສງສະຫວ່າງ
like,ເຊັ່ນ:
line,ເສັ້ນ
liquid,ຂອງແຫຼວ
list,ບັນຊີລາຍຊື່
listen,ຮັບຟັງ
little,ພຽງເລັກນ້ອຍ
live,ດໍາລົງຊີວິດ
locate,ສະຖານທີ່
log,ເຂົ້າ
lone,ການ
long,ຍາວ
look,ເບິ່ງ
lost,ການສູນເສຍ
lot,ຫຼາຍ
loud,ດັງ
love,ຄວາມຮັກ
low,ຕ່ໍາ
machine,ເຄື່ອງ
made,ໄດ້
magnet,ການສະກົດຈິດ
main,ຕົ້ນຕໍ
major,ທີ່ສໍາຄັນ
make,ເຮັດໃຫ້
man,ຜູ້ຊາຍ
many,ຈໍານວນຫຼາຍ
map,ແຜນທີ່
mark,ເຄື່ອງຫມາຍ
market,ການຕະຫຼາດ
mass,ຕັ້ງມະຫາຊົນ
master,ແມ່ບົດ
match,ຄໍາວ່າ
material,ອຸປະກອນການ
matter,ເລື່ອງ
may,ອາດຈະ
me,ຂ້າພະເຈົ້າ
mean,ຫມາຍຄວາມວ່າ
meant,ຫມາຍຄວາມວ່າ
measure,ການວັດແທກ
meat,ຊີ້ນ
meet,ກອງປະຊຸມ
melody,ໄວ້ເພື່ອ
men,ຜູ້ຊາຍ
metal,ໂລຫະ
method,ວິທີການ
middle,ກາງ
might,ອາດຈະ
mile,ໄມ
milk,້ໍານົມ
million,ລ້ານ
mind,ໃຈ
mine,ຂຸດຄົ້ນບໍ່ແຮ່
minute,ນາທີ
miss,ພາດ
mix,ປະສົມ
modern,ທີ່ທັນສະໄຫມ
molecule,ການ molecule
moment,ປັດຈຸບັນ
money,ເງິນ
month,ເດືອນ
moon,ວົງເດືອນ
more,ຫຼາຍ
morning,ໃນຕອນເຊົ້າ
most,ຫຼາຍທີ່ສຸດ
mother,ແມ່
motion,ການ
mount,ຍັງພູ
mountain,ພູ
mouth,ປາກ
move,ການເຄື່ອນໄຫວ
much,ຫຼາຍ
multiply,ວີຜົນປະໂຫຍດ
music,ດົນຕີ
must,ຕ້ອງ
my,ຂອງຂ້າພະເຈົ້າ
name,ຊື່
nation,ປະເທດຊາດ
natural,ທໍາມະຊາດ
nature,ລັກສະນະ
near,ຢູ່ໃກ້
necessary,ມີຄວາມຈໍາເປັນ
neck,ຄໍ
need,ຈໍາເປັນຕ້ອງໄດ້
neighbor,ບ້ານໃກ້ເຮືອນຄຽງ
never,ບໍ່ເຄີຍ
new,ໃຫມ່
next,ຕໍ່ໄປ
night,ໃນຕອນກາງຄືນ
nine,ເກົ້າ
no,ບໍ່ມີ
noise,ສິ່ງລົບກວນ
noon,ຕອນທ່ຽງ
nor,ຫຼື
north,ພາກເຫນືອ
nose,ດັງ
note,ຫມາຍເຫດ
nothing,ບໍ່ມີຫຍັງ
notice,ແຈ້ງການ
noun,ພາສາ
now,ໃນປັດຈຸບັນ
number,ຈໍານວນ
numeral,ຈໍານວນຫລາຍ
object,ຈຸດປະສົງ
observe,ສັງເກດເບິ່ງການ
occur,ເກີດຂຶ້ນ
ocean,ມະຫາສະຫມຸດ
of,ຂອງ
off,ໄປ
offer,ການສະເຫນີ
office,ຫ້ອງການ
often,ມັກ
oh,ໂອ້ຍ
oil,ນ້ໍາ
old,ອາຍຸ
on,ສຸດ
once,ຄັ້ງ
one,ຫນຶ່ງ
only,ພຽງແຕ່
open,ເປີດ
operate,ປະຕິບັດງານ
opposite,ກົງກັນຂ້າມ
or,ຫຼື
order,ຄໍາສັ່ງ
organ,ອະໄວຍະວະ
original,ຕົ້ນສະບັບ
other,ອື່ນໆ
our,ຂອງພວກເຮົາ
out,ອອກ
over,ໃນໄລຍະ
own,ຂອງຕົນເອງ
oxygen,ອົກຊີເຈນທີ່
page,ຫນ້າ
paint,ທາສີ
pair,ຄູ່
paper,ເຈ້ຍ
paragraph,ວັກ
parent,ພໍ່ແມ່
part,ສ່ວນ
particular,ໂດຍສະເພາະ
party,ພັກ
pass,ຜ່ານ
past,ໄລຍະຜ່ານມາ
path,ເສັ້ນທາງ
pattern,ຮູບແບບ
pay,ຈ່າຍ
people,ປະຊາຊົນ
perhaps,ບາງທີອາດມີ
period,ໄລຍະເວລາ
person,ບຸກຄົນ
phrase,ປະໂຫຍກ
pick,ເອົາ
picture,ຮູບ
piece,ສິ້ນ
pitch,pitch
place,ສະຖານທີ່
plain,ທົ່ງພຽງ
plan,ແຜນການ
plane,ຍົນ
planet,ດາວ
plant,ພືດ
play,ຫຼິ້ນ
please,ກະລຸນາ
plural,ສຽງ
poem,ເດີ້
point,ຈຸດ
poor,ທຸກຍາກ
populate,າລະນາ
port,ທີ່
pose,ສ້າງ
position,ຕໍາແຫນ່ງ
possible,ເປັນໄປໄດ້
post,ຕອບ
pound,ປອນກັບ
power,ພະລັງງານ
practice,ການປະຕິບັດ
prepare,ການກະກຽມ
present,ປະຈຸບັນ
press,ຫນັງສືພິມ
pretty,ະເພາະແມ່ນ
print,ການພິມ
probable,ອາດຈະ
problem,ບັນຫາ
process,ຂະບວນການ
produce,ຜະລິດຕະພັນ
product,ຜະລິດຕະພັນ
proper,ທີ່ເຫມາະສົມ
property,ຊັບສົມບັດ
protect,ປົກປັກຮັກສາ
prove,ພິສູດ
provide,ສະຫນອງການ
pull,ດຶງ
push,ການຊຸກຍູ້
put,ເອົາໃຈໃສ່
quart,ຂອງ
question,ຄໍາຖາມ
quick,ໄວ
quiet,ງຽບ
quite,ທີ່ຂ້ອນຂ້າງ
quotient,ປັດໄຈ
race,ເຊື້ອຊາດ
radio,ວິທະຍຸ
rail,ລາງລົດໄຟ
rain,ຝົນຕົກຫນັກ
raise,ຍົກສູງບົດບາດ
ran,ໄດ້ແລ່ນ
range,ລະດັບ
rather,ແທນທີ່ຈະ
reach,ສາມາດບັນລຸ
read,ອ່ານ
ready,ພ້ອມ
real,ແທ້ຈິງ
reason,ເຫດຜົນ
receive,ໄດ້ຮັບ
record,ການບັນທຶກ
red,ສີແດງ
region,ພາກພື້ນ
remember,ຈື່
repeat,ເຮັດເລື້ມຄືນ
reply,ຕອບ
represent,ເປັນຕົວແທນຂອງ
require,ຮຽກຮ້ອງໃຫ້ມີ
rest,ສ່ວນທີ່ເຫຼືອ
result,ຜົນໄດ້ຮັບ
rich,ອຸດົມສົມບູນ
ride,ຂັບເຄື່ອນ
right,ສິດ
ring,ວົງ
rise,ເພີ່ມຂຶ້ນ
river,ນ້ໍາ
road,ຖະຫນົນຫົນທາງ
rock,ຫີນ
roll,ມ້ວນ
room,ຫ້ອງການ
root,ຮາກ
rope,ເຊືອກ
rose,ເພີ່ມຂຶ້ນ
round,ໄດ້ຕະຫຼອດ
row,ການຕິດຕໍ່ກັນ
rub,ຖູ
rule,ກົດລະບຽບ
run,ການດໍາເນີນງານ
safe,ຄວາມປອດໄພ
said,ກ່າວວ່າ
sail,ປ່ອຍ
salt,ເກືອ
same,ດຽວກັນ
sand,ຊາຍ
sat,ແລ້ງ
save,ຊ່ວຍປະຢັດ
saw,ເຫັນ
say,ເວົ້າ
scale,ຂະຫນາດ
school,ໂຮງຮຽນ
science,ວິທະຍາສາດ
score,ຄະແນນ
sea,ທະເລ
search,ການຄົ້ນຫາ
season,ລະດູການ
seat,ບ່ອນນັ່ງ
second,ຄັ້ງທີສອງ
section,ພາກ
see,ເບິ່ງ
seed,ເມັດພັນ
seem,ເບິ່ງຄືວ່າ
segment,ຕອນ
select,ເລືອກ
self,ຕົນເອງ
sell,ຂາຍ
send,ສົ່ງ
sense,ຄວາມຮູ້ສຶກ
sent,ສົ່ງ
sentence,ປະໂຫຍກ
separate,ແຍກຕ່າງຫາກ
serve,ບໍລິການ
set,ທີ່ກໍານົດໄວ້
settle,ແກ້ໄຂ
seven,ເຈັດ
several,ຫຼາຍ
shall,ຈະ
shape,ຮູບຮ່າງ
share,ຮຸ້ນ
sharp,ແຫຼມ
she,ນາງ
sheet,ເອກະສານ
shell,ຫອຍ
shine,ຂອງ
ship,ການຂົນສົ່ງ
shoe,ນາມ
shop,ບໍລິການຜ່ານ
shore,ແຄມຝັ່ງ
short,ສັ້ນ
should,ຄວນ
shoulder,ບ່າ
shout,ສຽງໂຮ່ຮ້ອງ
show,ສະແດງໃຫ້ເຫັນ
side,ຂ້າງ
sight,ສາຍຕາ
sign,ອາການ
silent,ງຽບ
silver,ເງິນ
similar,ທີ່ຄ້າຍຄືກັນ
simple,ງ່າຍດາຍ
since,ນັບຕັ້ງແຕ່
sing,ຮ້ອງ
single,ດຽວ
sister,ເອື້ອຍ
sit,ນັ່ງ
six,ຫົກ
size,ຂະຫນາດ
skill,ສີມືແຮງງານ
skin,ຜິວຫນັງ
sky,ເຄົ້າ
slave,ລອງ
sleep,ນອນ
slip,ຄວາມຜິດພາດພຽງ
slow,ຊ້າ
small,ຂະຫນາດນ້ອຍ
smell,ການມີກິ່ນຫອມ
smile,ຍິ້ມ
snow,ຫິມະ
so,ສະນັ້ນ
soft,ອ່ອນຂອງປາ
soil,ດິນ
soldier,ສປປລ
solution,ການແກ້ໄຂ
solve,ການແກ້ໄຂ
some,ບາງ
son,ລູກຊາຍ
song,ເພງ
soon,ໄວເທົ່າທີ່ຈະ
sound,ສຽງ
south,ເຂດພາກໃຕ້
space,ຊ່ອງ
speak,ເວົ້າ
special,ພິເສດ
speech,"ປາກເວົ້າ, ຂີດ"
speed,ຄວາມໄວ
spell,ການສະກົດຄໍາ
spend,ໃຊ້ເວລາ
spoke,ໄດ້ເວົ້າເຖິງ
spot,ຈຸດ
spread,ການແຜ່ກະຈາຍ
spring,ພາກຮຽນ
square,ມົນທົນ
stand,ຢືນ
star,ດາວ
start,ການເລີ່ມຕົ້ນ
state,ລັດ
station,ສະຖານີ
stay,ຢູ່
stead,ສິ່ງທີ່ສາມາດນໍາກັບມາ
steam,ຄອມ
steel,ເຫຼັກ
step,ຂັ້ນຕອນ
stick,ໄມ້
still,ຍັງ
stone,ກ້ອນຫີນ
stood,ໄດ້ຢືນຢູ່
stop,ຢຸດເຊົາການ
store,ຮ້ານ
story,ເລື່ອງ
straight,ຊື່
strange,ເປັ
stream,ນ້ໍາ
street,ຖະຫນົນຫົນທາງ
stretch,ຍາວ
string,ຊ່ອຍແນ່
strong,ທີ່ເຂັ້ມແຂງ
student,ນັກສຶກສາ
study,ການສຶກສາ
subject,ວິຊາ
substance,ສານເສບຕິດ
subtract,ການຫັກລົບ
success,ຜົນສໍາເລັດ
such,ເຊັ່ນ:
sudden,ຢ່າງກະທັນຫັນ
suffix,suffix
sugar,້ໍາຕານ
suggest,ແນະນໍາ
suit,ຊຸດ
summer,ຮ້ອນ
sun,ແສງຕາເວັນ
supply,ການສະຫນອງ
support,ສະຫນັບສະຫນູນ
sure,ໃຫ້ແນ່ໃຈວ່າ
surface,ດ້ານ
surprise,ແປກໃຈ
swim,ເນື້ອທີ່ເຫືອກ
syllable,ສູງສຸດ
symbol,ສັນຍາລັກ
system,ລະບົບ
table,ຕາຕະລາງ
tail,ຫາງ
take,ໃຊ້ເວລາ
talk,ການສົນທະນາ
tall,ມ
teach,ສອນ
team,ທີມງານ
teeth,ແຂ້ວ
tell,ບອກ
temperature,ອຸນຫະພູມ
ten,ສິບ
term,ໃນໄລຍະ
test,ການທົດສອບ
than,ກ່ວາ
thank,ຂໍຂອບໃຈ
that,ທີ່
the,ໄດ້
their,ຂອງເຂົາເຈົ້າ
them,ໃຫ້ເຂົາເຈົ້າ
then,ຫຼັງຈາກນັ້ນ
there,ມີ
these,ເຫຼົ່ານີ້
they,ພວກເຂົາເຈົ້າ
thick,", ເປືອກຫນາ"
thin,ບາງ
thing,ການທົດສອບ
think,ຄິດວ່າ
third,ທີສາມ
this,ນີ້
those,ຜູ້
though,ເຖິງແມ່ນວ່າ
thought,ຄິດວ່າ
thousand,ພັນ
three,ສາມ
through,ໂດຍຜ່ານການ
throw,ຖິ້ມ
thus,ດັ່ງນັ້ນການ
tie,ວັດ
time,ທີ່ໃຊ້ເວລາ
tiny,ຂະຫນາດນ້ອຍ
tire,ເມື່ອຍ
to,ການທີ່ຈະ
together,ຮ່ວມກັນ
told,ບອກ
tone,ໂຕນ
too,ເກີນໄປ
took,ໄດ້
tool,ເຄື່ອງມື
top,ທາງເທີງ
total,ຈໍານວນທັງຫມົດ
touch,ແຕະ
toward,ໄປສູ່ການຕອບ
town,ຕົວເມືອງ
track,ການຕິດຕາມ
trade,ການຄ້າ
train,ການຝຶກອົບຮົມ
travel,ການເດີນທາງ
tree,ເປັນໄມ້ຢືນຕົ້ນ
triangle,ສາມຫຼ່ຽມ
trip,ການເດີນທາງ
trouble,ບັນຫາໃນການ
truck,ລົດ
true,ຄວາມຈິງ
try,ພະຍາຍາມ
tube,ທໍ່
turn,ແລະເຮັດໃຫ້ການ
twenty,ຊາວ
two,ສອງ
type,ປະເພດ
under,ພາຍໃຕ້ການ
unit,ຫນ່ວຍບໍລິການ
until,ຈົນກ່ວາ
up,ເຖິງ
us,ພວກເຮົາ
use,ການນໍາໃຊ້
usual,ປົກກະຕິ
valley,ຮ່ອມພູ
value,ມູນຄ່າ
vary,ແຕກຕ່າງກັນ
verb,ພາ
very,ຫຼາຍ
view,ເບິ່ງ
village,ບ້ານ
visit,ການຢ້ຽມຢາມ
voice,ສຽງ
vowel,ສະຫລະສຽງ
wait,ລໍຖ້າ
walk,ຍ່າງ
wall,ກໍາແພງ
want,ຕ້ອງການ
war,ສົງຄາມ
warm,ອົບອຸ່ນ
was,ນີ້ແມ່ນ
wash,ການລ້າງ
watch,ສັງເກດເບິ່ງ
water,ນ້ໍາ
wave,ຄື້ນ
way,ວິທີການ
we,ພວກເຮົາ
wear,ໃສ່
weather,ດິນຟ້າອາກາດ
week,ອາທິດ
weight,ນ້ໍາ
well,ດີ
went,ໄດ້
were,ໄດ້
west,ພາກຕາເວັນຕົກ
what,ສິ່ງທີ່
wheel,ຂັບລົດ
when,ໃນເວລາທີ່
where,ບ່ອນທີ່
whether,ບໍ່ວ່າຈະເປັນ
which,ທີ່
while,ໃນຂະນະທີ່
white,ສີຂາວ
who,ຜູ້ທີ່
whole,ທັງຫມົດ
whose,ທີ່
why,ເປັນຫຍັງ
wide,ກ້ວາງ
wife,ພັນລະຍາຂອງ
wild,ປ່າທໍາມະຊາດ
will,ຈະ
win,ໄຊຊະນະ
wind,ພະລັງງານລົມ
window,ປ່ອງຢ້ຽມ
wing,ປີກ
winter,ລະດູຫນາວ
wire,ສາຍ
wish,ຕ້ອງການ
with,ກັບ
woman,ແມ່ຍິງ
women,ແມ່ຍິງ
wonder,ສິ່ງມະຫັດ
won’t,ຈະບໍ່ໄດ້
wood,ໄມ້
word,ຄໍາ
work,ການເຮັດວຽກ
world,ໂລກ
would,ຈະ
write,ຂຽນ
written,ລາຍລັກອັກສອນ
wrong,ຜິດພາດ
wrote,ຂຽນ
yard,ເດີ່ນ
year,ປີ
yellow,ສີເຫຼືອງ
yes,ແມ່ນແລ້ວ
yet,ທັນ
you,ທ່ານ
young,ຫນຸ່ມ
your,ຂອງທ່ານ
