english,tamil
column,பத்தியில்
come,வா
common,பொது
company,நிறுவனம்
compare,ஒப்பிட்டு
complete,முழுமையான
condition,நிலை
connect,இணைக்க
consider,கருத்தில்
consonant,மெய்
contain,கொண்டிருக்கிறது
continent,கண்டத்தின்
continue,தொடர்ந்து
control,கட்டுப்பாடு
cook,சமையற்காரர்
cool,குளிர்
copy,பிரதியை
corn,சோளம்
corner,மூலையில்
correct,சரியான
cost,செலவு
cotton,பருத்தி
could,முடியும்
count,எண்ண
country,நாட்டின்
course,நிச்சயமாக
cover,கவர்
cow,மாடு
crease,மடி
create,உருவாக்க
crop,பயிர்
cross,கடந்து
crowd,கூட்டத்தில்
cry,அழ
current,நடப்பு
cut,வெட்டு
dad,தந்தை
dance,நடன
danger,ஆபத்து
dark,இருண்ட
day,நாள்
dead,இறந்த
deal,ஒப்பந்தம்
dear,அன்பே
death,மரணம்
decide,முடிவு
decimal,தசம
deep,ஆழமான
degree,பட்டம்
depend,சார்ந்திருக்கிறது
describe,விவரிக்க
desert,பாலைவன
design,வடிவமைப்பு
determine,தீர்மானிக்க
develop,அபிவிருத்தி
dictionary,அகராதியில்
did,செய்தது
die,இறக்க
differ,வேறுபடுகின்றன
difficult,கடினமான
direct,நேரடி
discuss,விவாதிக்க
distant,தொலைதூர
divide,பிளவை
division,பிரிவு
do,செய்
doctor,மருத்துவர்
does,இல்லை
dog,நாய்
dollar,டாலர்
done,செய்து
don’t,இல்லை
door,கதவை
double,இரட்டை
down,கீழே
draw,வரைய
dream,கனவு
dress,ஆடை
drink,பானம்
drive,இயக்கி
drop,கைவிட
dry,உலர்
duck,மூழ்கு
during,போது
each,ஒவ்வொரு
ear,காது
early,ஆரம்ப
earth,பூமியில்
ease,எளிதாக்க
east,கிழக்கு
eat,சாப்பிட
edge,விளிம்பில்
effect,விளைவு
egg,முட்டை
eight,எட்டு
either,ஒன்று
electric,மின்சார
element,உறுப்பு
else,வேறு
end,இறுதியில்
enemy,பகைவன்
energy,ஆற்றல்
engine,இயந்திரம்
enough,போதுமான
enter,நுழைய
equal,சம
equate,சமன்
especially,குறிப்பாக
even,கூட
evening,மாலை
event,நிகழ்வு
ever,எப்போதும்
every,ஒவ்வொரு
exact,துல்லியமான
example,உதாரணமாக
except,"தவிர,"
excite,தூண்ட
exercise,உடற்பயிற்சி
expect,எதிர்பார்க்க
experience,அனுபவம்
experiment,சோதனை
eye,கண்
face,முகத்தை
fact,உண்மை
fair,நியாயமான
fall,விழ
family,குடும்ப
famous,பிரபலமான
far,இதுவரை
farm,பண்ணை
fast,வேகமாக
fat,கொழுப்பு
father,தந்தை
favor,சாதகமாக
fear,பயம்
feed,ஜூன்
feel,உணர
feet,அடி
fell,விழுந்தது
felt,உணர்ந்தேன்
few,சில
field,துறையில்
fig,அத்தி
fight,சண்டை
figure,எண்ணிக்கை
fill,நிரப்பவும்
final,இறுதி
find,கண்டுபிடிக்க
fine,நன்றாக
finger,விரல்
finish,பூச்சு
fire,தீ
first,முதல்
fish,மீன்
fit,பொருந்தும்
five,ஐந்து
flat,பிளாட்
floor,தரையில்
flow,பாயும்
flower,மலர்
fly,பறக்க
follow,பின்பற்றவும்
food,உணவு
foot,கால்
for,ஐந்து
force,படை
forest,காட்டில்
form,வடிவம்
forward,முன்னோக்கி
found,காணப்படும்
four,நான்கு
fraction,பகுதி
free,இலவச
fresh,புதிய
friend,நண்பர்
from,இருந்து
front,முன்
fruit,பழம்
full,முழு
fun,வேடிக்கை
game,விளையாட்டு
garden,தோட்டத்தில்
gas,எரிவாயு
gather,சேகரிக்க
gave,கொடுத்தது
general,பொது
gentle,மென்மையான
get,கிடைக்கும்
girl,பெண்
give,கொடுக்க
glad,மகிழ்ச்சி
glass,கண்ணாடி
go,போ
gold,தங்க
gone,சென்று
good,நல்ல
got,கிடைத்தது
govern,ஆட்சி
grand,பெரும்
grass,புல்
gray,சாம்பல்
great,பெரும்
green,பச்சை
grew,வளர்ந்தது
ground,தரையில்
group,குழு
grow,வளர
guess,யூகிக்க
guide,வழிகாட்ட
gun,துப்பாக்கி
had,இருந்தது
hair,முடி
half,அரை
hand,கையில்
happen,நடக்கும்
happy,சந்தோஷமாக
hard,கடின
has,உள்ளது
hat,தொப்பி
have,வேண்டும்
he,அவர்
head,தலைவர்
hear,செவி மடுத்து கேள்
heard,கேட்டது
heart,இதய
heat,வெப்ப
heavy,கனரக
held,நானும்
help,உதவும்
her,அவரது
here,இங்கே
high,உயர்
hill,மலை
him,அவரை
his,அவரது
history,வரலாற்றில்
hit,வெற்றி
hold,நடத்த
hole,ஓட்டை
home,வீட்டில்
hope,நம்பிக்கை
horse,குதிரை
hot,சூடான
hour,மணி
house,வீட்டில்
how,எப்படி
huge,பிரம்மாண்டமான
human,மனித
hundred,நூறு
hunt,வேட்டை
hurry,அவசரம்
i,நான்
ice,பனி
idea,யோசனை
if,என்றால்
imagine,கற்பனை
in,உள்ள
inch,அங்குல
include,சேர்க்கிறது
indicate,குறிக்கிறது
industry,தொழில்
insect,பூச்சி
instant,உடனடி
instrument,கருவி
interest,வட்டி
invent,கண்டுபிடித்தல்
iron,இரும்பு
is,ஆகிறது
island,தீவின்
it,அது
job,வேலை
join,சேர
joy,மகிழ்ச்சி
jump,குதிக்க
just,வெறும்
keep,வைத்து
kept,வைத்து
key,முக்கிய
kill,கொலை
kind,வகையான
king,ராஜா
knew,தெரிந்தது
know,எனக்கு தெரியும்
lady,பெண்
lake,ஏரியில்
land,நில
language,மொழி
large,பெரிய
last,கடந்த
late,தாமதமாக
laugh,சிரிப்பு
law,சட்ட
lay,போட
lead,வழிவகுக்கும்
learn,அறிய
least,குறைந்தது
leave,விட்டு
led,தலைமையிலான
left,விட்டு
leg,காலை
length,நீளம்
less,குறைவான
let,நாம்
letter,கடிதம்
level,நிலை
lie,பொய்யை
life,வாழ்க்கை
lift,லிப்ட்
light,ஒளி
like,போன்ற
line,வரி
liquid,திரவ
list,பட்டியலில்
listen,கேட்க
little,சிறிய
live,வாழ
locate,கண்டறிவது
log,புகுபதிகை
lone,தனி
long,நீண்ட
look,பார்க்க
lost,இழந்தது
lot,நிறைய
loud,உரத்த
love,காதல்
low,குறைந்த
machine,இயந்திரம்
made,செய்து
magnet,கிரேடு
main,முக்கிய
major,முக்கிய
make,செய்ய
man,மனிதன்
many,பல
map,வரைபடத்தை
mark,குறி
market,சந்தை
mass,வெகுஜன
master,மாஸ்டர்
match,போட்டியில்
material,பொருள்
matter,விஷயம்
may,மே
me,எனக்கு
mean,அர்த்தம்
meant,பொருள்
measure,அளவிட
meat,இறைச்சி
meet,சந்திக்க
melody,மெல்லிசை
men,ஆண்கள்
metal,உலோக
method,முறை
middle,நடுத்தர
might,வலிமை
mile,மைல்
milk,பால்
million,மில்லியன்
mind,மனதில்
mine,என்னுடைய
minute,நிமிடம்
miss,மிஸ்
mix,கலந்து
modern,நவீன
molecule,மூலக்கூறின்
moment,கணம்
money,பணத்தை
month,மாதம்
moon,நிலவு
more,மேலும்
morning,காலையில்
most,மிகவும்
mother,அம்மா
motion,இயக்கம்
mount,ஏற்ற
mountain,மலை
mouth,வாயில்
move,நடவடிக்கை
much,மிகவும்
multiply,பெருக்கவும்
music,இசை
must,வேண்டும்
my,என்னுடைய
name,பெயர்
nation,தேசிய
natural,இயற்கை
nature,இயற்கையின்
near,அருகில்
necessary,தேவையான
neck,கழுத்தில்
need,வேண்டும்
neighbor,அண்டை
never,ஒருபோதும்
new,புதிய
next,அடுத்த
night,இரவு
nine,ஒன்பது
no,எந்த
noise,சத்தம்
noon,நண்பகல்
nor,அல்லது
north,வடக்கில்
nose,மூக்கு
note,குறிப்பு
nothing,எதுவும்
notice,அறிவிப்பு
noun,பெயர்ச்சொல்
now,இப்பொழுது
number,பல
numeral,எண்
object,பொருள்
observe,அவதானிக்கவும்
occur,ஏற்படும்
ocean,கடல்
of,உள்ள
off,ஆஃப்
offer,வாய்ப்பை
office,அலுவலகத்தில்
often,பெரும்பாலும்
oh,ஓ
oil,எண்ணெய்
old,பழைய
on,ம்
once,ஒருமுறை
one,ஒரு
only,மட்டும்
open,திறந்த
operate,செயல்பட
opposite,எதிர்
or,அல்லது
order,பொருட்டு
organ,உறுப்பு
original,அசல்
other,மற்ற
our,எங்கள்
out,வெளியே
over,மேல்
own,சொந்த
oxygen,ஆக்சிஜன்
page,பக்கம்
paint,வண்ணம்
pair,ஜோடி
paper,காகித
paragraph,பத்தி
parent,பெற்றோர்
part,பகுதி
particular,குறிப்பாக
party,கட்சி
pass,கடந்து
past,கடந்த
path,பாதை
pattern,அமைப்பு
pay,செலுத்த
people,மக்கள்
perhaps,ஒருவேளை
period,காலம்
person,நபர்
phrase,சொற்றொடர்
pick,எடுக்க
picture,படம்
piece,துண்டு
pitch,சுருதி
place,இடத்தில்
plain,வெற்று
plan,திட்டம்
plane,விமானம்
planet,கிரகத்தின்
plant,ஆலை
play,விளையாட
please,தயவு செய்து
plural,பன்மை
poem,கவிதையை
point,புள்ளி
poor,ஏழை
populate,விரிவுப்படுத்த
port,துறைமுக
pose,போஸ்
position,நிலையை
possible,சாத்தியம்
post,பின்
pound,பவுண்டு
power,அதிகாரத்தை
practice,நடைமுறையில்
prepare,தயார்
present,தற்போதைய
press,செய்தி
pretty,அழகான
print,அச்சு
probable,சாத்தியமான
problem,பிரச்சனை
process,செயல்முறை
produce,உற்பத்தி
product,தயாரிப்பு
proper,முறையான
property,சொத்து
protect,காப்பாற்று
prove,நிரூபிக்க
provide,எப்படி
pull,இழுக்க
push,மிகுதி
put,வைத்து
quart,பைண்டு அளவு
question,கேள்வி
quick,விரைவான
quiet,அமைதியான
quite,மிகவும்
quotient,ஈவு
race,இனம்
radio,ரேடியோ
rail,ரயில்
rain,மழை
raise,உயர்த்த
ran,ஓடி
range,எல்லை
rather,மாறாக
reach,அடைய
read,படிக்க
ready,தயாராக
real,உண்மையான
reason,காரணம்
receive,பெற
record,பதிவு
red,"சிவப்பு,"
region,பகுதி
remember,நினைவில்
repeat,மீண்டும்
reply,பதில்
represent,பிரதிநிதித்துவம்
require,தேவைப்படுகிறது
rest,மீதமுள்ள
result,இதன் விளைவாக
rich,பணக்கார
ride,சவாரி
right,வலது
ring,மோதிரத்தை
rise,உயரும்
river,ஆற்றில்
road,சாலை
rock,ராக்
roll,ரோல்
room,அறையில்
root,ரூட்
rope,கயிற்றில்
rose,உயர்ந்தது
round,சுற்று
row,வரிசையில்
rub,துடைப்பான்
rule,ஆட்சி
run,ரன்
safe,பாதுகாப்பான
said,என்றார்
sail,புறப்பட்டது
salt,"உப்பு,"
same,அதே
sand,மணல்
sat,சனி
save,காப்பாற்ற
saw,எண்ணினர்
say,சொல்ல
scale,அளவில்
school,பள்ளி
science,அறிவியல்
score,மதிப்பெண்
sea,கடல்
search,தேடல்
season,சீசன்
seat,இருக்கை
second,இரண்டாவது
section,பிரிவில்
see,பார்க்க
seed,விதை
seem,தெரியவில்லை
segment,பிரிவு
select,தேர்ந்தெடு
self,சுய
sell,விற்க
send,அனுப்பு
sense,உணர்வு
sent,அனுப்பி
sentence,தண்டனை
separate,தனி
serve,சேவை
set,தொகுப்பு
settle,குடியேற
seven,ஏழு
several,பல
shall,போகலாமா
shape,வடிவம்
share,பங்கு
sharp,கூர்மையான
she,அவர்
sheet,தாள்
shell,ஷெல்
shine,பிரகாசி
ship,கப்பல்
shoe,காலணி
shop,கடையை
shore,கரையில்
short,குறுகிய
should,வேண்டும்
shoulder,தோள்பட்டை
shout,கத்தி
show,நிகழ்ச்சி
side,பக்க
sight,பார்வை
sign,அடையாளம்
silent,அமைதியாக
silver,வெள்ளி
similar,இதே
simple,எளிமையான
since,முதல்
sing,பாட
single,ஒற்றை
sister,அக்கா
sit,உட்கார
six,ஆறு
size,அளவு
skill,திறன்
skin,தோல்
sky,வானத்தில்
slave,அடிமை
sleep,தூக்கம்
slip,சீட்டு
slow,மெதுவாக
small,சிறு
smell,மணம்
smile,சிரிப்பு
snow,பனி
so,எனவே
soft,மென்மையான
soil,மண்
soldier,சிப்பாய்
solution,தீர்வு
solve,தீர்க்க
some,சில
son,மகன்
song,பாடல்
soon,விரைவில்
sound,ஒலி
south,தெற்கு
space,விண்வெளி
speak,பேச
special,சிறப்பு
speech,பேச்சு
speed,வேக
spell,எழுத்துப்பிழை
spend,செலவு
spoke,பேசினார்
spot,ஸ்பாட்
spread,பரவல்
spring,வசந்த
square,சதுரம்
stand,நிற்க
star,நட்சத்திர
start,தொடக்கத்தில்
state,மாநில
station,நிலையம்
stay,தங்க
stead,ஸ்தானத்தில்
steam,நீராவி
steel,உருக்கு
step,படி
stick,குச்சி
still,இன்னும்
stone,கல்
stood,நின்று
stop,நிறுத்த
store,கடையில்
story,கதை
straight,நேராக
strange,விசித்திரமான
stream,ஸ்ட்ரீம்
street,தெருவில்
stretch,நீட்டிக்க
string,சரம்
strong,வலுவான
student,மாணவர்
study,ஆய்வு
subject,பொருள்
substance,பொருள்
subtract,கழித்தால்
success,வெற்றி
such,போன்ற
sudden,திடீர்
suffix,மை
sugar,சர்க்கரை
suggest,பரிந்துரைக்கிறது
suit,வழக்கு
summer,கோடை
sun,சூரிய
supply,வழங்கல்
support,ஆதரவு
sure,உறுதியான
surface,மேற்பரப்பு
surprise,ஆச்சரியம்
swim,து
syllable,அசையாக
symbol,சின்னம்
system,அமைப்பு
table,அட்டவணை
tail,வால்
take,எடுத்து
talk,பேச்சு
tall,உயரம்
teach,கற்று
team,அணி
teeth,பற்கள்
tell,சொல்ல
temperature,வெப்பநிலை
ten,பத்து
term,கால
test,சோதனை
than,விட
thank,நன்றி
that,என்று
the,தி
their,தங்கள்
them,அவர்கள்
then,பின்னர்
there,அங்கு
these,இவை
they,அவை
thick,தடித்த
thin,மெல்லிய
thing,விஷயம்
think,என்று
third,மூன்றாவது
this,இந்த
those,அந்த
though,எனினும்
thought,நினைத்தேன்
thousand,ஆயிரம்
three,மூன்று
through,மூலம்
throw,தூக்கி
thus,இவ்வாறு
tie,டை
time,நேரம்
tiny,சிறிய
tire,டயர்
to,செய்ய
together,ஒன்றாக
told,கூறினார்
tone,தொனி
too,மிகவும்
took,நடந்தது
tool,கருவி
top,மேல்
total,மொத்த
touch,தொட
toward,நோக்கி
town,நகரம்
track,பாடல்
trade,வர்த்தக
train,ரயில்
travel,பயண
tree,மரத்தில்
triangle,முக்கோண
trip,பயணம்
trouble,சிக்கல்
truck,டிரக்
true,உண்மை
try,முயற்சி
tube,குழாய்
turn,இதையொட்டி
twenty,இருபத்தி
two,இரு
type,வகை
under,கீழ்
unit,அலகு
until,வரை
up,மேலே
us,அமெரிக்க
use,பயன்பாடு
usual,வழக்கம்
valley,பள்ளத்தாக்கில்
value,மதிப்பு
vary,மாறுபடுகிறது
verb,வினை
very,மிகவும்
view,பார்வை
village,கிராமம்
visit,வருகை
voice,குரல்
vowel,உயிர்
wait,காத்திருக்க
walk,நடக்க
wall,சுவர்
want,வேண்டும்
war,போர்
warm,சூடான
was,இருந்தது
wash,கழுவும்
watch,பார்க்க
water,தண்ணீர்
wave,அலை
way,வழி
we,நாம்
wear,அணிய
weather,வானிலை
week,வாரம்
weight,எடை
well,அதே
went,சென்றார்
were,இருந்தன
west,மேற்கே
what,என்ன
wheel,சக்கர
when,எப்போது
where,எங்கே
whether,என்பதை
which,இது
while,போது
white,வெள்ளை
who,யார்
whole,முழுவதும்
whose,அதன்
why,ஏன்
wide,பரந்த
wife,மனைவி
wild,காட்டு
will,சாப்பிடுவேன்
win,வெற்றி
wind,காற்று
window,சாளர
wing,வலதுசாரி
winter,குளிர்காலத்தில்
wire,கம்பி
wish,விரும்புகிறேன்
with,உடன்
woman,பெண்
women,பெண்கள்
wonder,தெரியவில்லை
won’t,இல்லை
wood,மரம்
word,விக்சனரி
work,பணி
world,உலக
would,என்று
write,எழுத
written,எழுதப்பட்ட
wrong,தவறு
wrote,எழுதியது
yard,முற்றத்தில்
year,ஆண்டு
yellow,மஞ்சள்
yes,ஆம்
yet,இதுவரை
you,நீங்கள்
young,இளம்
your,உங்கள்
