english,shona
include,sanganisira
indicate,dzinoratidza
industry,indasitiri
insect,kambuyu
instant,nekukurumidza
instrument,chombo
interest,mubereko
invent,wekuvamba
iron,simbi
is,ndiko
island,chitsuwa
it,naro
job,basa
join,kubatana
joy,rufaro
jump,janhuka
just,chete
keep,chengeta
kept,akaramba
key,anokosha
kill,kuuraya
kind,mhando
king,mambo
knew,aiziva
know,ziva
lady,mudzimai
lake,nyanza
land,munda
language,mutauro
large,guru
last,ekupedzisira
late,pakunopera
laugh,seka
law,mutemo
lay,akarara
lead,tungamira
learn,dzidza
least,muduku
leave,siya
led,akatungamirira
left,ruboshwe
leg,gumbo
length,urefu
less,zvishoma
let,regai
letter,tsamba
level,terama
lie,manyepo
life,upenyu
lift,burutso
light,chiedza
like,se
line,mutsetse
liquid,mvura-mvura
list,pamazita
listen,teerera
little,shoma
live,kurarama
locate,tsvaka
log,danda
lone,lone
long,refu
look,tsvaka
lost,rasika
lot,mugove
loud,ruzha
love,rudo
low,yakaderera
machine,machine
made,akaita
magnet,magineti
main,kuru
major,zvikuru
make,kuita
man,murume
many,zhinji
map,mepu
mark,maka
market,musika
mass,uremu
master,tenzi
match,mutambo
material,zvinhu
matter,nyaya
may,chivabvu
me,ini
mean,zvinoreva
meant,zvaireva
measure,chipimo
meat,nyama
meet,sangana
melody,chuni
men,varume
metal,simbi
method,nzira
middle,pakati
might,simba
mile,maira
milk,mukaka
million,miriyoni
mind,pfungwa
mine,zvangu
minute,mineti
miss,potsa
mix,sanganisa
modern,ano
molecule,morekuru
moment,nguva
money,mari
month,mwedzi
moon,mwedzi
more,zvimwe
morning,mangwanani
most,vakawanda
mother,amai
motion,chitsungo
mount,pagomo
mountain,gomo
mouth,muromo
move,famba
much,zvikuru
multiply,muwande
music,mumhanzi
must,fanira
my,dzangu
name,zita
nation,nyika
natural,dzinongoitika
nature,muzvarirwo
near,pedo
necessary,zvakakodzera
neck,mutsipa
need,vanoda
neighbor,muvakidzani
never,haana
new,itsva
next,chinotevera
night,husiku
nine,pfumbamwe
no,aihwa
noise,ruzha
noon,masikati
nor,kana
north,mawodzanyemba
nose,mhino
note,chitsamba
nothing,hapana
notice,chiziviso
noun,pazita
now,ikozvino
number,nhamba
numeral,nhamba
object,chinhu
observe,kutevedza
occur,itika
ocean,gungwa
of,pamusoro
off,kure
offer,chipo
office,hofisi
often,kazhinji
oh,o
oil,mafuta
old,yekare
on,pamusoro
once,kamwe
one,poshi
only,chete
open,yakazaruka
operate,tekenya
opposite,pakatarisana
or,kana
order,hurongwa
organ,nhego
original,yepakutanga
other,mwe
our,yedu
out,panze
over,pamusoro
own,pachake
oxygen,okisijeni
page,peji
paint,penda
pair,peya
paper,bepa
paragraph,ndima
parent,mubereki
part,chidimbu
particular,kunyanya
party,pati
pass,zvakaitika
past,zvekare
path,nzira
pattern,muenzaniso
pay,kubhadhara
people,vanhu
perhaps,zvichida
period,nguva
person,munhu
phrase,chirevo
pick,nhonga
picture,mufananidzo
piece,chidimbu
pitch,nenamo
place,nzvimbo
plain,bani
plan,urongwa
plane,ndege
planet,nyika
plant,chirimwa
play,tamba
please,ndapota
plural,uwandu
poem,detembo
point,nguva
poor,murombo
populate,vazadze
port,poti
pose,pozi
position,nzvimbo
possible,zvinogoneka
post,pambiru
pound,paundi
power,simba
practice,tsika
prepare,gadzirira
present,chipo
press,dzvanya
pretty,runako
print,dhinda
probable,fungidzira
problem,dambudziko
process,urongwa
produce,kubereka
product,chigadzirwa
proper,fanira
property,pfuma
protect,chengetedza
prove,ratidza
provide,zvinopa
pull,kweva
push,kusunda
put,isa
quart,quart
question,mubvunzo
quick,nokukurumidza
quiet,nyarara
quite,zvikuru
quotient,quotient
race,rudzi
radio,redhiyo
rail,njanji
rain,mvura
raise,simudza
ran,akamhanya
range,dungwerungwe
rather,asi
reach,kusvika
read,verenga
ready,gadzirira
real,zvechokwadi
reason,chikonzero
receive,kugamuchira
record,rekodhi
red,tsvuku
region,nharaunda
remember,yeuka
repeat,dzokorora
reply,pindura
represent,miririra
require,zvinoda
rest,zororo
result,mugumisiro
rich,fuma
ride,tasva
right,rudyi
ring,mhete
rise,simuka
river,rwizi
road,mugwagwa
rock,ibwe
roll,rora
room,mukana
root,mudzi
rope,tambo
rose,akasimuka
round,denderedzwa
row,mutsara
rub,kwiza
rule,mutemo
run,manya
safe,ngozi
said,akati
sail,kwasva
salt,munyu
same,chete
sand,jecha
sat,sat
save,kunze
saw,saha
say,vanoti
scale,chikero
school,chikoro
science,sainzi
score,chibozwa
sea,gungwa
search,kutsvaka
season,mwaka
seat,chigaro
second,chepiri
section,chidimbu
see,ona
seed,mhodzi
seem,sokuti
segment,chidimbu
select,sarudza
self,pachake
sell,tengesa
send,tuma
sense,pfungwa
sent,akatuma
sentence,mutongo
separate,paradzanisa
serve,kushumira
set,seti
settle,gadzikana
seven,nomwe
several,akawanda
shall,ko
shape,shepi
share,mugove
sharp,unopinza
she,iye
sheet,bepa
shell,deko
shine,penya
ship,chikepe
shoe,shangu
shop,chitoro
shore,mahombekombe
short,pfupi
should,fanira
shoulder,bipito
shout,kwama
show,ratidza
side,divi
sight,kuona
sign,chiratidzo
silent,nyarara
silver,sirivha
similar,zvakafanana
simple,nyore
since,kubva
sing,imba
single,kuroorwa
sister,hanzvadzi sikana
sit,gara
six,nhanhatu
size,zera
skill,unyanzvi
skin,ganda
sky,denga
slave,nhapwa
sleep,hope
slip,pitikoti
slow,nonoka
small,diki
smell,munhuhwi
smile,nyemwerera
snow,chando
so,saka
soft,nyorovera
soil,ivhu
soldier,musoja
solution,mhinduro
solve,gadzira
some,vamwe
son,mwanakomana
song,rwiyo
soon,nokukurumidza
sound,rira
south,chamhembe
space,nzvimbo
speak,taura
special,chaiwo
speech,nhaurwa
speed,havukavu
spell,mushinhiriro
spend,shandisa
spoke,akataura
spot,nzvimbo
spread,waridza
spring,chitubu
square,sikweya
stand,mira
star,nyeredzi
start,kutanga
state,mamiriro
station,chiteshi
stay,gara
stead,panzvimbo
steam,chiutsi
steel,simbi
step,danho
stick,rutanda
still,vachiri
stone,ibwe
stood,akamira
stop,mira
store,chitoro
story,nyaya
straight,kururamiswa
strange,shamisa
stream,chikova
street,mugwagwa
stretch,tatamuka
string,tambo
strong,simba
student,mudzidzi
study,kudzidza
subject,chidzidzo
substance,fuma
subtract,bvisa
success,budiriro
such,vakadaro
sudden,kasira
suffix,suffix
sugar,shuga
suggest,anoratidza
suit,svutu
summer,chirimo
sun,zuva
supply,zvitengeswa
support,tsigira
sure,chokwadi
surface,pamusoro
surprise,katyamadza
swim,dhidha
syllable,mabhii
symbol,chiratidzo
system,maitiro
table,tafura
tail,muswe
take,tora
talk,taura
tall,reba
teach,dzidzisa
team,chikwata
teeth,mazino
tell,udza
temperature,tembiricha
ten,gumi
term,izwi
test,bvunzo
than,pane
thank,tenda
that,kuti
the,ari
their,zvavo
them,kwavari
then,ipapo
there,ipapo
these,izvi
they,ivo
thick,gobvu
thin,onda
thing,chinhu
think,funga
third,chetatu
this,ichi
those,avo
though,zvisinei
thought,pfungwa
thousand,churu
three,tatu
through,kuburikidza
throw,kukanda
thus,saka
tie,kusingagumi
time,nguva
tiny,dikidiki
tire,maneto
to,kuti
together,pamwe chete
told,vakaudza
tone,izwi
too,wo
took,vakatora
tool,turusi
top,pamusoro
total,muunganidzwa
touch,kubata
toward,akananga
town,dhorobha
track,njanji
trade,tengeserana
train,chitima
travel,famba
tree,muti
triangle,triangle
trip,rwendo
trouble,dambudziko
truck,rori
true,zvechokwadi
try,edza
tube,chubhu
turn,chijana
twenty,makumi maviri
two,piri
type,mhando
under,pasi
unit,chikwata
until,kusvikira
up,vakakwira
us,isu
use,shandisa
usual,garoitika
valley,nhika
value,ukoshi
vary,siyana
verb,chiito
very,chaizvo
view,maonero
village,musha
visit,kushanya
voice,izwi
vowel,nzvanyira
wait,mira
walk,famba
wall,rusvingo
want,chido
war,hondo
warm,kwoushamwari
was,aiva
wash,geza
watch,tarisa
water,mvura
wave,chinozunguzirwa
way,nzira
we,isu
wear,pfeka
weather,mamiriro okunze
week,vhiki
weight,uremu
well,tsime
went,akaenda
were,vakanga
west,madokero
what,chii
wheel,vhiri
when,apo
where,apo
whether,kana
which,izvo
while,apo
white,chena
who,ani
whole,ose
whose,vane
why,sei
wide,rakafara
wife,mukadzi
wild,nyati
will,chido
win,hwina
wind,mhepo
window,hwindo
wing,bapiro
winter,chando
wire,waya
wish,chido
with,ne
woman,mukadzi
women,vakadzi
wonder,shamisika
won’t,havazodyari
wood,danda
word,izwi
work,basa
world,nyika
would,wakaramba
write,nyora
written,zvakanyorwa
wrong,zvakaipa
wrote,akanyora
yard,yadhi
year,gore
yellow,yero
yes,ehe
yet,asi
you,iwe
young,diki
your,dzako
