english,portuguese
suit,terno
summer,verão
sun,sol
supply,fornecimento
support,apoio
sure,certo
surface,superfície
surprise,surpresa
swim,mergulho
syllable,sílaba
symbol,símbolo
system,sistema
table,mesa
tail,cauda
take,tomar
talk,discussão
tall,alto
teach,ensinar
team,equipe
teeth,dentes
tell,dizer
temperature,temperatura
ten,dez
term,prazo
test,teste
than,que
thank,obrigado
that,que
the,o
their,seu
them,eles
then,depois
there,lá
these,estes
they,eles
thick,grossa
thin,fina
thing,coisa
think,acho que
third,terceiro
this,este
those,aqueles
though,embora
thought,pensava
thousand,mil
three,três
through,através
throw,jogar
thus,assim
tie,amarrar
time,tempo
tiny,minúsculo
tire,pneu
to,a
together,juntos
told,disse
tone,tom
too,também
took,tomou
tool,ferramenta
top,topo
total,total de
touch,tocar
toward,direção
town,cidade
track,trilha
trade,comércio
train,trem
travel,viagens
tree,árvore
triangle,triângulo
trip,viagem
trouble,dificuldade
truck,caminhão
true,verdade
try,tentar
tube,tubo
turn,vez
twenty,vinte
two,dois
type,tipo
under,sob
unit,unidade
until,até
up,up
us,nós
use,usar
usual,habitual
valley,vale
value,valor
vary,variar
verb,verbo
very,muito
view,vista
village,aldeia
visit,visita
voice,voz
vowel,vogal
wait,esperar
walk,andar
wall,parede
want,quer
war,guerra
warm,quente
was,foi
wash,lavagem
watch,assista
water,água
wave,onda
way,maneira
we,nós
wear,desgaste
weather,tempo
week,semana
weight,peso
well,bem
went,fui
were,foram
west,oeste
what,o que
wheel,roda
when,quando
where,onde
whether,se
which,que
while,enquanto
white,branco
who,que
whole,inteiro
whose,cuja
why,por que
wide,ampla
wife,esposa
wild,selvagem
will,vontade
win,vitória
wind,vento
window,janela
wing,asa
winter,inverno
wire,fio
wish,desejo
with,com
woman,mulher
women,mulheres
wonder,pergunto
won’t,não vai
wood,madeira
word,palavra
work,trabalho
world,mundo
would,faria
write,escrever
written,escrito
wrong,errado
wrote,escreveu
yard,quintal
year,ano
yellow,amarelo
yes,sim
yet,ainda
you,você
young,jovem
your,seu
