english,khmer
cloud,ពពក
coast,ឆ្នេរ
coat,ថ្នាំកូត
cold,ជំងឺផ្តាសាយ
collect,ប្រមូល
colony,អាណានិគម
color,ពណ៌
column,ជួរឈរ
come,មក
common,ជារឿងធម្មតា
company,ក្រុមហ៊ុន
compare,ប្រៀបធៀប
complete,ពេញលេញ
condition,លក្ខខណ្ឌ
connect,ការតភ្ជាប់
consider,ពិចារណា
consonant,ព្យញ្ជនៈ
contain,មាន
continent,ទ្វីប
continue,បន្ត
control,ការត្រួតពិនិត្យ
cook,ចំអិន
cool,ត្រជាក់
copy,ច្បាប់ចម្លង
corn,ពោត
corner,ជ្រុង
correct,ត្រឹមត្រូវ
cost,ការចំណាយ
cotton,កប្បាស
could,អាចធ្វើបាន
count,រាប់
country,ប្រទេស
course,ពិតណាស់
cover,គម្រប
cow,គោ
crease,ផ្នត់
create,បង្កើត
crop,ដំណាំ
cross,ឆ្លងកាត់
crowd,ហ្វូងមនុស្ស
cry,យំ
current,បច្ចុប្បន្ន
cut,កាត់
dad,ឪពុក
dance,ការរាំ
danger,ះថាក់
dark,ងងឹត
day,ថ្ងៃ
dead,ស្លាប់
deal,កិច្ចព្រមព្រៀង
dear,ជាទីស្រឡាញ់
death,ការស្លាប់
decide,សម្រេចចិត្ត
decimal,ទសភាគ
deep,ជ្រៅ
degree,សញ្ញាប័ត្រ
depend,អាស្រ័យ
describe,ពិពណ៌នា
desert,វាលខ្សាច់
design,ការរចនា
determine,កំណត់
develop,ការអភិវឌ្ឍ
dictionary,វចនានុក្រម
did,ធ្វើ
die,ស្លាប់
differ,ខុសគ្នា
difficult,ការលំបាក
direct,ដោយផ្ទាល់
discuss,ពិភាក្សា
distant,ឆ្ងាយ
divide,ចេក
division,ផ្នែក
do,ធ្វើបាន
doctor,គ្រូពេទ្យ
does,មិន
dog,ឆ្កែ
dollar,ប្រាក់ដុល្លារ
done,ធ្វើ
don’t,ធ្វើមិនបាន
door,ទ្វារ
double,ពីរដង
down,ចុះ
draw,គូរ
dream,សុបិន្ត
dress,សម្លៀកបំពាក់
drink,ភេសជ្ជៈ
drive,ដ្រាយ
drop,ធ្លាក់ចុះ
dry,ស្ងួត
duck,ទា
during,ក្នុងអំឡុងពេល
each,គ្នា
ear,ត្រចៀក
early,ដើម
earth,ផែនដី
ease,បន្ធូរបន្ថយ
east,ខាងកើត
eat,បរិភោគ
edge,គែម
effect,ផលប៉ះពាល់
egg,ស៊ុត
eight,ប្រាំបី
either,ទាំង
electric,អគ្គិសនី
element,ធាតុ
else,ផ្សេងទៀត
end,ចុងបញ្ចប់
enemy,សត្រូវ
energy,ថាមពល
engine,ម៉ាស៊ីន
enough,គ្រប់គ្រាន់
enter,ចូល
equal,ស្មើ
equate,ស្មើ
especially,ជាពិសេស
even,សូម្បីតែ
evening,ល្ងាច
event,ព្រឹត្តិការណ៍
ever,មិនធ្លាប់មាន
every,ជារៀងរាល់
exact,ពិតប្រាកដ
example,ឧទាហរណ៏
except,លើកលែងតែ
excite,រំភើប
exercise,ការធ្វើលំហាត់ប្រាណ
expect,រំពឹងថានឹងមាន
experience,បទពិសោធន៏
experiment,ពិសោធន៍
eye,ភ្នែក
face,មុខ
fact,ជាការពិត
fair,យុត្តិធម៌
fall,ធ្លាក់ចុះ
family,ក្រុមគ្រួសារ
famous,ដ៏ល្បីល្បាញ
far,ឆ្ងាយ
farm,កសិដ្ឋាន
fast,មានល្បឿនលឿន
fat,ជាតិខ្លាញ់
father,ឪពុក
favor,អនុគ្រោះ
fear,ការភ័យខ្លាច
feed,មតិព័ត៌មាន
feel,មានអារម្មណ៍ថា
feet,ជើង
fell,បានធ្លាក់ចុះ
felt,មានអារម្មណ៍ថា
few,ប៉ុន្មាន
field,វាល
fig,ល្វា
fight,ការប្រយុទ្ធ
figure,តួលេខ
fill,បំពេញ
final,ចុងក្រោយ
find,ស្វែងរក
fine,ការផាកពិន័យ
finger,ម្រាមដៃ
finish,បញ្ចប់
fire,ភ្លើង
first,ជាលើកដំបូង
fish,ត្រី
fit,សម
five,ប្រាំ
flat,ផ្ទះល្វែង
floor,ជាន់
flow,ហូរ
flower,ផ្កា
fly,ការហោះហើរ
follow,តាម
food,អាហារ
foot,ជើង
for,សម្រាប់
force,កម្លាំង
forest,ព្រៃឈើ
form,សំណុំបែបបទ
forward,ទៅមុខ
found,បានរកឃើញ
four,បួននាក់
fraction,ប្រភាគ
free,ដោយឥតគិតថ្លៃ
fresh,ស្រស់
friend,មិត្តភក្តិ
from,ពី
front,ផ្នែកខាងមុខ
fruit,ផ្លែឈើ
full,ពេញលេញ
fun,ភាពសប្បាយរីករាយ
game,ការលេងហ្គេម
garden,សួន
gas,ឧស្ម័ន
gather,ប្រមូលផ្តុំ
gave,បានផ្ដល់ឱ្យ
general,ទូទៅ
gentle,សុភាពរាប
get,ទទួលបាន
girl,ក្មេងស្រី
give,ផ្តល់ឱ្យ
glad,រីករាយ
glass,កញ្ចក់
go,ចូលទៅ
gold,មាស
gone,បានយាងចាកចេញទៅ
good,ល្អ
got,ទទួលបាន
govern,គ្រប់គ្រង
grand,ធំ
grass,ស្មៅ
gray,ពណ៌ប្រផេះ
great,ដ៏អស្ចារ្យ
green,ពណ៌បៃតង
grew,បានកើនឡើង
ground,ដី
group,ក្រុម
grow,ការកើនឡើង
guess,ទាយ
guide,ណែនាំ
gun,កាំភ្លើង
had,មាន
hair,សក់
half,ពាក់កណ្តាល
hand,ដៃ
happen,កើតឡើង
happy,រីករាយ
hard,ការលំបាក
has,មាន
hat,មួក
have,មាន
he,លោកបាន
head,ក្បាល
hear,ឮ
heard,ឮ
heart,បេះដូង
heat,កំដៅ
heavy,ធ្ងន់
held,លើក
help,ជួយ
her,របស់នាង
here,នៅទីនេះ
high,ខ្ពស់
hill,ភ្នំ
him,គាត់ថា
his,របស់គាត់
history,ប្រវត្តិសាស្រ្ត
hit,បុក
hold,កាន់
hole,រន្ធ
home,ផ្ទះ
hope,សង្ឃឹម
horse,សេះ
hot,ក្តៅ
hour,ម៉ោង
house,ផ្ទះ
how,របៀប
huge,ដ៏ធំ
human,មនុស្ស
hundred,រយ
hunt,ប្រមាញ់
hurry,ប្រញាប់
i,ខ្ញុំ
ice,ទឹកកក
idea,គំនិត
if,ប្រសិនបើ
imagine,ស្រមៃ
in,នៅក្នុង
inch,អ៊ីញ
include,រួមបញ្ចូល
indicate,បង្ហាញថា
industry,ឧស្សាហកម្ម
insect,សត្វល្អិត
instant,បន្ទាន់
instrument,ឧបករណ៍
interest,ការប្រាក់
invent,ប្រឌិត
iron,ជាតិដែក
is,គឺ
island,កោះ
it,វា
job,ការងារ
join,ចូលរួម
joy,សេចក្ដីអំណរ
jump,លោត
just,គ្រាន់តែ
keep,រក្សា
kept,រក្សាទុក
key,គន្លឹះ
kill,សម្លាប់
kind,ប្រភេទ
king,ស្តេច
knew,បានដឹងថា
know,ដឹង
lady,ស្ត្រី
lake,បឹង
land,ដី
language,ភាសា
large,ដែលមានទំហំធំ
last,ចុងក្រោយ
late,ចុង
laugh,សើច
law,ច្បាប់
lay,ដាក់
lead,នាំ
learn,រៀន
least,យ៉ាងហោចណាស់
leave,ទុកឱ្យ
led,ដឹកនាំ
left,ចាកចេញ
leg,ជើង
length,ប្រវែង
less,តិច
let,អនុញ្ញាតឱ្យ
letter,លិខិត
level,កម្រិត
lie,កុហក
life,ជីវិត
lift,ការលើក
light,ពន្លឺ
like,ដូចជា
line,បន្ទាត់
liquid,រាវ
list,បញ្ជី
listen,ស្តាប់
little,តិចតួច
live,រស់នៅ
locate,ទីតាំង
log,ចូល
lone,តែ
long,ជាយូរមកហើយ
look,មើល
lost,បាត់បង់
lot,ច្រើន
loud,ខ្លាំង
love,ក្ដីស្រឡាញ់
low,ទាប
machine,ម៉ាស៊ីន
made,បានធ្វើ
magnet,មេដែក
main,ដ៏សំខាន់
major,ដ៏សំខាន់មួយ
make,ធ្វើឱ្យ
man,បុរសម្នាក់
many,ជាច្រើន
map,ផែនទី
mark,សញ្ញា
market,ទីផ្សារ
mass,ដ៏ធំ
master,មេ
match,ការប្រកួត
material,សម្ភារៈ
matter,បញ្ហា
may,អាច
me,រូបខ្ញុំ
mean,មានន័យថា
meant,មានន័យថា
measure,វាស់
meat,សាច់
meet,ជួប
melody,បត
men,បុរស
metal,ដែក
method,វិធីសាស្រ្ត
middle,កណ្តាល
might,អាច
mile,ម៉ា
milk,ទឹកដោះគោ
million,លាននាក់
mind,ចិត្ត
mine,អណ្តូងរ៉ែ
minute,នាទី
miss,បាត់
mix,លាយ
modern,សម័យទំនើប
molecule,ម៉ូលេគុល
moment,ពេល
money,លុយ
month,ខែ
moon,ព្រះច័ន្ទ
more,ច្រើនទៀត
morning,ព្រឹក
most,ច្រើនបំផុត
mother,ម្តាយ
motion,ចលនា
mount,ភ្នំ
mountain,ភ្នំ
mouth,មាត់
move,ការផ្លាស់ប្តូរ
much,ច្រើន
multiply,គុណ
music,តន្ត្រី
must,ត្រូវ
my,របស់ខ្ញុំ
name,ឈ្មោះ
nation,ប្រទេស
natural,ធម្មជាតិ
nature,ធម្មជាតិ
near,នៅក្បែរ
necessary,ចាំបាច់
neck,ក
need,ត្រូវការ
neighbor,អ្នកជិតខាង
never,មិនដែល
new,ថ្មី
next,បន្ទាប់ទៀត
night,យប់
nine,ប្រាំបួន
no,គ្មាន
noise,សំលេងរំខាន
noon,ថ្ងៃត្រង់
nor,ក៏មិនមែនជា
north,ភាគខាងជើង
nose,ច្រមុះ
note,ចំណាំ
nothing,គ្មានអ្វី
notice,សេចក្តីជូនដំណឹង
noun,នាម
now,ឥឡូវនេះ
number,ចំនួន
numeral,លេខ
object,វត្ថុ
observe,សង្កេត
occur,កើតមានឡើង
ocean,សមុទ្រ
of,នៃ
off,បិទ
offer,ការផ្តល់ជូន
office,ការិយាល័
often,ជាញឹកញាប់
oh,អូ!
oil,ប្រេង
old,អាយុ
on,នៅលើ
once,ម្តង
one,មួយ
only,តែមួយគត់
open,ការបើកចំហរ
operate,ប្រតិបត្តិការ
opposite,ផ្ទុយ
or,ឬ
order,ការបញ្ជាទិញ
organ,សរីរាង្គ
original,ដើម
other,ផ្សេងទៀត
our,របស់យើង
out,ចេញ
over,ជាង
own,ផ្ទាល់ខ្លួន
oxygen,អុកស៊ីសែន
page,ទំព័រ
paint,គូរ
pair,គូ
paper,ក្រដាស
paragraph,កថាខ័ណ្ឌ
parent,មេ
part,ជាផ្នែកមួយ
particular,ពិសេស
party,គណបក្ស
pass,ហុច
past,អតីតកាល
path,ផ្លូវ
pattern,គំរូ
pay,បង់
people,មានមនុស្ស
perhaps,ប្រហែលជា
period,អំឡុងពេល
person,មនុស្សម្នាក់
phrase,ឃ្លា
pick,យក
picture,រូបភាព
piece,ដុំ
pitch,ទីលានប្រកួត
place,កន្លែង
plain,ធម្មតា
plan,ផែនការ
plane,យន្តហោះ
planet,ភពផែនដី
plant,រោងចក្រ
play,លេង
please,សូម
plural,ពហុវចនៈ
poem,កំណាព្យ
point,ចំណុច
poor,ជនក្រីក្រ
populate,ផ្ទុក
port,កំពង់ផែ
pose,បង្ក
position,ទីតាំង
possible,អាចធ្វើបាន
post,ក្រោយ
pound,ផោន
power,អំណាច
practice,ការអនុវត្តន៍
prepare,រៀបចំ
present,បច្ចុប្បន្ន
press,សារពត៌មាន
pretty,ស្អាត
print,បោះពុម្ព
probable,ទំនង
problem,បញ្ហា
process,ដំណើរការ
produce,ផលិត
product,ផលិតផល
proper,បានត្រឹមត្រូវ
property,ទ្រព្យសម្បត្ដិ
protect,ការពារ
prove,បង្ហាញ
provide,ផ្តល់នូវការ
pull,ទាញ
push,ការជំរុញ
put,ដាក់
quart,quart
question,សំណួរ
quick,រហ័ស
quiet,ស្ងាត់
quite,ជាការពិត
quotient,ផលចែក
race,ការប្រណាំង
radio,វិទ្យុ
rail,ផ្លូវរថភ្លើង
rain,ភ្លៀង
raise,បង្កើន
ran,រត់
range,ជួរ
rather,ជា
reach,ឈានដល់
read,អាន
ready,ត្រៀមខ្លួនជាស្រេច
real,ពិតប្រាកដ
reason,មូលហេតុ
receive,ទទួលបាន
record,កំណត់ត្រា
red,ពណ៌ក្រហម
region,តំបន់
remember,ចងចាំ
repeat,ម្តងទៀត
reply,ឆ្លើយតប
represent,តំណាង
require,តម្រូវឱ្យមាន
rest,នៅសល់
result,លទ្ធផល
rich,សំបូរបែប
ride,ជិះ
right,សិទ្ធិ
ring,ចិញ្ចៀន
rise,កើនឡើង
river,ទឹកទន្លេ
road,ផ្លូវ
rock,រ៉ុក
roll,វិលជុំ
room,បន្ទប់
root,ជា root
rope,មិនទាន់មានច្បាប់ប្រឆាំង
rose,បានកើនឡើង
round,ជុំ
row,ជួរដេក
rub,លុប
rule,ច្បាប់
run,ការរត់
safe,សុវត្ថភាព
said,និយាយថា:
sail,បើកក្ដោង
salt,អំបិល
same,ដូចគ្នា
sand,ការបូមខ្សាច់
sat,រ៏
save,រក្សាទុក
saw,ឃើញ
say,និយាយ
scale,ខ្នាត
school,សាលារៀន
science,វិទ្យាសាស្រ្ត
score,ពិន្ទុ
sea,សមុទ្រ
search,ស្វែងរក
season,រដូវកាល
seat,កៅអី
second,លើកទីពីរ
section,ផ្នែក
see,សូមមើល
seed,ពូជ
seem,ហាក់ដូចជា
segment,ចម្រៀក
select,ជ្រើស
self,ដោយខ្លួនឯង
sell,លក់
send,ផ្ញើ
sense,យល់
sent,បានផ្ញើរ
sentence,ការកាត់ទោស
separate,ដោយឡែក
serve,បម្រើ
set,សំណុំ
settle,ដោះស្រាយ
seven,ចំនួនប្រាំពីរ
several,ជាច្រើន
shall,នឹង
shape,រូបរាង
share,ចំណែក
sharp,ស្រួច
she,នាងបាន
sheet,សន្លឹក
shell,សែល
shine,ចែងចាំង
ship,នាវា
shoe,ស្បែកជើង
shop,ហាង
shore,ច្រាំង
short,ខ្លី
should,គួរ
shoulder,ស្មា
shout,ការស្រែក
show,ការបង្ហាញ
side,ភាគីម្ខាង
sight,មើលឃើញ
sign,សញ្ញា
silent,ស្ងៀម
silver,ប្រាក់
similar,ស្រដៀងគ្នា
simple,សាមញ្ញ
since,ចាប់តាំងពី
sing,ច្រៀង
single,នៅលីវ
sister,បងស្រី
sit,អង្គុយ
six,ប្រាំមួយ
size,ទំហំ
skill,ជំនាញ
skin,ស្បែក
sky,មេឃ
slave,ទាសករ
sleep,ការដេក
slip,ប័ណ្ណ
slow,យឺត
small,តូច
smell,ក្លិន
smile,ស្នាមញញឹម
snow,ព្រិល
so,ដូច្នេះ
soft,ទន់
soil,ដី
soldier,ទាហាន
solution,ដំណោះស្រាយ
solve,ដោះស្រាយ
some,មួយចំនួន
son,កូនប្រុស
song,បទចម្រៀង
soon,ឆាប់
sound,សំឡេង
south,ភាគខាងត្បូង
space,ចន្លោះ
speak,និយាយ
special,ពិសេស
speech,សុន្ទរកថា
speed,ល្បឿន
spell,អក្ខរាវិរុទ្ធ
spend,ចំណាយ
spoke,និយាយ
spot,កន្លែង
spread,ការរីករាលដាល
spring,និទាឃរដូវ
square,ការ៉េ
stand,ឈរ
star,តារា
start,ការចាប់ផ្តើម
state,រដ្ឋ
station,ស្ថានីយ៍
stay,ស្នាក់
stead,ជំនួស
steam,ចំហាយ
steel,ដែកថែប
step,ជំហាន
stick,ឈើ
still,នៅតែមាន
stone,ដុំថ្ម
stood,ឈរ
stop,បញ្ឈប់
store,ហាង
story,រឿង
straight,ត្រង់
strange,ចម្លែក
stream,ស្ទ្រីម
street,តាមផ្លូវ
stretch,កំណាត់
string,ខ្សែអក្សរ
strong,យ៉ាងខ្លាំង
student,សិស្ស
study,ការសិក្សា
subject,ប្រធានបទ
substance,សារធាតុ
subtract,ដក
success,ភាពជោគជ័យ
such,ដូច
sudden,រំពេច
suffix,បច្ច័យ
sugar,ជាតិស្ករ
suggest,ផ្ដល់យោបល់
suit,ឈុត
summer,នៅរដូវក្តៅ
sun,ព្រះអាទិត្យ
supply,ការផ្គត់ផ្គង់
support,ការគាំទ្រ
sure,ប្រាកដថា
surface,ផ្ទៃ
surprise,ការភ្ញាក់ផ្អើល
swim,ហែលទឹក
syllable,ព្យាង្គ
symbol,និមិត្តសញ្ញា
system,ប្រព័ន្ធ
table,តារាង
tail,កន្ទុយ
take,យក
talk,ការពិភាក្សា
tall,កម្ពស់
teach,បង្រៀន
team,ក្រុមការងារ
teeth,ធ្មេញ
tell,ប្រាប់
temperature,សីតុណ្ហាភាព
ten,ដប់
term,រយៈពេល
test,ការធ្វើតេស្ត
than,ជាង
thank,ថ្លែងអំណរគុណ
that,ថា
the,នេះ
their,របស់ពួកគេ
them,ពួកគេ
then,បន្ទាប់មក
there,នៅទីនោះ
these,ទាំងនេះ
they,ពួកគេ
thick,ក្រាស់
thin,ស្តើង
thing,រឿង
think,គិត
third,ទីបី
this,នេះ
those,អ្នកដែល
though,ទោះបីជា
thought,គិតថា
thousand,ពាន់នាក់
three,បីនាក់
through,តាមរយៈការ
throw,បោះ
thus,ដូច្នេះ
tie,ស្មើ
time,ពេលវេលា
tiny,តូច
tire,សំបកកង់
to,ដើម្បី
together,រួមគ្នា
told,បានប្រាប់
tone,សម្លេង
too,ផងដែរ
took,បានយក
tool,ឧបករណ៍
top,កំពូល
total,ចំនួនសរុប
touch,ប៉ះ
toward,ឆ្ពោះទៅកាន់
town,ទីក្រុង
track,បទ
trade,ពាណិជ្ជកម្ម
train,រថភ្លើង
travel,ការធ្វើដំណើរ
tree,ដើម
triangle,ត្រីកោណ
trip,ការធ្វើដំណើរ
trouble,បញ្ហា
truck,ឡាន
true,ជាការពិត
try,ព្យាយាម
tube,បំពង់
turn,វេន
twenty,ម្ភៃ
two,ពីរនាក់
type,ប្រភេទ
under,ក្រោមការ
unit,អង្គភាព
until,រហូតដល់
up,ឡើង
us,ពួកយើង
use,ប្រើ
usual,ធម្មតា
valley,ជ្រលងភ្នំ
value,តម្លៃ
vary,ខុសគ្នា
verb,កិរិយាសព្ទ
very,យ៉ាងខ្លាំង
view,ទិដ្ឋភាព
village,ភូមិ
visit,ដំណើរទស្សនកិច្ច
voice,សំលេង
vowel,ស្រៈ
wait,រង់ចាំ
walk,ដើរ
wall,ជញ្ជាំង
want,ចង់បាន
war,សង្រ្គាម
warm,ក្តៅ
was,គឺ
wash,លាងសមាត
watch,មើល
water,ទឹក
wave,រលក
way,វិធី
we,យើង
wear,ពាក់
weather,អាកាសធាតុ
week,សប្តាហ៍
weight,ទំងន់
well,ល្អ
went,បានទៅ
were,នាក់
west,ភាគខាងលិច
what,អ្វីដែល
wheel,កង់
when,ពេល
where,ដែលជាកន្លែងដែល
whether,ថាតើ
which,ដែល
while,ខណៈពេលដែល
white,ពណ៌ស
who,ដែល
whole,ទាំងមូល
whose,ដែល
why,ហេតុអ្វីបានជា
wide,ទូលាយ
wife,ប្រពន្ធ
wild,ព្រៃ
will,នឹង
win,ជ័យជម្នះ
wind,ខ្យល់
window,បង្អួច
wing,ស្លាប
winter,រដូវរងារ
wire,លួស
wish,មានបំណងចង់
with,ជាមួយនឹង
woman,ស្រ្តីម្នាក់
women,ស្ត្រី
wonder,ឆ្ងល់
won’t,នឹងមិន
wood,ឈើ
word,ពាក្យ
work,ការងារធ្វើ
world,ពិភពលោក
would,នឹង
write,សរសេរ
written,បានសរសេរ
wrong,ខុស
wrote,សរសេរ
yard,ក្នុង yard
year,កាលពីឆ្នាំ
yellow,លឿង
yes,បាទ
yet,នៅឡើយទេ
you,អ្នក
young,វ័យក្មេង
your,របស់អ្នក
