english,armenian
drive,տեղերի
drop,թողնել
dry,չոր
duck,բադ
during,ընթացքում
each,յուրաքանչյուր
ear,ականջ
early,վաղ
earth,երկիր
ease,հանգիստ
east,արեւելք
eat,ուտել
edge,եզրին
effect,ազդեցություն
egg,ձու
eight,ութ
either,կամ
electric,էլեկտրական
element,տարր
else,ուրիշ
end,վերջ
enemy,թշնամի
energy,էներգիա
engine,շարժիչ
enough,բավական
enter,մտնել
equal,հավասար
equate,հավասարեցնել
especially,հատկապես
even,նույնիսկ
evening,երեկո
event,իրադարձություն
ever,որ
every,ամեն
exact,ճիշտ
example,օրինակ
except,բացառությամբ
excite,հարուցել
exercise,վարժություն
expect,ակնկալում
experience,փորձառություն
experiment,փորձ
eye,աչքի
face,դեմքը
fact,փաստ
fair,արդար
fall,անկում
family,ընտանիք
famous,հայտնի
far,հեռու
farm,ֆերմա
fast,արագ
fat,ճարպ
father,հայր
favor,կողմ
fear,վախ
feed,վարդեր
feel,զգալ
feet,ոտքերը
fell,ընկել
felt,"զգացի,"
few,քիչ
field,դաշտ
fig,թուզ
fight,կռիվ
figure,գործիչ
fill,լրացնել
final,եզրափակիչ
find,գտնել
fine,տուգանք
finger,մատ
finish,սալոնի
fire,կրակ
first,առաջին
fish,ձուկ
fit,տեղավորել
five,հինգ
flat,բնակարան
floor,հարկ
flow,հոսքը
flower,ծաղիկ
fly,թռչել
follow,հետեւել
food,սնունդ
foot,ոտքով
for,համար
force,ուժ
forest,անտառ
form,ձեւը
forward,առաջ
found,հայտնաբերել
four,չորս
fraction,կոտորակ
free,ազատ
fresh,թարմ
friend,ընկեր
from,– ից
front,ճակատ
fruit,միրգ
full,լրիվ
fun,զվարճանք
game,խաղ
garden,այգի
gas,գազ
gather,հավաքել
gave,տվեց
general,գլխավոր
gentle,մեղմ
get,ստանալ
girl,աղջիկ
give,տալ
glad,ուրախ
glass,ապակի
go,գնալ
gold,ոսկի
gone,գնացել
good,լավ
got,ստացել
govern,կառավարել
grand,մեծ
grass,խոտ
gray,գորշ
great,մեծ
green,կանաչ
grew,աճել
ground,հիմք
group,խումբ
grow,աճել
guess,ենթադրություն
guide,ուղեցույց
gun,ատրճանակ
had,էր
hair,մազերը
half,կես
hand,ձեռք
happen,պատահել
happy,ուրախ
hard,դժվար
has,ունի
hat,գլխարկը
have,ունենալ
he,նա
head,ղեկավար
hear,լսել
heard,լսել
heart,սիրտ
heat,շոգ
heavy,ծանր
held,հերոս
help,օգնություն
her,նրան
here,այստեղ
high,բարձր
hill,բլուր
him,նրան
his,նրա
history,պատմություն
hit,հարվածել
hold,պահել
hole,փոս
home,տուն
hope,հուսով
horse,ձի
hot,տաք
hour,ժամ
house,տուն
how,ինչպես
huge,հսկայական
human,մարդկային
hundred,հարյուր
hunt,որս
hurry,շտապել
i,ես
ice,սառույց
idea,գաղափար
if,եթե
imagine,պատկերացնել
in,– ին
inch,դյույմ
include,ներառում են
indicate,ցույց տալ
industry,արդյունաբերություն
insect,միջատ
instant,ակնթարթ
instrument,գործիք
interest,հետաքրքրություն
invent,հնարել
iron,երկաթ
is,է
island,կղզի
it,այն
job,աշխատանք
join,միանալ
joy,ուրախություն
jump,"անցնել,"
just,պարզապես
keep,պահել
kept,պահել
key,հիմնական
kill,սպանել
kind,բարի
king,թագավորը
knew,"գիտեր,"
know,իմանալ
lady,տիկին
lake,լիճ
land,երկիր
language,լեզու
large,մեծ
last,անցյալ
late,ուշ
laugh,ծիծաղել
law,օրենք
lay,դնել
lead,հանգեցնել
learn,սովորել
least,նվազագույնը
leave,լքել
led,առաջնորդվում
left,ձախ
leg,ոտք
length,երկարություն
less,ավելի քիչ
let,թող
letter,նամակ
level,մակարդակ
lie,սուտ
life,կյանք
lift,վերելակների
light,լույս
like,նման
line,գիծ
liquid,հեղուկ
list,ցուցակ
listen,լսել
little,քիչ բան
live,ապրել
locate,տեղադրել
log,մուտք
lone,մենակ
long,դեռ
look,նայել
lost,կորցրել
lot,շատ
loud,բարձրաձայն
love,ոչ
low,ցածր
machine,մեքենա
made,է
magnet,մագնիս
main,հիմնական
major,հիմնական
make,անել
man,մարդ
many,շատ
map,քարտեզ
mark,նշան
market,շուկա
mass,զանգված
master,վարպետ
match,զույգ
material,նյութական
matter,"անկախ նրանից, թե"
may,կարող
me,ինձ
mean,նշանակում
meant,նշանակում
measure,չափել
meat,միս
meet,հանդիպում
melody,մեղեդին
men,տղամարդիկ
metal,մետաղ
method,մեթոդ
middle,միջին
might,զորություն
mile,մղոն
milk,կաթ
million,միլիոն
mind,միտքը
mine,իմ
minute,րոպե
miss,վրիպել
mix,խառնել
modern,ժամանակակից
molecule,մոլեկուլ
moment,պահ
money,գումար
month,ամիս
moon,լուսին
more,ավելի շատ
morning,առավոտ
most,մեծ մասը
mother,մայր
motion,միջնորդությունը
mount,լեռ
mountain,լեռնային
mouth,բերան
move,քայլ
much,շատ
multiply,բազմապատկել
music,երաժշտություն
must,պետք է
my,իմ
name,անունը
nation,ազգ
natural,բնական
nature,բնություն
near,մոտ
necessary,անհրաժեշտ
neck,պարանոց
need,անհրաժեշտ
neighbor,հարեւանը
never,երբեք
new,նոր
next,հաջորդ
night,գիշեր
nine,ինը
no,ոչ
noise,աղմուկ
noon,կեսօր
nor,ոչ
north,հյուսիս
nose,քիթը
note,նշում
nothing,ոչինչ
notice,ծանուցում
noun,noun
now,այժմ
number,թիվը
numeral,թվական
object,օբյեկտ
observe,պահպանել
occur,տեղի ունենալ
ocean,օվկիանոս
of,եւ
off,դուրս
offer,առաջարկ
office,գրասենյակ
often,հաճախ
oh,ախ
oil,ձեթ
old,հին
on,– ին
once,անգամ
one,մեկ
only,միայն
open,բաց
operate,գործել
opposite,հակադիր
or,կամ
order,կարգը
organ,մարմին
original,օրիգինալ
other,այլ
our,մեր
out,դուրս
over,է
own,սեփական
oxygen,թթվածին
page,էջ
paint,նկարել
pair,զույգ
paper,թուղթ
paragraph,պարբերություն
parent,ծնող
part,մաս
particular,մասնավորապես
party,կուսակցություն
pass,անցնել
past,անցյալը
path,ճանապարհը
pattern,օրինակ
pay,վճարել
people,մարդ
perhaps,գուցե
period,ժամկետը
person,մարդ
phrase,արտահայտություն
pick,ընտրել
picture,նկար
piece,կտոր
pitch,սկիպիդար
place,տեղ
plain,պարզ
plan,պլան
plane,ինքնաթիռ
planet,մոլորակ
plant,գործարան
play,խաղալ
please,խնդրում
plural,հոգնակի
poem,բանաստեղծություն
point,կետ
poor,աղքատ
populate,բնակեցնել
port,նավահանգիստ
pose,ստեղծում
position,դիրքորոշումը
possible,հնարավոր
post,հաղորդագրություն
pound,ֆունտ
power,իշխանություն
practice,պրակտիկա
prepare,պատրաստել
present,ներկա
press,մամուլ
pretty,բավականին
print,տպել
probable,հավանական
problem,խնդիր
process,ընթացք
produce,արտադրել
product,արդյունք
proper,ճիշտ
property,սեփականություն
protect,պաշտպանել
prove,ապացուցել
provide,ապահովել
pull,քաշեք
push,հրում
put,ի
quart,կվարտա
question,հարց
quick,արագ
quiet,հանգիստ
quite,բավականին
quotient,քանորդ
race,մրցավազք
radio,ռադիո
rail,երկաթուղի
rain,անձրեւ
raise,բարձրացնել
ran,վազում
range,շարք
rather,այլ
reach,հասնել
read,կարդալ
ready,պատրաստ
real,իրական
reason,պատճառ
receive,ստանալ
record,գրառումը
red,կարմիր
region,մարզ
remember,հիշում
repeat,կրկնել
reply,պատասխանել
represent,ներկայացնել
require,պահանջում
rest,մնացածը
result,արդյունք
rich,հարուստ
ride,զբոսանք
right,իրավունք
ring,մատանի
rise,բարձրացում
river,գետ
road,ճանապարհային
rock,ժայռ
roll,գլորում
room,սենյակ
root,արմատ
rope,պարան
rose,վարդ
round,կլոր
row,կարգ
rub,շփում
rule,կանոն
run,վազում
safe,ապահով
said,ասել
sail,վարել
salt,աղ
same,նույն
sand,ավազ
sat,sat
save,պահել
saw,սղոց
say,ասել
scale,մասշտաբ
school,դպրոց
science,գիտություն
score,հաշիվը
sea,ծով
search,որոնում
season,սեզոն
seat,օջախ
second,երկրորդ
section,բաժին
see,տեսնել
seed,սերմ
seem,կարծես
segment,հատված
select,ընտրել
self,ինքնուրույն
sell,վաճառել
send,ուղարկել
sense,իմաստ
sent,ուղարկել
sentence,նախադասություն
separate,առանձին
serve,ծառայել
set,շարք
settle,լուծել
seven,յոթ
several,մի քանի
shall,պետք
shape,ձեւը
share,բաժնետոմս
sharp,սուր
she,նա
sheet,թերթ
shell,վահանակ
shine,փայլ
ship,նավ
shoe,պայտ
shop,խանութ
shore,ափը
short,կարճ
should,պետք
shoulder,բոթել
shout,բղավել
show,շոու
side,կողմը
sight,տեսարան
sign,նշանը
silent,լռակյաց
silver,արծաթ
similar,նման
simple,պարզ
since,հետո
sing,երգեցողություն
single,միայնակ
sister,քույր
sit,նստել
six,վեց
size,չափը
skill,հմտություն
skin,մաշկի
sky,երկինք
slave,ստրուկ
sleep,երազ
slip,բլանկ
slow,դանդաղ
small,փոքր
smell,հոտ
smile,ժպիտը
snow,ձյուն
so,այնքան
soft,փափուկ
soil,հող
soldier,զինվոր
solution,լուծում
solve,լուծել
some,մի քանի
son,որդի
song,երգ
soon,շուտով
sound,հնչել
south,հարավ
space,տարածք
speak,խոսել
special,հատուկ
speech,խոսք
speed,արագություն
spell,տառ առ տառ ասել
spend,ծախսել
spoke,խոսեց
spot,տեղում
spread,տարածումը
spring,գարուն
square,հրապարակ
stand,կանգնել
star,աստղ
start,սկիզբ
state,պետական
station,կայան
stay,մնալ
stead,նույնիսկ
steam,գոլորշի
steel,պողպատ
step,քայլ
stick,քարտ
still,դեռ
stone,քար
stood,կանգնած
stop,կանգ առնել
store,խանութ
story,պատմություն
straight,ուղիղ
strange,տարօրինակ
stream,հոսք
street,փողոց
stretch,ձգվել
string,լարային
strong,ուժեղ
student,ուսանող
study,սովորել
subject,ենթակա
substance,նյութ
subtract,հանել
success,հաջողություն
such,այդպիսի
sudden,հանկարծակի
suffix,վերջածանց
sugar,շաքար
suggest,առաջարկում
suit,կոստյում
summer,ամառ
sun,արեւ
supply,մատակարարում
support,աջակցություն
sure,վստահ
surface,մակերեւույթ
surprise,զարմանք
swim,լողալը
syllable,վանկ
symbol,խորհրդանիշ
system,համակարգ
table,սեղան
tail,պոչ
take,վերցնել
talk,խոսել
tall,բարձրահասակ
teach,սովորեցնել
team,թիմ
teeth,ատամիկ
tell,ասել
temperature,ջերմաստիճան
ten,տասը
term,ժամկետ
test,փորձարկում
than,քան
thank,thank
that,որ
the,the
their,իրենց
them,նրանց
then,ապա
there,կան
these,այդ
they,նրանք
thick,հաստ
thin,բարակ
thing,բան
think,մտածել
third,երրորդ
this,այս
those,այն
though,սակայն
thought,միտք
thousand,հազար
three,երեք
through,միջոցով
throw,նետել
thus,այսպիսով
tie,ոքի
time,ժամանակ
tiny,փոքրիկ
tire,անվադող
to,մինչեւ
together,միասին
told,ասել
tone,տոնուս
too,էլ
took,էր
tool,գործիք
top,վերեւ
total,ընդհանուր
touch,դիպչել
toward,դեպի
town,քաղաքի
track,շավիղ
trade,առեւտրի
train,գնացք
travel,ճանապարհորդություն
tree,ծառ
triangle,եռանկյունի
trip,ուղեւորություն
trouble,trouble
truck,բեռնատար մեքենա
true,ճիշտ
try,փորձել
tube,խողովակ
turn,հերթը
twenty,քսան
two,երկու
type,տիպ
under,տակ
unit,միավոր
until,մինչեւ
up,մինչեւ
us,մեզ
use,օգտագործումը
usual,սովորական
valley,հովիտ
value,արժեք
vary,տարբերվել
verb,բայ
very,շատ
view,դիտել
village,գյուղ
visit,մուտքը
voice,ձայն
vowel,ձայնավոր
wait,սպասել
walk,քայլել
wall,պատ
want,ուզում
war,պատերազմ
warm,ջերմ
was,էր
wash,լվանալը
watch,դիտել
water,ջուր
wave,ալիք
way,ճանապարհ
we,մենք
wear,հագնել
weather,եղանակ
week,շաբաթ
weight,քաշը
well,լավ
went,գնաց
were,են
west,արեւմուտք
what,ինչ
wheel,անիվ
when,երբ
where,որտեղ
whether,արդյոք
which,որը
while,իսկ
white,ճերմակ
who,ով
whole,ամբողջություն
whose,ում
why,ինչու
wide,լայն
wife,կին
wild,վայրի
will,կամք
win,հաղթանակ
wind,քամի
window,պատուհան
wing,թեւը
winter,ձմեռ
wire,մետաղալար
wish,մաղթում
with,հետ
woman,կին
women,կանայք
wonder,զարմանում
won’t,չի
wood,փայտ
word,բառ
work,աշխատանք
world,աշխարհ
would,որ
write,գրել
written,գրավոր
wrong,սխալ
wrote,գրել
yard,բակ
year,տարի
yellow,դեղին
yes,այո
yet,դեռ
you,դուք
young,երիտասարդ
your,ձեր
