english,kurdish
either,yan jî
electric,elatrîkî
element,pêve
else,wekîdi
end,dawî
enemy,dijmin
energy,înercî
engine,makîne
enough,bes
enter,derbasbûn
equal,wekhev
equate,têbîniyên
especially,taybeten
even,hetta
evening,êvar
event,bûyer
ever,herdem
every,herkes
exact,tam
example,mînak
except,bê
excite,acizbûn
exercise,fêre
expect,bendeman
experience,tecribe
experiment,ceribandinî
eye,çav
face,rû
fact,berçavî
fair,adîl
fall,ketin
family,malbat
famous,nashatî
far,dûr
farm,malgûndî
fast,zû
fat,rûn
father,bav
favor,qedir
fear,tirs
feed,êm
feel,hiskirin
feet,lingên
fell,ket
felt,hest
few,kêmane
field,erd
fig,keman
fight,şer
figure,jimar
fill,tijîkirin
final,dawî
find,dîtin
fine,baş
finger,tilî
finish,qedandin
fire,agir
first,yekem
fish,masî
fit,bihorîn
five,pênc
flat,mal
floor,erd
flow,herrikîn
flower,kûlîlk
fly,mêş
follow,pêketin
food,xûrek
foot,ling
for,bo
force,cebir
forest,daristan
form,şikil
forward,pêşve
found,hate dîtin
four,çar
fraction,fraction
free,belaş
fresh,teze
friend,heval
from,ji
front,pêşde
fruit,mêwe
full,tije
fun,henek
game,lîstik
garden,baxçe
gas,xaz
gather,civandin
gave,da
general,giştî
gentle,nerm
get,stendin
girl,keç
give,dayin
glad,dilfireh
glass,cam
go,çûyin
gold,zêr
gone,gone
good,baş
got,rabû
govern,birêvebirin
grand,grand
grass,gîha
gray,gewr
great,ecêb
green,kesk
grew,"mezin dibû,"
ground,erd
group,kom
grow,mezinbûn
guess,texmîn
guide,birêvebir
gun,tiving
had,hebû
hair,por
half,nîv
hand,dest
happen,bûyin
happy,şa
hard,hişk
has,heye
hat,kûm
have,hebûn
he,ew
head,ser
hear,gûhdarkirin
heard,bihîst
heart,dil
heat,germa
heavy,giran
held,lidarxistin
help,alîkarî
her,ew
here,vir
high,bilind
hill,girik
him,wî
his,bûyin
history,dîrok
hit,lêxistin
hold,rawestan
hole,qûl
home,xane
hope,hêvî
horse,hesp
hot,germ
hour,seet
house,xanî
how,çawa
huge,pirr
human,mirov
hundred,sed
hunt,neçir
hurry,lezdan
i,ez
ice,qeşa
idea,fikir
if,ger
imagine,fikirin
in,li
inch,inch
include,linavxistin
indicate,nîşandan
industry,ava
insect,mêşik
instant,derhal
instrument,alet
interest,zem
invent,neafirandiye
iron,hesin
is,e
island,girav
it,ew
job,kar
join,bihevgirêdan
joy,kêf
jump,helperkîn
just,adîl
keep,didesthiştin
kept,hê
key,qûfle
kill,kûştin
kind,hevalbend
king,qiral
knew,dizanibû
know,zanîn
lady,sitê
lake,gol
land,welat
language,ziman
large,mezin
last,dawîn
late,dereng
laugh,ken
law,qanûn
lay,danîn
lead,gûlle
learn,fêrbûn
least,kêmtirî
leave,terikandin
led,derxistin
left,çep
leg,çîp
length,dirêjî
less,kêmtir
let,berdan
letter,name
level,serrast
lie,derew
life,jîyan
lift,esansor
light,sivik
like,çawa
line,xet
liquid,herrik
list,rêzok
listen,gûhdarkirin
little,kêm
live,jîyan
locate,dîtin
log,rojname
lone,lone
long,dirêj
look,dîtinî
lost,windabû
lot,pirr
loud,dengbilind
love,evîn
low,nizm
machine,makîne
made,kirin
magnet,meknetîs
main,ser
major,serbaz
make,kirin
man,mêr
many,gelek
map,qert
mark,delîl
market,bazar
mass,gel
master,mamoste
match,wekwî
material,mal
matter,mijarê de
may,gulan
me,min
mean,dilxerab
meant,wateyê
measure,pîvan
meat,goşt
meet,lihevrasthatin
melody,meqam
men,mêr
metal,hesinî
method,awa
middle,navîn
might,erk
mile,mîl
milk,şîr
million,mêlûn
mind,aqil
mine,ya min
minute,deqqe
miss,revandin
mix,lihevxitin
modern,rojane
molecule,molecule
moment,evdem
money,dirav
month,meh
moon,hêv
more,zêde
morning,sib
most,zêdeyî
mother,dê
motion,heraket
mount,çiyayê
mountain,çîya
mouth,dev
move,barkirin
much,pir
multiply,zêdekirin
music,mûzîk
must,mecbûrmayin
my,ya min
name,nav
nation,netewe
natural,xûriste
nature,awa
near,nêz
necessary,pêwist
neck,hûstû
need,lazimî
neighbor,cînar
never,qet
new,nşh
next,piştî
night,şev
nine,neh
no,na
noise,deng
noon,nîvroj
nor,û ne jî
north,bakûr
nose,poz
note,not
nothing,netişt
notice,nivîsk
noun,serbêje
now,niha
number,jimare
numeral,jimar
object,tişt
observe,şopgirtin
occur,borîn
ocean,derya
of,ji
off,ji
offer,pêşnîyar
office,dayre
often,gelek car
oh,oh
oil,rûn
old,kevn
on,li
once,carek
one,yek
only,bes
open,vekirî
operate,bikaranîn
opposite,beramber
or,an
order,emir
organ,perçe
original,eslî
other,yên din
our,yên me
out,derve
over,ser
own,xwe
oxygen,oksîjan
page,rûpel
paint,reng
pair,cot
paper,kaxez
paragraph,madde
parent,dê û bav
part,par
particular,taybetî
party,partî
pass,nasname
past,borî
path,şop
pattern,mînak
pay,diravdanî
people,gel
perhaps,belkî
period,nixte
person,şexs
phrase,bikaranînê
pick,çengel
picture,sûret
piece,perçe
pitch,demajoya
place,cîh
plain,adî
plan,pîlan
plane,plane
planet,estare
plant,karxane
play,bazî
please,ji kerema xwe ve
plural,pircar
poem,helbest
point,cî
poor,belengaz
populate,mû
port,bender
pose,pos
position,rewş
possible,derîmkan
post,koz
pound,tan
power,erk
practice,bikaranînî
prepare,amadekirin
present,amade
press,rojnamevanî
pretty,rind
print,çap
probable,dibe
problem,pirsegirêk
process,doz
produce,çêkirin
product,mal
proper,asas
property,mal
protect,parastin
prove,delîlkirin
provide,amadekirin
pull,kişandin
push,lêqellibînî
put,raxistan
quart,quart
question,pirs
quick,zû
quiet,rehet
quite,hemû
quotient,quotient
race,nîjad
radio,radyo
rail,hesinê tirêne
rain,baran
raise,bilindkirin
ran,bezî
range,dirêjahî
rather,gellek
reach,gîhaştin
read,xwendin
ready,amade
real,rast
reason,semed
receive,wergirtin
record,rekor
red,sor
region,herêm
remember,bîrveanîn
repeat,dûbare
reply,bersiv
represent,cîgirtin
require,xwestin
rest,rehetî
result,netîce
rich,dewlemend
ride,rêwîtî
right,rast
ring,qulp
rise,lihevderketin
river,çem
road,rê
rock,teht
roll,nanik
room,jûre
root,reh
rope,werîs
rose,gûl
round,girrover
row,dor
rub,dihevdan
rule,rêz
run,rev
safe,emîn
said,re got:
sail,bapaçavjenîn
salt,xwê
same,wek yên din
sand,qûm
sat,sat
save,rizgarkirin
saw,birrek
say,gotin
scale,pîvaneke
school,dibistan
science,zanist
score,rewşa nixtan
sea,gol
search,gerr
season,demsal
seat,rûniştek
second,duyem
section,liq
see,dîtin
seed,toxim
seem,birikin
segment,pardayre
select,neqandin
self,wekhev
sell,firotin
send,şandin
sense,hîs
sent,şandin
sentence,biryar
separate,veqetî
serve,sûxrekirin
set,danîn
settle,xelaskirin
seven,heft
several,piran
shall,dêbûn
shape,cins
share,par
sharp,tûj
she,wê
sheet,rûberê nivînê
shell,legan
shine,birq
ship,gemî
shoe,pêlav
shop,dikan
shore,berav
short,nizm
should,divêt
shoulder,mil
shout,qîrîn
show,rêdan
side,hêl
sight,nerrînî
sign,nîşan
silent,bêdeng
silver,zîv
similar,nêzbûn
simple,asan
since,ji ber ku
sing,stran
single,yekoyek
sister,xwişk
sit,rûniştin
six,şeş
size,mezinayî
skill,jîrî
skin,çerm
sky,asûman
slave,xûlam
sleep,xew
slip,derpê
slow,hêdî
small,biçûk
smell,bîn
smile,kenn
snow,berf
so,wiha
soft,nerm
soil,erd
soldier,leşker
solution,çare
solve,çareserkirin
some,hin
son,kur
song,stran
soon,nêzda
sound,rengdan
south,başûr
space,dem
speak,axaftin
special,taybetî
speech,axaftin
speed,zûbûnî
spell,sihêr
spend,xerckirin
spoke,re axivî
spot,leke
spread,belakirin
spring,bihar
square,meydan
stand,serpêsekinîn
star,stêrk
start,destpêkirin
state,rewş
station,meydan
stay,mayin
stead,şuna
steam,bixar
steel,pola
step,gav
stick,dar
still,hîn
stone,kevir
stood,rawesta
stop,rawestan
store,dikan
story,çîrok
straight,rast
strange,xerîb
stream,herrok
street,rêgah
stretch,dirêjkirin
string,ben
strong,qewî
student,zankoyî
study,xwendina zanko
subject,mijar
substance,navik
subtract,jêkêmkirin
success,serketinî
such,yên wisa
sudden,nişka
suffix,suffix
sugar,îekir
suggest,pêşniyar dikin
suit,qat
summer,havîn
sun,tav
supply,erzaq
support,alîkarî
sure,emîn
surface,rû
surprise,nişkeşayî
swim,ajnêkirin
syllable,yekejimariyê ye
symbol,nîşan
system,sîstem
table,mêz
tail,terrî
take,wergirtin
talk,axaftin
tall,mezin
teach,hînkirin
team,kom
teeth,diranên
tell,gotin
temperature,germî
ten,deh
term,îfade
test,îmtîhan
than,dema ko
thank,sipaskirin
that,va
the,ew
their,yê wê
them,wê
then,paşan
there,va
these,eva
they,ew
thick,zixt
thin,zirav
thing,tişt
think,ponijîn
third,sêyem
this,ev
those,ewan
though,çira
thought,pojin
thousand,hezar
three,sê
through,bi saya
throw,avêtin
thus,ji ber vê yekê
tie,girêdan
time,dem
tiny,pito
tire,dûlab
to,ber
together,bihevra
told,re got:
tone,deng
too,jî
took,girt
tool,hacet
top,lûtik
total,hemî
touch,pêbûn
toward,dijî
town,bajar
track,şop
trade,bazirganî
train,tirên
travel,gerrîn
tree,dar
triangle,sêqozî
trip,gerr
trouble,astengan
truck,qemyon
true,rast
try,cerribanî
tube,lûle
turn,zîvir
twenty,bîst
two,du
type,awa
under,binê
unit,yekbûn
until,ta
up,bi jorve
us,me
use,bikaranîn
usual,nas
valley,newal
value,giranî
vary,gûherrandin
verb,lêker
very,gellek
view,dîtinî
village,gûnd
visit,serdan
voice,deng
vowel,dengdar
wait,payin
walk,gerrik
wall,dîwar
want,xwestin
war,şerr
warm,germ
was,bû
wash,cil
watch,seet
water,av
wave,pêl
way,rê
we,em
wear,hilgirtin
weather,hewa
week,hefte
weight,pîvan
well,baş
went,çû
were,bûn
west,rojava
what,çi
wheel,teker
when,heke
where,ko
whether,gelo
which,kîjan
while,demek
white,spî
who,kî
whole,giştî
whose,yê wan
why,çima
wide,bi ber
wife,jin
wild,bejî
will,xwestek
win,serkeftin
wind,ba
window,pace
wing,bask
winter,zivistan
wire,têlik
wish,xwestek
with,bi
woman,jin
women,jinan
wonder,mûcîze
won’t,wê ne
wood,text
word,bêje
work,kar
world,dinya
would,dê
write,nivîsîn
written,hatiye nivîsîn:
wrong,qelp
wrote,nivîsî
yard,hewş
year,sal
yellow,zer
yes,erê
yet,hîn
you,hûn
young,ciwan
your,ya te
