english,sindhi
guide,ھدايت ڪرڻ وارو
gun,گن
had,پيو
hair,وار
half,اڌ
hand,هٿ
happen,ايڏو وڏو
happy,خوش
hard,سخت
has,ڪئي آهي
hat,ٽوپي
have,آهي
he,هن چيو ته
head,سر
hear,ٻڌي
heard,ٻڌو
heart,دل
heat,گرمي
heavy,بهار
held,منعقد
help,مدد
her,سندس
here,هتي
high,تيز
hill,ٽڪريء
him,کيس
his,سندس
history,تاريخ
hit,اچي ويو
hold,ڏسجي
hole,سوراخ
home,گهر
hope,اميد
horse,گهوڙي
hot,گرم
hour,ڪلاڪ
house,گھر
how,ڪيئن
huge,وڏي
human,انساني
hundred,سو
hunt,تلاش
hurry,جلدي
i,مون کي
ice,برف
idea,خيال
if,ته
imagine,تصور
in,۾
inch,انچ
include,شامل
indicate,صاف ظاهر آهي
industry,صنعت
insect,مقطع
instant,تڪڙي
instrument,آلي
interest,فائدي
invent,ٺاھ ٺاھيندا
iron,لوھ
is,آهي
island,ٻيٽ
it,ان
job,نوڪري
join,شامل
joy,خوشي
jump,ٽپو ڏئي
just,بس
keep,رکيو
kept,رکي
key,اهم
kill,قتل
kind,قسم
king,بادشاهه
knew,ڄاڻن
know,خبر
lady,لکيا
lake,ڍنڍ
land,ملڪ
language,ٻولي
large,وڏي
last,آخري
late,شهيد
laugh,کلڻ
law,قانون
lay,رکون
lead,ڏس
learn,معلوم ٿئي ٿو
least,گهٽ
leave,ڇڏي
led,ٿياسون
left,کاٻو
leg,پيئي
length,ڊيگهه
less,گهٽ
let,آڻي
letter,خط
level,سطح
lie,ڪوڙ
life,زندگي
lift,لفٽ
light,نور
like,جهڙو
line,ليڪ
liquid,سيال
list,فهرست
listen,سن
little,ٿورو
live,رهن ٿا
locate,لڳائڻ
log,لاگ ان
lone,لون
long,ايتري
look,نظر
lost,گم
lot,پلاٽ
loud,بلند
love,عشق
low,گهٽ
machine,مشين
made,ڪيو
magnet,مقناطيسي
main,مکيه
major,اهم
make,ڪر
man,انسان
many,ڪيترن ئي
map,نقشي
mark,نشان
market,مارڪيٽ
mass,ڪاميٽي
master,رکن ٿا
match,ميچ
material,مواد
matter,ڪم
may,مئي
me,مون کي
mean,مطلب
meant,مطلب
measure,ماڻ
meat,گوشت
meet,ملن ٿا
melody,ڪيترا سريلا
men,ماڻھن کي
metal,ڌاتو
method,جو طريقو
middle,وچ
might,شايد
mile,ميل
milk,کير
million,لک
mind,من
mine,منهنجو
minute,منٽ
miss,آهين
mix,گڏيو
modern,جديد
molecule,آنو
moment,پل پل
money,رقم
month,مهينو
moon,چنڊ
more,وڌيڪ
morning,صبح
most,سڀ کان
mother,ماءُ
motion,تحرڪ
mount,(جبل)
mountain,جبل
mouth,وات
move,پيش
much,گهڻو
multiply,ضرب
music,موسيقي
must,هجي
my,منهنجي
name,نالو
nation,قوم
natural,قدرتي
nature,فطرت
near,ويجھو
necessary,ضروري آهي
neck,ڳچيء ۾
need,ضرورت
neighbor,پاڙيسري
never,ڪڏهن به
new,نئون
next,ايندڙ
night,رات
nine,نو
no,نه
noise,شور
noon,منجھند
nor,۽ نڪي
north,اتر
nose,نڪ
note,نوٽ
nothing,ڪجھ به نه
notice,نوٽيس
noun,اچار
now,هاڻي
number,تعداد
numeral,ڏونائي
object,اعتراض
observe,مشاهدو
occur,نمودار
ocean,سامونڊي
of,جي
off,بند
offer,آڇ
office,آفيس
often,اڪثر
oh,آه
oil,تيل
old,پراڻي
on,تي
once,هڪ دفعو
one,هڪ
only,صرف
open,کليل
operate,هلائڻ
opposite,سامهون
or,يا
order,حڪم
organ,عضوو
original,اصل
other,ٻئي
our,اسان
out,ٻاهر
over,جي حوالي سان
own,پنهنجي
oxygen,آڪسيجن
page,صفحو
paint,رنگ
pair,جوڙو
paper,پيپر
paragraph,پيراگراف
parent,والدين
part,حصو
particular,خاص
party,پارٽي
pass,لڪ
past,گذريل
path,واٽ
pattern,طرز
pay,ادا
people,ماڻهو
perhaps,مان
period,دور ۾
person,ماڻهو
phrase,جملي
pick,کڻو
picture,تصوير
piece,ٽڪرو
pitch,گندرف
place,جاء
plain,انهيء
plan,رٿ
plane,جهاز
planet,سيارو
plant,ٻوٽو
play,راند
please,مهرباني ڪري
plural,جمع
poem,نظم
point,نڪتو
poor,غريب
populate,ڀري
port,پورٽ
pose,وقت
position,پوزيشن
possible,ممڪن
post,پوسٽ
pound,جئر
power,قدرت
practice,رواج
prepare,تيار
present,هاڻوڪي
press,پريس
pretty,پيارو
print,پرنٽ
probable,امڪان
problem,مسئلو
process,عمل
produce,پيدا
product,پراڊڪٽ
proper,مناسب
property,مال
protect,جي حفاظت
prove,ثابت
provide,مهيا ڪرڻ
pull,پل
push,لوڏا
put,وجهي
quart,سير کي سوا سير
question,سوال
quick,تڪڙا
quiet,پهر
quite,ڪافي
quotient,انس
race,ڄامشورو
radio,ريڊيو
rail,ريل
rain,مينهن
raise,اٿي
ran,ورهين
range,حد
rather,بلڪه
reach,پهچي
read,پڙهڻ
ready,تيار
real,حقيقي
reason,سبب
receive,ملي
record,رڪارڊ
red,ڳاڙهو
region,علائقي
remember,ياد
repeat,ورجائي
reply,جواب
represent,جي نمائندگي
require,جي ضرورت آهي
rest,باقي
result,نتيجي ۾
rich,امير
ride,سواري
right,ساڄو
ring,منڊي
rise,جنم
river,سنڌوء
road,رستي ۾
rock,پٿريلي
roll,رول
room,ڪمري ۾
root,پاڙ
rope,رسي
rose,گلاب
round,لکين
row,قطار
rub,ڪينسل
rule,راڄ
run,هلائي
safe,محفوظ
said,چيو
sail,ترنديون
salt,لوڻ
same,ساڳئي
sand,واريء
sat,ڇنڇر
save,محفوظ
saw,کين
say,چون ٿا
scale,پيماني تي
school,اسڪول
science,سائنس
score,ايڊليڊ:
sea,سمنڊ
search,ڳولا
season,موسم
seat,مسند
second,ٻيون
section,سيڪشن
see,ڏسڻ
seed,ٻج
seem,لڳي
segment,ڀاڱي
select,منتخب ڪريو
self,خود
sell,وڪرو
send,موڪليو
sense,احساس
sent,موڪليو
sentence,سزا
separate,جدا جدا
serve,جي عبادت ڪريو
set,مقرر
settle,آباد
seven,ست
several,ڪيترن ئي
shall,ملندو
shape,شڪل
share,حصو
sharp,تکي
she,هوء
sheet,ورق
shell,شيل
shine,روشن
ship,ٻيڙي
shoe,بوٽن
shop,جو دڪان
shore,اڇليوسون
short,مختصر
should,وڃي
shoulder,ڪلهي
shout,ھڪل
show,نظر
side,پاسي
sight,اکيون
sign,سائين
silent,خاموش
silver,چاندي
similar,ساڳي
simple,سادي
since,کان
sing,روهتاس
single,واحد
sister,ڀيڻ
sit,ويھ
six,ڇهه
size,ڪرائون سائيز واري
skill,ڪاريگر
skin,جلد ئي
sky,آسمان
slave,غلام
sleep,ننڊ
slip,پرچي
slow,آهستي
small,ننڍي
smell,عضوا
smile,مرڪ
snow,برف
so,پوء
soft,نرم
soil,ڌرتيء
soldier,سپاهي
solution,حل
solve,حل ڪرڻ
some,ڪجهه
son,پُٽ
song,گيت
soon,جلد
sound,آواز
south,ڏکڻ
space,خلا
speak,ڳالهائڻ
special,خاص
speech,تقرير
speed,رفتار
spell,ڪيلن مان
spend,خرچ
spoke,ارن
spot,جاء
spread,وڇائي
spring,بهار جي
square,چورس
stand,موقف
star,تارو
start,شروع
state,رياست
station,اسٽيشن
stay,رهو
stead,ڪا
steam,ٻاڦ
steel,اسٽيل
step,قدم
stick,لٺ
still,اڃا
stone,پٿر
stood,بيٺو
stop,بند
store,اسٽور
story,ڪهاڻي
straight,سڌي
strange,عجيب
stream,وهڪرو
street,گلي
stretch,البت
string,اهو جملو
strong,مضبوط
student,شاگرد
study,مطالعي
subject,موضوع
substance,مال
subtract,ڪٽ
success,ڪاميابي
such,اهڙي
sudden,اوچتو
suffix,وهڪرو
sugar,کنڊ
suggest,صلاح
suit,مناسبت
summer,اونهاري
sun,سج
supply,جي سامان جو
support,حمايت
sure,پڪ
surface,مٿاڇري
surprise,تعجب
swim,ترڻ
syllable,پدن
symbol,نشان
system,نظام
table,ميز
tail,پڇ
take,وٺي
talk,ڳالهائي
tall,قد
teach,هڪٻئي کي
team,ٽيم
teeth,ڏند
tell,ٻڌايو
temperature,گرمي پد
ten,ڏهه
term,مدت
test,امتحان
than,کان
thank,آنو
that,ته
the,جي
their,سندن
them,انھن کي
then,پوء
there,نه
these,انهن
they,اھي
thick,دلدار
thin,پتلي
thing,شيء
think,خيال
third,ٽيون
this,هن
those,سي
though,جيتوڻيڪ
thought,فڪر
thousand,هزار
three,ٽي
through,جي ذريعي
throw,ڌوڙ
thus,اهڙيء طرح
tie,ڳنڍ
time,وقت
tiny,ٺهي
tire,ٽائر
to,جي طرف
together,گڏ
told,ٻڌايو
tone,سر
too,به
took,ورتو
tool,اوزار
top,مٿي
total,ڪل
touch,رابطو
toward,رخ
town,ڳوٺ
track,ڪچي
trade,واپار
train,سکيا
travel,سفر
tree,وڻ
triangle,تكون
trip,سفر
trouble,ڏکي
truck,ٽرڪ
true,سچ
try,ڪوشش ڪر
tube,ٽيوب
turn,موڙ
twenty,ويهه
two,ٻه
type,قسم
under,هيٺ
unit,يونٽ
until,ايتري قدر
up,مٿي
us,اسان
use,استعمال
usual,ويچارا
valley,واديء
value,قدر
vary,ناهيون
verb,فعل
very,تمام
view,ڏسڻ
village,ڳوٺ
visit,دوري
voice,آواز
vowel,اسمن
wait,انتظار
walk,سير
wall,ڀت
want,چاهي ٿو
war,جنگ
warm,گرم
was,هو
wash,ڌوئڻ
watch,واچ
water,پاڻي
wave,موج
way,واٽ
we,اسان
wear,پائڻ
weather,موسم
week,هفتو
weight,وزن
well,چڱي
went,ويو
were,ويا
west,اولهه
what,ڇا
wheel,ڦيٿي
when,جڏهن
where,جتي
whether,ت
which,ڪھڙي
while,جڏهن ته
white,اڇو
who,جو
whole,سڄي
whose,جن جي
why,ڇو
wide,وڏين
wife,زال
wild,جهنگلي
will,ٿيندو
win,ورتي
wind,واء
window,دري
wing,ونگ
winter,سياري ۾
wire,تار
wish,خواهش
with,سان
woman,عورت
women,عورتن
wonder,عجب
won’t,نه ڪندو
wood,ڪاٺ
word,لفظ
work,ڪم
world,دنيا
would,ها
write,لکڻ
written,لکيو
wrong,ظلم
wrote,لکيو
yard,لينڊ يارڊ
year,سال
yellow,پيلو
yes,ها
yet,موجود
you,توهان
young,جوان
your,تنهنجو
